Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- Transformer ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2024,
        "test_year": 2025,
        "window": 8,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "d_model": 64,
        "num_layers": 2,
        "nhead": 2,
        "dropout": 0.1
    }
}
Epoch 29, train_loss 0.001923, train_ic 0.005958, train_icir 0.088779, train_ric -0.000207, train_ricir -0.002745, train_mae 0.092214, train_rmse 0.104325, train_mape 1654.282349, train_acc 0.549660, valid_loss 0.0125575342, valid_ic 0.005528, valid_icir 0.080025, valid_ric 0.001024, valid_ricir 0.011304, valid_mae 0.119430, valid_rmse 0.127317, valid_mape 840.191101, valid_acc 0.159273, test_loss 0.012004, ic 0.006062, icir 0.092155, ric 0.012174, ricir 0.181212, prec@10 0.432922, prec@30 0.460631, test_mae 0.095948, test_rmse 0.106655, test_mape 25907.654297, test_acc 0.477000
Epoch 30, train_loss 0.001921, train_ic 0.005022, train_icir 0.073683, train_ric 0.001150, train_ricir 0.016209, train_mae 0.123724, train_rmse 0.131144, train_mape 51335.980469, train_acc 0.613449, valid_loss 0.0200726279, valid_ic 0.007380, valid_icir 0.109382, valid_ric 0.007051, valid_ricir 0.086010, valid_mae 0.155971, valid_rmse 0.161737, valid_mape 1109.294067, valid_acc 0.124096, test_loss 0.019226, ic 0.004286, icir 0.059981, ric 0.011565, ricir 0.135652, prec@10 0.442798, prec@30 0.455007, test_mae 0.127418, test_rmse 0.136018, test_mape 34134.816406, test_acc 0.468303
Epoch 31, train_loss 0.001890, train_ic 0.005631, train_icir 0.085944, train_ric 0.000756, train_ricir 0.010623, train_mae 0.128274, train_rmse 0.133167, train_mape 1185.200073, train_acc 0.219408, valid_loss 0.0150803426, valid_ic 0.006005, valid_icir 0.090373, valid_ric 0.004278, valid_ricir 0.051455, valid_mae 0.134706, valid_rmse 0.141475, valid_mape 947.246277, valid_acc 0.131913, test_loss 0.014404, ic 0.005414, icir 0.085149, ric 0.012485, ricir 0.171199, prec@10 0.485185, prec@30 0.468450, test_mae 0.107794, test_rmse 0.117295, test_mape 29465.283203, test_acc 0.471589
Epoch 32, train_loss 0.001901, train_ic 0.004560, train_icir 0.063892, train_ric -0.006665, train_ricir -0.072207, train_mae 0.136081, train_rmse 0.138654, train_mape 3039.074219, train_acc 0.354291, valid_loss 0.0198842399, valid_ic 0.001599, valid_icir 0.020961, valid_ric -0.010476, valid_ricir -0.092369, valid_mae 0.155784, valid_rmse 0.161754, valid_mape 1124.588623, valid_acc 0.122337, test_loss 0.019796, ic 0.006077, icir 0.128618, ric 0.004512, ricir 0.067175, prec@10 0.502881, prec@30 0.474623, test_mae 0.131742, test_rmse 0.138568, test_mape 33080.542969, test_acc 0.461925
Epoch 33, train_loss 0.001863, train_ic 0.005621, train_icir 0.092351, train_ric -0.001620, train_ricir -0.022894, train_mae 0.152180, train_rmse 0.158018, train_mape 1262.311768, train_acc 0.184402, valid_loss 0.0195187806, valid_ic 0.005131, valid_icir 0.082086, valid_ric 0.001883, valid_ricir 0.023392, valid_mae 0.156656, valid_rmse 0.161398, valid_mape 1123.571533, valid_acc 0.114716, test_loss 0.019212, ic 0.005182, icir 0.100629, ric 0.010551, ricir 0.165851, prec@10 0.519342, prec@30 0.488340, test_mae 0.130457, test_rmse 0.137147, test_mape 33291.207031, test_acc 0.461925
Epoch 34, train_loss 0.001755, train_ic 0.006335, train_icir 0.087096, train_ric 0.005671, train_ricir 0.077494, train_mae 0.104627, train_rmse 0.109988, train_mape 951.037781, train_acc 0.164351, valid_loss 0.0093756939, valid_ic 0.009193, valid_icir 0.128592, valid_ric 0.013214, valid_ricir 0.160627, valid_mae 0.108478, valid_rmse 0.114783, valid_mape 742.986328, valid_acc 0.138362, test_loss 0.008801, ic 0.004286, icir 0.055056, ric 0.014973, ricir 0.158277, prec@10 0.497119, prec@30 0.479012, test_mae 0.082114, test_rmse 0.092222, test_mape 22675.945312, test_acc 0.475261
Epoch 35, train_loss 0.001883, train_ic 0.006121, train_icir 0.065340, train_ric 0.014029, train_ricir 0.128350, train_mae 0.074196, train_rmse 0.081929, train_mape 125851.085938, train_acc 0.375553, valid_loss 0.0072159751, valid_ic 0.012853, valid_icir 0.131065, valid_ric 0.026649, valid_ricir 0.210130, valid_mae 0.094338, valid_rmse 0.100807, valid_mape 629.684326, valid_acc 0.153410, test_loss 0.006647, ic 0.001920, icir 0.019313, ric 0.016041, ricir 0.113443, prec@10 0.494239, prec@30 0.480521, test_mae 0.068949, test_rmse 0.081266, test_mape 18755.259766, test_acc 0.480093
Epoch 36, train_loss 0.001806, train_ic 0.003973, train_icir 0.061360, train_ric 0.003724, train_ricir 0.052113, train_mae 0.077884, train_rmse 0.082412, train_mape 1125.701050, train_acc 0.836117, valid_loss 0.0108431739, valid_ic 0.006214, valid_icir 0.097291, valid_ric 0.007675, valid_ricir 0.092362, valid_mae 0.119318, valid_rmse 0.124515, valid_mape 829.008850, valid_acc 0.119210, test_loss 0.010442, ic 0.004208, icir 0.068034, ric 0.015580, ricir 0.211924, prec@10 0.546502, prec@30 0.534842, test_mae 0.093012, test_rmse 0.101394, test_mape 24442.181641, test_acc 0.464631
Epoch 37, train_loss 0.001781, train_ic 0.004870, train_icir 0.072726, train_ric 0.000359, train_ricir 0.005061, train_mae 0.103557, train_rmse 0.113785, train_mape 1238.734985, train_acc 0.271744, valid_loss 0.0116581179, valid_ic 0.007325, valid_icir 0.112585, valid_ric 0.006566, valid_ricir 0.085848, valid_mae 0.121022, valid_rmse 0.127227, valid_mape 839.274109, valid_acc 0.125464, test_loss 0.011093, ic 0.005024, icir 0.075077, ric 0.013538, ricir 0.174116, prec@10 0.447737, prec@30 0.456104, test_mae 0.093955, test_rmse 0.103460, test_mape 25828.585938, test_acc 0.467530
Epoch 38, train_loss 0.001801, train_ic 0.005439, train_icir 0.070052, train_ric 0.010992, train_ricir 0.137591, train_mae 0.067694, train_rmse 0.071917, train_mape 1690.223511, train_acc 0.501976, valid_loss 0.0066995676, valid_ic 0.010548, valid_icir 0.137779, valid_ric 0.018512, valid_ricir 0.193030, valid_mae 0.089456, valid_rmse 0.096502, valid_mape 594.069397, valid_acc 0.159859, test_loss 0.006146, ic 0.004382, icir 0.051992, ric 0.018728, ricir 0.179052, prec@10 0.488066, prec@30 0.500000, test_mae 0.064967, test_rmse 0.076863, test_mape 18345.218750, test_acc 0.482219
