Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- Transformer ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2022,
        "test_year": 2023,
        "window": 8,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "d_model": 64,
        "num_layers": 2,
        "nhead": 2,
        "dropout": 0.1
    }
}
Epoch 22, train_loss 0.002313, train_ic 0.004060, train_icir 0.057779, train_ric -0.001637, train_ricir -0.020193, train_mae 0.094952, train_rmse 0.101934, train_mape 859.420898, train_acc 0.341916, valid_loss 0.0116015303, valid_ic 0.009627, valid_icir 0.130514, valid_ric 0.000702, valid_ricir 0.008731, valid_mae 0.086133, valid_rmse 0.097110, valid_mape 1807.144409, valid_acc 0.662237, test_loss 0.010575, ic 0.019885, icir 0.376296, ric 0.016060, ricir 0.222862, prec@10 0.482645, prec@30 0.491185, test_mae 0.079675, test_rmse 0.088207, test_mape 1444.179932, test_acc 0.783455
Epoch 23, train_loss 0.002389, train_ic -0.009644, train_icir -0.134381, train_ric 0.005144, train_ricir 0.054490, train_mae 0.081026, train_rmse 0.084196, train_mape 1966.933594, train_acc 0.489905, valid_loss 0.0099527280, valid_ic 0.005988, valid_icir 0.099999, valid_ric 0.003855, valid_ricir 0.040948, valid_mae 0.081273, valid_rmse 0.089669, valid_mape 1719.104248, valid_acc 0.663464, test_loss 0.008936, ic 0.013199, icir 0.299983, ric 0.016634, ricir 0.191465, prec@10 0.479339, prec@30 0.492562, test_mae 0.072407, test_rmse 0.078286, test_mape 1345.453979, test_acc 0.803301
Epoch 24, train_loss 0.002359, train_ic 0.000870, train_icir 0.012305, train_ric -0.001969, train_ricir -0.026869, train_mae 0.070688, train_rmse 0.076695, train_mape 41906.531250, train_acc 0.302987, valid_loss 0.0071389832, valid_ic 0.008676, valid_icir 0.120785, valid_ric 0.004877, valid_ricir 0.064088, valid_mae 0.061014, valid_rmse 0.073288, valid_mape 1285.798218, valid_acc 0.652218, test_loss 0.006044, ic 0.018763, icir 0.362382, ric 0.021261, ricir 0.334412, prec@10 0.428099, prec@30 0.451791, test_mae 0.053938, test_rmse 0.063379, test_mape 1039.341064, test_acc 0.777559
Epoch 25, train_loss 0.002437, train_ic -0.001441, train_icir -0.018025, train_ric -0.010504, train_ricir -0.089267, train_mae 0.093346, train_rmse 0.096122, train_mape 2270.871826, train_acc 0.373460, valid_loss 0.0116642694, valid_ic 0.000320, valid_icir 0.006915, valid_ric -0.022802, valid_ricir -0.159584, valid_mae 0.088916, valid_rmse 0.097641, valid_mape 1908.039307, valid_acc 0.660601, test_loss 0.010763, ic 0.007267, icir 0.147947, ric -0.014149, ricir -0.117572, prec@10 0.450000, prec@30 0.445179, test_mae 0.080535, test_rmse 0.086600, test_mape 1511.539673, test_acc 0.805070
Epoch 26, train_loss 0.002229, train_ic 0.001652, train_icir 0.019340, train_ric 0.006877, train_ricir 0.078946, train_mae 0.142890, train_rmse 0.147353, train_mape 642.240845, train_acc 0.075427, valid_loss 0.0137451403, valid_ic 0.013268, valid_icir 0.128401, valid_ric 0.022174, valid_ricir 0.187929, valid_mae 0.096693, valid_rmse 0.106794, valid_mape 1972.578979, valid_acc 0.668984, test_loss 0.012394, ic 0.019209, icir 0.268519, ric 0.031558, ricir 0.350148, prec@10 0.502893, prec@30 0.506061, test_mae 0.088492, test_rmse 0.097048, test_mape 1643.467285, test_acc 0.784241
Epoch 27, train_loss 0.002227, train_ic 0.000809, train_icir 0.010742, train_ric 0.004649, train_ricir 0.062300, train_mae 0.039255, train_rmse 0.045340, train_mape 2081.565918, train_acc 0.329132, valid_loss 0.0047818949, valid_ic 0.011403, valid_icir 0.128826, valid_ric 0.015769, valid_ricir 0.190450, valid_mae 0.036565, valid_rmse 0.058408, valid_mape 777.731384, valid_acc 0.647107, test_loss 0.003614, ic 0.018906, icir 0.311954, ric 0.030004, ricir 0.470790, prec@10 0.497107, prec@30 0.502066, test_mae 0.030801, test_rmse 0.050255, test_mape 685.660156, test_acc 0.736097
Epoch 28, train_loss 0.002758, train_ic 0.001684, train_icir 0.020660, train_ric 0.004007, train_ricir 0.053479, train_mae 0.089133, train_rmse 0.102144, train_mape 1741.746094, train_acc 0.742729, valid_loss 0.0197972931, valid_ic 0.014442, valid_icir 0.142895, valid_ric 0.014925, valid_ricir 0.179663, valid_mae 0.101991, valid_rmse 0.129949, valid_mape 2177.690186, valid_acc 0.647925, test_loss 0.017833, ic 0.021831, icir 0.318733, ric 0.029602, ricir 0.459323, prec@10 0.492562, prec@30 0.492975, test_mae 0.092527, test_rmse 0.119415, test_mape 1815.055054, test_acc 0.723521
Epoch 29, train_loss 0.002457, train_ic 0.000014, train_icir 0.000162, train_ric 0.009555, train_ricir 0.092473, train_mae 0.078770, train_rmse 0.088861, train_mape 1403.600220, train_acc 0.452422, valid_loss 0.0086252460, valid_ic 0.011892, valid_icir 0.136498, valid_ric 0.029205, valid_ricir 0.207385, valid_mae 0.072891, valid_rmse 0.081800, valid_mape 1485.217041, valid_acc 0.662850, test_loss 0.007463, ic 0.017113, icir 0.261957, ric 0.035908, ricir 0.321973, prec@10 0.470661, prec@30 0.473691, test_mae 0.064195, test_rmse 0.071573, test_mape 1187.962769, test_acc 0.802712
Epoch 30, train_loss 0.002125, train_ic 0.001766, train_icir 0.017304, train_ric 0.015488, train_ricir 0.109981, train_mae 0.077520, train_rmse 0.082791, train_mape 620.163635, train_acc 0.164767, valid_loss 0.0056608333, valid_ic 0.011576, valid_icir 0.113915, valid_ric 0.034777, valid_ricir 0.190838, valid_mae 0.052315, valid_rmse 0.063287, valid_mape 1045.956543, valid_acc 0.667553, test_loss 0.004563, ic 0.014179, icir 0.184956, ric 0.034736, ricir 0.233781, prec@10 0.563636, prec@30 0.557163, test_mae 0.045442, test_rmse 0.054368, test_mape 874.533630, test_acc 0.770878
Epoch 31, train_loss 0.002119, train_ic 0.000993, train_icir 0.014202, train_ric 0.011939, train_ricir 0.173311, train_mae 0.117505, train_rmse 0.121056, train_mape 988.365479, train_acc 0.145494, valid_loss 0.0117903662, valid_ic 0.008106, valid_icir 0.112926, valid_ric 0.023520, valid_ricir 0.248929, valid_mae 0.091716, valid_rmse 0.098140, valid_mape 1883.834839, valid_acc 0.661419, test_loss 0.010723, ic 0.012730, icir 0.249019, ric 0.030766, ricir 0.423290, prec@10 0.491322, prec@30 0.487466, test_mae 0.082897, test_rmse 0.087963, test_mape 1488.074463, test_acc 0.804677
