Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- Transformer ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 20,
        "valid_year": 2019,
        "test_year": 2020,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "d_model": 64,
        "num_layers": 2,
        "nhead": 2,
        "dropout": 0.1
    }
}
Epoch 146, train_loss 0.001253, train_ic 0.008357, train_icir 0.074555, train_ric 0.017753, train_ricir 0.124610, valid_loss 0.0013048664 , valid_ic -0.008172, valid_icir -0.117205, valid_ric -0.000426, valid_ricir -0.003810, test_loss 0.002770, ic -0.015039, icir -0.185031, ric -0.006780, ricir -0.042810, prec@10 0.648971, prec@30 0.595610 
Epoch 147, train_loss 0.001273, train_ic 0.008546, train_icir 0.137430, train_ric -0.017202, train_ricir -0.164005, valid_loss 0.0010737560 , valid_ic -0.000857, valid_icir -0.031520, valid_ric -0.025910, valid_ricir -0.420920, test_loss 0.002327, ic -0.002732, icir -0.073253, ric -0.013547, ricir -0.170681, prec@10 0.532099, prec@30 0.506996 
Epoch 148, train_loss 0.001608, train_ic 0.009295, train_icir 0.122557, train_ric 0.010565, train_ricir 0.077094, valid_loss 0.0011082536 , valid_ic -0.004030, valid_icir -0.100278, valid_ric -0.010050, valid_ricir -0.093655, test_loss 0.002438, ic -0.008268, icir -0.152541, ric -0.012892, ricir -0.083993, prec@10 0.570370, prec@30 0.566667 
Epoch 149, train_loss 0.001239, train_ic 0.010177, train_icir 0.167126, train_ric -0.020553, train_ricir -0.192314, valid_loss 0.0011640081 , valid_ic -0.003164, valid_icir -0.128797, valid_ric -0.028412, valid_ricir -0.440666, test_loss 0.002428, ic -0.005283, icir -0.155468, ric -0.018616, ricir -0.261108, prec@10 0.639095, prec@30 0.589575 
Epoch 150, train_loss 0.001258, train_ic 0.010813, train_icir 0.112487, train_ric 0.014717, train_ricir 0.105729, valid_loss 0.0011410851 , valid_ic -0.007077, valid_icir -0.137831, valid_ric -0.006074, valid_ricir -0.055568, test_loss 0.002432, ic -0.011550, icir -0.214170, ric -0.008737, ricir -0.056752, prec@10 0.649794, prec@30 0.596022 
Epoch 151, train_loss 0.001278, train_ic 0.008371, train_icir 0.075842, train_ric 0.015152, train_ricir 0.108297, valid_loss 0.0015717801 , valid_ic -0.010605, valid_icir -0.137480, valid_ric -0.003486, valid_ricir -0.031511, test_loss 0.003227, ic -0.017999, icir -0.191636, ric -0.008888, ricir -0.056642, prec@10 0.646502, prec@30 0.595336 
Epoch 152, train_loss 0.001264, train_ic 0.004019, train_icir 0.046192, train_ric -0.024653, train_ricir -0.183186, valid_loss 0.0010948524 , valid_ic 0.002034, valid_icir 0.056054, valid_ric -0.017269, valid_ricir -0.172541, test_loss 0.002346, ic 0.001510, icir 0.041929, ric -0.009516, ricir -0.079255, prec@10 0.527984, prec@30 0.503155 
Epoch 153, train_loss 0.001290, train_ic 0.002567, train_icir 0.032433, train_ric -0.018948, train_ricir -0.142594, valid_loss 0.0010590164 , valid_ic 0.000208, valid_icir 0.008274, valid_ric -0.009032, valid_ricir -0.089628, test_loss 0.002301, ic -0.001580, icir -0.049871, ric -0.002897, ricir -0.023640, prec@10 0.512757, prec@30 0.507133 
Epoch 154, train_loss 0.001255, train_ic 0.006782, train_icir 0.096923, train_ric 0.005743, train_ricir 0.054821, valid_loss 0.0019306108 , valid_ic -0.007232, valid_icir -0.170548, valid_ric -0.006671, valid_ricir -0.080585, test_loss 0.003275, ic -0.011427, icir -0.257078, ric -0.007501, ricir -0.070352, prec@10 0.649794, prec@30 0.596159 
Epoch 155, train_loss 0.001240, train_ic 0.003026, train_icir 0.038884, train_ric -0.014838, train_ricir -0.132425, valid_loss 0.0015987702 , valid_ic 0.006930, valid_icir 0.138547, valid_ric -0.012860, valid_ricir -0.149471, test_loss 0.003014, ic 0.006880, icir 0.146271, ric -0.006858, ricir -0.068241, prec@10 0.543210, prec@30 0.525377 
Epoch 156, train_loss 0.001300, train_ic 0.000693, train_icir 0.007279, train_ric -0.020680, train_ricir -0.147706, valid_loss 0.0011905707 , valid_ic 0.005774, valid_icir 0.119146, valid_ric -0.008185, valid_ricir -0.076430, test_loss 0.002475, ic 0.006284, icir 0.149943, ric -0.001344, ricir -0.009464, prec@10 0.527572, prec@30 0.515912 
Epoch 157, train_loss 0.001250, train_ic 0.006212, train_icir 0.111387, train_ric -0.009534, train_ricir -0.099022, valid_loss 0.0012705293 , valid_ic -0.004798, valid_icir -0.180851, valid_ric -0.015942, valid_ricir -0.282352, test_loss 0.002564, ic -0.007316, icir -0.216458, ric -0.010176, ricir -0.159827, prec@10 0.649794, prec@30 0.595885 
Epoch 158, train_loss 0.001296, train_ic -0.003384, train_icir -0.035974, train_ric -0.021212, train_ricir -0.182516, valid_loss 0.0020921473 , valid_ic 0.001661, valid_icir 0.034177, valid_ric -0.010786, valid_ricir -0.135052, test_loss 0.003879, ic 0.002639, icir 0.058574, ric -0.005384, ricir -0.048844, prec@10 0.529218, prec@30 0.530041 
Epoch 159, train_loss 0.001288, train_ic 0.009358, train_icir 0.123061, train_ric 0.004837, train_ricir 0.037600, valid_loss 0.0011415374 , valid_ic -0.006093, valid_icir -0.164843, valid_ric -0.013010, valid_ricir -0.134368, test_loss 0.002402, ic -0.009292, icir -0.217794, ric -0.010669, ricir -0.079680, prec@10 0.648971, prec@30 0.595748 
Epoch 160, train_loss 0.001311, train_ic 0.008779, train_icir 0.104876, train_ric 0.011183, train_ricir 0.086084, valid_loss 0.0012480629 , valid_ic -0.007184, valid_icir -0.156149, valid_ric -0.004552, valid_ricir -0.045346, test_loss 0.002534, ic -0.011415, icir -0.243807, ric -0.006154, ricir -0.045390, prec@10 0.646502, prec@30 0.595336 
Epoch 161, train_loss 0.001261, train_ic 0.010357, train_icir 0.135540, train_ric 0.006789, train_ricir 0.054724, valid_loss 0.0011476434 , valid_ic -0.006201, valid_icir -0.151074, valid_ric -0.009779, valid_ricir -0.104347, test_loss 0.002416, ic -0.010288, icir -0.234811, ric -0.009744, ricir -0.073722, prec@10 0.649383, prec@30 0.595473 
Epoch 162, train_loss 0.001270, train_ic 0.010322, train_icir 0.104433, train_ric 0.016734, train_ricir 0.118410, valid_loss 0.0011456355 , valid_ic -0.007672, valid_icir -0.138492, valid_ric -0.004151, valid_ricir -0.037318, test_loss 0.002444, ic -0.013017, icir -0.212015, ric -0.008708, ricir -0.055096, prec@10 0.650206, prec@30 0.596022 
Epoch 163, train_loss 0.001254, train_ic 0.008210, train_icir 0.125312, train_ric -0.009322, train_ricir -0.102250, valid_loss 0.0011493531 , valid_ic 0.002660, valid_icir 0.075125, valid_ric -0.017450, valid_ricir -0.286992, test_loss 0.002446, ic -0.000278, icir -0.006136, ric -0.008465, ricir -0.114697, prec@10 0.547737, prec@30 0.534568 
Epoch 164, train_loss 0.001262, train_ic 0.008209, train_icir 0.132778, train_ric -0.001093, train_ricir -0.012682, valid_loss 0.0010822075 , valid_ic 0.000572, valid_icir 0.017636, valid_ric -0.011789, valid_ricir -0.229162, test_loss 0.002335, ic -0.002743, icir -0.060185, ric -0.006157, ricir -0.088847, prec@10 0.553909, prec@30 0.530590 
Epoch 165, train_loss 0.001266, train_ic 0.005733, train_icir 0.075854, train_ric -0.016638, train_ricir -0.135414, valid_loss 0.0010782996 , valid_ic 0.002235, valid_icir 0.077181, valid_ric -0.012558, valid_ricir -0.141633, test_loss 0.002293, ic 0.000617, icir 0.019221, ric -0.005044, ricir -0.047548, prec@10 0.511523, prec@30 0.519616 
Epoch 166, train_loss 0.001258, train_ic 0.008230, train_icir 0.118326, train_ric 0.007464, train_ricir 0.069374, valid_loss 0.0015568413 , valid_ic -0.005929, valid_icir -0.148496, valid_ric -0.003055, valid_ricir -0.039276, test_loss 0.002898, ic -0.009961, icir -0.262666, ric -0.002988, ricir -0.031783, prec@10 0.649794, prec@30 0.591358 
Epoch 167, train_loss 0.001255, train_ic 0.010921, train_icir 0.100587, train_ric 0.019612, train_ricir 0.137015, valid_loss 0.0012357731 , valid_ic -0.007753, valid_icir -0.123966, valid_ric -0.000755, valid_ricir -0.006752, test_loss 0.002548, ic -0.014067, icir -0.210592, ric -0.006583, ricir -0.041579, prec@10 0.650206, prec@30 0.595610 
Epoch 168, train_loss 0.001276, train_ic 0.008760, train_icir 0.149259, train_ric -0.014059, train_ricir -0.135653, valid_loss 0.0011741644 , valid_ic -0.000801, valid_icir -0.042654, valid_ric -0.016425, valid_ricir -0.275796, test_loss 0.002413, ic -0.003210, icir -0.122925, ric -0.008694, ricir -0.123994, prec@10 0.549383, prec@30 0.534294 
Epoch 169, train_loss 0.001247, train_ic 0.011113, train_icir 0.160390, train_ric -0.000705, train_ricir -0.007717, valid_loss 0.0011391587 , valid_ic 0.001023, valid_icir 0.027320, valid_ric -0.014153, valid_ricir -0.270812, test_loss 0.002442, ic -0.002586, icir -0.050791, ric -0.006480, ricir -0.086167, prec@10 0.562140, prec@30 0.536900 
Epoch 170, train_loss 0.001326, train_ic 0.007761, train_icir 0.087230, train_ric -0.018149, train_ricir -0.134720, valid_loss 0.0011395824 , valid_ic 0.005759, valid_icir 0.130652, valid_ric -0.013506, valid_ricir -0.134565, test_loss 0.002378, ic 0.005338, icir 0.133661, ric -0.004830, ricir -0.038676, prec@10 0.548148, prec@30 0.532922 
Epoch 171, train_loss 0.001266, train_ic 0.007798, train_icir 0.105721, train_ric -0.020086, train_ricir -0.154366, valid_loss 0.0010899957 , valid_ic 0.001612, valid_icir 0.065720, valid_ric -0.016719, valid_ricir -0.170449, test_loss 0.002288, ic -0.000165, icir -0.005393, ric -0.004067, ricir -0.033488, prec@10 0.526337, prec@30 0.523731 
Epoch 172, train_loss 0.001274, train_ic 0.016506, train_icir 0.165434, train_ric 0.018217, train_ricir 0.127358, valid_loss 0.0010946292 , valid_ic -0.005121, valid_icir -0.101470, valid_ric -0.005745, valid_ricir -0.051644, test_loss 0.002329, ic -0.010197, icir -0.189497, ric -0.008117, ricir -0.051327, prec@10 0.649383, prec@30 0.595473 
Epoch 173, train_loss 0.001253, train_ic 0.015747, train_icir 0.158244, train_ric 0.020302, train_ricir 0.141979, valid_loss 0.0011422010 , valid_ic -0.004255, valid_icir -0.091406, valid_ric -0.003307, valid_ricir -0.029665, test_loss 0.002376, ic -0.009128, icir -0.172115, ric -0.006930, ricir -0.043969, prec@10 0.649383, prec@30 0.595062 
Epoch 174, train_loss 0.001255, train_ic -0.000867, train_icir -0.007608, train_ric -0.017044, train_ricir -0.120966, valid_loss 0.0018265629 , valid_ic 0.010579, valid_icir 0.145242, valid_ric -0.003520, valid_ricir -0.032315, test_loss 0.003427, ic 0.015203, icir 0.204831, ric 0.003124, ricir 0.020800, prec@10 0.527160, prec@30 0.527984 
Epoch 175, train_loss 0.001315, train_ic 0.008507, train_icir 0.134273, train_ric -0.005344, train_ricir -0.059170, valid_loss 0.0011078975 , valid_ic -0.003600, valid_icir -0.149627, valid_ric -0.012249, valid_ricir -0.229886, test_loss 0.002368, ic -0.005654, icir -0.210667, ric -0.007228, ricir -0.129551, prec@10 0.645679, prec@30 0.594787 
Epoch 176, train_loss 0.001259, train_ic 0.021896, train_icir 0.302776, train_ric -0.023334, train_ricir -0.175329, valid_loss 0.0010958929 , valid_ic 0.001042, valid_icir 0.042168, valid_ric -0.027691, valid_ricir -0.312083, test_loss 0.002294, ic -0.001578, icir -0.047617, ric -0.011935, ricir -0.120903, prec@10 0.553086, prec@30 0.535940 
Epoch 177, train_loss 0.001262, train_ic 0.015186, train_icir 0.183389, train_ric -0.020551, train_ricir -0.149804, valid_loss 0.0010690753 , valid_ic 0.002331, valid_icir 0.090318, valid_ric -0.016715, valid_ricir -0.166758, test_loss 0.002251, ic 0.000148, icir 0.004821, ric -0.005106, ricir -0.040568, prec@10 0.545679, prec@30 0.525377 
Epoch 178, train_loss 0.001237, train_ic 0.019840, train_icir 0.237976, train_ric 0.010379, train_ricir 0.074910, valid_loss 0.0010604519 , valid_ic -0.001720, valid_icir -0.042663, valid_ric -0.018687, valid_ricir -0.172398, test_loss 0.002300, ic -0.006339, icir -0.122204, ric -0.010399, ricir -0.068240, prec@10 0.579012, prec@30 0.560631 
Epoch 179, train_loss 0.001245, train_ic 0.008680, train_icir 0.096754, train_ric -0.016768, train_ricir -0.122563, valid_loss 0.0011110672 , valid_ic 0.003736, valid_icir 0.112510, valid_ric -0.009937, valid_ricir -0.095088, test_loss 0.002314, ic 0.002274, icir 0.070871, ric -0.001471, ricir -0.010827, prec@10 0.543210, prec@30 0.519753 
Epoch 180, train_loss 0.001271, train_ic 0.001709, train_icir 0.015539, train_ric -0.018359, train_ricir -0.130240, valid_loss 0.0012344767 , valid_ic 0.006981, valid_icir 0.122768, valid_ric -0.007182, valid_ricir -0.066135, test_loss 0.002574, ic 0.008513, icir 0.167780, ric 0.001756, ricir 0.011731, prec@10 0.526749, prec@30 0.522497 
Epoch 181, train_loss 0.001225, train_ic -0.001447, train_icir -0.013429, train_ric -0.016571, train_ricir -0.118047, valid_loss 0.0014606553 , valid_ic 0.006410, valid_icir 0.114058, valid_ric -0.003045, valid_ricir -0.027987, test_loss 0.002885, ic 0.007855, icir 0.158146, ric 0.003320, ricir 0.022248, prec@10 0.516049, prec@30 0.524417 
Epoch 182, train_loss 0.001325, train_ic 0.010447, train_icir 0.139278, train_ric 0.008444, train_ricir 0.071985, valid_loss 0.0011041919 , valid_ic -0.005276, valid_icir -0.138052, valid_ric -0.005821, valid_ricir -0.065541, test_loss 0.002331, ic -0.009035, icir -0.237639, ric -0.006198, ricir -0.055028, prec@10 0.627160, prec@30 0.591358 
Epoch 183, train_loss 0.001261, train_ic 0.028376, train_icir 0.365560, train_ric 0.007847, train_ricir 0.066672, valid_loss 0.0012416597 , valid_ic 0.002096, valid_icir 0.063112, valid_ric -0.016783, valid_ricir -0.208883, test_loss 0.002433, ic -0.002700, icir -0.067969, ric -0.005412, ricir -0.050211, prec@10 0.539918, prec@30 0.551440 
Epoch 184, train_loss 0.001248, train_ic 0.021512, train_icir 0.232309, train_ric 0.023318, train_ricir 0.164207, valid_loss 0.0011365468 , valid_ic -0.001516, valid_icir -0.036779, valid_ric -0.001935, valid_ricir -0.017584, test_loss 0.002362, ic -0.006564, icir -0.129854, ric -0.004835, ricir -0.031249, prec@10 0.583951, prec@30 0.593827 
Epoch 185, train_loss 0.001237, train_ic 0.022126, train_icir 0.239612, train_ric 0.016950, train_ricir 0.127464, valid_loss 0.0012077216 , valid_ic -0.003431, valid_icir -0.069470, valid_ric -0.005075, valid_ricir -0.050746, test_loss 0.002443, ic -0.009264, icir -0.189020, ric -0.004917, ricir -0.035819, prec@10 0.647737, prec@30 0.595473 
Epoch 186, train_loss 0.001260, train_ic 0.011527, train_icir 0.175363, train_ric -0.004894, train_ricir -0.053541, valid_loss 0.0016766086 , valid_ic 0.004586, valid_icir 0.126911, valid_ric -0.013922, valid_ricir -0.222810, test_loss 0.002968, ic 0.001766, icir 0.041134, ric -0.006700, ricir -0.091165, prec@10 0.578189, prec@30 0.550343 
Epoch 187, train_loss 0.001255, train_ic 0.016240, train_icir 0.232555, train_ric -0.010936, train_ricir -0.103981, valid_loss 0.0014256626 , valid_ic 0.005989, valid_icir 0.184816, valid_ric -0.015659, valid_ricir -0.213132, test_loss 0.002620, ic 0.003519, icir 0.106172, ric -0.005959, ricir -0.068384, prec@10 0.537860, prec@30 0.531962 
Epoch 188, train_loss 0.001241, train_ic 0.011352, train_icir 0.102321, train_ric 0.019001, train_ricir 0.132898, valid_loss 0.0012988920 , valid_ic -0.008419, valid_icir -0.125015, valid_ric -0.001853, valid_ricir -0.016568, test_loss 0.002587, ic -0.015353, icir -0.213801, ric -0.006889, ricir -0.043525, prec@10 0.649383, prec@30 0.595473 
Epoch 189, train_loss 0.001258, train_ic 0.003577, train_icir 0.034393, train_ric -0.015618, train_ricir -0.112494, valid_loss 0.0011946400 , valid_ic 0.008142, valid_icir 0.149706, valid_ric -0.004737, valid_ricir -0.044005, test_loss 0.002445, ic 0.008597, icir 0.184977, ric 0.002542, ricir 0.017361, prec@10 0.529630, prec@30 0.525240 
Epoch 190, train_loss 0.001242, train_ic 0.019667, train_icir 0.199087, train_ric 0.025533, train_ricir 0.179392, valid_loss 0.0012943661 , valid_ic -0.003127, valid_icir -0.065681, valid_ric 0.002014, valid_ricir 0.018483, test_loss 0.002490, ic -0.009055, icir -0.182717, ric -0.002836, ricir -0.018552, prec@10 0.649383, prec@30 0.595748 
Epoch 191, train_loss 0.001259, train_ic 0.010822, train_icir 0.178021, train_ric -0.011429, train_ricir -0.108789, valid_loss 0.0013676244 , valid_ic 0.000331, valid_icir 0.011482, valid_ric -0.022126, valid_ricir -0.335569, test_loss 0.002582, ic -0.002459, icir -0.060774, ric -0.013204, ricir -0.164579, prec@10 0.513169, prec@30 0.501372 
Epoch 192, train_loss 0.001248, train_ic 0.020795, train_icir 0.225179, train_ric 0.020806, train_ricir 0.147319, valid_loss 0.0012159721 , valid_ic -0.002450, valid_icir -0.057475, valid_ric -0.005784, valid_ricir -0.052821, test_loss 0.002442, ic -0.007298, icir -0.140293, ric -0.006766, ricir -0.043773, prec@10 0.643621, prec@30 0.596159 
Epoch 193, train_loss 0.001288, train_ic 0.012280, train_icir 0.191931, train_ric 0.006249, train_ricir 0.066890, valid_loss 0.0010892370 , valid_ic -0.001570, valid_icir -0.064975, valid_ric -0.003932, valid_ricir -0.067059, test_loss 0.002308, ic -0.004959, icir -0.191822, ric -0.001760, ricir -0.026982, prec@10 0.626749, prec@30 0.579973 
Epoch 194, train_loss 0.001236, train_ic 0.008630, train_icir 0.093351, train_ric -0.015194, train_ricir -0.111411, valid_loss 0.0010748630 , valid_ic 0.005516, valid_icir 0.158622, valid_ric -0.007683, valid_ricir -0.072514, test_loss 0.002293, ic 0.004000, icir 0.132645, ric 0.001617, ricir 0.011361, prec@10 0.537037, prec@30 0.523731 
Epoch 195, train_loss 0.001233, train_ic 0.005480, train_icir 0.108999, train_ric 0.009919, train_ricir 0.122474, valid_loss 0.0010458166 , valid_ic 0.001461, valid_icir 0.087951, valid_ric 0.007884, valid_ricir 0.170521, test_loss 0.002258, ic -0.001508, icir -0.074122, ric 0.005449, ricir 0.090317, prec@10 0.532510, prec@30 0.524966 
Epoch 196, train_loss 0.001225, train_ic 0.014202, train_icir 0.208591, train_ric -0.001521, train_ricir -0.016568, valid_loss 0.0017868456 , valid_ic 0.006389, valid_icir 0.159742, valid_ric -0.013405, valid_ricir -0.223248, test_loss 0.003114, ic 0.003622, icir 0.080114, ric -0.005799, ricir -0.079641, prec@10 0.572840, prec@30 0.546914 
Epoch 197, train_loss 0.001219, train_ic 0.016587, train_icir 0.144599, train_ric 0.020337, train_ricir 0.142093, valid_loss 0.0012547316 , valid_ic -0.006624, valid_icir -0.093801, valid_ric -0.003293, valid_ricir -0.029544, test_loss 0.002596, ic -0.013449, icir -0.168845, ric -0.006559, ricir -0.041664, prec@10 0.644856, prec@30 0.595062 
Epoch 198, train_loss 0.001240, train_ic -0.000338, train_icir -0.003236, train_ric -0.017456, train_ricir -0.124694, valid_loss 0.0017462401 , valid_ic 0.009323, valid_icir 0.145918, valid_ric -0.005469, valid_ricir -0.050533, test_loss 0.003047, ic 0.012170, icir 0.206242, ric 0.001776, ricir 0.012006, prec@10 0.522634, prec@30 0.526886 
Epoch 199, train_loss 0.001233, train_ic 0.020500, train_icir 0.280661, train_ric 0.015239, train_ricir 0.115587, valid_loss 0.0010254119 , valid_ic -0.000120, valid_icir -0.004381, valid_ric -0.008892, valid_ricir -0.090455, test_loss 0.002203, ic -0.003533, icir -0.117238, ric -0.003716, ricir -0.030245, prec@10 0.520165, prec@30 0.529767 
Epoch 200, train_loss 0.001234, train_ic 0.016528, train_icir 0.172871, train_ric 0.021838, train_ricir 0.153381, valid_loss 0.0010361223 , valid_ic -0.001814, valid_icir -0.044410, valid_ric -0.003541, valid_ricir -0.031915, test_loss 0.002220, ic -0.006769, icir -0.133266, ric -0.004675, ricir -0.030205, prec@10 0.581893, prec@30 0.577366 
Best valid loss: 0
Best valid loss epoch: 199
Model saved to:  ../saved_models/Transformer/Transformer-CSI-2026-04-06-12-20-36
------- Test -----
{'IC': np.float64(-0.006769255873943552), 'ICIR': np.float64(-0.13326648776794545), 'RIC': np.float64(-0.004674684395606858), 'RICIR': np.float64(-0.030204608825532338), 'Prec@10': np.float64(0.5818930041152264), 'Prec@30': np.float64(0.577366255144033), 'MAE': np.float32(0.025955383), 'MAPE': np.float32(221.53638), 'RMSE': np.float32(0.056113865), 'ACC': np.float64(0.36649597659107536)}
