Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- Transformer ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 20,
        "valid_year": 2019,
        "test_year": 2020,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "d_model": 64,
        "num_layers": 2,
        "nhead": 2,
        "dropout": 0.1
    }
}
Epoch 35, train_loss 0.001939, train_ic -0.002370, train_icir -0.039356, train_ric -0.003826, train_ricir -0.038377, valid_loss 0.0034090932 , valid_ic -0.002464, valid_icir -0.077503, valid_ric 0.003375, valid_ricir 0.044365, test_loss 0.005417, ic -0.007237, icir -0.140656, ric 0.000369, ricir 0.004309, prec@10 0.513992, prec@30 0.513443 
Epoch 36, train_loss 0.001857, train_ic 0.006074, train_icir 0.057585, train_ric 0.018011, train_ricir 0.129587, valid_loss 0.0029255943 , valid_ic -0.008006, valid_icir -0.103600, valid_ric 0.002027, valid_ricir 0.018803, test_loss 0.006634, ic -0.015901, icir -0.152403, ric -0.004858, ricir -0.031400, prec@10 0.473663, prec@30 0.495885 
Epoch 37, train_loss 0.001911, train_ic 0.003404, train_icir 0.044887, train_ric -0.004229, train_ricir -0.052446, valid_loss 0.0026083178 , valid_ic -0.006965, valid_icir -0.132989, valid_ric -0.011947, valid_ricir -0.234515, test_loss 0.004623, ic -0.012348, icir -0.166919, ric -0.009858, ricir -0.117374, prec@10 0.649383, prec@30 0.564472 
Epoch 38, train_loss 0.001737, train_ic 0.004476, train_icir 0.055371, train_ric -0.006318, train_ricir -0.048588, valid_loss 0.0032620629 , valid_ic -0.008968, valid_icir -0.159470, valid_ric -0.021355, valid_ricir -0.213632, test_loss 0.005303, ic -0.014976, icir -0.194150, ric -0.019349, ricir -0.130083, prec@10 0.649794, prec@30 0.595473 
Epoch 39, train_loss 0.002004, train_ic -0.004625, train_icir -0.066509, train_ric -0.013257, train_ricir -0.133232, valid_loss 0.0034957473 , valid_ic -0.003200, valid_icir -0.113667, valid_ric -0.003613, valid_ricir -0.056964, test_loss 0.005802, ic -0.005900, icir -0.189564, ric -0.004044, ricir -0.050574, prec@10 0.621811, prec@30 0.572565 
Epoch 40, train_loss 0.001805, train_ic 0.003974, train_icir 0.038255, train_ric 0.022001, train_ricir 0.157750, valid_loss 0.0026217268 , valid_ic -0.009713, valid_icir -0.130368, valid_ric 0.007687, valid_ricir 0.069740, test_loss 0.005435, ic -0.019114, icir -0.196841, ric -0.002477, ricir -0.016107, prec@10 0.650617, prec@30 0.595199 
Epoch 41, train_loss 0.001658, train_ic 0.003303, train_icir 0.047224, train_ric 0.008816, train_ricir 0.111420, valid_loss 0.0017402792 , valid_ic -0.002970, valid_icir -0.062366, valid_ric 0.005592, valid_ricir 0.113774, test_loss 0.003843, ic -0.008484, icir -0.120177, ric 0.002926, ricir 0.041837, prec@10 0.493004, prec@30 0.489986 
Epoch 42, train_loss 0.001701, train_ic 0.004414, train_icir 0.063065, train_ric -0.008056, train_ricir -0.102666, valid_loss 0.0038346469 , valid_ic -0.001639, valid_icir -0.033732, valid_ric -0.014645, valid_ricir -0.274295, test_loss 0.006953, ic -0.004923, icir -0.068928, ric -0.008897, ricir -0.126188, prec@10 0.509053, prec@30 0.494376 
Epoch 43, train_loss 0.001756, train_ic -0.000457, train_icir -0.010916, train_ric -0.007273, train_ricir -0.138990, valid_loss 0.0021303789 , valid_ic -0.005141, valid_icir -0.159058, valid_ric -0.003904, valid_ricir -0.136732, test_loss 0.003975, ic -0.009572, icir -0.191011, ric -0.009745, ricir -0.220954, prec@10 0.659259, prec@30 0.596159 
Epoch 44, train_loss 0.001719, train_ic 0.005504, train_icir 0.062886, train_ric 0.014163, train_ricir 0.105402, valid_loss 0.0015707794 , valid_ic -0.004786, valid_icir -0.086335, valid_ric -0.000810, valid_ricir -0.008073, test_loss 0.003594, ic -0.010631, icir -0.141055, ric -0.004182, ricir -0.028865, prec@10 0.468313, prec@30 0.482030 
