Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- Transformer ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2023,
        "test_year": 2024,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "d_model": 64,
        "num_layers": 2,
        "nhead": 2,
        "dropout": 0.1
    }
}
Epoch 22, train_loss 0.002749, train_ic 0.001559, train_icir 0.019078, train_ric -0.008889, train_ricir -0.079767, train_mae 0.084639, train_rmse 0.089499, train_mape 1712.186401, train_acc 0.532423, valid_loss 0.0110354572, valid_ic 0.013469, valid_icir 0.218396, valid_ric -0.002933, valid_ricir -0.027300, valid_mae 0.078782, valid_rmse 0.089168, valid_mape 1443.276245, valid_acc 0.798977, test_loss 0.011975, ic 0.001873, icir 0.023424, ric -0.009955, ricir -0.075075, prec@10 0.493388, prec@30 0.488154, test_mae 0.118660, test_rmse 0.126760, test_mape 831.563477, test_acc 0.135875
Epoch 23, train_loss 0.002617, train_ic -0.000459, train_icir -0.005319, train_ric -0.011546, train_ricir -0.096863, train_mae 0.124140, train_rmse 0.134103, train_mape 1268.680908, train_acc 0.874741, valid_loss 0.0256500465, valid_ic 0.010211, valid_icir 0.146328, valid_ric -0.010621, valid_ricir -0.086998, valid_mae 0.136821, valid_rmse 0.143668, valid_mape 2393.192627, valid_acc 0.803895, test_loss 0.025418, ic -0.001998, icir -0.022814, ric -0.018148, ricir -0.123777, prec@10 0.459917, prec@30 0.469972, test_mae 0.176447, test_rmse 0.183798, test_mape 1297.855469, test_acc 0.121799
Epoch 24, train_loss 0.002292, train_ic 0.001364, train_icir 0.016832, train_ric -0.013139, train_ricir -0.120614, train_mae 0.134902, train_rmse 0.144972, train_mape 39063.203125, train_acc 0.428088, valid_loss 0.0220080542, valid_ic 0.010892, valid_icir 0.175820, valid_ric -0.012580, valid_ricir -0.116143, valid_mae 0.126145, valid_rmse 0.132486, valid_mape 2223.778076, valid_acc 0.803895, test_loss 0.022151, ic -0.000347, icir -0.004270, ric -0.017493, ricir -0.129511, prec@10 0.464876, prec@30 0.460468, test_mae 0.165761, test_rmse 0.172240, test_mape 1210.221924, test_acc 0.120235
Epoch 25, train_loss 0.002315, train_ic 0.002035, train_icir 0.029444, train_ric -0.003141, train_ricir -0.041849, train_mae 0.110659, train_rmse 0.120196, train_mape 1451.611328, train_acc 0.889159, valid_loss 0.0187056593, valid_ic 0.018960, valid_icir 0.385683, valid_ric 0.018059, valid_ricir 0.272586, valid_mae 0.114926, valid_rmse 0.121897, valid_mape 1983.960938, valid_acc 0.804288, test_loss 0.019532, ic 0.005570, icir 0.082099, ric 0.001303, ricir 0.014924, prec@10 0.440909, prec@30 0.454270, test_mae 0.153935, test_rmse 0.160529, test_mape 1097.227295, test_acc 0.125318
Epoch 26, train_loss 0.002274, train_ic -0.000707, train_icir -0.007158, train_ric -0.017006, train_ricir -0.117326, train_mae 0.101544, train_rmse 0.110483, train_mape 1600.557739, train_acc 0.440846, valid_loss 0.0131017250, valid_ic 0.000620, valid_icir 0.009192, valid_ric -0.030685, valid_ricir -0.207602, valid_mae 0.090036, valid_rmse 0.096583, valid_mape 1660.149048, valid_acc 0.805271, test_loss 0.012896, ic -0.003309, icir -0.038119, ric -0.028910, ricir -0.160751, prec@10 0.457851, prec@30 0.465840, test_mae 0.131922, test_rmse 0.139065, test_mape 949.638062, test_acc 0.115347
Epoch 27, train_loss 0.002297, train_ic 0.001287, train_icir 0.016136, train_ric -0.018141, train_ricir -0.154832, train_mae 0.123377, train_rmse 0.127156, train_mape 1918.809326, train_acc 0.293079, valid_loss 0.0155631906, valid_ic 0.008887, valid_icir 0.166600, valid_ric -0.021777, valid_ricir -0.191542, valid_mae 0.102971, valid_rmse 0.108198, valid_mape 1842.163330, valid_acc 0.805271, test_loss 0.015564, ic -0.001092, icir -0.015238, ric -0.025881, ricir -0.180223, prec@10 0.453719, prec@30 0.456474, test_mae 0.141749, test_rmse 0.147310, test_mape 1024.545166, test_acc 0.117107
Epoch 28, train_loss 0.002215, train_ic 0.004567, train_icir 0.070517, train_ric -0.001546, train_ricir -0.020484, train_mae 0.122703, train_rmse 0.125776, train_mape 950.055298, train_acc 0.083047, valid_loss 0.0110822960, valid_ic 0.018070, valid_icir 0.395159, valid_ric 0.017408, valid_ricir 0.274894, valid_mae 0.083584, valid_rmse 0.089948, valid_mape 1492.402344, valid_acc 0.803108, test_loss 0.011786, ic 0.005552, icir 0.089502, ric 0.001845, ricir 0.021623, prec@10 0.485124, prec@30 0.486915, test_mae 0.122860, test_rmse 0.128880, test_mape 857.814514, test_acc 0.125513
Epoch 29, train_loss 0.002813, train_ic 0.000105, train_icir 0.001284, train_ric -0.014460, train_ricir -0.127583, train_mae 0.095005, train_rmse 0.101346, train_mape 1059.990234, train_acc 0.280374, valid_loss 0.0088839476, valid_ic 0.012252, valid_icir 0.197533, valid_ric -0.014180, valid_ricir -0.126197, valid_mae 0.069565, valid_rmse 0.078372, valid_mape 1302.946655, valid_acc 0.797600, test_loss 0.009266, ic -0.000462, icir -0.005678, ric -0.021738, ricir -0.150425, prec@10 0.489256, prec@30 0.478237, test_mae 0.105987, test_rmse 0.114178, test_mape 746.061279, test_acc 0.140567
Epoch 30, train_loss 0.002562, train_ic 0.001405, train_icir 0.015073, train_ric -0.013248, train_ricir -0.105831, train_mae 0.127155, train_rmse 0.130717, train_mape 3055.128174, train_acc 0.658470, valid_loss 0.0191953404, valid_ic 0.011691, valid_icir 0.165310, valid_ric -0.012339, valid_ricir -0.101734, valid_mae 0.116065, valid_rmse 0.122463, valid_mape 2005.779785, valid_acc 0.804091, test_loss 0.019548, ic -0.001154, icir -0.012328, ric -0.021866, ricir -0.141648, prec@10 0.503306, prec@30 0.500138, test_mae 0.155780, test_rmse 0.162699, test_mape 1124.824951, test_acc 0.120039
Epoch 31, train_loss 0.002644, train_ic 0.001993, train_icir 0.025793, train_ric -0.013627, train_ricir -0.133115, train_mae 0.112745, train_rmse 0.122073, train_mape 933.845154, train_acc 0.200668, valid_loss 0.0126454687, valid_ic 0.015028, valid_icir 0.244259, valid_ric -0.007314, valid_ricir -0.073193, valid_mae 0.088146, valid_rmse 0.097385, valid_mape 1588.173340, valid_acc 0.796814, test_loss 0.013314, ic -0.000124, icir -0.001525, ric -0.020589, ricir -0.157736, prec@10 0.457438, prec@30 0.457851, test_mae 0.124057, test_rmse 0.132573, test_mape 882.808105, test_acc 0.144086
Epoch 32, train_loss 0.002511, train_ic 0.002426, train_icir 0.042785, train_ric -0.008578, train_ricir -0.126508, train_mae 0.084664, train_rmse 0.087637, train_mape 1563.959473, train_acc 0.707438, valid_loss 0.0102171706, valid_ic 0.013640, valid_icir 0.335247, valid_ric 0.006867, valid_ricir 0.117176, valid_mae 0.079216, valid_rmse 0.085385, valid_mape 1447.803467, valid_acc 0.803895, test_loss 0.010774, ic 0.004245, icir 0.074936, ric -0.003539, ricir -0.044523, prec@10 0.464463, prec@30 0.472452, test_mae 0.116873, test_rmse 0.122312, test_mape 818.891357, test_acc 0.120626
Epoch 33, train_loss 0.002361, train_ic 0.002303, train_icir 0.034375, train_ric -0.007585, train_ricir -0.087991, train_mae 0.043176, train_rmse 0.046096, train_mape 937.648132, train_acc 0.683172, valid_loss 0.0040805216, valid_ic 0.010866, valid_icir 0.279385, valid_ric -0.000111, valid_ricir -0.001745, valid_mae 0.039939, valid_rmse 0.048018, valid_mape 805.103699, valid_acc 0.803698, test_loss 0.004698, ic 0.004244, icir 0.072448, ric -0.005162, ricir -0.050087, prec@10 0.469421, prec@30 0.469008, test_mae 0.078519, test_rmse 0.084992, test_mape 508.586182, test_acc 0.120821
Epoch 34, train_loss 0.002304, train_ic 0.004592, train_icir 0.077004, train_ric 0.005515, train_ricir 0.061368, train_mae 0.120698, train_rmse 0.125149, train_mape 848.904419, train_acc 0.150198, valid_loss 0.0111626660, valid_ic 0.010447, valid_icir 0.266187, valid_ric 0.008244, valid_ricir 0.093340, valid_mae 0.085604, valid_rmse 0.089802, valid_mape 1545.677368, valid_acc 0.803501, test_loss 0.011792, ic 0.006220, icir 0.120233, ric 0.013771, ricir 0.127151, prec@10 0.461983, prec@30 0.465289, test_mae 0.124773, test_rmse 0.128832, test_mape 874.589050, test_acc 0.119062
Epoch 35, train_loss 0.002392, train_ic 0.003450, train_icir 0.048243, train_ric 0.007037, train_ricir 0.077325, train_mae 0.060132, train_rmse 0.067364, train_mape 554.640686, train_acc 0.269950, valid_loss 0.0038449224, valid_ic 0.016997, valid_icir 0.359390, valid_ric 0.027984, valid_ricir 0.337516, valid_mae 0.038821, valid_rmse 0.048311, valid_mape 782.709290, valid_acc 0.801141, test_loss 0.004465, ic 0.007748, icir 0.148754, ric 0.017526, ricir 0.195259, prec@10 0.516529, prec@30 0.507989, test_mae 0.072335, test_rmse 0.079216, test_mape 464.515411, test_acc 0.130987
Epoch 36, train_loss 0.002163, train_ic -0.001766, train_icir -0.016242, train_ric -0.014787, train_ricir -0.099091, train_mae 0.117597, train_rmse 0.123612, train_mape 1111.795898, train_acc 0.111663, valid_loss 0.0161718423, valid_ic -0.009171, valid_icir -0.102826, valid_ric -0.030311, valid_ricir -0.200852, valid_mae 0.097323, valid_rmse 0.107895, valid_mape 1807.980591, valid_acc 0.804878, test_loss 0.015160, ic -0.009282, icir -0.083749, ric -0.027759, ricir -0.152250, prec@10 0.462397, prec@30 0.460606, test_mae 0.140057, test_rmse 0.151269, test_mape 1025.167480, test_acc 0.113392
Epoch 37, train_loss 0.002121, train_ic 0.000719, train_icir 0.008163, train_ric -0.014949, train_ricir -0.110663, train_mae 0.093308, train_rmse 0.095472, train_mape 1599.239014, train_acc 0.240109, valid_loss 0.0091797969, valid_ic 0.004671, valid_icir 0.076954, valid_ric -0.024286, valid_ricir -0.179158, valid_mae 0.072885, valid_rmse 0.078260, valid_mape 1373.529663, valid_acc 0.805665, test_loss 0.009397, ic -0.000941, icir -0.011718, ric -0.024609, ricir -0.148513, prec@10 0.462397, prec@30 0.466116, test_mae 0.112944, test_rmse 0.118722, test_mape 789.533020, test_acc 0.115152
Epoch 38, train_loss 0.002063, train_ic 0.004266, train_icir 0.069357, train_ric 0.010728, train_ricir 0.130321, train_mae 0.038585, train_rmse 0.042775, train_mape 196.866257, train_acc 0.890741, valid_loss 0.0055991440, valid_ic 0.010749, valid_icir 0.379457, valid_ric 0.020495, valid_ricir 0.386694, valid_mae 0.053798, valid_rmse 0.058920, valid_mape 1028.706665, valid_acc 0.803895, test_loss 0.006169, ic 0.006951, icir 0.136247, ric 0.014700, ricir 0.150089, prec@10 0.471074, prec@30 0.476584, test_mae 0.093842, test_rmse 0.098486, test_mape 627.207153, test_acc 0.116520
