Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- Transformer ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2020,
        "test_year": 2021,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "d_model": 64,
        "num_layers": 2,
        "nhead": 2,
        "dropout": 0.1
    }
}
Epoch 25, train_loss 0.002904, train_ic 0.002319, train_icir 0.032759, train_ric -0.003266, train_ricir -0.045228, train_mae 0.045849, train_rmse 0.053093, train_mape 820.471558, train_acc 0.275166, valid_loss 0.0053413925, valid_ic -0.001656, valid_icir -0.026274, valid_ric -0.004400, valid_ricir -0.067921, valid_mae 0.042400, valid_rmse 0.078010, valid_mape 595.774292, valid_acc 0.658376, test_loss 0.007554, ic 0.003417, icir 0.036398, ric 0.002148, ricir 0.027294, prec@10 0.479835, prec@30 0.468999, test_mae 0.047304, test_rmse 0.083968, test_mape 1023.859680, test_acc 0.562801
Epoch 26, train_loss 0.002737, train_ic 0.001909, train_icir 0.027284, train_ric 0.001333, train_ricir 0.018247, train_mae 0.060661, train_rmse 0.071158, train_mape 305.986298, train_acc 0.314715, valid_loss 0.0050194966, valid_ic -0.000807, valid_icir -0.014147, valid_ric -0.001592, valid_ricir -0.025906, valid_mae 0.040444, valid_rmse 0.075897, valid_mape 553.902893, valid_acc 0.645452, test_loss 0.007140, ic 0.003091, icir 0.035545, ric 0.004511, ricir 0.061243, prec@10 0.476132, prec@30 0.469547, test_mae 0.044047, test_rmse 0.081359, test_mape 925.422546, test_acc 0.543326
Epoch 27, train_loss 0.002637, train_ic -0.000710, train_icir -0.009035, train_ric -0.010334, train_ricir -0.115026, train_mae 0.049113, train_rmse 0.061164, train_mape 89.282570, train_acc 0.605511, valid_loss 0.0091395936, valid_ic 0.007348, valid_icir 0.130893, valid_ric -0.001059, valid_ricir -0.010927, valid_mae 0.066730, valid_rmse 0.091462, valid_mape 1148.294678, valid_acc 0.744453, test_loss 0.011433, ic 0.001589, icir 0.029444, ric -0.012475, ricir -0.164423, prec@10 0.482716, prec@30 0.487929, test_mae 0.078781, test_rmse 0.103253, test_mape 1900.098267, test_acc 0.579869
Epoch 28, train_loss 0.003563, train_ic -0.004304, train_icir -0.065521, train_ric -0.004626, train_ricir -0.063301, train_mae 0.031452, train_rmse 0.038075, train_mape 780.926453, train_acc 0.497743, valid_loss 0.0044049951, valid_ic 0.002621, valid_icir 0.062722, valid_ric 0.003602, valid_ricir 0.050465, valid_mae 0.032016, valid_rmse 0.069902, valid_mape 480.772766, valid_acc 0.722263, test_loss 0.006542, ic 0.001417, icir 0.022603, ric -0.003337, ricir -0.061267, prec@10 0.505350, prec@30 0.502469, test_mae 0.039324, test_rmse 0.077552, test_mape 864.883301, test_acc 0.572867
Epoch 29, train_loss 0.002779, train_ic 0.000970, train_icir 0.013959, train_ric -0.000337, train_ricir -0.004767, train_mae 0.029144, train_rmse 0.037177, train_mape 761.432617, train_acc 0.603195, valid_loss 0.0046571667, valid_ic -0.004792, valid_icir -0.076193, valid_ric -0.002057, valid_ricir -0.033459, valid_mae 0.040342, valid_rmse 0.076481, valid_mape 540.785767, valid_acc 0.567666, test_loss 0.006946, ic 0.002148, icir 0.022333, ric 0.003326, ricir 0.047024, prec@10 0.452675, prec@30 0.462689, test_mae 0.044413, test_rmse 0.082437, test_mape 942.033752, test_acc 0.512473
Epoch 30, train_loss 0.002716, train_ic 0.002343, train_icir 0.035686, train_ric -0.002538, train_ricir -0.035322, train_mae 0.042301, train_rmse 0.067674, train_mape 778.045166, train_acc 0.423761, valid_loss 0.0060788630, valid_ic 0.006251, valid_icir 0.117007, valid_ric -0.002721, valid_ricir -0.043515, valid_mae 0.041915, valid_rmse 0.079461, valid_mape 572.452881, valid_acc 0.649842, test_loss 0.007528, ic 0.003800, icir 0.054325, ric 0.000221, ricir 0.003550, prec@10 0.474897, prec@30 0.472565, test_mae 0.044295, test_rmse 0.080024, test_mape 932.736572, test_acc 0.549672
Epoch 31, train_loss 0.002856, train_ic 0.002991, train_icir 0.046198, train_ric 0.006424, train_ricir 0.092086, train_mae 0.062676, train_rmse 0.066484, train_mape 827.918884, train_acc 0.246468, valid_loss 0.0055505896, valid_ic -0.008529, valid_icir -0.151518, valid_ric -0.001937, valid_ricir -0.023724, valid_mae 0.046529, valid_rmse 0.074574, valid_mape 766.483398, valid_acc 0.749817, test_loss 0.007558, ic 0.003361, icir 0.039540, ric 0.013710, ricir 0.140063, prec@10 0.484774, prec@30 0.488477, test_mae 0.053032, test_rmse 0.082253, test_mape 1210.303223, test_acc 0.591028
Epoch 32, train_loss 0.002788, train_ic -0.011225, train_icir -0.170997, train_ric -0.010117, train_ricir -0.143437, train_mae 0.040174, train_rmse 0.050394, train_mape 111.789932, train_acc 0.554763, valid_loss 0.0076481721, valid_ic 0.007245, valid_icir 0.143022, valid_ric -0.000909, valid_ricir -0.014638, valid_mae 0.041014, valid_rmse 0.086679, valid_mape 492.403168, valid_acc 0.520361, test_loss 0.008282, ic 0.000003, icir 0.000054, ric -0.005631, ricir -0.112821, prec@10 0.488066, prec@30 0.478875, test_mae 0.038742, test_rmse 0.080587, test_mape 683.380371, test_acc 0.488840
Epoch 33, train_loss 0.002534, train_ic 0.002174, train_icir 0.032225, train_ric 0.000257, train_ricir 0.003593, train_mae 0.032925, train_rmse 0.043012, train_mape 83.630737, train_acc 0.729374, valid_loss 0.0041513877, valid_ic 0.001435, valid_icir 0.026563, valid_ric -0.001168, valid_ricir -0.019096, valid_mae 0.036008, valid_rmse 0.070840, valid_mape 475.288757, valid_acc 0.609607, test_loss 0.006015, ic 0.003167, icir 0.040269, ric 0.003470, ricir 0.051985, prec@10 0.484362, prec@30 0.466529, test_mae 0.038028, test_rmse 0.074521, test_mape 757.115845, test_acc 0.534136
Epoch 34, train_loss 0.002509, train_ic 0.002481, train_icir 0.037044, train_ric 0.005045, train_ricir 0.071473, train_mae 0.058617, train_rmse 0.066030, train_mape 913.978271, train_acc 0.423931, valid_loss 0.0055817088, valid_ic -0.009059, valid_icir -0.149141, valid_ric -0.001094, valid_ricir -0.016702, valid_mae 0.047908, valid_rmse 0.074920, valid_mape 780.898376, valid_acc 0.731773, test_loss 0.007514, ic 0.002325, icir 0.024699, ric 0.009270, ricir 0.107398, prec@10 0.485597, prec@30 0.487380, test_mae 0.054502, test_rmse 0.082512, test_mape 1247.674805, test_acc 0.587090
