Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- Transformer ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2020,
        "test_year": 2021,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "d_model": 64,
        "num_layers": 2,
        "nhead": 2,
        "dropout": 0.1
    }
}
Epoch 79, train_loss 0.002029, train_ic 0.004361, train_icir 0.070239, train_ric 0.002045, train_ricir 0.029213, train_mae 0.059304, train_rmse 0.068514, train_mape 99.083122, train_acc 0.521739, valid_loss 0.0050642796, valid_ic 0.010305, valid_icir 0.230845, valid_ric 0.000338, valid_ricir 0.007655, valid_mae 0.036353, valid_rmse 0.072648, valid_mape 425.114105, valid_acc 0.465009, test_loss 0.005735, ic 0.004401, icir 0.088711, ric 0.004074, ricir 0.083576, prec@10 0.493416, prec@30 0.483128, test_mae 0.033054, test_rmse 0.067107, test_mape 588.866272, test_acc 0.474398
Epoch 80, train_loss 0.001990, train_ic 0.003586, train_icir 0.054963, train_ric 0.001574, train_ricir 0.021986, train_mae 0.021224, train_rmse 0.029105, train_mape 446.672974, train_acc 0.455714, valid_loss 0.0035355506, valid_ic 0.006408, valid_icir 0.145600, valid_ric -0.000217, valid_ricir -0.004590, valid_mae 0.035692, valid_rmse 0.066214, valid_mape 404.444458, valid_acc 0.437942, test_loss 0.004745, ic 0.003721, icir 0.063706, ric 0.003849, ricir 0.071295, prec@10 0.494650, prec@30 0.492044, test_mae 0.031966, test_rmse 0.065177, test_mape 575.768860, test_acc 0.455361
Epoch 81, train_loss 0.001838, train_ic 0.003709, train_icir 0.061345, train_ric 0.001482, train_ricir 0.020944, train_mae 0.019756, train_rmse 0.029808, train_mape 393.870605, train_acc 0.478231, valid_loss 0.0060062813, valid_ic 0.012116, valid_icir 0.241610, valid_ric -0.000868, valid_ricir -0.017183, valid_mae 0.039093, valid_rmse 0.079951, valid_mape 420.653595, valid_acc 0.446233, test_loss 0.006413, ic 0.003854, icir 0.078916, ric 0.003967, ricir 0.064698, prec@10 0.508230, prec@30 0.484499, test_mae 0.033383, test_rmse 0.070522, test_mape 552.302856, test_acc 0.460613
Epoch 82, train_loss 0.002012, train_ic 0.003050, train_icir 0.048402, train_ric 0.008616, train_ricir 0.117125, train_mae 0.018804, train_rmse 0.024468, train_mape 377.247375, train_acc 0.550929, valid_loss 0.0028546438, valid_ic 0.001387, valid_icir 0.039417, valid_ric 0.004333, valid_ricir 0.097335, valid_mae 0.028366, valid_rmse 0.058991, valid_mape 332.044678, valid_acc 0.559132, test_loss 0.004321, ic 0.002680, icir 0.046907, ric 0.008742, ricir 0.171852, prec@10 0.488477, prec@30 0.483128, test_mae 0.028586, test_rmse 0.062093, test_mape 503.098785, test_acc 0.504376
Epoch 83, train_loss 0.002056, train_ic 0.006469, train_icir 0.062557, train_ric 0.009878, train_ricir 0.082019, train_mae 0.023168, train_rmse 0.038654, train_mape 290.941803, train_acc 0.496762, valid_loss 0.0031972925, valid_ic -0.005010, valid_icir -0.065406, valid_ric -0.004152, valid_ricir -0.031666, valid_mae 0.037754, valid_rmse 0.066019, valid_mape 458.658325, valid_acc 0.420873, test_loss 0.004619, ic 0.005841, icir 0.062204, ric 0.015842, ricir 0.111853, prec@10 0.511523, prec@30 0.519479, test_mae 0.035076, test_rmse 0.066356, test_mape 717.111572, test_acc 0.484026
Epoch 84, train_loss 0.002093, train_ic -0.004031, train_icir -0.071781, train_ric -0.004581, train_ricir -0.067272, train_mae 0.033546, train_rmse 0.045072, train_mape 24353.023438, train_acc 0.692919, valid_loss 0.0042492463, valid_ic 0.004205, valid_icir 0.109859, valid_ric -0.002461, valid_ricir -0.062160, valid_mae 0.033204, valid_rmse 0.064596, valid_mape 440.332703, valid_acc 0.688613, test_loss 0.005421, ic 0.001033, icir 0.020003, ric -0.000802, ricir -0.017299, prec@10 0.483951, prec@30 0.481481, test_mae 0.035584, test_rmse 0.067579, test_mape 691.874634, test_acc 0.554705
Epoch 85, train_loss 0.002369, train_ic -0.010774, train_icir -0.193006, train_ric -0.005200, train_ricir -0.080912, train_mae 0.023433, train_rmse 0.030594, train_mape 346.977081, train_acc 0.659786, valid_loss 0.0034833413, valid_ic -0.004206, valid_icir -0.132732, valid_ric -0.005569, valid_ricir -0.165149, valid_mae 0.030913, valid_rmse 0.061624, valid_mape 405.795868, valid_acc 0.609607, test_loss 0.005053, ic -0.001405, icir -0.033370, ric -0.001176, ricir -0.036517, prec@10 0.479424, prec@30 0.485460, test_mae 0.034178, test_rmse 0.067794, test_mape 669.538818, test_acc 0.533917
Epoch 86, train_loss 0.002470, train_ic -0.006152, train_icir -0.098098, train_ric -0.004992, train_ricir -0.075432, train_mae 0.028267, train_rmse 0.035709, train_mape 473.089783, train_acc 0.380826, valid_loss 0.0071372270, valid_ic 0.005066, valid_icir 0.110552, valid_ric -0.008590, valid_ricir -0.192694, valid_mae 0.037965, valid_rmse 0.078144, valid_mape 478.644043, valid_acc 0.602536, test_loss 0.007145, ic 0.002070, icir 0.035259, ric 0.000965, ricir 0.016229, prec@10 0.486420, prec@30 0.490123, test_mae 0.036647, test_rmse 0.070917, test_mape 686.805908, test_acc 0.530197
Epoch 87, train_loss 0.002141, train_ic -0.009397, train_icir -0.124096, train_ric -0.006069, train_ricir -0.085353, train_mae 0.027642, train_rmse 0.042628, train_mape 331.018890, train_acc 0.497664, valid_loss 0.0046288697, valid_ic 0.001464, valid_icir 0.027715, valid_ric -0.004863, valid_ricir -0.103758, valid_mae 0.036013, valid_rmse 0.071010, valid_mape 385.974823, valid_acc 0.461839, test_loss 0.005680, ic 0.001088, icir 0.015042, ric 0.000437, ricir 0.008050, prec@10 0.491358, prec@30 0.492455, test_mae 0.032684, test_rmse 0.068197, test_mape 570.462097, test_acc 0.473961
Epoch 88, train_loss 0.002237, train_ic -0.017275, train_icir -0.226626, train_ric -0.014206, train_ricir -0.185247, train_mae 0.023826, train_rmse 0.034918, train_mape 589.742188, train_acc 0.380528, valid_loss 0.0068055927, valid_ic 0.004585, valid_icir 0.085508, valid_ric -0.010721, valid_ricir -0.195724, valid_mae 0.046090, valid_rmse 0.084313, valid_mape 515.714905, valid_acc 0.381614, test_loss 0.007310, ic -0.001512, icir -0.027129, ric -0.009249, ricir -0.183926, prec@10 0.494239, prec@30 0.490672, test_mae 0.040802, test_rmse 0.076907, test_mape 705.491943, test_acc 0.442232
Epoch 89, train_loss 0.002287, train_ic -0.001329, train_icir -0.018585, train_ric -0.000619, train_ricir -0.008241, train_mae 0.032073, train_rmse 0.043672, train_mape 254.529816, train_acc 0.464672, valid_loss 0.0047934861, valid_ic 0.005606, valid_icir 0.119185, valid_ric -0.005362, valid_ricir -0.118782, valid_mae 0.036285, valid_rmse 0.071492, valid_mape 429.139862, valid_acc 0.481834, test_loss 0.005598, ic 0.002232, icir 0.041801, ric 0.002049, ricir 0.042292, prec@10 0.475309, prec@30 0.483128, test_mae 0.033153, test_rmse 0.067323, test_mape 584.751587, test_acc 0.480088
Epoch 90, train_loss 0.002200, train_ic -0.005757, train_icir -0.071733, train_ric -0.015669, train_ricir -0.196067, train_mae 0.029766, train_rmse 0.044574, train_mape 4806.425293, train_acc 0.415559, valid_loss 0.0057049827, valid_ic 0.010475, valid_icir 0.163061, valid_ric -0.004761, valid_ricir -0.056547, valid_mae 0.035886, valid_rmse 0.073765, valid_mape 457.283691, valid_acc 0.575226, test_loss 0.006500, ic 0.000184, icir 0.004484, ric -0.015414, ricir -0.217535, prec@10 0.494239, prec@30 0.490123, test_mae 0.035671, test_rmse 0.071066, test_mape 645.804565, test_acc 0.509628
Epoch 91, train_loss 0.002280, train_ic -0.003035, train_icir -0.041407, train_ric -0.003570, train_ricir -0.046417, train_mae 0.025139, train_rmse 0.033446, train_mape 5048.506348, train_acc 0.428183, valid_loss 0.0065949246, valid_ic 0.006705, valid_icir 0.127966, valid_ric -0.007127, valid_ricir -0.131918, valid_mae 0.046435, valid_rmse 0.084593, valid_mape 539.270142, valid_acc 0.427457, test_loss 0.007027, ic 0.003265, icir 0.054314, ric 0.001898, ricir 0.029894, prec@10 0.486420, prec@30 0.482853, test_mae 0.041834, test_rmse 0.076191, test_mape 784.427551, test_acc 0.451641
Epoch 92, train_loss 0.002249, train_ic -0.008059, train_icir -0.148294, train_ric 0.000407, train_ricir 0.007105, train_mae 0.032111, train_rmse 0.037438, train_mape 410.906891, train_acc 0.325129, valid_loss 0.0035185363, valid_ic -0.001089, valid_icir -0.033472, valid_ric -0.000109, valid_ricir -0.003250, valid_mae 0.030591, valid_rmse 0.061293, valid_mape 417.277893, valid_acc 0.605950, test_loss 0.004930, ic 0.000770, icir 0.019069, ric 0.003017, ricir 0.108564, prec@10 0.504527, prec@30 0.499726, test_mae 0.033068, test_rmse 0.065476, test_mape 669.749023, test_acc 0.536980
Epoch 93, train_loss 0.002107, train_ic -0.000826, train_icir -0.010732, train_ric -0.003253, train_ricir -0.037294, train_mae 0.034982, train_rmse 0.039506, train_mape 757.348694, train_acc 0.630659, valid_loss 0.0037615929, valid_ic -0.011296, valid_icir -0.192582, valid_ric -0.015109, valid_ricir -0.172132, valid_mae 0.036034, valid_rmse 0.062533, valid_mape 508.942474, valid_acc 0.627408, test_loss 0.005147, ic 0.001836, icir 0.021622, ric 0.003761, ricir 0.035288, prec@10 0.477778, prec@30 0.483265, test_mae 0.037815, test_rmse 0.067547, test_mape 740.405212, test_acc 0.550109
Epoch 94, train_loss 0.002271, train_ic -0.005276, train_icir -0.099462, train_ric -0.004892, train_ricir -0.085628, train_mae 0.036552, train_rmse 0.044332, train_mape 901.386719, train_acc 0.412312, valid_loss 0.0046988118, valid_ic 0.003359, valid_icir 0.093013, valid_ric -0.004211, valid_ricir -0.127117, valid_mae 0.036556, valid_rmse 0.066699, valid_mape 541.708191, valid_acc 0.729090, test_loss 0.006070, ic 0.000715, icir 0.019432, ric -0.002492, ricir -0.088983, prec@10 0.473663, prec@30 0.490535, test_mae 0.042123, test_rmse 0.072025, test_mape 900.218323, test_acc 0.573742
Epoch 95, train_loss 0.002249, train_ic -0.007777, train_icir -0.110661, train_ric -0.005591, train_ricir -0.077183, train_mae 0.058677, train_rmse 0.068508, train_mape 105.433182, train_acc 0.550485, valid_loss 0.0046124481, valid_ic 0.006360, valid_icir 0.124531, valid_ric -0.004362, valid_ricir -0.074906, valid_mae 0.038983, valid_rmse 0.072878, valid_mape 431.449066, valid_acc 0.418678, test_loss 0.005493, ic 0.000767, icir 0.017954, ric -0.004341, ricir -0.101983, prec@10 0.504527, prec@30 0.503155, test_mae 0.033437, test_rmse 0.067703, test_mape 573.021667, test_acc 0.453173
Epoch 96, train_loss 0.002098, train_ic -0.001283, train_icir -0.018467, train_ric -0.006765, train_ricir -0.093361, train_mae 0.023691, train_rmse 0.033328, train_mape 429.552795, train_acc 0.427187, valid_loss 0.0040625942, valid_ic 0.004525, valid_icir 0.093641, valid_ric -0.008446, valid_ricir -0.188877, valid_mae 0.035286, valid_rmse 0.068404, valid_mape 405.452240, valid_acc 0.462326, test_loss 0.005088, ic 0.002242, icir 0.042403, ric -0.004434, ricir -0.094191, prec@10 0.499177, prec@30 0.500274, test_mae 0.033004, test_rmse 0.066165, test_mape 597.228943, test_acc 0.472867
Epoch 97, train_loss 0.002209, train_ic -0.001286, train_icir -0.016996, train_ric 0.002059, train_ricir 0.025533, train_mae 0.032728, train_rmse 0.047761, train_mape 519.586426, train_acc 0.472353, valid_loss 0.0050192061, valid_ic -0.001920, valid_icir -0.032809, valid_ric -0.006816, valid_ricir -0.090274, valid_mae 0.049454, valid_rmse 0.080659, valid_mape 592.574036, valid_acc 0.363082, test_loss 0.006338, ic 0.003537, icir 0.039354, ric 0.007731, ricir 0.079228, prec@10 0.468724, prec@30 0.455281, test_mae 0.046284, test_rmse 0.078515, test_mape 965.385803, test_acc 0.447484
Epoch 98, train_loss 0.002170, train_ic -0.003251, train_icir -0.043339, train_ric -0.013058, train_ricir -0.173654, train_mae 0.038112, train_rmse 0.054187, train_mape 253.620605, train_acc 0.447529, valid_loss 0.0049046077, valid_ic 0.010226, valid_icir 0.159492, valid_ric -0.004061, valid_ricir -0.047575, valid_mae 0.040939, valid_rmse 0.074842, valid_mape 451.912354, valid_acc 0.427701, test_loss 0.005850, ic -0.000050, icir -0.001266, ric -0.014800, ricir -0.210770, prec@10 0.493827, prec@30 0.488889, test_mae 0.035525, test_rmse 0.070420, test_mape 596.012939, test_acc 0.454486
Epoch 99, train_loss 0.002019, train_ic 0.000876, train_icir 0.012971, train_ric 0.002287, train_ricir 0.033475, train_mae 0.025616, train_rmse 0.032815, train_mape 571.675659, train_acc 0.530380, valid_loss 0.0037207168, valid_ic 0.002479, valid_icir 0.056016, valid_ric -0.003649, valid_ricir -0.082949, valid_mae 0.032107, valid_rmse 0.062508, valid_mape 435.251801, valid_acc 0.671056, test_loss 0.004929, ic 0.002990, icir 0.046945, ric 0.004488, ricir 0.079876, prec@10 0.485185, prec@30 0.503567, test_mae 0.033557, test_rmse 0.064656, test_mape 641.534973, test_acc 0.554923
Epoch 100, train_loss 0.002062, train_ic -0.001288, train_icir -0.014647, train_ric 0.003139, train_ricir 0.032814, train_mae 0.033508, train_rmse 0.040895, train_mape 13034.898438, train_acc 0.390538, valid_loss 0.0032664549, valid_ic -0.015270, valid_icir -0.190317, valid_ric -0.009734, valid_ricir -0.092113, valid_mae 0.037151, valid_rmse 0.066163, valid_mape 459.028870, valid_acc 0.465984, test_loss 0.004905, ic 0.002810, icir 0.026095, ric 0.011064, ricir 0.088800, prec@10 0.508230, prec@30 0.505075, test_mae 0.037097, test_rmse 0.069490, test_mape 763.622498, test_acc 0.498468
Epoch 101, train_loss 0.001989, train_ic 0.001337, train_icir 0.020758, train_ric -0.001975, train_ricir -0.027446, train_mae 0.060573, train_rmse 0.070259, train_mape 139.339874, train_acc 0.453101, valid_loss 0.0063552352, valid_ic 0.006600, valid_icir 0.146507, valid_ric -0.006515, valid_ricir -0.120270, valid_mae 0.041985, valid_rmse 0.078752, valid_mape 490.512848, valid_acc 0.440868, test_loss 0.006535, ic 0.004105, icir 0.068536, ric 0.002749, ricir 0.038220, prec@10 0.516049, prec@30 0.506447, test_mae 0.038181, test_rmse 0.070301, test_mape 726.415771, test_acc 0.467615
Epoch 102, train_loss 0.002044, train_ic -0.002087, train_icir -0.033295, train_ric 0.004627, train_ricir 0.066462, train_mae 0.088253, train_rmse 0.095020, train_mape 110.966019, train_acc 0.252489, valid_loss 0.0034288598, valid_ic 0.002788, valid_icir 0.066625, valid_ric -0.001257, valid_ricir -0.025887, valid_mae 0.031975, valid_rmse 0.064103, valid_mape 359.656799, valid_acc 0.531578, test_loss 0.004643, ic 0.002036, icir 0.032485, ric 0.007446, ricir 0.111814, prec@10 0.502058, prec@30 0.490123, test_mae 0.030080, test_rmse 0.063837, test_mape 525.260559, test_acc 0.506565
Epoch 103, train_loss 0.001920, train_ic 0.000021, train_icir 0.000360, train_ric -0.001602, train_ricir -0.037011, train_mae 0.020818, train_rmse 0.030411, train_mape 517.413513, train_acc 0.609390, valid_loss 0.0055065450, valid_ic 0.012124, valid_icir 0.223488, valid_ric 0.002387, valid_ricir 0.047546, valid_mae 0.034901, valid_rmse 0.072347, valid_mape 475.409790, valid_acc 0.688125, test_loss 0.006530, ic 0.001681, icir 0.049854, ric -0.005938, ricir -0.139167, prec@10 0.490535, prec@30 0.487654, test_mae 0.036708, test_rmse 0.071397, test_mape 728.321411, test_acc 0.549672
Epoch 104, train_loss 0.002046, train_ic 0.002764, train_icir 0.048178, train_ric -0.000565, train_ricir -0.008639, train_mae 0.054594, train_rmse 0.064114, train_mape 170.683807, train_acc 0.258714, valid_loss 0.0041905618, valid_ic 0.008384, valid_icir 0.200456, valid_ric -0.000450, valid_ricir -0.011881, valid_mae 0.034675, valid_rmse 0.067714, valid_mape 403.794586, valid_acc 0.515728, test_loss 0.005153, ic 0.002945, icir 0.058381, ric 0.001730, ricir 0.037829, prec@10 0.511934, prec@30 0.495062, test_mae 0.032494, test_rmse 0.065431, test_mape 566.446777, test_acc 0.493873
Epoch 105, train_loss 0.001856, train_ic 0.002947, train_icir 0.059254, train_ric -0.001463, train_ricir -0.022685, train_mae 0.037406, train_rmse 0.052469, train_mape 682.994568, train_acc 0.394666, valid_loss 0.0041779131, valid_ic 0.007943, valid_icir 0.233494, valid_ric 0.000426, valid_ricir 0.012973, valid_mae 0.034790, valid_rmse 0.063892, valid_mape 511.236572, valid_acc 0.728603, test_loss 0.005556, ic 0.002526, icir 0.068166, ric -0.000954, ricir -0.032048, prec@10 0.471193, prec@30 0.485597, test_mae 0.039758, test_rmse 0.069194, test_mape 848.859863, test_acc 0.577462
Epoch 106, train_loss 0.002216, train_ic 0.002368, train_icir 0.040854, train_ric 0.007298, train_ricir 0.108375, train_mae 0.027818, train_rmse 0.034328, train_mape 319.833649, train_acc 0.355434, valid_loss 0.0038612911, valid_ic 0.008516, valid_icir 0.239252, valid_ric 0.005742, valid_ricir 0.184262, valid_mae 0.032776, valid_rmse 0.064750, valid_mape 399.777496, valid_acc 0.559132, test_loss 0.004945, ic 0.003275, icir 0.076423, ric 0.006868, ricir 0.213786, prec@10 0.479835, prec@30 0.476132, test_mae 0.031953, test_rmse 0.064169, test_mape 579.099854, test_acc 0.504158
Epoch 107, train_loss 0.001751, train_ic 0.000602, train_icir 0.008981, train_ric -0.004826, train_ricir -0.075160, train_mae 0.020562, train_rmse 0.033749, train_mape 2650.144287, train_acc 0.443901, valid_loss 0.0080360430, valid_ic 0.015255, valid_icir 0.240016, valid_ric 0.003804, valid_ricir 0.045371, valid_mae 0.043543, valid_rmse 0.088733, valid_mape 444.111359, valid_acc 0.428432, test_loss 0.007670, ic 0.002541, icir 0.060090, ric -0.007941, ricir -0.116273, prec@10 0.474897, prec@30 0.481893, test_mae 0.034759, test_rmse 0.073817, test_mape 514.018127, test_acc 0.444201
Epoch 108, train_loss 0.001864, train_ic 0.005016, train_icir 0.066373, train_ric 0.005338, train_ricir 0.060295, train_mae 0.032353, train_rmse 0.038957, train_mape 461.760040, train_acc 0.408877, valid_loss 0.0046157604, valid_ic 0.005480, valid_icir 0.119991, valid_ric -0.001914, valid_ricir -0.024180, valid_mae 0.034745, valid_rmse 0.067419, valid_mape 427.171906, valid_acc 0.549622, test_loss 0.005334, ic 0.004858, icir 0.072421, ric 0.009592, ricir 0.101052, prec@10 0.493827, prec@30 0.470508, test_mae 0.032716, test_rmse 0.064028, test_mape 615.160156, test_acc 0.523195
Epoch 109, train_loss 0.001873, train_ic 0.004307, train_icir 0.077308, train_ric -0.001990, train_ricir -0.028873, train_mae 0.045738, train_rmse 0.055068, train_mape 162.523224, train_acc 0.302439, valid_loss 0.0039783966, valid_ic 0.009419, valid_icir 0.234397, valid_ric -0.000167, valid_ricir -0.004281, valid_mae 0.032114, valid_rmse 0.064897, valid_mape 360.556122, valid_acc 0.508169, test_loss 0.004914, ic 0.003348, icir 0.075317, ric -0.000579, ricir -0.014778, prec@10 0.497119, prec@30 0.489575, test_mae 0.029627, test_rmse 0.063053, test_mape 504.427429, test_acc 0.496937
Epoch 110, train_loss 0.001921, train_ic 0.000223, train_icir 0.003665, train_ric 0.002366, train_ricir 0.032798, train_mae 0.025181, train_rmse 0.042508, train_mape 346.648254, train_acc 0.517610, valid_loss 0.0054822715, valid_ic 0.007853, valid_icir 0.182969, valid_ric -0.003078, valid_ricir -0.058490, valid_mae 0.038256, valid_rmse 0.074790, valid_mape 434.940582, valid_acc 0.421604, test_loss 0.005910, ic 0.003203, icir 0.059322, ric 0.005296, ricir 0.079825, prec@10 0.470782, prec@30 0.478052, test_mae 0.033699, test_rmse 0.067321, test_mape 592.135498, test_acc 0.461269
Epoch 111, train_loss 0.001966, train_ic 0.002821, train_icir 0.041150, train_ric -0.010360, train_ricir -0.173550, train_mae 0.027407, train_rmse 0.044362, train_mape 208.387619, train_acc 0.660724, valid_loss 0.0056168669, valid_ic 0.013730, valid_icir 0.220845, valid_ric -0.002613, valid_ricir -0.040607, valid_mae 0.036149, valid_rmse 0.073251, valid_mape 467.368500, valid_acc 0.610583, test_loss 0.006289, ic 0.001914, icir 0.048755, ric -0.013377, ricir -0.265393, prec@10 0.496708, prec@30 0.494239, test_mae 0.036094, test_rmse 0.069975, test_mape 651.069946, test_acc 0.526696
Epoch 112, train_loss 0.002016, train_ic -0.001795, train_icir -0.031300, train_ric -0.003000, train_ricir -0.050047, train_mae 0.030261, train_rmse 0.042818, train_mape 261.393982, train_acc 0.473760, valid_loss 0.0054897077, valid_ic 0.008546, valid_icir 0.177055, valid_ric -0.003910, valid_ricir -0.096649, valid_mae 0.046399, valid_rmse 0.078933, valid_mape 509.024994, valid_acc 0.305535, test_loss 0.006112, ic 0.002446, icir 0.052645, ric -0.001014, ricir -0.023808, prec@10 0.502469, prec@30 0.497394, test_mae 0.039513, test_rmse 0.071945, test_mape 720.276794, test_acc 0.408315
Epoch 113, train_loss 0.001859, train_ic -0.000710, train_icir -0.010302, train_ric 0.001482, train_ricir 0.021362, train_mae 0.028352, train_rmse 0.038407, train_mape 489.885315, train_acc 0.425000, valid_loss 0.0061670897, valid_ic 0.006185, valid_icir 0.131399, valid_ric -0.002070, valid_ricir -0.039799, valid_mae 0.049016, valid_rmse 0.081300, valid_mape 590.425781, valid_acc 0.376737, test_loss 0.006740, ic 0.003062, icir 0.046618, ric 0.005753, ricir 0.083170, prec@10 0.499588, prec@30 0.499451, test_mae 0.043240, test_rmse 0.075087, test_mape 813.622314, test_acc 0.435230
Epoch 114, train_loss 0.001952, train_ic 0.000528, train_icir 0.010165, train_ric -0.000566, train_ricir -0.010254, train_mae 0.030144, train_rmse 0.042721, train_mape 153.251953, train_acc 0.593098, valid_loss 0.0034558048, valid_ic 0.005968, valid_icir 0.152512, valid_ric 0.001057, valid_ricir 0.031829, valid_mae 0.031732, valid_rmse 0.062333, valid_mape 367.988037, valid_acc 0.535479, test_loss 0.004857, ic 0.001396, icir 0.042758, ric -0.000889, ricir -0.032887, prec@10 0.495473, prec@30 0.489026, test_mae 0.031401, test_rmse 0.064609, test_mape 561.524841, test_acc 0.498031
Epoch 115, train_loss 0.001813, train_ic -0.000124, train_icir -0.002661, train_ric -0.001573, train_ricir -0.031499, train_mae 0.026991, train_rmse 0.032786, train_mape 961.032593, train_acc 0.569564, valid_loss 0.0044714983, valid_ic 0.008981, valid_icir 0.220101, valid_ric 0.000200, valid_ricir 0.005927, valid_mae 0.032990, valid_rmse 0.065201, valid_mape 485.109039, valid_acc 0.733967, test_loss 0.005444, ic 0.002261, icir 0.055826, ric -0.003105, ricir -0.123577, prec@10 0.502469, prec@30 0.496571, test_mae 0.035978, test_rmse 0.065654, test_mape 738.523682, test_acc 0.575274
Epoch 116, train_loss 0.001895, train_ic 0.002505, train_icir 0.044680, train_ric 0.005332, train_ricir 0.081301, train_mae 0.028595, train_rmse 0.052065, train_mape 315.963409, train_acc 0.555375, valid_loss 0.0039434081, valid_ic 0.007241, valid_icir 0.186938, valid_ric 0.001183, valid_ricir 0.033888, valid_mae 0.035019, valid_rmse 0.066265, valid_mape 415.323303, valid_acc 0.487930, test_loss 0.004936, ic 0.003139, icir 0.064617, ric 0.005261, ricir 0.125389, prec@10 0.502881, prec@30 0.490535, test_mae 0.032142, test_rmse 0.064216, test_mape 569.074463, test_acc 0.485339
Epoch 117, train_loss 0.001967, train_ic 0.001658, train_icir 0.027290, train_ric 0.007047, train_ricir 0.085227, train_mae 0.042159, train_rmse 0.046936, train_mape 623.879211, train_acc 0.356121, valid_loss 0.0039366308, valid_ic -0.002672, valid_icir -0.104146, valid_ric 0.002874, valid_ricir 0.043154, valid_mae 0.036546, valid_rmse 0.063186, valid_mape 533.796204, valid_acc 0.661302, test_loss 0.005466, ic 0.001597, icir 0.043505, ric 0.007274, ricir 0.119823, prec@10 0.486420, prec@30 0.491221, test_mae 0.039289, test_rmse 0.068747, test_mape 807.322571, test_acc 0.564989
Epoch 118, train_loss 0.001833, train_ic 0.003488, train_icir 0.053951, train_ric 0.003658, train_ricir 0.049557, train_mae 0.027321, train_rmse 0.036586, train_mape 686.473572, train_acc 0.454065, valid_loss 0.0063783544, valid_ic 0.008532, valid_icir 0.192095, valid_ric -0.001518, valid_ricir -0.028473, valid_mae 0.049954, valid_rmse 0.083621, valid_mape 614.805237, valid_acc 0.378932, test_loss 0.006833, ic 0.003803, icir 0.066453, ric 0.005200, ricir 0.074691, prec@10 0.474074, prec@30 0.480384, test_mae 0.044270, test_rmse 0.075697, test_mape 866.067383, test_acc 0.440044
Epoch 119, train_loss 0.001860, train_ic 0.004637, train_icir 0.044456, train_ric 0.011001, train_ricir 0.102499, train_mae 0.031321, train_rmse 0.037991, train_mape 18244.123047, train_acc 0.448690, valid_loss 0.0034132233, valid_ic -0.014525, valid_icir -0.148289, valid_ric -0.004533, valid_ricir -0.036314, valid_mae 0.040793, valid_rmse 0.065555, valid_mape 570.509094, valid_acc 0.491831, test_loss 0.004883, ic 0.004272, icir 0.037312, ric 0.016827, ricir 0.120179, prec@10 0.478601, prec@30 0.479424, test_mae 0.040847, test_rmse 0.068428, test_mape 858.798706, test_acc 0.508534
Epoch 120, train_loss 0.001801, train_ic 0.003991, train_icir 0.088042, train_ric 0.005223, train_ricir 0.100569, train_mae 0.033226, train_rmse 0.053252, train_mape 474.784912, train_acc 0.349811, valid_loss 0.0038533174, valid_ic 0.008902, valid_icir 0.232744, valid_ric 0.004728, valid_ricir 0.140783, valid_mae 0.033003, valid_rmse 0.063304, valid_mape 422.703491, valid_acc 0.599122, test_loss 0.005138, ic 0.001908, icir 0.066950, ric -0.000621, ricir -0.021665, prec@10 0.506584, prec@30 0.497668, test_mae 0.034343, test_rmse 0.066175, test_mape 659.431152, test_acc 0.524508
Epoch 121, train_loss 0.001877, train_ic 0.005295, train_icir 0.106919, train_ric 0.003740, train_ricir 0.066167, train_mae 0.027852, train_rmse 0.036820, train_mape 337.927338, train_acc 0.259432, valid_loss 0.0047082127, valid_ic 0.011090, valid_icir 0.254189, valid_ric 0.001550, valid_ricir 0.049026, valid_mae 0.043756, valid_rmse 0.074436, valid_mape 476.943390, valid_acc 0.221166, test_loss 0.005486, ic 0.003586, icir 0.079625, ric 0.002185, ricir 0.064918, prec@10 0.500823, prec@30 0.497531, test_mae 0.035952, test_rmse 0.067920, test_mape 634.797852, test_acc 0.381838
Epoch 122, train_loss 0.001844, train_ic 0.002720, train_icir 0.046258, train_ric 0.004917, train_ricir 0.079006, train_mae 0.033858, train_rmse 0.045046, train_mape 424.019714, train_acc 0.405313, valid_loss 0.0074900124, valid_ic 0.013052, valid_icir 0.243616, valid_ric 0.002124, valid_ricir 0.048460, valid_mae 0.042177, valid_rmse 0.082951, valid_mape 510.895294, valid_acc 0.564253, test_loss 0.007323, ic 0.003576, icir 0.085178, ric 0.003221, ricir 0.084240, prec@10 0.482716, prec@30 0.492044, test_mae 0.037709, test_rmse 0.072038, test_mape 652.672363, test_acc 0.500656
