Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- Transformer ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2021,
        "test_year": 2022,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "d_model": 64,
        "num_layers": 2,
        "nhead": 2,
        "dropout": 0.1
    }
}
Epoch 31, train_loss 0.002795, train_ic 0.001415, train_icir 0.016465, train_ric 0.006076, train_ricir 0.070090, train_mae 0.045464, train_rmse 0.052436, train_mape 515.463074, train_acc 0.348862, valid_loss 0.0060470405, valid_ic 0.006079, valid_icir 0.057916, valid_ric 0.012939, valid_ricir 0.126195, valid_mae 0.047663, valid_rmse 0.073087, valid_mape 1048.207520, valid_acc 0.545295, test_loss 0.005115, ic 0.016549, icir 0.172526, ric 0.025086, ricir 0.212270, prec@10 0.503306, prec@30 0.499036, test_mae 0.040195, test_rmse 0.058934, test_mape 828.680603, test_acc 0.648781
Epoch 32, train_loss 0.002329, train_ic 0.002432, train_icir 0.032259, train_ric 0.002186, train_ricir 0.029557, train_mae 0.063163, train_rmse 0.070114, train_mape 504.563995, train_acc 0.242185, valid_loss 0.0073187215, valid_ic 0.005859, valid_icir 0.068368, valid_ric 0.007892, valid_ricir 0.097441, valid_mae 0.054416, valid_rmse 0.077023, valid_mape 1200.031616, valid_acc 0.545514, test_loss 0.006439, ic 0.014747, icir 0.178710, ric 0.016890, ricir 0.187511, prec@10 0.476860, prec@30 0.472865, test_mae 0.049857, test_rmse 0.066408, test_mape 1026.655273, test_acc 0.628507
Epoch 33, train_loss 0.002055, train_ic 0.002011, train_icir 0.023173, train_ric 0.007765, train_ricir 0.092515, train_mae 0.065802, train_rmse 0.069698, train_mape 1344.381104, train_acc 0.638685, valid_loss 0.0076370332, valid_ic 0.005603, valid_icir 0.054265, valid_ric 0.014813, valid_ricir 0.144927, valid_mae 0.061571, valid_rmse 0.080733, valid_mape 1348.570923, valid_acc 0.577024, test_loss 0.007117, ic 0.014794, icir 0.153923, ric 0.025751, ricir 0.223208, prec@10 0.502893, prec@30 0.496143, test_mae 0.059260, test_rmse 0.072190, test_mape 1196.543701, test_acc 0.666598
Epoch 34, train_loss 0.002387, train_ic 0.001933, train_icir 0.027323, train_ric -0.001365, train_ricir -0.019160, train_mae 0.038594, train_rmse 0.046942, train_mape 658.805725, train_acc 0.555875, valid_loss 0.0065157465, valid_ic 0.005317, valid_icir 0.062194, valid_ric 0.004922, valid_ricir 0.065238, valid_mae 0.047908, valid_rmse 0.074090, valid_mape 1030.145386, valid_acc 0.538293, test_loss 0.005542, ic 0.013438, icir 0.170487, ric 0.013574, ricir 0.162252, prec@10 0.449174, prec@30 0.456749, test_mae 0.041259, test_rmse 0.061866, test_mape 827.090759, test_acc 0.613967
Epoch 35, train_loss 0.002305, train_ic 0.000173, train_icir 0.002469, train_ric -0.005832, train_ricir -0.072652, train_mae 0.066188, train_rmse 0.073313, train_mape 1035.705811, train_acc 0.823736, valid_loss 0.0110515553, valid_ic 0.003009, valid_icir 0.041123, valid_ric -0.007235, valid_ricir -0.126460, valid_mae 0.078890, valid_rmse 0.100061, valid_mape 1900.467285, valid_acc 0.575274, test_loss 0.010410, ic 0.007328, icir 0.124222, ric -0.003705, ricir -0.053177, prec@10 0.468182, prec@30 0.478788, test_mae 0.074004, test_rmse 0.090137, test_mape 1608.410400, test_acc 0.647962
Epoch 36, train_loss 0.007351, train_ic 0.000179, train_icir 0.001912, train_ric 0.015723, train_ricir 0.139913, train_mae 0.024598, train_rmse 0.036283, train_mape 228.112488, train_acc 0.648452, valid_loss 0.0072260321, valid_ic 0.004533, valid_icir 0.043407, valid_ric 0.016719, valid_ricir 0.143310, valid_mae 0.041036, valid_rmse 0.085697, valid_mape 883.646667, valid_acc 0.507221, test_loss 0.005965, ic 0.013666, icir 0.152495, ric 0.028319, ricir 0.219296, prec@10 0.468182, prec@30 0.481267, test_mae 0.033900, test_rmse 0.070181, test_mape 647.825928, test_acc 0.598812
Epoch 37, train_loss 0.006522, train_ic -0.004122, train_icir -0.035489, train_ric -0.004315, train_ricir -0.031426, train_mae 0.025082, train_rmse 0.039050, train_mape 211.140015, train_acc 0.938695, valid_loss 0.0085998676, valid_ic -0.000860, valid_icir -0.018023, valid_ric -0.015107, valid_ricir -0.178872, valid_mae 0.056766, valid_rmse 0.086826, valid_mape 1273.939819, valid_acc 0.584464, test_loss 0.008338, ic -0.003882, icir -0.069500, ric -0.021842, ricir -0.210995, prec@10 0.468182, prec@30 0.461157, test_mae 0.054225, test_rmse 0.080335, test_mape 1151.781982, test_acc 0.659226
Epoch 38, train_loss nan, train_ic nan, train_icir nan, train_ric nan, train_ricir nan, train_mae nan, train_rmse nan, train_mape nan, train_acc 0.000000, valid_loss nan, valid_ic nan, valid_icir nan, valid_ric nan, valid_ricir nan, valid_mae nan, valid_rmse nan, valid_mape nan, valid_acc 0.000000, test_loss nan, ic nan, icir nan, ric nan, ricir nan, prec@10 0.485124, prec@30 0.500826, test_mae nan, test_rmse nan, test_mape nan, test_acc 0.000000
Epoch 39, train_loss nan, train_ic nan, train_icir nan, train_ric nan, train_ricir nan, train_mae nan, train_rmse nan, train_mape nan, train_acc 0.000000, valid_loss nan, valid_ic nan, valid_icir nan, valid_ric nan, valid_ricir nan, valid_mae nan, valid_rmse nan, valid_mape nan, valid_acc 0.000000, test_loss nan, ic nan, icir nan, ric nan, ricir nan, prec@10 0.485124, prec@30 0.500826, test_mae nan, test_rmse nan, test_mape nan, test_acc 0.000000
Epoch 40, train_loss nan, train_ic nan, train_icir nan, train_ric nan, train_ricir nan, train_mae nan, train_rmse nan, train_mape nan, train_acc 0.000000, valid_loss nan, valid_ic nan, valid_icir nan, valid_ric nan, valid_ricir nan, valid_mae nan, valid_rmse nan, valid_mape nan, valid_acc 0.000000, test_loss nan, ic nan, icir nan, ric nan, ricir nan, prec@10 0.485124, prec@30 0.500826, test_mae nan, test_rmse nan, test_mape nan, test_acc 0.000000
