Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- Transformer ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2019,
        "test_year": 2020,
        "window": 8,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "d_model": 64,
        "num_layers": 2,
        "nhead": 2,
        "dropout": 0.1
    }
}
Epoch 22, train_loss 0.002743, train_ic 0.000536, train_icir 0.006403, train_ric 0.011832, train_ricir 0.132617, train_mae 0.063810, train_rmse 0.076800, train_mape 927.873047, train_acc 0.451312, valid_loss 0.0092075882, valid_ic -0.000254, valid_icir -0.004999, valid_ric 0.009447, valid_ricir 0.177583, valid_mae 0.076601, valid_rmse 0.095562, valid_mape 1610.797485, valid_acc 0.553305, test_loss 0.013049, ic -0.003975, icir -0.054742, ric 0.003967, ricir 0.057512, prec@10 0.469136, prec@30 0.502469, test_mae 0.085268, test_rmse 0.120897, test_mape 1572.094116, test_acc 0.642614
Epoch 23, train_loss 0.002947, train_ic 0.002400, train_icir 0.024975, train_ric 0.025103, train_ricir 0.228874, train_mae 0.107287, train_rmse 0.115647, train_mape 1071.166626, train_acc 0.263158, valid_loss 0.0114327410, valid_ic -0.003905, valid_icir -0.059067, valid_ric 0.017253, valid_ricir 0.226576, valid_mae 0.091407, valid_rmse 0.102654, valid_mape 1951.653687, valid_acc 0.583955, test_loss 0.012992, ic -0.010564, icir -0.117297, ric 0.007114, ricir 0.067793, prec@10 0.466667, prec@30 0.508505, test_mae 0.089607, test_rmse 0.114529, test_mape 1655.878296, test_acc 0.708455
Epoch 24, train_loss 0.002569, train_ic -0.020524, train_icir -0.219449, train_ric 0.018607, train_ricir 0.188563, train_mae 0.067936, train_rmse 0.074136, train_mape 751.631775, train_acc 0.269364, valid_loss 0.0061675083, valid_ic -0.003832, valid_icir -0.072118, valid_ric 0.014168, valid_ricir 0.237630, valid_mae 0.059055, valid_rmse 0.076461, valid_mape 1213.649170, valid_acc 0.563966, test_loss 0.008674, ic -0.008761, icir -0.124069, ric 0.006044, ricir 0.076238, prec@10 0.463786, prec@30 0.496845, test_mae 0.064011, test_rmse 0.097567, test_mape 1189.857056, test_acc 0.654033
Epoch 25, train_loss 0.002778, train_ic 0.002146, train_icir 0.025184, train_ric 0.009564, train_ricir 0.113208, train_mae 0.034953, train_rmse 0.049379, train_mape 732.815430, train_acc 0.616948, valid_loss 0.0035226252, valid_ic -0.003454, valid_icir -0.059585, valid_ric 0.005458, valid_ricir 0.104603, valid_mae 0.040595, valid_rmse 0.062037, valid_mape 853.760498, valid_acc 0.532783, test_loss 0.006899, ic -0.010084, icir -0.117785, ric 0.001833, ricir 0.024798, prec@10 0.504938, prec@30 0.510288, test_mae 0.052466, test_rmse 0.095195, test_mape 1029.941162, test_acc 0.566327
Epoch 26, train_loss 0.002562, train_ic 0.004060, train_icir 0.045457, train_ric 0.015215, train_ricir 0.164324, train_mae 0.055210, train_rmse 0.063490, train_mape 522.807556, train_acc 0.743029, valid_loss 0.0073012277, valid_ic 0.001113, valid_icir 0.020194, valid_ric 0.008786, valid_ricir 0.153877, valid_mae 0.067057, valid_rmse 0.082392, valid_mape 1402.732788, valid_acc 0.566098, test_loss 0.009401, ic -0.003164, icir -0.041721, ric 0.003865, ricir 0.047261, prec@10 0.485597, prec@30 0.506447, test_mae 0.070258, test_rmse 0.100312, test_mape 1252.926025, test_acc 0.645287
Epoch 27, train_loss 0.004967, train_ic 0.002192, train_icir 0.021210, train_ric 0.024668, train_ricir 0.226188, train_mae 0.082533, train_rmse 0.092887, train_mape 1424.461304, train_acc 0.608546, valid_loss 0.0106462226, valid_ic -0.009802, valid_icir -0.124904, valid_ric 0.016240, valid_ricir 0.212937, valid_mae 0.087356, valid_rmse 0.100867, valid_mape 1851.646240, valid_acc 0.570896, test_loss 0.013615, ic -0.019959, icir -0.186428, ric 0.003134, ricir 0.028022, prec@10 0.551029, prec@30 0.519342, test_mae 0.092149, test_rmse 0.118476, test_mape 1689.862061, test_acc 0.637512
Epoch 28, train_loss 0.002991, train_ic 0.003553, train_icir 0.037025, train_ric 0.020090, train_ricir 0.199770, train_mae 0.073595, train_rmse 0.082080, train_mape 1397.886230, train_acc 0.703704, valid_loss 0.0081860267, valid_ic -0.002225, valid_icir -0.033966, valid_ric 0.014159, valid_ricir 0.217302, valid_mae 0.075254, valid_rmse 0.087763, valid_mape 1613.673218, valid_acc 0.560501, test_loss 0.010404, ic -0.009182, icir -0.101047, ric 0.005381, ricir 0.058934, prec@10 0.440329, prec@30 0.489026, test_mae 0.080360, test_rmse 0.107052, test_mape 1446.361938, test_acc 0.619534
Epoch 29, train_loss 0.002720, train_ic -0.029837, train_icir -0.335196, train_ric 0.008177, train_ricir 0.092690, train_mae 0.088572, train_rmse 0.093071, train_mape 1220.540771, train_acc 0.286499, valid_loss 0.0081435585, valid_ic -0.004671, valid_icir -0.095656, valid_ric 0.007909, valid_ricir 0.148977, valid_mae 0.074348, valid_rmse 0.085802, valid_mape 1610.705200, valid_acc 0.583955, test_loss 0.009686, ic -0.009114, icir -0.147987, ric 0.001743, ricir 0.025567, prec@10 0.463374, prec@30 0.497942, test_mae 0.071715, test_rmse 0.097394, test_mape 1342.357910, test_acc 0.716229
Epoch 30, train_loss 0.002788, train_ic 0.002899, train_icir 0.030680, train_ric 0.021205, train_ricir 0.211102, train_mae 0.082715, train_rmse 0.089711, train_mape 1263.503784, train_acc 0.654269, valid_loss 0.0097925375, valid_ic -0.002177, valid_icir -0.034863, valid_ric 0.014940, valid_ricir 0.232331, valid_mae 0.081561, valid_rmse 0.093803, valid_mape 1730.640381, valid_acc 0.575693, test_loss 0.010884, ic -0.009313, icir -0.109894, ric 0.006135, ricir 0.069026, prec@10 0.462963, prec@30 0.495885, test_mae 0.080537, test_rmse 0.104318, test_mape 1401.241333, test_acc 0.666910
Epoch 31, train_loss 0.002347, train_ic 0.004240, train_icir 0.044290, train_ric 0.017300, train_ricir 0.172198, train_mae 0.055302, train_rmse 0.064649, train_mape 1091.248657, train_acc 0.453013, valid_loss 0.0051545784, valid_ic -0.000939, valid_icir -0.015099, valid_ric 0.008684, valid_ricir 0.133374, valid_mae 0.055662, valid_rmse 0.071032, valid_mape 1175.492920, valid_acc 0.557569, test_loss 0.007709, ic -0.006313, icir -0.074516, ric 0.002662, ricir 0.028209, prec@10 0.477366, prec@30 0.502195, test_mae 0.062197, test_rmse 0.093257, test_mape 1132.031250, test_acc 0.604227
