Dataset:  NASDAQ
Radom seed: 1234
GPU: 7
Learning rate: 1e-05
Loss: MaskedMSELoss

---------- Marketformer ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "NASDAQ",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 20
    },
    "early_stop": 30,
    "runner": "basic2",
    "loss": "mse",
    "model_args": {
        "d_feat": 5,
        "seq_len": 16,
        "pred_len": 1,
        "n_node": 1026,
        "d_emb": 8,
        "d_model": 64,
        "dff": 256,
        "nheads": 2,
        "num_layers": 2,
        "alpha": 1,
        "dropout": 0.1
    }
}
Epoch 26, train_loss 0.001029, train_ic 0.035848, train_icir 0.384032, train_ric 0.035695, train_ricir 0.351588, valid_loss 0.0008992313 , valid_ic 0.038383, valid_icir 0.335708, valid_ric 0.039296, valid_ricir 0.309902, test_loss 0.000671, ic 0.021508, icir 0.221250, ric 0.036014, ricir 0.315765, prec@10 0.783122, prec@30 0.782841 
Epoch 27, train_loss 0.001003, train_ic 0.032272, train_icir 0.349829, train_ric 0.034167, train_ricir 0.338143, valid_loss 0.0007305255 , valid_ic 0.035745, valid_icir 0.323191, valid_ric 0.037809, valid_ricir 0.307508, test_loss 0.000576, ic 0.019469, icir 0.205802, ric 0.037209, ricir 0.320315, prec@10 0.564979, prec@30 0.554852 
Epoch 28, train_loss 0.000960, train_ic -0.002759, train_icir -0.031867, train_ric 0.011219, train_ricir 0.120777, valid_loss 0.0009312488 , valid_ic 0.009017, valid_icir 0.087157, valid_ric 0.020422, valid_ricir 0.182587, test_loss 0.000781, ic 0.013269, icir 0.140981, ric 0.034553, ricir 0.288821, prec@10 0.183122, prec@30 0.187764 
Epoch 29, train_loss 0.000916, train_ic 0.015133, train_icir 0.156841, train_ric 0.024204, train_ricir 0.241484, valid_loss 0.0007315530 , valid_ic 0.024178, valid_icir 0.227566, valid_ric 0.030789, valid_ricir 0.265521, test_loss 0.000573, ic 0.018704, icir 0.186692, ric 0.037707, ricir 0.313754, prec@10 0.304219, prec@30 0.302954 
Epoch 30, train_loss 0.000919, train_ic -0.013372, train_icir -0.172787, train_ric 0.001997, train_ricir 0.022003, valid_loss 0.0016421292 , valid_ic -0.002681, valid_icir -0.026409, valid_ric 0.012435, valid_ricir 0.109394, test_loss 0.001464, ic 0.007450, icir 0.084711, ric 0.025687, ricir 0.214385, prec@10 0.059072, prec@30 0.056962 
Epoch 31, train_loss 0.000908, train_ic 0.036849, train_icir 0.421705, train_ric 0.035849, train_ricir 0.361325, valid_loss 0.0008158288 , valid_ic 0.039141, valid_icir 0.343169, valid_ric 0.040071, valid_ricir 0.315817, test_loss 0.000633, ic 0.019548, icir 0.210328, ric 0.036023, ricir 0.318571, prec@10 0.768354, prec@30 0.758931 
Epoch 32, train_loss 0.000874, train_ic 0.034447, train_icir 0.383948, train_ric 0.034762, train_ricir 0.351083, valid_loss 0.0006841280 , valid_ic 0.037440, valid_icir 0.336209, valid_ric 0.038958, valid_ricir 0.316668, test_loss 0.000541, ic 0.020106, icir 0.214657, ric 0.036772, ricir 0.320856, prec@10 0.575949, prec@30 0.563572 
Epoch 33, train_loss 0.000838, train_ic 0.034849, train_icir 0.376955, train_ric 0.035301, train_ricir 0.347126, valid_loss 0.0008122349 , valid_ic 0.038959, valid_icir 0.346750, valid_ric 0.040983, valid_ricir 0.324823, test_loss 0.000620, ic 0.022137, icir 0.231486, ric 0.037823, ricir 0.330152, prec@10 0.829536, prec@30 0.832489 
Epoch 34, train_loss 0.000809, train_ic -0.006647, train_icir -0.078892, train_ric 0.006915, train_ricir 0.074724, valid_loss 0.0010661012 , valid_ic 0.006207, valid_icir 0.060342, valid_ric 0.018537, valid_ricir 0.164333, test_loss 0.000882, ic 0.011118, icir 0.117371, ric 0.030259, ricir 0.252356, prec@10 0.090295, prec@30 0.088326 
Epoch 35, train_loss 0.000813, train_ic 0.001995, train_icir 0.022123, train_ric 0.013815, train_ricir 0.144640, valid_loss 0.0007691176 , valid_ic 0.014990, valid_icir 0.144719, valid_ric 0.024863, valid_ricir 0.220083, test_loss 0.000607, ic 0.014515, icir 0.146764, ric 0.034068, ricir 0.283212, prec@10 0.189873, prec@30 0.187060 
