Dataset:  CSI2259
Radom seed: 1234
GPU: 6
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI2259",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2017,
        "test_year": 2018,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 1, train_loss 0.178072, train_ic 0.010410, train_icir 0.101140, train_ric 0.035706, train_ricir 0.316977, train_mae 0.173526, train_rmse 0.289730, train_mape 3491.668213, train_acc 0.568393, valid_loss 0.0691775799, valid_ic -0.004328, valid_icir -0.051074, valid_ric 0.018756, valid_ricir 0.194533, valid_prec@10 0.487705, valid_prec@30 0.513934, valid_mae 0.131234, valid_rmse 0.253962, valid_mape 2867.669678, valid_acc 0.394865, test_loss 0.049353, ic 0.001121, icir 0.010662, ric 0.017699, ricir 0.168290, prec@10 0.394239, prec@30 0.459945, test_mae 0.076562, test_rmse 0.178851, test_mape 1437.080322, test_acc 0.489597
Epoch 40, train_loss 0.001634, train_ic 0.025185, train_icir 0.256922, train_ric 0.049870, train_ricir 0.425724, train_mae 0.020226, train_rmse 0.026305, train_mape 269.705811, train_acc 0.512174, valid_loss 0.0009533382, valid_ic 0.000832, valid_icir 0.014711, valid_ric 0.018747, valid_ricir 0.182090, valid_prec@10 0.522951, valid_prec@30 0.545902, valid_mae 0.015907, valid_rmse 0.026220, valid_mape 314.705200, valid_acc 0.679504, test_loss 0.001447, ic 0.002309, icir 0.038899, ric 0.016146, ricir 0.150088, prec@10 0.484774, prec@30 0.513169, test_mae 0.023137, test_rmse 0.033087, test_mape 360.484558, test_acc 0.532537
Epoch 41, train_loss 0.001635, train_ic 0.004175, train_icir 0.034022, train_ric 0.041978, train_ricir 0.266820, train_mae 0.030693, train_rmse 0.044375, train_mape 175.209900, train_acc 0.361222, valid_loss 0.0006916515, valid_ic -0.001056, valid_icir -0.021584, valid_ric 0.041394, valid_ricir 0.359193, valid_prec@10 0.548770, valid_prec@30 0.542213, valid_mae 0.012386, valid_rmse 0.024659, valid_mape 149.311508, valid_acc 0.483400, test_loss 0.001072, ic -0.005223, icir -0.129717, ric 0.026195, ricir 0.218226, prec@10 0.487243, prec@30 0.482305, test_mae 0.014880, test_rmse 0.027211, test_mape 142.827637, test_acc 0.472333
Epoch 42, train_loss 0.001590, train_ic 0.041200, train_icir 0.394453, train_ric 0.009575, train_ricir 0.070202, train_mae 0.045539, train_rmse 0.212742, train_mape 264.077606, train_acc 0.232846, valid_loss 0.0012326601, valid_ic 0.008721, valid_icir 0.207951, valid_ric -0.004677, valid_ricir -0.049495, valid_prec@10 0.569262, valid_prec@30 0.552596, valid_mae 0.019744, valid_rmse 0.029117, valid_mape 462.071838, valid_acc 0.683488, test_loss 0.001575, ic 0.002953, icir 0.073574, ric -0.015779, ricir -0.146697, prec@10 0.520165, prec@30 0.507956, test_mae 0.021931, test_rmse 0.032492, test_mape 350.406311, test_acc 0.539619
Epoch 43, train_loss 0.001633, train_ic 0.041476, train_icir 0.414336, train_ric 0.021346, train_ricir 0.158610, train_mae 0.048883, train_rmse 0.055841, train_mape 116.062561, train_acc 0.186366, valid_loss 0.0007227238, valid_ic 0.007028, valid_icir 0.185920, valid_ric 0.001445, valid_ricir 0.016112, valid_prec@10 0.537705, valid_prec@30 0.551366, valid_mae 0.017577, valid_rmse 0.027793, valid_mape 241.668839, valid_acc 0.247012, test_loss 0.001104, ic 0.005322, icir 0.153315, ric -0.010258, ricir -0.103069, prec@10 0.509465, prec@30 0.507682, test_mae 0.018660, test_rmse 0.029963, test_mape 222.884705, test_acc 0.395308
Epoch 44, train_loss 0.001600, train_ic 0.023173, train_icir 0.221183, train_ric 0.058558, train_ricir 0.467798, train_mae 0.022177, train_rmse 0.031249, train_mape 193.878738, train_acc 0.664011, valid_loss 0.0008953412, valid_ic -0.001880, valid_icir -0.027696, valid_ric 0.024575, valid_ricir 0.224701, valid_prec@10 0.529918, valid_prec@30 0.540164, valid_mae 0.019096, valid_rmse 0.030877, valid_mape 282.549438, valid_acc 0.233732, test_loss 0.001200, ic -0.001649, icir -0.022105, ric 0.025586, ricir 0.211051, prec@10 0.481481, prec@30 0.500137, test_mae 0.016246, test_rmse 0.029484, test_mape 184.256348, test_acc 0.474989
Epoch 45, train_loss 0.001606, train_ic 0.025758, train_icir 0.300610, train_ric 0.017295, train_ricir 0.154273, train_mae 0.091632, train_rmse 0.097141, train_mape 127.976463, train_acc 0.032758, valid_loss 0.0010209550, valid_ic 0.003817, valid_icir 0.135173, valid_ric 0.006209, valid_ricir 0.107721, valid_prec@10 0.534426, valid_prec@30 0.540437, valid_mae 0.016164, valid_rmse 0.026254, valid_mape 360.488129, valid_acc 0.683931, test_loss 0.001386, ic 0.002047, icir 0.070340, ric -0.008258, ricir -0.101919, prec@10 0.510700, prec@30 0.513169, test_mae 0.019340, test_rmse 0.030801, test_mape 292.197571, test_acc 0.534307
Epoch 46, train_loss 0.001568, train_ic 0.016483, train_icir 0.167272, train_ric -0.017917, train_ricir -0.146921, train_mae 0.020694, train_rmse 0.028319, train_mape 144.446274, train_acc 0.449757, valid_loss 0.0007724866, valid_ic 0.004998, valid_icir 0.099963, valid_ric -0.007838, valid_ricir -0.080267, valid_prec@10 0.561066, valid_prec@30 0.546858, valid_mae 0.013772, valid_rmse 0.025111, valid_mape 208.211807, valid_acc 0.482957, test_loss 0.001141, ic 0.006185, icir 0.150401, ric -0.008201, ricir -0.088358, prec@10 0.537037, prec@30 0.513992, test_mae 0.016306, test_rmse 0.029182, test_mape 178.985489, test_acc 0.470120
Epoch 47, train_loss 0.001597, train_ic 0.027192, train_icir 0.251573, train_ric 0.017848, train_ricir 0.137194, train_mae 0.062693, train_rmse 0.071173, train_mape 92.864113, train_acc 0.706950, valid_loss 0.0007676811, valid_ic 0.000640, valid_icir 0.016334, valid_ric 0.006611, valid_ricir 0.090155, valid_prec@10 0.558197, valid_prec@30 0.539071, valid_mae 0.021255, valid_rmse 0.030270, valid_mape 311.435211, valid_acc 0.204073, test_loss 0.001227, ic -0.006880, icir -0.167081, ric -0.012413, ricir -0.128264, prec@10 0.482305, prec@30 0.483402, test_mae 0.022859, test_rmse 0.033313, test_mape 292.865234, test_acc 0.378929
Epoch 48, train_loss 0.001537, train_ic 0.037893, train_icir 0.385867, train_ric 0.018198, train_ricir 0.146380, train_mae 0.023656, train_rmse 0.031214, train_mape 106.106651, train_acc 0.700753, valid_loss 0.0006354585, valid_ic 0.003184, valid_icir 0.105962, valid_ric -0.012658, valid_ricir -0.184923, valid_prec@10 0.557787, valid_prec@30 0.531694, valid_mae 0.011854, valid_rmse 0.023401, valid_mape 133.017014, valid_acc 0.599823, test_loss 0.001022, ic 0.004232, icir 0.138664, ric -0.014623, ricir -0.195873, prec@10 0.538272, prec@30 0.499863, test_mae 0.015468, test_rmse 0.027419, test_mape 143.265778, test_acc 0.483842
Epoch 49, train_loss 0.001638, train_ic 0.051748, train_icir 0.492945, train_ric 0.024934, train_ricir 0.184339, train_mae 0.037903, train_rmse 0.046210, train_mape 393.190918, train_acc 0.139885, valid_loss 0.0006842901, valid_ic 0.007781, valid_icir 0.234005, valid_ric -0.004868, valid_ricir -0.061962, valid_prec@10 0.554508, valid_prec@30 0.522404, valid_mae 0.017850, valid_rmse 0.027435, valid_mape 242.512299, valid_acc 0.225764, test_loss 0.001055, ic 0.005089, icir 0.161210, ric -0.016002, ricir -0.178388, prec@10 0.534979, prec@30 0.507407, test_mae 0.018588, test_rmse 0.029392, test_mape 220.061035, test_acc 0.391766
Epoch 50, train_loss 0.001569, train_ic 0.040993, train_icir 0.422738, train_ric 0.028275, train_ricir 0.229305, train_mae 0.020216, train_rmse 0.025339, train_mape 548.336853, train_acc 0.538734, valid_loss 0.0010362187, valid_ic 0.003805, valid_icir 0.119628, valid_ric 0.010875, valid_ricir 0.140184, valid_prec@10 0.560656, valid_prec@30 0.531694, valid_mae 0.016816, valid_rmse 0.025555, valid_mape 377.807465, valid_acc 0.682603, test_loss 0.001458, ic -0.001152, icir -0.038737, ric 0.002290, ricir 0.026826, prec@10 0.528807, prec@30 0.515638, test_mae 0.023083, test_rmse 0.033111, test_mape 372.795929, test_acc 0.535193
Epoch 51, train_loss 0.001578, train_ic 0.016153, train_icir 0.166722, train_ric -0.010662, train_ricir -0.091697, train_mae 0.022889, train_rmse 0.028853, train_mape 351.943085, train_acc 0.474546, valid_loss 0.0009083202, valid_ic -0.000993, valid_icir -0.034464, valid_ric -0.012592, valid_ricir -0.180985, valid_prec@10 0.562295, valid_prec@30 0.558607, valid_mae 0.027635, valid_rmse 0.034740, valid_mape 464.205658, valid_acc 0.199203, test_loss 0.001296, ic -0.000733, icir -0.025068, ric -0.008019, ricir -0.090891, prec@10 0.540741, prec@30 0.510974, test_mae 0.024065, test_rmse 0.033786, test_mape 351.148224, test_acc 0.385126
Epoch 52, train_loss 0.001535, train_ic 0.039763, train_icir 0.327878, train_ric 0.012994, train_ricir 0.091787, train_mae 0.014606, train_rmse 0.021639, train_mape 226.402878, train_acc 0.398406, valid_loss 0.0006664399, valid_ic 0.005061, valid_icir 0.109025, valid_ric -0.003237, valid_ricir -0.036474, valid_prec@10 0.579508, valid_prec@30 0.544399, valid_mae 0.014411, valid_rmse 0.024795, valid_mape 191.669815, valid_acc 0.470562, test_loss 0.001091, ic 0.002536, icir 0.051786, ric -0.009519, ricir -0.086832, prec@10 0.550206, prec@30 0.515089, test_mae 0.018557, test_rmse 0.030222, test_mape 206.891052, test_acc 0.429394
Epoch 53, train_loss 0.001610, train_ic 0.034611, train_icir 0.331465, train_ric 0.002276, train_ricir 0.017974, train_mae 0.015130, train_rmse 0.022183, train_mape 137.951248, train_acc 0.623727, valid_loss 0.0006463290, valid_ic 0.002805, valid_icir 0.071414, valid_ric -0.010984, valid_ricir -0.141513, valid_prec@10 0.552869, valid_prec@30 0.536339, valid_mae 0.012159, valid_rmse 0.023333, valid_mape 149.074890, valid_acc 0.598495, test_loss 0.001063, ic 0.005421, icir 0.150836, ric 0.002252, ricir 0.026783, prec@10 0.528395, prec@30 0.521262, test_mae 0.015693, test_rmse 0.028138, test_mape 176.112900, test_acc 0.529438
Epoch 54, train_loss 0.001568, train_ic 0.051667, train_icir 0.442715, train_ric 0.048473, train_ricir 0.349956, train_mae 0.020047, train_rmse 0.025590, train_mape 346.480957, train_acc 0.354582, valid_loss 0.0008055568, valid_ic 0.006980, valid_icir 0.153848, valid_ric 0.007435, valid_ricir 0.090016, valid_prec@10 0.611475, valid_prec@30 0.576230, valid_mae 0.014198, valid_rmse 0.023727, valid_mape 262.368988, valid_acc 0.669765, test_loss 0.001332, ic 0.007105, icir 0.133156, ric 0.010706, ricir 0.098988, prec@10 0.534156, prec@30 0.544170, test_mae 0.021497, test_rmse 0.032983, test_mape 313.799377, test_acc 0.537849
Epoch 55, train_loss 0.001515, train_ic 0.062642, train_icir 0.506179, train_ric 0.019843, train_ricir 0.134479, train_mae 0.056911, train_rmse 0.075562, train_mape 107.247719, train_acc 0.197432, valid_loss 0.0006664284, valid_ic 0.007669, valid_icir 0.156963, valid_ric -0.021812, valid_ricir -0.249933, valid_prec@10 0.561066, valid_prec@30 0.489208, valid_mae 0.012033, valid_rmse 0.022904, valid_mape 165.493637, valid_acc 0.629925, test_loss 0.001065, ic 0.011129, icir 0.245630, ric -0.017290, ricir -0.185444, prec@10 0.530041, prec@30 0.495473, test_mae 0.014906, test_rmse 0.027558, test_mape 158.163742, test_acc 0.539177
Epoch 56, train_loss 0.001551, train_ic 0.021066, train_icir 0.200984, train_ric 0.013157, train_ricir 0.102007, train_mae 0.023897, train_rmse 0.032136, train_mape 119.200920, train_acc 0.583444, valid_loss 0.0006172653, valid_ic 0.000295, valid_icir 0.008440, valid_ric 0.009393, valid_ricir 0.116489, valid_prec@10 0.555328, valid_prec@30 0.533470, valid_mae 0.012849, valid_rmse 0.023465, valid_mape 150.383453, valid_acc 0.424967, test_loss 0.001030, ic -0.005308, icir -0.172070, ric -0.007272, ricir -0.074644, prec@10 0.505350, prec@30 0.500686, test_mae 0.015318, test_rmse 0.029076, test_mape 141.508224, test_acc 0.432935
Epoch 57, train_loss 0.001540, train_ic 0.034952, train_icir 0.292554, train_ric 0.047890, train_ricir 0.348169, train_mae 0.028440, train_rmse 0.033793, train_mape 218.661163, train_acc 0.338203, valid_loss 0.0008518767, valid_ic 0.002200, valid_icir 0.033825, valid_ric 0.011551, valid_ricir 0.113106, valid_prec@10 0.579508, valid_prec@30 0.573634, valid_mae 0.015942, valid_rmse 0.024834, valid_mape 292.242279, valid_acc 0.630367, test_loss 0.001395, ic 0.006472, icir 0.091319, ric 0.017032, ricir 0.138388, prec@10 0.507819, prec@30 0.528807, test_mae 0.023568, test_rmse 0.034068, test_mape 359.358704, test_acc 0.534307
Epoch 58, train_loss 0.001522, train_ic 0.058337, train_icir 0.533559, train_ric 0.022310, train_ricir 0.165065, train_mae 0.018616, train_rmse 0.025696, train_mape 202.490265, train_acc 0.484285, valid_loss 0.0006865573, valid_ic 0.008867, valid_icir 0.263139, valid_ric -0.005212, valid_ricir -0.064806, valid_prec@10 0.581557, valid_prec@30 0.553005, valid_mae 0.011847, valid_rmse 0.022171, valid_mape 199.292847, valid_acc 0.670208, test_loss 0.001080, ic 0.007129, icir 0.225541, ric -0.014478, ricir -0.162840, prec@10 0.511523, prec@30 0.520988, test_mae 0.015425, test_rmse 0.028163, test_mape 177.804001, test_acc 0.540505
Epoch 59, train_loss 0.001495, train_ic 0.046554, train_icir 0.477660, train_ric 0.038812, train_ricir 0.319733, train_mae 0.040967, train_rmse 0.049038, train_mape 98.401543, train_acc 0.805224, valid_loss 0.0007511652, valid_ic 0.004852, valid_icir 0.169354, valid_ric 0.008815, valid_ricir 0.135488, valid_prec@10 0.605328, valid_prec@30 0.571175, valid_mae 0.022420, valid_rmse 0.030268, valid_mape 349.610992, valid_acc 0.196104, test_loss 0.001128, ic 0.004593, icir 0.147057, ric 0.006413, ricir 0.086891, prec@10 0.532922, prec@30 0.537174, test_mae 0.019596, test_rmse 0.031714, test_mape 263.892700, test_acc 0.397078
Epoch 60, train_loss 0.001521, train_ic 0.050740, train_icir 0.500952, train_ric 0.052656, train_ricir 0.410827, train_mae 0.015678, train_rmse 0.024209, train_mape 151.383408, train_acc 0.464365, valid_loss 0.0006751266, valid_ic 0.004910, valid_icir 0.100763, valid_ric 0.010782, valid_ricir 0.142377, valid_prec@10 0.532377, valid_prec@30 0.520765, valid_mae 0.016137, valid_rmse 0.026378, valid_mape 206.797836, valid_acc 0.276671, test_loss 0.001065, ic 0.002574, icir 0.058397, ric -0.005333, ricir -0.064380, prec@10 0.497942, prec@30 0.493964, test_mae 0.017289, test_rmse 0.029627, test_mape 184.336090, test_acc 0.388668
Epoch 61, train_loss 0.001511, train_ic 0.056371, train_icir 0.485612, train_ric 0.030310, train_ricir 0.214710, train_mae 0.020664, train_rmse 0.028526, train_mape 274.495850, train_acc 0.391324, valid_loss 0.0006720203, valid_ic 0.011080, valid_icir 0.299297, valid_ric 0.000807, valid_ricir 0.010509, valid_prec@10 0.573770, valid_prec@30 0.582650, valid_mae 0.018497, valid_rmse 0.027396, valid_mape 257.993286, valid_acc 0.223550, test_loss 0.001046, ic 0.010215, icir 0.238748, ric -0.000329, ricir -0.003423, prec@10 0.518930, prec@30 0.548422, test_mae 0.017887, test_rmse 0.029793, test_mape 216.629547, test_acc 0.424967
Epoch 62, train_loss 0.001517, train_ic 0.028914, train_icir 0.286870, train_ric 0.032190, train_ricir 0.273685, train_mae 0.039911, train_rmse 0.045927, train_mape 99.268585, train_acc 0.582116, valid_loss 0.0006211241, valid_ic -0.000315, valid_icir -0.008047, valid_ric 0.014577, valid_ricir 0.203659, valid_prec@10 0.543443, valid_prec@30 0.552186, valid_mae 0.012615, valid_rmse 0.022938, valid_mape 156.715958, valid_acc 0.541390, test_loss 0.001040, ic -0.003037, icir -0.079680, ric 0.000389, ricir 0.004498, prec@10 0.515638, prec@30 0.513032, test_mae 0.017200, test_rmse 0.029327, test_mape 183.981140, test_acc 0.447100
Epoch 63, train_loss 0.001546, train_ic 0.068020, train_icir 0.598136, train_ric 0.052962, train_ricir 0.372600, train_mae 0.032031, train_rmse 0.041630, train_mape 150.143616, train_acc 0.632138, valid_loss 0.0006218266, valid_ic 0.012095, valid_icir 0.301303, valid_ric 0.015543, valid_ricir 0.167253, valid_prec@10 0.557787, valid_prec@30 0.536475, valid_mae 0.016172, valid_rmse 0.025583, valid_mape 204.756088, valid_acc 0.217353, test_loss 0.000996, ic 0.010682, icir 0.274532, ric 0.007949, ricir 0.080526, prec@10 0.511523, prec@30 0.523457, test_mae 0.015755, test_rmse 0.028152, test_mape 166.172333, test_acc 0.433378
Epoch 64, train_loss 0.001496, train_ic 0.037026, train_icir 0.463684, train_ric 0.038723, train_ricir 0.436658, train_mae 0.023851, train_rmse 0.030064, train_mape 58.453362, train_acc 0.891988, valid_loss 0.0008125902, valid_ic 0.001775, valid_icir 0.057246, valid_ric 0.014365, valid_ricir 0.256367, valid_prec@10 0.572951, valid_prec@30 0.538525, valid_mae 0.013695, valid_rmse 0.022554, valid_mape 278.666901, valid_acc 0.682603, test_loss 0.001205, ic -0.001166, icir -0.040127, ric 0.001489, ricir 0.021414, prec@10 0.536214, prec@30 0.506036, test_mae 0.018796, test_rmse 0.029796, test_mape 277.517059, test_acc 0.532979
Epoch 65, train_loss 0.001533, train_ic 0.031726, train_icir 0.278435, train_ric 0.035126, train_ricir 0.271195, train_mae 0.033944, train_rmse 0.039634, train_mape 246.500824, train_acc 0.277114, valid_loss 0.0008966888, valid_ic 0.001849, valid_icir 0.029728, valid_ric 0.007961, valid_ricir 0.080086, valid_prec@10 0.559426, valid_prec@30 0.556831, valid_mae 0.016570, valid_rmse 0.024848, valid_mape 327.435486, valid_acc 0.660469, test_loss 0.001389, ic 0.005238, icir 0.086176, ric 0.007992, ricir 0.075427, prec@10 0.491770, prec@30 0.508779, test_mae 0.023016, test_rmse 0.033384, test_mape 361.288818, test_acc 0.531651
Epoch 66, train_loss 0.001567, train_ic 0.058181, train_icir 0.420963, train_ric 0.044939, train_ricir 0.281730, train_mae 0.014961, train_rmse 0.023636, train_mape 155.220306, train_acc 0.598052, valid_loss 0.0006225500, valid_ic 0.010474, valid_icir 0.192186, valid_ric 0.003615, valid_ricir 0.038658, valid_prec@10 0.557787, valid_prec@30 0.518579, valid_mae 0.012459, valid_rmse 0.023128, valid_mape 152.658157, valid_acc 0.569278, test_loss 0.001059, ic 0.016092, icir 0.277990, ric 0.007131, ricir 0.062992, prec@10 0.533745, prec@30 0.523045, test_mae 0.015570, test_rmse 0.028809, test_mape 164.062653, test_acc 0.521470
Epoch 67, train_loss 0.001491, train_ic 0.060812, train_icir 0.546431, train_ric 0.043921, train_ricir 0.333830, train_mae 0.019095, train_rmse 0.026447, train_mape 161.097855, train_acc 0.270916, valid_loss 0.0005812892, valid_ic 0.011335, valid_icir 0.371223, valid_ric 0.015011, valid_ricir 0.229521, valid_prec@10 0.608197, valid_prec@30 0.585929, valid_mae 0.012325, valid_rmse 0.022802, valid_mape 133.237289, valid_acc 0.470562, test_loss 0.000995, ic 0.009697, icir 0.273235, ric 0.011253, ricir 0.133460, prec@10 0.549383, prec@30 0.551440, test_mae 0.014995, test_rmse 0.027917, test_mape 140.913635, test_acc 0.499336
Epoch 68, train_loss 0.001491, train_ic 0.056529, train_icir 0.542733, train_ric 0.003189, train_ricir 0.025962, train_mae 0.011901, train_rmse 0.019831, train_mape 153.356201, train_acc 0.443116, valid_loss 0.0005859965, valid_ic 0.009450, valid_icir 0.289836, valid_ric -0.013134, valid_ricir -0.195691, valid_prec@10 0.555328, valid_prec@30 0.538251, valid_mae 0.012494, valid_rmse 0.023033, valid_mape 134.690598, valid_acc 0.426737, test_loss 0.000976, ic 0.008375, icir 0.312898, ric -0.013388, ricir -0.179844, prec@10 0.524280, prec@30 0.516735, test_mae 0.014415, test_rmse 0.027464, test_mape 121.525482, test_acc 0.460823
Epoch 69, train_loss 0.001474, train_ic 0.021759, train_icir 0.235104, train_ric 0.034105, train_ricir 0.314217, train_mae 0.031004, train_rmse 0.036793, train_mape 563.816467, train_acc 0.496237, valid_loss 0.0012799891, valid_ic 0.000627, valid_icir 0.016400, valid_ric 0.020190, valid_ricir 0.315711, valid_prec@10 0.541393, valid_prec@30 0.529781, valid_mae 0.034590, valid_rmse 0.040173, valid_mape 615.162354, valid_acc 0.196104, test_loss 0.001647, ic 0.001096, icir 0.035133, ric 0.003494, ricir 0.051727, prec@10 0.486008, prec@30 0.484362, test_mae 0.031799, test_rmse 0.040229, test_mape 507.956635, test_acc 0.385126
Epoch 70, train_loss 0.001493, train_ic 0.054647, train_icir 0.557108, train_ric 0.056267, train_ricir 0.499973, train_mae 0.018601, train_rmse 0.023586, train_mape 233.420486, train_acc 0.346614, valid_loss 0.0007001906, valid_ic 0.005811, valid_icir 0.164193, valid_ric 0.019239, valid_ricir 0.277268, valid_prec@10 0.588525, valid_prec@30 0.564891, valid_mae 0.012364, valid_rmse 0.021735, valid_mape 225.736450, valid_acc 0.668880, test_loss 0.001092, ic 0.001244, icir 0.041091, ric 0.000096, ricir 0.001354, prec@10 0.522634, prec@30 0.524143, test_mae 0.016966, test_rmse 0.028685, test_mape 223.404007, test_acc 0.502435
Epoch 71, train_loss 0.001464, train_ic 0.034294, train_icir 0.372710, train_ric 0.035786, train_ricir 0.340037, train_mae 0.015182, train_rmse 0.021931, train_mape 187.292999, train_acc 0.660912, valid_loss 0.0006833572, valid_ic 0.000071, valid_icir 0.001777, valid_ric 0.007649, valid_ricir 0.141574, valid_prec@10 0.540984, valid_prec@30 0.533880, valid_mae 0.011874, valid_rmse 0.021825, valid_mape 183.884399, valid_acc 0.667995, test_loss 0.001074, ic 0.001557, icir 0.044857, ric -0.001108, ricir -0.017849, prec@10 0.514403, prec@30 0.513992, test_mae 0.016340, test_rmse 0.028864, test_mape 202.594894, test_acc 0.531651
Epoch 72, train_loss 0.001499, train_ic 0.054868, train_icir 0.483415, train_ric 0.031808, train_ricir 0.249889, train_mae 0.023834, train_rmse 0.030628, train_mape 117.431274, train_acc 0.493581, valid_loss 0.0005954890, valid_ic 0.009633, valid_icir 0.257839, valid_ric 0.005441, valid_ricir 0.088621, valid_prec@10 0.584016, valid_prec@30 0.538251, valid_mae 0.013851, valid_rmse 0.023651, valid_mape 170.690582, valid_acc 0.427180, test_loss 0.001000, ic 0.009380, icir 0.277712, ric -0.007755, ricir -0.099751, prec@10 0.543210, prec@30 0.516598, test_mae 0.016618, test_rmse 0.029591, test_mape 177.737457, test_acc 0.423196
Epoch 73, train_loss 0.001450, train_ic 0.030123, train_icir 0.329514, train_ric 0.029482, train_ricir 0.276924, train_mae 0.047971, train_rmse 0.056708, train_mape 93.769608, train_acc 0.647189, valid_loss 0.0005950215, valid_ic 0.003348, valid_icir 0.087946, valid_ric 0.021055, valid_ricir 0.270026, valid_prec@10 0.557787, valid_prec@30 0.553825, valid_mae 0.012438, valid_rmse 0.022565, valid_mape 148.772110, valid_acc 0.480744, test_loss 0.000991, ic -0.002213, icir -0.073152, ric 0.008760, ricir 0.099066, prec@10 0.537449, prec@30 0.505350, test_mae 0.014666, test_rmse 0.027933, test_mape 140.989029, test_acc 0.484285
Epoch 74, train_loss 0.001476, train_ic 0.072239, train_icir 0.719266, train_ric 0.035996, train_ricir 0.298603, train_mae 0.012629, train_rmse 0.018689, train_mape 232.671188, train_acc 0.536078, valid_loss 0.0006600313, valid_ic 0.011620, valid_icir 0.359996, valid_ric 0.005472, valid_ricir 0.083251, valid_prec@10 0.590164, valid_prec@30 0.563388, valid_mae 0.011582, valid_rmse 0.021407, valid_mape 191.874985, valid_acc 0.680390, test_loss 0.001069, ic 0.006948, icir 0.229183, ric -0.008117, ricir -0.100246, prec@10 0.556379, prec@30 0.527572, test_mae 0.015786, test_rmse 0.028597, test_mape 188.939621, test_acc 0.536078
Epoch 75, train_loss 0.001459, train_ic 0.040899, train_icir 0.365940, train_ric 0.046874, train_ricir 0.369806, train_mae 0.043304, train_rmse 0.047987, train_mape 428.602753, train_acc 0.273130, valid_loss 0.0016554049, valid_ic 0.005259, valid_icir 0.085646, valid_ric 0.016156, valid_ricir 0.166778, valid_prec@10 0.582377, valid_prec@30 0.575273, valid_mae 0.028137, valid_rmse 0.034068, valid_mape 646.297302, valid_acc 0.682603, test_loss 0.002366, ic 0.004398, icir 0.071376, ric 0.012606, ricir 0.112057, prec@10 0.488889, prec@30 0.514678, test_mae 0.037675, test_rmse 0.045929, test_mape 653.524048, test_acc 0.534750
Epoch 76, train_loss 0.001508, train_ic 0.048788, train_icir 0.508284, train_ric 0.012104, train_ricir 0.109375, train_mae 0.019628, train_rmse 0.026039, train_mape 246.665604, train_acc 0.306330, valid_loss 0.0006206090, valid_ic 0.005550, valid_icir 0.184454, valid_ric -0.005637, valid_ricir -0.102646, valid_prec@10 0.567623, valid_prec@30 0.552869, valid_mae 0.011583, valid_rmse 0.021710, valid_mape 156.006699, valid_acc 0.626826, test_loss 0.001018, ic 0.003042, icir 0.109724, ric -0.014641, ricir -0.192131, prec@10 0.528807, prec@30 0.520027, test_mae 0.015001, test_rmse 0.028372, test_mape 158.245102, test_acc 0.527667
Epoch 77, train_loss 0.001472, train_ic 0.064227, train_icir 0.665211, train_ric 0.057493, train_ricir 0.535832, train_mae 0.018096, train_rmse 0.023298, train_mape 326.987732, train_acc 0.420983, valid_loss 0.0007805606, valid_ic 0.006992, valid_icir 0.123840, valid_ric 0.016263, valid_ricir 0.165041, valid_prec@10 0.555738, valid_prec@30 0.535246, valid_mae 0.014235, valid_rmse 0.022722, valid_mape 276.612061, valid_acc 0.675077, test_loss 0.001260, ic 0.004264, icir 0.093488, ric 0.012199, ricir 0.121039, prec@10 0.518930, prec@30 0.510837, test_mae 0.020790, test_rmse 0.032052, test_mape 313.571136, test_acc 0.534750
Epoch 78, train_loss 0.001484, train_ic 0.061724, train_icir 0.633973, train_ric 0.050218, train_ricir 0.445213, train_mae 0.030546, train_rmse 0.037087, train_mape 431.456238, train_acc 0.243471, valid_loss 0.0008893647, valid_ic 0.010615, valid_icir 0.262872, valid_ric 0.017316, valid_ricir 0.262005, valid_prec@10 0.622131, valid_prec@30 0.584973, valid_mae 0.026567, valid_rmse 0.033479, valid_mape 449.881226, valid_acc 0.194776, test_loss 0.001227, ic 0.006322, icir 0.149412, ric 0.012452, ricir 0.141335, prec@10 0.551440, prec@30 0.556927, test_mae 0.021554, test_rmse 0.033328, test_mape 314.210754, test_acc 0.398849
Epoch 79, train_loss 0.001495, train_ic 0.048529, train_icir 0.404208, train_ric 0.068307, train_ricir 0.511229, train_mae 0.054607, train_rmse 0.061839, train_mape 450.003296, train_acc 0.044710, valid_loss 0.0012145317, valid_ic 0.010350, valid_icir 0.179233, valid_ric 0.030533, valid_ricir 0.325722, valid_prec@10 0.528689, valid_prec@30 0.531831, valid_mae 0.031940, valid_rmse 0.038061, valid_mape 565.490906, valid_acc 0.194776, test_loss 0.001459, ic 0.008148, icir 0.138040, ric 0.022649, ricir 0.206292, prec@10 0.481481, prec@30 0.513032, test_mae 0.024818, test_rmse 0.034901, test_mape 378.420105, test_acc 0.389110
