Dataset:  CSI300
Radom seed: 1234
GPU: 6
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI300",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2017,
        "test_year": 2018,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 22, train_loss 0.001951, train_ic 0.023539, train_icir 0.234615, train_ric -0.012767, train_ricir -0.099312, train_mae 0.052430, train_rmse 0.063636, train_mape 118.148003, train_acc 0.540000, valid_loss 0.0014299617, valid_ic -0.009429, valid_icir -0.115228, valid_ric -0.016735, valid_ricir -0.202946, valid_prec@10 0.511066, valid_prec@30 0.526366, valid_mae 0.017079, valid_rmse 0.050479, valid_mape 354.636658, valid_acc 0.500000, test_loss 0.002738, ic -0.002995, icir -0.038081, ric -0.023092, ricir -0.218901, prec@10 0.477778, prec@30 0.494787, test_mae 0.016996, test_rmse 0.039521, test_mape 287.807098, test_acc 0.390000
Epoch 23, train_loss 0.001842, train_ic 0.042532, train_icir 0.397557, train_ric 0.034544, train_ricir 0.258796, train_mae 0.044238, train_rmse 0.050293, train_mape 116.024551, train_acc 0.263333, valid_loss 0.0013778083, valid_ic -0.007386, valid_icir -0.080589, valid_ric 0.006756, valid_ricir 0.064915, valid_prec@10 0.490164, valid_prec@30 0.504781, valid_mae 0.015526, valid_rmse 0.048605, valid_mape 352.511566, valid_acc 0.673333, test_loss 0.002674, ic -0.001680, icir -0.020147, ric -0.008526, ricir -0.085091, prec@10 0.476543, prec@30 0.483539, test_mae 0.014635, test_rmse 0.037393, test_mape 252.091461, test_acc 0.610000
Epoch 24, train_loss 0.001811, train_ic 0.040489, train_icir 0.345054, train_ric 0.044092, train_ricir 0.347016, train_mae 0.032015, train_rmse 0.045924, train_mape 445.063538, train_acc 0.313333, valid_loss 0.0013303932, valid_ic -0.007309, valid_icir -0.080437, valid_ric 0.003673, valid_ricir 0.038779, valid_prec@10 0.578689, valid_prec@30 0.562022, valid_mae 0.017339, valid_rmse 0.048139, valid_mape 377.781250, valid_acc 0.606667, test_loss 0.002682, ic 0.000604, icir 0.006850, ric 0.011972, ricir 0.098997, prec@10 0.522222, prec@30 0.533196, test_mae 0.018618, test_rmse 0.037727, test_mape 341.733490, test_acc 0.620000
Epoch 25, train_loss 0.001869, train_ic 0.052270, train_icir 0.394619, train_ric 0.024158, train_ricir 0.170842, train_mae 0.026054, train_rmse 0.033404, train_mape 124.221039, train_acc 0.813333, valid_loss 0.0013375784, valid_ic -0.000085, valid_icir -0.000934, valid_ric -0.009077, valid_ricir -0.102148, valid_prec@10 0.505738, valid_prec@30 0.519262, valid_mae 0.023097, valid_rmse 0.050169, valid_mape 447.875488, valid_acc 0.183333, test_loss 0.002484, ic 0.006985, icir 0.080540, ric 0.001013, ricir 0.009646, prec@10 0.485597, prec@30 0.497531, test_mae 0.017517, test_rmse 0.037096, test_mape 285.877380, test_acc 0.393333
Epoch 26, train_loss 0.001729, train_ic 0.032630, train_icir 0.315645, train_ric 0.054610, train_ricir 0.486872, train_mae 0.024813, train_rmse 0.034065, train_mape 194.284088, train_acc 0.456667, valid_loss 0.0012556017, valid_ic -0.004911, valid_icir -0.048678, valid_ric 0.017576, valid_ricir 0.167182, valid_prec@10 0.597131, valid_prec@30 0.575546, valid_mae 0.017652, valid_rmse 0.046369, valid_mape 401.056152, valid_acc 0.650000, test_loss 0.002687, ic 0.002206, icir 0.023644, ric 0.019138, ricir 0.147670, prec@10 0.558848, prec@30 0.548697, test_mae 0.022819, test_rmse 0.039638, test_mape 411.831055, test_acc 0.593333
Epoch 27, train_loss 0.001830, train_ic 0.042380, train_icir 0.391837, train_ric 0.007973, train_ricir 0.059063, train_mae 0.014193, train_rmse 0.019974, train_mape 195.367310, train_acc 0.346667, valid_loss 0.0011219669, valid_ic -0.007957, valid_icir -0.082020, valid_ric -0.024344, valid_ricir -0.257656, valid_prec@10 0.500000, valid_prec@30 0.515027, valid_mae 0.015092, valid_rmse 0.045164, valid_mape 301.930756, valid_acc 0.656667, test_loss 0.002310, ic 0.001279, icir 0.015240, ric -0.013691, ricir -0.133772, prec@10 0.485185, prec@30 0.497531, test_mae 0.014483, test_rmse 0.034087, test_mape 273.570312, test_acc 0.586667
Epoch 28, train_loss 0.001812, train_ic 0.008955, train_icir 0.073381, train_ric 0.023625, train_ricir 0.178518, train_mae 0.077499, train_rmse 0.082121, train_mape 90.597191, train_acc 0.856667, valid_loss 0.0010735954, valid_ic -0.009169, valid_icir -0.105485, valid_ric 0.018266, valid_ricir 0.197812, valid_prec@10 0.534836, valid_prec@30 0.545219, valid_mae 0.020503, valid_rmse 0.046659, valid_mape 385.361908, valid_acc 0.193333, test_loss 0.002302, ic -0.007191, icir -0.093613, ric -0.000790, ricir -0.007789, prec@10 0.488066, prec@30 0.510837, test_mae 0.017066, test_rmse 0.035103, test_mape 256.182831, test_acc 0.353333
Epoch 29, train_loss 0.001729, train_ic 0.037134, train_icir 0.312181, train_ric 0.028934, train_ricir 0.219263, train_mae 0.022438, train_rmse 0.030276, train_mape 311.742889, train_acc 0.593333, valid_loss 0.0013312907, valid_ic 0.005383, valid_icir 0.057863, valid_ric 0.012187, valid_ricir 0.133720, valid_prec@10 0.492213, valid_prec@30 0.556967, valid_mae 0.029063, valid_rmse 0.050629, valid_mape 562.480835, valid_acc 0.190000, test_loss 0.002459, ic -0.001063, icir -0.013764, ric 0.000073, ricir 0.000742, prec@10 0.510700, prec@30 0.533745, test_mae 0.025913, test_rmse 0.039889, test_mape 453.180756, test_acc 0.320000
Epoch 30, train_loss 0.001767, train_ic 0.009640, train_icir 0.103279, train_ric 0.023483, train_ricir 0.215777, train_mae 0.017689, train_rmse 0.024193, train_mape 213.235504, train_acc 0.376667, valid_loss 0.0010808714, valid_ic -0.012569, valid_icir -0.143324, valid_ric 0.013610, valid_ricir 0.149743, valid_prec@10 0.543443, valid_prec@30 0.546858, valid_mae 0.016450, valid_rmse 0.043658, valid_mape 349.040161, valid_acc 0.593333, test_loss 0.002250, ic -0.004706, icir -0.062450, ric 0.002413, ricir 0.027155, prec@10 0.508642, prec@30 0.526749, test_mae 0.018099, test_rmse 0.035143, test_mape 288.575317, test_acc 0.460000
Epoch 31, train_loss 0.001716, train_ic 0.023195, train_icir 0.194459, train_ric -0.020328, train_ricir -0.156283, train_mae 0.018884, train_rmse 0.024487, train_mape 320.670654, train_acc 0.496667, valid_loss 0.0013757509, valid_ic -0.011502, valid_icir -0.144432, valid_ric -0.020432, valid_ricir -0.246783, valid_prec@10 0.564344, valid_prec@30 0.562978, valid_mae 0.020407, valid_rmse 0.044443, valid_mape 463.673981, valid_acc 0.650000, test_loss 0.002410, ic -0.003782, icir -0.049923, ric -0.020901, ricir -0.179363, prec@10 0.534156, prec@30 0.525652, test_mae 0.018692, test_rmse 0.034787, test_mape 343.448334, test_acc 0.513333
