Dataset:  CSI
Radom seed: 1234
GPU: 6
Learning rate: 0.01
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 8,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2017,
        "test_year": 2018,
        "window": 8,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 22, train_loss 0.001865, train_ic 0.033230, train_icir 0.367982, train_ric 0.041594, train_ricir 0.384203, train_mae 0.033134, train_rmse 0.044266, train_mape 260.902679, train_acc 0.450232, valid_loss 0.0007995261, valid_ic 0.019244, valid_icir 0.274386, valid_ric 0.015463, valid_ricir 0.154825, valid_prec@10 0.585246, valid_prec@30 0.563661, valid_mae 0.018048, valid_rmse 0.027423, valid_mape 253.318527, valid_acc 0.396417, test_loss 0.001140, ic 0.003330, icir 0.049825, ric 0.006914, ricir 0.066497, prec@10 0.507407, prec@30 0.506173, test_mae 0.018778, test_rmse 0.028081, test_mape 224.527008, test_acc 0.493128
Epoch 23, train_loss 0.001900, train_ic 0.011304, train_icir 0.136893, train_ric 0.016205, train_ricir 0.165134, train_mae 0.023551, train_rmse 0.030437, train_mape 384.994873, train_acc 0.742176, valid_loss 0.0015554553, valid_ic 0.011702, valid_icir 0.230702, valid_ric 0.011438, valid_ricir 0.168376, valid_prec@10 0.606148, valid_prec@30 0.587842, valid_mae 0.026631, valid_rmse 0.034022, valid_mape 573.826721, valid_acc 0.664837, test_loss 0.002247, ic 0.001062, icir 0.016375, ric 0.007214, ricir 0.072352, prec@10 0.541152, prec@30 0.533196, test_mae 0.038156, test_rmse 0.046999, test_mape 629.569214, test_acc 0.499018
Epoch 24, train_loss 0.001893, train_ic 0.006322, train_icir 0.097335, train_ric 0.015907, train_ricir 0.212494, train_mae 0.043427, train_rmse 0.053203, train_mape 354.182800, train_acc 0.175452, valid_loss 0.0011006668, valid_ic 0.004943, valid_icir 0.183511, valid_ric 0.011751, valid_ricir 0.362567, valid_prec@10 0.584016, valid_prec@30 0.587432, valid_mae 0.028397, valid_rmse 0.035550, valid_mape 477.097321, valid_acc 0.263797, test_loss 0.001416, ic -0.003017, icir -0.063889, ric 0.006586, ricir 0.095174, prec@10 0.537449, prec@30 0.536488, test_mae 0.024896, test_rmse 0.033434, test_mape 395.186462, test_acc 0.468163
Epoch 25, train_loss 0.001862, train_ic 0.035981, train_icir 0.572801, train_ric 0.008856, train_ricir 0.109361, train_mae 0.013783, train_rmse 0.020048, train_mape 181.965057, train_acc 0.444621, valid_loss 0.0007457902, valid_ic 0.030369, valid_icir 0.663269, valid_ric 0.000573, valid_ricir 0.009635, valid_prec@10 0.570082, valid_prec@30 0.580191, valid_mae 0.014160, valid_rmse 0.023996, valid_mape 194.429001, valid_acc 0.605316, test_loss 0.001103, ic 0.001061, icir 0.029497, ric -0.009139, ricir -0.152571, prec@10 0.492181, prec@30 0.500274, test_mae 0.017802, test_rmse 0.026884, test_mape 192.812271, test_acc 0.483590
Epoch 26, train_loss 0.001774, train_ic 0.043197, train_icir 0.424881, train_ric 0.030967, train_ricir 0.262089, train_mae 0.017994, train_rmse 0.025093, train_mape 2824.758057, train_acc 0.388655, valid_loss 0.0007106391, valid_ic 0.030249, valid_icir 0.422941, valid_ric 0.008444, valid_ricir 0.089748, valid_prec@10 0.707787, valid_prec@30 0.629372, valid_mae 0.015500, valid_rmse 0.024850, valid_mape 197.015732, valid_acc 0.524126, test_loss 0.001084, ic 0.013518, icir 0.197911, ric 0.004275, ricir 0.041206, prec@10 0.541152, prec@30 0.536488, test_mae 0.018462, test_rmse 0.027327, test_mape 203.944870, test_acc 0.494811
Epoch 27, train_loss 0.001792, train_ic 0.041064, train_icir 0.518166, train_ric 0.008313, train_ricir 0.088425, train_mae 0.031078, train_rmse 0.035576, train_mape 469.026001, train_acc 0.249516, valid_loss 0.0013783718, valid_ic 0.031552, valid_icir 0.664319, valid_ric 0.002163, valid_ricir 0.035410, valid_prec@10 0.654918, valid_prec@30 0.609836, valid_mae 0.023903, valid_rmse 0.031319, valid_mape 527.372009, valid_acc 0.668304, test_loss 0.001741, ic 0.010375, icir 0.223304, ric -0.006996, ricir -0.097323, prec@10 0.532099, prec@30 0.527709, test_mae 0.028295, test_rmse 0.036102, test_mape 462.937073, test_acc 0.502104
Epoch 28, train_loss 0.001810, train_ic 0.003328, train_icir 0.035905, train_ric -0.013273, train_ricir -0.124937, train_mae 0.034506, train_rmse 0.045403, train_mape 145.743408, train_acc 0.715760, valid_loss 0.0012156224, valid_ic 0.007519, valid_icir 0.086403, valid_ric -0.002034, valid_ricir -0.019104, valid_prec@10 0.565164, valid_prec@30 0.543989, valid_mae 0.029621, valid_rmse 0.037521, valid_mape 486.195221, valid_acc 0.305692, test_loss 0.001764, ic -0.003843, icir -0.055741, ric -0.004800, ricir -0.048749, prec@10 0.520988, prec@30 0.518107, test_mae 0.032050, test_rmse 0.041035, test_mape 499.066345, test_acc 0.453015
Epoch 29, train_loss 0.001903, train_ic 0.039659, train_icir 0.696139, train_ric 0.011425, train_ricir 0.169235, train_mae 0.019023, train_rmse 0.024645, train_mape 313.730621, train_acc 0.499405, valid_loss 0.0009242635, valid_ic 0.028616, valid_icir 0.691812, valid_ric 0.001244, valid_ricir 0.025949, valid_prec@10 0.659426, valid_prec@30 0.607240, valid_mae 0.016186, valid_rmse 0.025105, valid_mape 304.573883, valid_acc 0.666281, test_loss 0.001282, ic 0.001692, icir 0.048961, ric -0.006160, ricir -0.115786, prec@10 0.530864, prec@30 0.531550, test_mae 0.021528, test_rmse 0.029948, test_mape 308.948120, test_acc 0.502104
Epoch 30, train_loss 0.001740, train_ic 0.026471, train_icir 0.256301, train_ric 0.038298, train_ricir 0.330871, train_mae 0.018879, train_rmse 0.025346, train_mape 157.464157, train_acc 0.733624, valid_loss 0.0014895226, valid_ic 0.016244, valid_icir 0.179377, valid_ric 0.013255, valid_ricir 0.116520, valid_prec@10 0.602049, valid_prec@30 0.572404, valid_mae 0.032687, valid_rmse 0.040943, valid_mape 588.663147, valid_acc 0.266108, test_loss 0.001590, ic 0.006023, icir 0.066176, ric 0.010654, ricir 0.087870, prec@10 0.496296, prec@30 0.508642, test_mae 0.024953, test_rmse 0.033631, test_mape 407.845032, test_acc 0.475456
Epoch 31, train_loss 0.001811, train_ic 0.035129, train_icir 0.609049, train_ric 0.017032, train_ricir 0.285942, train_mae 0.017824, train_rmse 0.024890, train_mape 303.360321, train_acc 0.438240, valid_loss 0.0007210553, valid_ic 0.032576, valid_icir 0.689687, valid_ric 0.010178, valid_ricir 0.256163, valid_prec@10 0.606148, valid_prec@30 0.583470, valid_mae 0.020268, valid_rmse 0.027801, valid_mape 284.148682, valid_acc 0.278532, test_loss 0.001060, ic 0.000224, icir 0.007533, ric 0.001584, ricir 0.041163, prec@10 0.492593, prec@30 0.508368, test_mae 0.019338, test_rmse 0.027459, test_mape 250.055573, test_acc 0.463114
