Dataset:  CSI
Radom seed: 1234
GPU: 6
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 64,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2017,
        "test_year": 2018,
        "window": 64,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 22, train_loss 0.002563, train_ic 0.019016, train_icir 0.196420, train_ric 0.036232, train_ricir 0.252054, train_mae 0.017882, train_rmse 0.031454, train_mape 345.593323, train_acc 0.402389, valid_loss 0.0014395702, valid_ic 0.000647, valid_icir 0.010279, valid_ric 0.005662, valid_ricir 0.049241, valid_prec@10 0.563115, valid_prec@30 0.564891, valid_mae 0.018975, valid_rmse 0.038472, valid_mape 302.099213, valid_acc 0.569185, test_loss 0.001948, ic 0.002629, icir 0.038177, ric 0.009058, ricir 0.069981, prec@10 0.481481, prec@30 0.517010, test_mae 0.022591, test_rmse 0.036813, test_mape 304.998749, test_acc 0.497886
Epoch 23, train_loss 0.002422, train_ic 0.014437, train_icir 0.234191, train_ric 0.037683, train_ricir 0.329360, train_mae 0.017465, train_rmse 0.034190, train_mape 267.467285, train_acc 0.626671, valid_loss 0.0014584089, valid_ic -0.001869, valid_icir -0.054155, valid_ric 0.020248, valid_ricir 0.251366, valid_prec@10 0.541803, valid_prec@30 0.541667, valid_mae 0.028087, valid_rmse 0.042151, valid_mape 469.426025, valid_acc 0.216889, test_loss 0.001831, ic -0.000143, icir -0.004112, ric 0.018803, ricir 0.215503, prec@10 0.533333, prec@30 0.525103, test_mae 0.022814, test_rmse 0.036251, test_mape 348.478058, test_acc 0.437835
Epoch 24, train_loss 0.002399, train_ic 0.016039, train_icir 0.223293, train_ric 0.033364, train_ricir 0.282547, train_mae 0.016447, train_rmse 0.031387, train_mape 367.107666, train_acc 0.530028, valid_loss 0.0013162526, valid_ic -0.000613, valid_icir -0.016647, valid_ric 0.007040, valid_ricir 0.085341, valid_prec@10 0.611885, valid_prec@30 0.588798, valid_mae 0.016586, valid_rmse 0.034105, valid_mape 311.654053, valid_acc 0.683556, test_loss 0.001915, ic -0.000157, icir -0.003069, ric 0.006674, ricir 0.062047, prec@10 0.547325, prec@30 0.548697, test_mae 0.024683, test_rmse 0.038417, test_mape 342.964050, test_acc 0.505498
Epoch 25, train_loss 0.002274, train_ic 0.017952, train_icir 0.291719, train_ric 0.001047, train_ricir 0.008624, train_mae 0.016108, train_rmse 0.023096, train_mape 138.293045, train_acc 0.392801, valid_loss 0.0010535973, valid_ic -0.000412, valid_icir -0.012223, valid_ric -0.008745, valid_ricir -0.083993, valid_prec@10 0.548361, valid_prec@30 0.547541, valid_mae 0.014950, valid_rmse 0.032238, valid_mape 191.344635, valid_acc 0.485037, test_loss 0.001457, ic 0.000363, icir 0.012202, ric -0.009902, ricir -0.087539, prec@10 0.554733, prec@30 0.529767, test_mae 0.016985, test_rmse 0.031540, test_mape 159.625198, test_acc 0.435861
Epoch 26, train_loss 0.002134, train_ic 0.031469, train_icir 0.412780, train_ric 0.036974, train_ricir 0.262856, train_mae 0.016203, train_rmse 0.033780, train_mape 1468.895874, train_acc 0.431359, valid_loss 0.0010086285, valid_ic 0.003759, valid_icir 0.091423, valid_ric -0.000933, valid_ricir -0.011222, valid_prec@10 0.540164, valid_prec@30 0.503825, valid_mae 0.016593, valid_rmse 0.032542, valid_mape 194.139938, valid_acc 0.326519, test_loss 0.001434, ic 0.005369, icir 0.141166, ric -0.002157, ricir -0.024121, prec@10 0.504527, prec@30 0.506584, test_mae 0.018296, test_rmse 0.032204, test_mape 179.744919, test_acc 0.423456
Epoch 27, train_loss 0.002140, train_ic 0.012059, train_icir 0.175138, train_ric 0.020505, train_ricir 0.210408, train_mae 0.030578, train_rmse 0.041950, train_mape 305.096008, train_acc 0.407474, valid_loss 0.0015360664, valid_ic -0.000633, valid_icir -0.018663, valid_ric 0.007782, valid_ricir 0.111650, valid_prec@10 0.525410, valid_prec@30 0.524180, valid_mae 0.021851, valid_rmse 0.033846, valid_mape 508.725311, valid_acc 0.681481, test_loss 0.001932, ic -0.002484, icir -0.076481, ric -0.001938, ricir -0.020699, prec@10 0.488477, prec@30 0.503704, test_mae 0.026688, test_rmse 0.037739, test_mape 447.330750, test_acc 0.503242
Epoch 28, train_loss 0.002101, train_ic 0.004880, train_icir 0.056289, train_ric 0.008466, train_ricir 0.063456, train_mae 0.017104, train_rmse 0.027466, train_mape 520.366577, train_acc 0.494241, valid_loss 0.0011907176, valid_ic -0.003424, valid_icir -0.057296, valid_ric 0.010043, valid_ricir 0.079865, valid_prec@10 0.506148, valid_prec@30 0.518716, valid_mae 0.016314, valid_rmse 0.029978, valid_mape 329.507538, valid_acc 0.629037, test_loss 0.001560, ic -0.004796, icir -0.095267, ric 0.007056, ricir 0.054490, prec@10 0.462963, prec@30 0.486968, test_mae 0.020969, test_rmse 0.033359, test_mape 292.168854, test_acc 0.465746
Epoch 29, train_loss 0.002113, train_ic 0.025177, train_icir 0.245018, train_ric 0.038132, train_ricir 0.256435, train_mae 0.023838, train_rmse 0.033825, train_mape 173.092560, train_acc 0.369518, valid_loss 0.0009274890, valid_ic 0.003373, valid_icir 0.054333, valid_ric 0.005502, valid_ricir 0.047123, valid_prec@10 0.565984, valid_prec@30 0.548224, valid_mae 0.015920, valid_rmse 0.029744, valid_mape 220.130737, valid_acc 0.490370, test_loss 0.001363, ic 0.006973, icir 0.109614, ric 0.010958, ricir 0.088133, prec@10 0.502469, prec@30 0.514952, test_mae 0.018253, test_rmse 0.030251, test_mape 210.521057, test_acc 0.507189
Epoch 30, train_loss 0.002045, train_ic 0.030090, train_icir 0.387964, train_ric 0.042876, train_ricir 0.340372, train_mae 0.014048, train_rmse 0.028708, train_mape 171.879501, train_acc 0.519407, valid_loss 0.0008323843, valid_ic 0.004026, valid_icir 0.098822, valid_ric 0.008200, valid_ricir 0.089609, valid_prec@10 0.586475, valid_prec@30 0.537022, valid_mae 0.014312, valid_rmse 0.028308, valid_mape 153.818695, valid_acc 0.474963, test_loss 0.001217, ic 0.002196, icir 0.051671, ric 0.001703, ricir 0.016447, prec@10 0.482305, prec@30 0.494787, test_mae 0.015759, test_rmse 0.028610, test_mape 147.622025, test_acc 0.482098
Epoch 31, train_loss 0.001893, train_ic 0.037439, train_icir 0.442967, train_ric 0.043412, train_ricir 0.327933, train_mae 0.046395, train_rmse 0.051954, train_mape 625.857361, train_acc 0.150273, valid_loss 0.0017946057, valid_ic 0.005383, valid_icir 0.133016, valid_ric 0.005335, valid_ricir 0.065496, valid_prec@10 0.544672, valid_prec@30 0.549454, valid_mae 0.040102, valid_rmse 0.046884, valid_mape 740.294678, valid_acc 0.214222, test_loss 0.002125, ic 0.005788, icir 0.146896, ric 0.007325, ricir 0.075517, prec@10 0.472428, prec@30 0.492867, test_mae 0.034449, test_rmse 0.042593, test_mape 598.775696, test_acc 0.426276
