Dataset:  CSI2259
Radom seed: 1234
GPU: 5
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 32,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI2259",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2020,
        "test_year": 2021,
        "window": 32,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 22, train_loss 0.001389, train_ic 0.035891, train_icir 0.402088, train_ric 0.009120, train_ricir 0.073959, train_mae 0.027476, train_rmse 0.034249, train_mape 80.963928, train_acc 0.865427, valid_loss 0.0024523403, valid_ic 0.002317, valid_icir 0.052956, valid_ric 0.002177, valid_ricir 0.022948, valid_prec@10 0.553086, valid_prec@30 0.550480, valid_mae 0.020467, valid_rmse 0.057615, valid_mape 273.791016, valid_acc 0.699425, test_loss 0.003879, ic 0.007680, icir 0.112387, ric -0.005661, ricir -0.063168, prec@10 0.525514, prec@30 0.534705, test_mae 0.023407, test_rmse 0.060764, test_mape 507.575806, test_acc 0.617087
Epoch 23, train_loss 0.001391, train_ic 0.007547, train_icir 0.122768, train_ric -0.009735, train_ricir -0.117071, train_mae 0.021002, train_rmse 0.029730, train_mape 140.201111, train_acc 0.511288, valid_loss 0.0023848925, valid_ic -0.003619, valid_icir -0.097636, valid_ric -0.011991, valid_ricir -0.157571, valid_prec@10 0.568313, valid_prec@30 0.533608, valid_mae 0.026908, valid_rmse 0.059765, valid_mape 296.059479, valid_acc 0.304117, test_loss 0.003752, ic 0.003504, icir 0.056958, ric -0.011838, ricir -0.174417, prec@10 0.516049, prec@30 0.506310, test_mae 0.025933, test_rmse 0.061053, test_mape 474.473938, test_acc 0.365649
Epoch 24, train_loss 0.001359, train_ic 0.016832, train_icir 0.251617, train_ric 0.016619, train_ricir 0.204963, train_mae 0.018325, train_rmse 0.028601, train_mape 330.499115, train_acc 0.805666, valid_loss 0.0027452594, valid_ic -0.004662, valid_icir -0.107637, valid_ric -0.004218, valid_ricir -0.062640, valid_prec@10 0.550206, valid_prec@30 0.527984, valid_mae 0.025598, valid_rmse 0.057049, valid_mape 421.777679, valid_acc 0.708721, test_loss 0.004048, ic 0.005230, icir 0.073421, ric 0.006564, ricir 0.112478, prec@10 0.554733, prec@30 0.524417, test_mae 0.029010, test_rmse 0.060337, test_mape 687.466125, test_acc 0.615759
Epoch 25, train_loss 0.001359, train_ic 0.021124, train_icir 0.233368, train_ric -0.015640, train_ricir -0.126078, train_mae 0.014591, train_rmse 0.025786, train_mape 207.493286, train_acc 0.399734, valid_loss 0.0022705406, valid_ic 0.004891, valid_icir 0.121719, valid_ric -0.000280, valid_ricir -0.002571, valid_prec@10 0.539506, valid_prec@30 0.531413, valid_mae 0.025702, valid_rmse 0.057381, valid_mape 293.084167, valid_acc 0.377158, test_loss 0.003551, ic 0.005725, icir 0.102757, ric -0.023365, ricir -0.243610, prec@10 0.524691, prec@30 0.510425, test_mae 0.025299, test_rmse 0.058864, test_mape 456.870850, test_acc 0.384683
Epoch 26, train_loss 0.001300, train_ic 0.018500, train_icir 0.312538, train_ric 0.009041, train_ricir 0.116825, train_mae 0.021134, train_rmse 0.026599, train_mape 183.649170, train_acc 0.304117, valid_loss 0.0021854003, valid_ic -0.000739, valid_icir -0.021404, valid_ric 0.001862, valid_ricir 0.020768, valid_prec@10 0.562963, valid_prec@30 0.550617, valid_mae 0.020154, valid_rmse 0.053965, valid_mape 254.350632, valid_acc 0.667995, test_loss 0.003429, ic 0.004397, icir 0.079466, ric -0.006857, ricir -0.083020, prec@10 0.521399, prec@30 0.513443, test_mae 0.022347, test_rmse 0.056672, test_mape 452.225403, test_acc 0.605578
Epoch 27, train_loss 0.001304, train_ic 0.025388, train_icir 0.302027, train_ric 0.024712, train_ricir 0.235292, train_mae 0.016671, train_rmse 0.023783, train_mape 106.318954, train_acc 0.470120, valid_loss 0.0020557437, valid_ic -0.002201, valid_icir -0.051971, valid_ric 0.008042, valid_ricir 0.093476, valid_prec@10 0.541975, valid_prec@30 0.521125, valid_mae 0.020995, valid_rmse 0.053712, valid_mape 219.413940, valid_acc 0.584772, test_loss 0.003248, ic 0.005968, icir 0.088728, ric 0.015422, ricir 0.192926, prec@10 0.538683, prec@30 0.531139, test_mae 0.020804, test_rmse 0.055538, test_mape 358.760376, test_acc 0.590084
Epoch 28, train_loss 0.001313, train_ic 0.023641, train_icir 0.265691, train_ric 0.023485, train_ricir 0.213154, train_mae 0.030127, train_rmse 0.040813, train_mape 129.508759, train_acc 0.829571, valid_loss 0.0021729411, valid_ic -0.004623, valid_icir -0.090343, valid_ric 0.001779, valid_ricir 0.015908, valid_prec@10 0.558848, valid_prec@30 0.521125, valid_mae 0.029303, valid_rmse 0.057422, valid_mape 329.338745, valid_acc 0.224878, test_loss 0.003344, ic 0.006765, icir 0.087829, ric 0.018303, ricir 0.151221, prec@10 0.561728, prec@30 0.525652, test_mae 0.027362, test_rmse 0.057694, test_mape 513.978638, test_acc 0.336875
Epoch 29, train_loss 0.001252, train_ic 0.012412, train_icir 0.154903, train_ric 0.030114, train_ricir 0.288828, train_mae 0.030113, train_rmse 0.036227, train_mape 77.931717, train_acc 0.845064, valid_loss 0.0020115643, valid_ic -0.002923, valid_icir -0.073075, valid_ric 0.016821, valid_ricir 0.178489, valid_prec@10 0.511934, valid_prec@30 0.515638, valid_mae 0.019876, valid_rmse 0.051579, valid_mape 235.472488, valid_acc 0.673307, test_loss 0.003127, ic 0.004611, icir 0.072994, ric 0.019346, ricir 0.230857, prec@10 0.511111, prec@30 0.501646, test_mae 0.020928, test_rmse 0.053474, test_mape 401.447144, test_acc 0.615759
Epoch 30, train_loss 0.001305, train_ic 0.039016, train_icir 0.439013, train_ric 0.024754, train_ricir 0.210718, train_mae 0.011897, train_rmse 0.022658, train_mape 199.900406, train_acc 0.402390, valid_loss 0.0019170112, valid_ic 0.002516, valid_icir 0.059224, valid_ric 0.015597, valid_ricir 0.158054, valid_prec@10 0.558436, valid_prec@30 0.547737, valid_mae 0.020675, valid_rmse 0.051598, valid_mape 205.587814, valid_acc 0.579017, test_loss 0.003014, ic 0.007964, icir 0.119259, ric 0.014082, ricir 0.132415, prec@10 0.550617, prec@30 0.545130, test_mae 0.020639, test_rmse 0.053273, test_mape 335.805908, test_acc 0.544046
Epoch 31, train_loss 0.001301, train_ic 0.014651, train_icir 0.177041, train_ric 0.021308, train_ricir 0.189499, train_mae 0.063385, train_rmse 0.072060, train_mape 211.276321, train_acc 0.128375, valid_loss 0.0026942570, valid_ic -0.007006, valid_icir -0.139572, valid_ric -0.002964, valid_ricir -0.025500, valid_prec@10 0.561317, valid_prec@30 0.549657, valid_mae 0.027610, valid_rmse 0.053315, valid_mape 444.011292, valid_acc 0.715803, test_loss 0.003682, ic 0.006451, icir 0.087844, ric 0.020977, ricir 0.174962, prec@10 0.589712, prec@30 0.573663, test_mae 0.030492, test_rmse 0.055857, test_mape 680.432739, test_acc 0.617087
