Dataset:  CSI
Radom seed: 1234
GPU: 6
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2024,
        "test_year": 2025,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 23, train_loss 0.001377, train_ic 0.017031, train_icir 0.194144, train_ric -0.011623, train_ricir -0.087623, train_mae 0.025252, train_rmse 0.035282, train_mape 823.237610, train_acc 0.460567, valid_loss 0.0016944245, valid_ic 0.006816, valid_icir 0.082969, valid_ric -0.020612, valid_ricir -0.115783, valid_prec@10 0.482645, valid_prec@30 0.479201, valid_mae 0.028276, valid_rmse 0.038945, valid_mape 971.827698, valid_acc 0.491812, test_loss 0.001547, ic 0.004911, icir 0.111214, ric -0.013963, ricir -0.095771, prec@10 0.515638, prec@30 0.514540, test_mae 0.023934, test_rmse 0.038607, test_mape 1111.673462, test_acc 0.477692
Epoch 24, train_loss 0.001343, train_ic 0.019014, train_icir 0.266368, train_ric -0.008958, train_ricir -0.090268, train_mae 0.022366, train_rmse 0.032370, train_mape 401.921844, train_acc 0.464595, valid_loss 0.0015702355, valid_ic 0.008577, valid_icir 0.128388, valid_ric -0.011165, valid_ricir -0.074414, valid_prec@10 0.502066, valid_prec@30 0.488017, valid_mae 0.026654, valid_rmse 0.037238, valid_mape 471.030609, valid_acc 0.476987, test_loss 0.001398, ic 0.004133, icir 0.119357, ric -0.006675, ricir -0.092072, prec@10 0.522222, prec@30 0.522085, test_mae 0.021884, test_rmse 0.036411, test_mape 604.145813, test_acc 0.488472
Epoch 25, train_loss 0.001330, train_ic 0.032866, train_icir 0.427074, train_ric 0.013912, train_ricir 0.133007, train_mae 0.024490, train_rmse 0.034418, train_mape 718.674500, train_acc 0.462329, valid_loss 0.0016824095, valid_ic 0.017684, valid_icir 0.326808, valid_ric 0.013517, valid_ricir 0.108483, valid_prec@10 0.519835, valid_prec@30 0.497658, valid_mae 0.027898, valid_rmse 0.038553, valid_mape 858.815247, valid_acc 0.498241, test_loss 0.001536, ic 0.006230, icir 0.149948, ric 0.004281, ricir 0.050570, prec@10 0.555967, prec@30 0.528395, test_mae 0.024156, test_rmse 0.038423, test_mape 1100.078369, test_acc 0.479888
Epoch 26, train_loss 0.001320, train_ic 0.020734, train_icir 0.305392, train_ric 0.024222, train_ricir 0.303379, train_mae 0.025585, train_rmse 0.034039, train_mape 846.505798, train_acc 0.469415, valid_loss 0.0016584872, valid_ic 0.016531, valid_icir 0.332784, valid_ric 0.032855, valid_ricir 0.348151, valid_prec@10 0.495455, valid_prec@30 0.486915, valid_mae 0.028981, valid_rmse 0.038282, valid_mape 965.065430, valid_acc 0.478331, test_loss 0.001468, ic 0.004328, icir 0.103346, ric 0.025368, ricir 0.364108, prec@10 0.530453, prec@30 0.521948, test_mae 0.024686, test_rmse 0.037194, test_mape 1229.879883, test_acc 0.492595
Epoch 27, train_loss 0.001317, train_ic 0.032417, train_icir 0.385175, train_ric -0.003889, train_ricir -0.037588, train_mae 0.024941, train_rmse 0.033591, train_mape 754.364136, train_acc 0.467354, valid_loss 0.0016481842, valid_ic 0.024718, valid_icir 0.289808, valid_ric 0.013525, valid_ricir 0.092689, valid_prec@10 0.547521, valid_prec@30 0.507989, valid_mae 0.028445, valid_rmse 0.038031, valid_mape 838.201965, valid_acc 0.476110, test_loss 0.001439, ic 0.008530, icir 0.197460, ric -0.007662, ricir -0.098075, prec@10 0.553909, prec@30 0.530864, test_mae 0.024145, test_rmse 0.036870, test_mape 1098.098877, test_acc 0.490621
Epoch 28, train_loss 0.001301, train_ic 0.021576, train_icir 0.261764, train_ric 0.037387, train_ricir 0.337598, train_mae 0.023966, train_rmse 0.033857, train_mape 647.914917, train_acc 0.462358, valid_loss 0.0016726088, valid_ic 0.017361, valid_icir 0.255860, valid_ric 0.033398, valid_ricir 0.229907, valid_prec@10 0.484298, valid_prec@30 0.489807, valid_mae 0.027444, valid_rmse 0.038150, valid_mape 691.170715, valid_acc 0.497859, test_loss 0.001472, ic 0.003525, icir 0.077391, ric 0.025848, ricir 0.249216, prec@10 0.508230, prec@30 0.517695, test_mae 0.023772, test_rmse 0.037612, test_mape 995.902649, test_acc 0.481994
Epoch 29, train_loss 0.001274, train_ic 0.024140, train_icir 0.365730, train_ric 0.019702, train_ricir 0.234847, train_mae 0.027454, train_rmse 0.036795, train_mape 994.452637, train_acc 0.461505, valid_loss 0.0018492168, valid_ic 0.015285, valid_icir 0.250385, valid_ric 0.009066, valid_ricir 0.085246, valid_prec@10 0.545041, valid_prec@30 0.502204, valid_mae 0.030195, valid_rmse 0.040520, valid_mape 1151.505981, valid_acc 0.498321, test_loss 0.001745, ic 0.006036, icir 0.113597, ric 0.010190, ricir 0.169183, prec@10 0.533333, prec@30 0.516187, test_mae 0.027815, test_rmse 0.041064, test_mape 1526.726318, test_acc 0.478820
Epoch 30, train_loss 0.001265, train_ic 0.018346, train_icir 0.323640, train_ric 0.018507, train_ricir 0.257705, train_mae 0.024695, train_rmse 0.032969, train_mape 732.496155, train_acc 0.468814, valid_loss 0.0016386294, valid_ic 0.009602, valid_icir 0.202567, valid_ric 0.009976, valid_ricir 0.100667, valid_prec@10 0.522727, valid_prec@30 0.500000, valid_mae 0.028457, valid_rmse 0.037724, valid_mape 879.329956, valid_acc 0.478624, test_loss 0.001372, ic 0.003118, icir 0.084145, ric 0.019177, ricir 0.372136, prec@10 0.524691, prec@30 0.524966, test_mae 0.023825, test_rmse 0.035874, test_mape 1052.493042, test_acc 0.493536
Epoch 31, train_loss 0.001250, train_ic 0.027887, train_icir 0.375377, train_ric 0.028771, train_ricir 0.310870, train_mae 0.025069, train_rmse 0.033294, train_mape 777.221436, train_acc 0.469965, valid_loss 0.0016594209, valid_ic 0.021630, valid_icir 0.296121, valid_ric 0.023965, valid_ricir 0.190863, valid_prec@10 0.490496, valid_prec@30 0.473691, valid_mae 0.028727, valid_rmse 0.038049, valid_mape 928.491577, valid_acc 0.479683, test_loss 0.001370, ic 0.009373, icir 0.195498, ric 0.023133, ricir 0.298262, prec@10 0.500823, prec@30 0.511797, test_mae 0.023883, test_rmse 0.035869, test_mape 1124.536987, test_acc 0.494690
Epoch 32, train_loss 0.001257, train_ic 0.025713, train_icir 0.340870, train_ric -0.001513, train_ricir -0.014029, train_mae 0.021087, train_rmse 0.030634, train_mape 270.645477, train_acc 0.461711, valid_loss 0.0014531500, valid_ic 0.014303, valid_icir 0.220633, valid_ric -0.006217, valid_ricir -0.043748, valid_prec@10 0.498347, valid_prec@30 0.491736, valid_mae 0.025278, valid_rmse 0.035517, valid_mape 361.702423, valid_acc 0.486392, test_loss 0.001208, ic 0.007445, icir 0.214515, ric 0.000875, ricir 0.009504, prec@10 0.525103, prec@30 0.528121, test_mae 0.020357, test_rmse 0.033821, test_mape 389.216187, test_acc 0.486737
