Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 8,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2018,
        "test_year": 2019,
        "window": 8,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 29, train_loss 0.001558, train_ic 0.030310, train_icir 0.362143, train_ric -0.014072, train_ricir -0.114629, train_mae 0.014507, train_rmse 0.025894, train_mape 205.888748, train_acc 0.455852, valid_loss 0.0010982414, valid_ic 0.008868, valid_icir 0.223153, valid_ric -0.012022, valid_ricir -0.121362, valid_prec@10 0.574486, valid_prec@30 0.523594, valid_mae 0.016873, valid_rmse 0.027454, valid_mape 168.030533, valid_acc 0.444881, test_loss 0.001517, ic 0.002039, icir 0.064478, ric -0.008531, ricir -0.120516, prec@10 0.600410, prec@30 0.553415, test_mae 0.017406, test_rmse 0.040501, test_mape 214.657974, test_acc 0.425107
Epoch 30, train_loss 0.001522, train_ic 0.036659, train_icir 0.535639, train_ric 0.017187, train_ricir 0.170560, train_mae 0.024862, train_rmse 0.030530, train_mape 405.083527, train_acc 0.368607, valid_loss 0.0014830746, valid_ic -0.000270, valid_icir -0.007940, valid_ric -0.010625, valid_ricir -0.133387, valid_prec@10 0.550617, valid_prec@30 0.517970, valid_mae 0.023954, valid_rmse 0.032999, valid_mape 379.346436, valid_acc 0.487518, test_loss 0.001756, ic 0.000079, icir 0.002585, ric -0.001035, ricir -0.017087, prec@10 0.571721, prec@30 0.545219, test_mae 0.022624, test_rmse 0.041242, test_mape 453.887878, test_acc 0.585021
Epoch 31, train_loss 0.001579, train_ic 0.046825, train_icir 0.599690, train_ric 0.001769, train_ricir 0.013964, train_mae 0.033402, train_rmse 0.040479, train_mape 548.121887, train_acc 0.470302, valid_loss 0.0016714770, valid_ic 0.012084, valid_icir 0.374949, valid_ric -0.013658, valid_ricir -0.139998, valid_prec@10 0.547325, valid_prec@30 0.541427, valid_mae 0.031817, valid_rmse 0.038870, valid_mape 535.911682, valid_acc 0.428331, test_loss 0.002154, ic 0.004063, icir 0.137808, ric -0.010868, ricir -0.155533, prec@10 0.555328, prec@30 0.553689, test_mae 0.034458, test_rmse 0.049249, test_mape 605.231018, test_acc 0.350213
Epoch 32, train_loss 0.001530, train_ic 0.053794, train_icir 0.577458, train_ric -0.021523, train_ricir -0.156618, train_mae 0.024057, train_rmse 0.033380, train_mape 216.980026, train_acc 0.286673, valid_loss 0.0011347431, valid_ic 0.015064, valid_icir 0.325568, valid_ric -0.028740, valid_ricir -0.247372, valid_prec@10 0.598765, valid_prec@30 0.554733, valid_mae 0.017057, valid_rmse 0.027561, valid_mape 174.536209, valid_acc 0.445722, test_loss 0.001445, ic 0.008543, icir 0.239502, ric -0.020298, ricir -0.231752, prec@10 0.603279, prec@30 0.564617, test_mae 0.016966, test_rmse 0.037868, test_mape 256.072083, test_acc 0.568230
Epoch 33, train_loss 0.001498, train_ic 0.037040, train_icir 0.349126, train_ric 0.042742, train_ricir 0.308284, train_mae 0.028487, train_rmse 0.037032, train_mape 364.260590, train_acc 0.304450, valid_loss 0.0016221623, valid_ic 0.007189, valid_icir 0.093018, valid_ric 0.012350, valid_ricir 0.094088, valid_prec@10 0.542387, valid_prec@30 0.547051, valid_mae 0.026586, valid_rmse 0.035299, valid_mape 395.145142, valid_acc 0.511641, test_loss 0.001984, ic -0.005714, icir -0.099942, ric 0.004253, ricir 0.041076, prec@10 0.618443, prec@30 0.595082, test_mae 0.025367, test_rmse 0.043985, test_mape 459.874664, test_acc 0.592484
Epoch 34, train_loss 0.001435, train_ic 0.038852, train_icir 0.617985, train_ric 0.024767, train_ricir 0.255801, train_mae 0.022598, train_rmse 0.029193, train_mape 111.053337, train_acc 0.777690, valid_loss 0.0011313580, valid_ic 0.003626, valid_icir 0.112944, valid_ric 0.013508, valid_ricir 0.207560, valid_prec@10 0.580658, valid_prec@30 0.564060, valid_mae 0.018878, valid_rmse 0.028496, valid_mape 236.079056, valid_acc 0.460589, test_loss 0.001614, ic -0.005060, icir -0.142943, ric 0.013540, ricir 0.265448, prec@10 0.629508, prec@30 0.597678, test_mae 0.021594, test_rmse 0.042393, test_mape 306.361908, test_acc 0.367537
Epoch 35, train_loss 0.001499, train_ic 0.021817, train_icir 0.272593, train_ric -0.014900, train_ricir -0.125102, train_mae 0.044305, train_rmse 0.053947, train_mape 108.320549, train_acc 0.244341, valid_loss 0.0010196333, valid_ic -0.001228, valid_icir -0.037788, valid_ric -0.003974, valid_ricir -0.037891, valid_prec@10 0.548971, valid_prec@30 0.504252, valid_mae 0.015844, valid_rmse 0.026079, valid_mape 139.521027, valid_acc 0.443198, test_loss 0.001325, ic -0.002869, icir -0.108867, ric 0.007387, ricir 0.085775, prec@10 0.564344, prec@30 0.539617, test_mae 0.015541, test_rmse 0.036693, test_mape 167.607971, test_acc 0.462154
Epoch 36, train_loss 0.001448, train_ic 0.051927, train_icir 0.503609, train_ric 0.022510, train_ricir 0.157109, train_mae 0.034965, train_rmse 0.042289, train_mape 163.740692, train_acc 0.222419, valid_loss 0.0011232138, valid_ic 0.011200, valid_icir 0.188074, valid_ric -0.001614, valid_ricir -0.012652, valid_prec@10 0.595473, valid_prec@30 0.521674, valid_mae 0.018041, valid_rmse 0.027215, valid_mape 210.021133, valid_acc 0.500421, test_loss 0.001391, ic -0.000045, icir -0.000947, ric -0.006744, ricir -0.068295, prec@10 0.616803, prec@30 0.560383, test_mae 0.017551, test_rmse 0.036652, test_mape 258.082733, test_acc 0.571962
Epoch 37, train_loss 0.001490, train_ic 0.044287, train_icir 0.426583, train_ric 0.036178, train_ricir 0.269171, train_mae 0.020367, train_rmse 0.024233, train_mape 362.639465, train_acc 0.773548, valid_loss 0.0016282513, valid_ic 0.013020, valid_icir 0.179444, valid_ric 0.005761, valid_ricir 0.046808, valid_prec@10 0.525514, valid_prec@30 0.504527, valid_mae 0.026312, valid_rmse 0.034039, valid_mape 404.341064, valid_acc 0.506311, test_loss 0.001834, ic -0.000874, icir -0.016232, ric -0.003977, ricir -0.041028, prec@10 0.540984, prec@30 0.521858, test_mae 0.026390, test_rmse 0.041253, test_mape 510.338989, test_acc 0.594616
Epoch 38, train_loss 0.001478, train_ic 0.033813, train_icir 0.489850, train_ric 0.018812, train_ricir 0.212112, train_mae 0.030631, train_rmse 0.042148, train_mape 197.135468, train_acc 0.244718, valid_loss 0.0010588089, valid_ic 0.002266, valid_icir 0.059238, valid_ric 0.006569, valid_ricir 0.083185, valid_prec@10 0.548560, valid_prec@30 0.541427, valid_mae 0.017880, valid_rmse 0.027409, valid_mape 194.722107, valid_acc 0.463955, test_loss 0.001307, ic 0.003145, icir 0.107265, ric 0.014950, ricir 0.233975, prec@10 0.561475, prec@30 0.546858, test_mae 0.016484, test_rmse 0.035653, test_mape 222.179443, test_acc 0.546642
