Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 8,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2018,
        "test_year": 2019,
        "window": 8,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 80, train_loss 0.001300, train_ic 0.101248, train_icir 0.932864, train_ric 0.013437, train_ricir 0.099742, train_mae 0.032309, train_rmse 0.038359, train_mape 172.532349, train_acc 0.234520, valid_loss 0.0010829749, valid_ic 0.021710, valid_icir 0.478601, valid_ric -0.016174, valid_ricir -0.173684, valid_prec@10 0.599588, valid_prec@30 0.554321, valid_mae 0.018071, valid_rmse 0.026161, valid_mape 230.634888, valid_acc 0.508275, test_loss 0.001121, ic 0.009525, icir 0.237504, ric -0.018322, ricir -0.266462, prec@10 0.610246, prec@30 0.571858, test_mae 0.016481, test_rmse 0.028812, test_mape 273.232544, test_acc 0.595682
Epoch 81, train_loss 0.001294, train_ic 0.075100, train_icir 0.626228, train_ric 0.044148, train_ricir 0.310457, train_mae 0.028413, train_rmse 0.037670, train_mape 187.351532, train_acc 0.408708, valid_loss 0.0011160565, valid_ic 0.022806, valid_icir 0.320019, valid_ric 0.004186, valid_ricir 0.037184, valid_prec@10 0.604938, valid_prec@30 0.544033, valid_mae 0.018498, valid_rmse 0.026554, valid_mape 233.827927, valid_acc 0.511080, test_loss 0.001168, ic 0.007947, icir 0.138544, ric -0.004026, ricir -0.043899, prec@10 0.621721, prec@30 0.563525, test_mae 0.017635, test_rmse 0.029971, test_mape 288.449799, test_acc 0.571962
Epoch 82, train_loss 0.001263, train_ic 0.078454, train_icir 0.779709, train_ric 0.060605, train_ricir 0.511346, train_mae 0.019863, train_rmse 0.025339, train_mape 180.461823, train_acc 0.324965, valid_loss 0.0009728322, valid_ic 0.004217, valid_icir 0.089420, valid_ric 0.027085, valid_ricir 0.238836, valid_prec@10 0.528807, valid_prec@30 0.505761, valid_mae 0.017172, valid_rmse 0.025384, valid_mape 191.670258, valid_acc 0.506031, test_loss 0.001031, ic 0.000479, icir 0.012392, ric 0.027137, ricir 0.314104, prec@10 0.604918, prec@30 0.563525, test_mae 0.014630, test_rmse 0.028133, test_mape 184.093994, test_acc 0.591151
Epoch 83, train_loss 0.001267, train_ic 0.105682, train_icir 1.023619, train_ric 0.038300, train_ricir 0.300078, train_mae 0.045785, train_rmse 0.055788, train_mape 131.738312, train_acc 0.284952, valid_loss 0.0009387218, valid_ic 0.025543, valid_icir 0.545732, valid_ric 0.002264, valid_ricir 0.022574, valid_prec@10 0.594650, valid_prec@30 0.562689, valid_mae 0.015434, valid_rmse 0.024342, valid_mape 131.676559, valid_acc 0.499860, test_loss 0.001036, ic 0.009298, icir 0.211588, ric -0.006674, ricir -0.088609, prec@10 0.636066, prec@30 0.597678, test_mae 0.014441, test_rmse 0.028439, test_mape 160.105820, test_acc 0.579957
Epoch 84, train_loss 0.001269, train_ic 0.091990, train_icir 1.064106, train_ric 0.031276, train_ricir 0.356826, train_mae 0.013880, train_rmse 0.020680, train_mape 139.898209, train_acc 0.539375, valid_loss 0.0009071984, valid_ic 0.012637, valid_icir 0.456305, valid_ric 0.008373, valid_ricir 0.137602, valid_prec@10 0.596708, valid_prec@30 0.546228, valid_mae 0.016210, valid_rmse 0.024436, valid_mape 153.947754, valid_acc 0.444881, test_loss 0.001022, ic 0.007464, icir 0.272614, ric 0.016839, ricir 0.374208, prec@10 0.622541, prec@30 0.594126, test_mae 0.016503, test_rmse 0.029590, test_mape 190.484360, test_acc 0.363006
Epoch 85, train_loss 0.001264, train_ic 0.078536, train_icir 0.686802, train_ric 0.024333, train_ricir 0.181388, train_mae 0.026678, train_rmse 0.041562, train_mape 160.803741, train_acc 0.503525, valid_loss 0.0009325521, valid_ic 0.019547, valid_icir 0.320268, valid_ric 0.003144, valid_ricir 0.026621, valid_prec@10 0.603292, valid_prec@30 0.578189, valid_mae 0.015933, valid_rmse 0.024356, valid_mape 151.860504, valid_acc 0.461431, test_loss 0.001048, ic 0.005072, icir 0.096886, ric -0.002593, ricir -0.026679, prec@10 0.645902, prec@30 0.608880, test_mae 0.015963, test_rmse 0.029569, test_mape 184.969925, test_acc 0.417111
Epoch 86, train_loss 0.001270, train_ic 0.095108, train_icir 0.984237, train_ric 0.032614, train_ricir 0.308997, train_mae 0.024086, train_rmse 0.035527, train_mape 194.684692, train_acc 0.408911, valid_loss 0.0010192963, valid_ic 0.018749, valid_icir 0.414745, valid_ric -0.000615, valid_ricir -0.007628, valid_prec@10 0.611111, valid_prec@30 0.567901, valid_mae 0.019306, valid_rmse 0.026936, valid_mape 249.843567, valid_acc 0.440954, test_loss 0.001170, ic 0.006514, icir 0.147548, ric -0.000854, ricir -0.014005, prec@10 0.648770, prec@30 0.607923, test_mae 0.020688, test_rmse 0.032764, test_mape 303.237976, test_acc 0.357676
Epoch 87, train_loss 0.001239, train_ic 0.084002, train_icir 0.830848, train_ric 0.035260, train_ricir 0.283530, train_mae 0.051407, train_rmse 0.059680, train_mape 134.275192, train_acc 0.337765, valid_loss 0.0012000820, valid_ic 0.016080, valid_icir 0.323264, valid_ric -0.000140, valid_ricir -0.001457, valid_prec@10 0.589300, valid_prec@30 0.556104, valid_mae 0.023747, valid_rmse 0.030884, valid_mape 365.243317, valid_acc 0.437027, test_loss 0.001436, ic 0.006999, icir 0.168562, ric -0.001238, ricir -0.018068, prec@10 0.645902, prec@30 0.608607, test_mae 0.025324, test_rmse 0.036940, test_mape 399.294922, test_acc 0.356876
Epoch 88, train_loss 0.001265, train_ic 0.103725, train_icir 0.958018, train_ric 0.033316, train_ricir 0.254590, train_mae 0.017612, train_rmse 0.023792, train_mape 330.587830, train_acc 0.480237, valid_loss 0.0010984895, valid_ic 0.020138, valid_icir 0.357405, valid_ric -0.011654, valid_ricir -0.111005, valid_prec@10 0.590947, valid_prec@30 0.543210, valid_mae 0.017838, valid_rmse 0.026317, valid_mape 221.506332, valid_acc 0.498457, test_loss 0.001129, ic 0.013103, icir 0.295918, ric -0.009609, ricir -0.137365, prec@10 0.577049, prec@30 0.544672, test_mae 0.016955, test_rmse 0.028790, test_mape 293.710632, test_acc 0.586354
Epoch 89, train_loss 0.001263, train_ic 0.096395, train_icir 0.981747, train_ric 0.055072, train_ricir 0.468856, train_mae 0.027914, train_rmse 0.036615, train_mape 242.546722, train_acc 0.289175, valid_loss 0.0010360809, valid_ic 0.012369, valid_icir 0.301433, valid_ric 0.010956, valid_ricir 0.110343, valid_prec@10 0.565844, valid_prec@30 0.524829, valid_mae 0.020470, valid_rmse 0.027792, valid_mape 263.126007, valid_acc 0.425245, test_loss 0.001185, ic 0.013860, icir 0.400962, ric 0.015722, ricir 0.203751, prec@10 0.590164, prec@30 0.555191, test_mae 0.021884, test_rmse 0.033121, test_mape 321.163940, test_acc 0.347548
Epoch 90, train_loss 0.001241, train_ic 0.108357, train_icir 0.965742, train_ric 0.010738, train_ricir 0.079397, train_mae 0.022907, train_rmse 0.029008, train_mape 377.807617, train_acc 0.393192, valid_loss 0.0011273870, valid_ic 0.027972, valid_icir 0.625060, valid_ric -0.018766, valid_ricir -0.197360, valid_prec@10 0.595885, valid_prec@30 0.562689, valid_mae 0.023716, valid_rmse 0.030524, valid_mape 352.701019, valid_acc 0.425806, test_loss 0.001284, ic 0.020638, icir 0.513650, ric -0.015836, ricir -0.228848, prec@10 0.629098, prec@30 0.569536, test_mae 0.024003, test_rmse 0.034814, test_mape 374.787170, test_acc 0.351013
Epoch 91, train_loss 0.001266, train_ic 0.073558, train_icir 0.740619, train_ric 0.047306, train_ricir 0.441178, train_mae 0.018833, train_rmse 0.025829, train_mape 389.780304, train_acc 0.430050, valid_loss 0.0010906255, valid_ic 0.007763, valid_icir 0.160795, valid_ric 0.022513, valid_ricir 0.221159, valid_prec@10 0.590123, valid_prec@30 0.563237, valid_mae 0.019768, valid_rmse 0.027299, valid_mape 273.615662, valid_acc 0.444600, test_loss 0.001270, ic -0.001271, icir -0.031025, ric 0.024566, ricir 0.349865, prec@10 0.639754, prec@30 0.605738, test_mae 0.023203, test_rmse 0.034640, test_mape 366.731659, test_acc 0.355810
Epoch 92, train_loss 0.001261, train_ic 0.086969, train_icir 0.919765, train_ric 0.018763, train_ricir 0.190311, train_mae 0.020420, train_rmse 0.028161, train_mape 155.508850, train_acc 0.386562, valid_loss 0.0009035250, valid_ic 0.010926, valid_icir 0.296174, valid_ric 0.001873, valid_ricir 0.023237, valid_prec@10 0.590123, valid_prec@30 0.546776, valid_mae 0.015558, valid_rmse 0.024282, valid_mape 129.442291, valid_acc 0.458906, test_loss 0.000968, ic 0.011436, icir 0.346980, ric 0.008798, ricir 0.124867, prec@10 0.580328, prec@30 0.556557, test_mae 0.014385, test_rmse 0.027401, test_mape 149.121552, test_acc 0.481077
Epoch 93, train_loss 0.001248, train_ic 0.100624, train_icir 1.063492, train_ric 0.011317, train_ricir 0.114909, train_mae 0.020396, train_rmse 0.030012, train_mape 170.990784, train_acc 0.352857, valid_loss 0.0009425567, valid_ic 0.016957, valid_icir 0.494293, valid_ric -0.008391, valid_ricir -0.125002, valid_prec@10 0.619753, valid_prec@30 0.556104, valid_mae 0.017886, valid_rmse 0.025560, valid_mape 205.307297, valid_acc 0.435063, test_loss 0.001064, ic 0.010851, icir 0.297731, ric -0.005832, ricir -0.109378, prec@10 0.623770, prec@30 0.584973, test_mae 0.018610, test_rmse 0.030479, test_mape 246.202179, test_acc 0.355810
Epoch 94, train_loss 0.001257, train_ic 0.086875, train_icir 0.938561, train_ric 0.030471, train_ricir 0.295440, train_mae 0.031940, train_rmse 0.041972, train_mape 98.823044, train_acc 0.776860, valid_loss 0.0010316060, valid_ic 0.010606, valid_icir 0.291314, valid_ric 0.003526, valid_ricir 0.040002, valid_prec@10 0.623868, valid_prec@30 0.565295, valid_mae 0.017752, valid_rmse 0.026485, valid_mape 220.231049, valid_acc 0.490603, test_loss 0.001160, ic 0.002540, icir 0.076480, ric 0.009531, ricir 0.140136, prec@10 0.650820, prec@30 0.603825, test_mae 0.015724, test_rmse 0.029981, test_mape 240.718918, test_acc 0.579158
Epoch 95, train_loss 0.001262, train_ic 0.095459, train_icir 0.960262, train_ric 0.042855, train_ricir 0.379204, train_mae 0.027084, train_rmse 0.034031, train_mape 314.220734, train_acc 0.349263, valid_loss 0.0011199464, valid_ic 0.012096, valid_icir 0.283241, valid_ric 0.010794, valid_ricir 0.111430, valid_prec@10 0.601646, valid_prec@30 0.539781, valid_mae 0.019530, valid_rmse 0.027557, valid_mape 275.315155, valid_acc 0.503226, test_loss 0.001122, ic 0.010888, icir 0.328100, ric 0.015469, ricir 0.214673, prec@10 0.599180, prec@30 0.572541, test_mae 0.017020, test_rmse 0.028295, test_mape 303.514801, test_acc 0.598348
Epoch 96, train_loss 0.001248, train_ic 0.101820, train_icir 1.021941, train_ric 0.032795, train_ricir 0.273642, train_mae 0.012737, train_rmse 0.019439, train_mape 128.133057, train_acc 0.496327, valid_loss 0.0009135578, valid_ic 0.018001, valid_icir 0.435210, valid_ric -0.002739, valid_ricir -0.028857, valid_prec@10 0.573251, valid_prec@30 0.543484, valid_mae 0.015104, valid_rmse 0.023811, valid_mape 123.545944, valid_acc 0.477139, test_loss 0.000964, ic 0.012722, icir 0.362577, ric -0.000492, ricir -0.006983, prec@10 0.572131, prec@30 0.551366, test_mae 0.014094, test_rmse 0.026894, test_mape 156.242767, test_acc 0.525853
Epoch 97, train_loss 0.001233, train_ic 0.078055, train_icir 0.737125, train_ric 0.035565, train_ricir 0.311224, train_mae 0.034032, train_rmse 0.045707, train_mape 122.800194, train_acc 0.514728, valid_loss 0.0009681292, valid_ic 0.008962, valid_icir 0.134560, valid_ric 0.006948, valid_ricir 0.062148, valid_prec@10 0.606584, valid_prec@30 0.577229, valid_mae 0.017073, valid_rmse 0.025373, valid_mape 176.765640, valid_acc 0.488640, test_loss 0.001110, ic -0.000556, icir -0.009931, ric 0.004842, ricir 0.056962, prec@10 0.657787, prec@30 0.609836, test_mae 0.017544, test_rmse 0.030714, test_mape 222.230118, test_acc 0.430437
Epoch 98, train_loss 0.001243, train_ic 0.101063, train_icir 1.011105, train_ric 0.018311, train_ricir 0.168753, train_mae 0.012590, train_rmse 0.019706, train_mape 165.189331, train_acc 0.694131, valid_loss 0.0009676895, valid_ic 0.012953, valid_icir 0.303662, valid_ric -0.012030, valid_ricir -0.125047, valid_prec@10 0.583539, valid_prec@30 0.538957, valid_mae 0.016415, valid_rmse 0.024979, valid_mape 175.157623, valid_acc 0.506311, test_loss 0.001001, ic 0.009970, icir 0.279362, ric -0.004591, ricir -0.064316, prec@10 0.586885, prec@30 0.565574, test_mae 0.014594, test_rmse 0.026831, test_mape 203.255463, test_acc 0.592484
Epoch 99, train_loss 0.001240, train_ic 0.107094, train_icir 1.200257, train_ric 0.046463, train_ricir 0.501458, train_mae 0.024548, train_rmse 0.034215, train_mape 127.531662, train_acc 0.413582, valid_loss 0.0008876657, valid_ic 0.014712, valid_icir 0.454535, valid_ric 0.007386, valid_ricir 0.100514, valid_prec@10 0.557202, valid_prec@30 0.539643, valid_mae 0.015296, valid_rmse 0.023735, valid_mape 117.610046, valid_acc 0.449930, test_loss 0.000950, ic 0.013961, icir 0.432590, ric 0.014919, ricir 0.236042, prec@10 0.577869, prec@30 0.558743, test_mae 0.014425, test_rmse 0.027164, test_mape 141.218704, test_acc 0.438166
Epoch 100, train_loss 0.001257, train_ic 0.104177, train_icir 1.097345, train_ric 0.039004, train_ricir 0.375522, train_mae 0.015917, train_rmse 0.022248, train_mape 134.553909, train_acc 0.681452, valid_loss 0.0009150108, valid_ic 0.013773, valid_icir 0.344466, valid_ric 0.005065, valid_ricir 0.062352, valid_prec@10 0.595885, valid_prec@30 0.540604, valid_mae 0.016734, valid_rmse 0.024709, valid_mape 165.031952, valid_acc 0.440673, test_loss 0.001017, ic 0.008653, icir 0.256727, ric 0.007958, ricir 0.142285, prec@10 0.628689, prec@30 0.596311, test_mae 0.017116, test_rmse 0.029127, test_mape 206.661850, test_acc 0.358475
Epoch 101, train_loss 0.001247, train_ic 0.086866, train_icir 0.791729, train_ric 0.037240, train_ricir 0.306944, train_mae 0.023912, train_rmse 0.032187, train_mape 196.152130, train_acc 0.490056, valid_loss 0.0010454198, valid_ic 0.017450, valid_icir 0.331591, valid_ric 0.012524, valid_ricir 0.113118, valid_prec@10 0.627984, valid_prec@30 0.561180, valid_mae 0.018598, valid_rmse 0.026397, valid_mape 235.623718, valid_acc 0.506031, test_loss 0.001124, ic 0.005835, icir 0.129540, ric 0.011458, ricir 0.141794, prec@10 0.661475, prec@30 0.608743, test_mae 0.016006, test_rmse 0.028643, test_mape 233.731003, test_acc 0.596748
Epoch 102, train_loss 0.001271, train_ic 0.078357, train_icir 0.893037, train_ric 0.046507, train_ricir 0.493252, train_mae 0.014203, train_rmse 0.019348, train_mape 4739.644043, train_acc 0.516872, valid_loss 0.0009443324, valid_ic 0.015199, valid_icir 0.326391, valid_ric 0.013406, valid_ricir 0.187795, valid_prec@10 0.580247, valid_prec@30 0.568587, valid_mae 0.017406, valid_rmse 0.025197, valid_mape 189.907425, valid_acc 0.455259, test_loss 0.001056, ic 0.004984, icir 0.118870, ric 0.011491, ricir 0.208687, prec@10 0.623361, prec@30 0.607104, test_mae 0.017805, test_rmse 0.029784, test_mape 223.768433, test_acc 0.374733
Epoch 103, train_loss 0.001236, train_ic 0.110125, train_icir 1.174777, train_ric 0.043655, train_ricir 0.454686, train_mae 0.010253, train_rmse 0.016359, train_mape 113.985977, train_acc 0.802285, valid_loss 0.0009365124, valid_ic 0.013988, valid_icir 0.419963, valid_ric 0.011573, valid_ricir 0.165820, valid_prec@10 0.597531, valid_prec@30 0.558436, valid_mae 0.016053, valid_rmse 0.024583, valid_mape 156.153030, valid_acc 0.507433, test_loss 0.000992, ic 0.007638, icir 0.206589, ric 0.010823, ricir 0.187017, prec@10 0.649590, prec@30 0.600956, test_mae 0.014122, test_rmse 0.026826, test_mape 162.439423, test_acc 0.595949
Epoch 104, train_loss 0.001252, train_ic 0.098651, train_icir 1.002455, train_ric 0.046751, train_ricir 0.395309, train_mae 0.021512, train_rmse 0.028567, train_mape 172.449905, train_acc 0.335000, valid_loss 0.0009536657, valid_ic 0.021139, valid_icir 0.440566, valid_ric 0.007963, valid_ricir 0.086231, valid_prec@10 0.605350, valid_prec@30 0.567215, valid_mae 0.015680, valid_rmse 0.024373, valid_mape 145.881821, valid_acc 0.500701, test_loss 0.001028, ic 0.009756, icir 0.229022, ric 0.003893, ricir 0.058279, prec@10 0.646721, prec@30 0.599863, test_mae 0.014753, test_rmse 0.027579, test_mape 182.586319, test_acc 0.568230
Epoch 105, train_loss 0.001252, train_ic 0.066688, train_icir 0.572993, train_ric 0.004695, train_ricir 0.036434, train_mae 0.016128, train_rmse 0.023328, train_mape 183.000076, train_acc 0.562963, valid_loss 0.0009517629, valid_ic 0.010481, valid_icir 0.134448, valid_ric -0.007104, valid_ricir -0.057003, valid_prec@10 0.580247, valid_prec@30 0.538134, valid_mae 0.018140, valid_rmse 0.026049, valid_mape 192.817551, valid_acc 0.418794, test_loss 0.001016, ic 0.012002, icir 0.226153, ric -0.001454, ricir -0.014523, prec@10 0.570492, prec@30 0.555874, test_mae 0.016637, test_rmse 0.028058, test_mape 218.541962, test_acc 0.472281
Epoch 106, train_loss 0.001236, train_ic 0.105460, train_icir 0.992479, train_ric 0.058599, train_ricir 0.489225, train_mae 0.019006, train_rmse 0.025666, train_mape 292.697754, train_acc 0.536605, valid_loss 0.0012351997, valid_ic 0.021768, valid_icir 0.369357, valid_ric 0.013294, valid_ricir 0.128093, valid_prec@10 0.573251, valid_prec@30 0.553086, valid_mae 0.023588, valid_rmse 0.030384, valid_mape 368.279297, valid_acc 0.438429, test_loss 0.001391, ic 0.010747, icir 0.232840, ric 0.007574, ricir 0.093916, prec@10 0.595492, prec@30 0.595765, test_mae 0.026502, test_rmse 0.036179, test_mape 450.328339, test_acc 0.353145
Epoch 107, train_loss 0.001243, train_ic 0.096704, train_icir 1.052115, train_ric 0.044240, train_ricir 0.456470, train_mae 0.015554, train_rmse 0.022971, train_mape 106.223976, train_acc 0.864427, valid_loss 0.0010767903, valid_ic 0.017720, valid_icir 0.524349, valid_ric 0.007861, valid_ricir 0.140152, valid_prec@10 0.617695, valid_prec@30 0.569273, valid_mae 0.018979, valid_rmse 0.026789, valid_mape 259.097229, valid_acc 0.503787, test_loss 0.001103, ic 0.009308, icir 0.254529, ric 0.010391, ricir 0.229672, prec@10 0.655738, prec@30 0.604098, test_mae 0.016361, test_rmse 0.027704, test_mape 274.772369, test_acc 0.595949
Epoch 108, train_loss 0.001262, train_ic 0.086516, train_icir 0.901736, train_ric 0.044206, train_ricir 0.493058, train_mae 0.015772, train_rmse 0.022418, train_mape 123.037109, train_acc 0.498028, valid_loss 0.0009006122, valid_ic 0.012887, valid_icir 0.254627, valid_ric 0.014566, valid_ricir 0.170925, valid_prec@10 0.589712, valid_prec@30 0.570782, valid_mae 0.015566, valid_rmse 0.023834, valid_mape 126.655136, valid_acc 0.480505, test_loss 0.000970, ic 0.004512, icir 0.104053, ric 0.014506, ricir 0.223711, prec@10 0.642623, prec@30 0.608197, test_mae 0.014950, test_rmse 0.027458, test_mape 151.305252, test_acc 0.433902
Epoch 109, train_loss 0.001238, train_ic 0.101506, train_icir 1.029663, train_ric 0.021618, train_ricir 0.190343, train_mae 0.011295, train_rmse 0.017763, train_mape 138.221176, train_acc 0.485742, valid_loss 0.0008974622, valid_ic 0.022434, valid_icir 0.545709, valid_ric -0.010053, valid_ricir -0.120780, valid_prec@10 0.606173, valid_prec@30 0.562414, valid_mae 0.016062, valid_rmse 0.024342, valid_mape 131.047180, valid_acc 0.426648, test_loss 0.000951, ic 0.018377, icir 0.533209, ric -0.000635, ricir -0.010145, prec@10 0.613525, prec@30 0.571721, test_mae 0.014405, test_rmse 0.026710, test_mape 143.908127, test_acc 0.506397
Epoch 110, train_loss 0.001211, train_ic 0.092722, train_icir 1.028612, train_ric 0.030836, train_ricir 0.359505, train_mae 0.020931, train_rmse 0.027667, train_mape 145.330505, train_acc 0.301418, valid_loss 0.0009958878, valid_ic 0.013329, valid_icir 0.413779, valid_ric 0.006192, valid_ricir 0.101580, valid_prec@10 0.606584, valid_prec@30 0.581756, valid_mae 0.016587, valid_rmse 0.026964, valid_mape 156.330551, valid_acc 0.478541, test_loss 0.001346, ic 0.001275, icir 0.033030, ric 0.014043, ricir 0.313396, prec@10 0.648361, prec@30 0.611202, test_mae 0.015242, test_rmse 0.034497, test_mape 165.681870, test_acc 0.551972
Epoch 111, train_loss 0.001243, train_ic 0.088960, train_icir 0.962149, train_ric 0.030779, train_ricir 0.323233, train_mae 0.015274, train_rmse 0.022339, train_mape 167.497330, train_acc 0.359331, valid_loss 0.0008943403, valid_ic 0.011621, valid_icir 0.306842, valid_ric 0.008056, valid_ricir 0.093802, valid_prec@10 0.601646, valid_prec@30 0.544444, valid_mae 0.015932, valid_rmse 0.024025, valid_mape 136.205139, valid_acc 0.443198, test_loss 0.000980, ic 0.010114, icir 0.319121, ric 0.017723, ricir 0.258997, prec@10 0.632377, prec@30 0.597678, test_mae 0.016038, test_rmse 0.028083, test_mape 176.197510, test_acc 0.386727
Epoch 112, train_loss 0.001228, train_ic 0.106524, train_icir 0.954772, train_ric 0.020171, train_ricir 0.147738, train_mae 0.013369, train_rmse 0.019249, train_mape 117.912186, train_acc 0.566977, valid_loss 0.0009142775, valid_ic 0.028555, valid_icir 0.534941, valid_ric -0.015697, valid_ricir -0.150858, valid_prec@10 0.606996, valid_prec@30 0.563649, valid_mae 0.016516, valid_rmse 0.024598, valid_mape 154.254150, valid_acc 0.431978, test_loss 0.000978, ic 0.020190, icir 0.488153, ric -0.010669, ricir -0.142846, prec@10 0.590574, prec@30 0.562842, test_mae 0.015471, test_rmse 0.027436, test_mape 165.286499, test_acc 0.403252
Epoch 113, train_loss 0.001233, train_ic 0.092513, train_icir 0.802270, train_ric 0.006351, train_ricir 0.048827, train_mae 0.017556, train_rmse 0.024179, train_mape 113.182343, train_acc 0.476190, valid_loss 0.0009378981, valid_ic 0.028984, valid_icir 0.520033, valid_ric -0.010316, valid_ricir -0.111903, valid_prec@10 0.612346, valid_prec@30 0.577641, valid_mae 0.016621, valid_rmse 0.024810, valid_mape 155.948593, valid_acc 0.454698, test_loss 0.001043, ic 0.009763, icir 0.193335, ric -0.012092, ricir -0.167449, prec@10 0.654508, prec@30 0.612842, test_mae 0.015689, test_rmse 0.028481, test_mape 164.888153, test_acc 0.416844
Epoch 114, train_loss 0.001247, train_ic 0.089986, train_icir 0.835681, train_ric 0.033692, train_ricir 0.263704, train_mae 0.014172, train_rmse 0.020380, train_mape 194.106689, train_acc 0.395395, valid_loss 0.0009825714, valid_ic 0.025690, valid_icir 0.437993, valid_ric -0.009159, valid_ricir -0.096243, valid_prec@10 0.586831, valid_prec@30 0.537997, valid_mae 0.015961, valid_rmse 0.024475, valid_mape 156.804398, valid_acc 0.500421, test_loss 0.001008, ic 0.016494, icir 0.347929, ric -0.005623, ricir -0.085023, prec@10 0.581967, prec@30 0.537568, test_mae 0.015129, test_rmse 0.027227, test_mape 209.908981, test_acc 0.568230
Epoch 115, train_loss 0.001248, train_ic 0.071903, train_icir 0.807417, train_ric 0.017328, train_ricir 0.197832, train_mae 0.027215, train_rmse 0.034052, train_mape 110.707771, train_acc 0.500177, valid_loss 0.0009381880, valid_ic 0.011021, valid_icir 0.313096, valid_ric 0.003312, valid_ricir 0.052385, valid_prec@10 0.621399, valid_prec@30 0.568861, valid_mae 0.016268, valid_rmse 0.025208, valid_mape 146.745056, valid_acc 0.453015, test_loss 0.001095, ic 0.000466, icir 0.012415, ric 0.012722, ricir 0.293448, prec@10 0.650000, prec@30 0.611339, test_mae 0.015120, test_rmse 0.029745, test_mape 161.136490, test_acc 0.489072
Epoch 116, train_loss 0.001220, train_ic 0.077953, train_icir 0.856232, train_ric 0.016053, train_ricir 0.173740, train_mae 0.025043, train_rmse 0.032998, train_mape 114.440536, train_acc 0.485106, valid_loss 0.0009096194, valid_ic 0.012855, valid_icir 0.335953, valid_ric 0.000922, valid_ricir 0.012857, valid_prec@10 0.611523, valid_prec@30 0.569547, valid_mae 0.016781, valid_rmse 0.024859, valid_mape 156.698471, valid_acc 0.438149, test_loss 0.001003, ic 0.006290, icir 0.192505, ric 0.006209, ricir 0.129973, prec@10 0.654508, prec@30 0.612842, test_mae 0.015588, test_rmse 0.027789, test_mape 169.370758, test_acc 0.474414
Epoch 117, train_loss 0.001240, train_ic 0.086865, train_icir 0.959018, train_ric 0.010119, train_ricir 0.106480, train_mae 0.022475, train_rmse 0.033652, train_mape 138.847748, train_acc 0.513115, valid_loss 0.0009300871, valid_ic 0.011199, valid_icir 0.252522, valid_ric -0.009693, valid_ricir -0.121346, valid_prec@10 0.625103, valid_prec@30 0.565021, valid_mae 0.016270, valid_rmse 0.024530, valid_mape 157.433304, valid_acc 0.446283, test_loss 0.001006, ic 0.008589, icir 0.232761, ric -0.001621, ricir -0.029619, prec@10 0.658197, prec@30 0.605874, test_mae 0.015188, test_rmse 0.027394, test_mape 183.989731, test_acc 0.492271
Epoch 118, train_loss 0.001222, train_ic 0.100034, train_icir 0.993545, train_ric 0.027553, train_ricir 0.236589, train_mae 0.023538, train_rmse 0.031674, train_mape 121.058311, train_acc 0.511924, valid_loss 0.0009026241, valid_ic 0.023117, valid_icir 0.500497, valid_ric 0.001338, valid_ricir 0.015228, valid_prec@10 0.581070, valid_prec@30 0.546091, valid_mae 0.015986, valid_rmse 0.024135, valid_mape 141.419464, valid_acc 0.457223, test_loss 0.000970, ic 0.015187, icir 0.416284, ric 0.002943, ricir 0.049260, prec@10 0.625410, prec@30 0.590437, test_mae 0.015211, test_rmse 0.027034, test_mape 164.520721, test_acc 0.461620
Epoch 119, train_loss 0.001238, train_ic 0.086678, train_icir 0.850424, train_ric 0.037692, train_ricir 0.317239, train_mae 0.013023, train_rmse 0.020468, train_mape 165.449936, train_acc 0.483904, valid_loss 0.0009333769, valid_ic 0.014250, valid_icir 0.273074, valid_ric 0.008288, valid_ricir 0.077796, valid_prec@10 0.539095, valid_prec@30 0.533882, valid_mae 0.016167, valid_rmse 0.024360, valid_mape 162.914001, valid_acc 0.462833, test_loss 0.000962, ic 0.013722, icir 0.392567, ric 0.014427, ricir 0.176287, prec@10 0.570082, prec@30 0.558333, test_mae 0.014551, test_rmse 0.026166, test_mape 186.878250, test_acc 0.526919
Early stopping -----
Epoch 120, train_loss 0.001222, train_ic 0.061349, train_icir 0.714768, train_ric 0.048191, train_ricir 0.521775, train_mae 0.013662, train_rmse 0.020320, train_mape 144.515366, train_acc 0.436111, valid_loss 0.0008931722, valid_ic 0.013923, valid_icir 0.355018, valid_ric 0.022822, valid_ricir 0.344564, valid_prec@10 0.569547, valid_prec@30 0.550480, valid_mae 0.015414, valid_rmse 0.023579, valid_mape 130.547913, valid_acc 0.461711, test_loss 0.000957, ic 0.006102, icir 0.184315, ric 0.027511, ricir 0.511543, prec@10 0.624590, prec@30 0.606148, test_mae 0.014670, test_rmse 0.027010, test_mape 149.177933, test_acc 0.470949
