Dataset:  CSI2259
Radom seed: 1234
GPU: 5
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 8,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI2259",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2021,
        "test_year": 2022,
        "window": 8,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 30, train_loss 0.001350, train_ic 0.025208, train_icir 0.378900, train_ric 0.007562, train_ricir 0.082579, train_mae 0.026541, train_rmse 0.030804, train_mape 464.970642, train_acc 0.169101, valid_loss 0.0027925765, valid_ic 0.005357, valid_icir 0.095293, valid_ric -0.006179, valid_ricir -0.093160, valid_prec@10 0.539918, valid_prec@30 0.533333, valid_mae 0.031037, valid_rmse 0.052360, valid_mape 544.622498, valid_acc 0.331120, test_loss 0.002140, ic 0.007626, icir 0.228908, ric -0.005856, ricir -0.070943, prec@10 0.507851, prec@30 0.505923, test_mae 0.029657, test_rmse 0.043609, test_mape 387.609955, test_acc 0.241257
Epoch 31, train_loss 0.001334, train_ic 0.017701, train_icir 0.229512, train_ric -0.012579, train_ricir -0.123674, train_mae 0.019049, train_rmse 0.026869, train_mape 136.521515, train_acc 0.426737, valid_loss 0.0024040997, valid_ic 0.006623, valid_icir 0.114561, valid_ric -0.003565, valid_ricir -0.045432, valid_prec@10 0.522222, valid_prec@30 0.537723, valid_mae 0.020132, valid_rmse 0.046079, valid_mape 319.171173, valid_acc 0.561753, test_loss 0.001836, ic 0.008091, icir 0.213803, ric -0.005526, ricir -0.067163, prec@10 0.508678, prec@30 0.533471, test_mae 0.016210, test_rmse 0.034745, test_mape 169.758667, test_acc 0.623727
Epoch 32, train_loss 0.001299, train_ic 0.002381, train_icir 0.036937, train_ric 0.024108, train_ricir 0.257166, train_mae 0.022857, train_rmse 0.040103, train_mape 201.569366, train_acc 0.286853, valid_loss 0.0023523553, valid_ic 0.004098, valid_icir 0.061985, valid_ric 0.026917, valid_ricir 0.287691, valid_prec@10 0.507819, valid_prec@30 0.505761, valid_mae 0.019635, valid_rmse 0.045130, valid_mape 317.137329, valid_acc 0.598052, test_loss 0.001812, ic 0.006497, icir 0.147887, ric 0.031891, ricir 0.305435, prec@10 0.479752, prec@30 0.476033, test_mae 0.014387, test_rmse 0.033336, test_mape 169.032303, test_acc 0.713147
Epoch 33, train_loss 0.001319, train_ic 0.011039, train_icir 0.152591, train_ric 0.025852, train_ricir 0.271020, train_mae 0.024443, train_rmse 0.031847, train_mape 241.668961, train_acc 0.270031, valid_loss 0.0023638540, valid_ic 0.005849, valid_icir 0.082918, valid_ric 0.025939, valid_ricir 0.236768, valid_prec@10 0.558025, valid_prec@30 0.545542, valid_mae 0.020572, valid_rmse 0.044483, valid_mape 370.134338, valid_acc 0.604692, test_loss 0.001856, ic 0.009093, icir 0.192410, ric 0.030188, ricir 0.285358, prec@10 0.524380, prec@30 0.537466, test_mae 0.015258, test_rmse 0.033136, test_mape 215.351654, test_acc 0.714475
Epoch 34, train_loss 0.001302, train_ic 0.014103, train_icir 0.167526, train_ric 0.023123, train_ricir 0.208915, train_mae 0.033792, train_rmse 0.040579, train_mape 156.734024, train_acc 0.214697, valid_loss 0.0023165038, valid_ic 0.007440, valid_icir 0.098276, valid_ric 0.025651, valid_ricir 0.200765, valid_prec@10 0.571193, valid_prec@30 0.570233, valid_mae 0.023593, valid_rmse 0.046519, valid_mape 383.646912, valid_acc 0.405489, test_loss 0.001778, ic 0.011782, icir 0.213923, ric 0.033686, ricir 0.251178, prec@10 0.583471, prec@30 0.562397, test_mae 0.019638, test_rmse 0.035810, test_mape 232.128403, test_acc 0.418769
Epoch 35, train_loss 0.001278, train_ic 0.021587, train_icir 0.263972, train_ric 0.031812, train_ricir 0.305859, train_mae 0.028354, train_rmse 0.036390, train_mape 344.366791, train_acc 0.347056, valid_loss 0.0023475892, valid_ic 0.006642, valid_icir 0.113724, valid_ric 0.020305, valid_ricir 0.243944, valid_prec@10 0.548148, valid_prec@30 0.541564, valid_mae 0.021275, valid_rmse 0.043802, valid_mape 408.366241, valid_acc 0.621514, test_loss 0.001886, ic 0.009429, icir 0.267721, ric 0.028163, ricir 0.343161, prec@10 0.525207, prec@30 0.520110, test_mae 0.016487, test_rmse 0.033038, test_mape 254.413345, test_acc 0.715361
Epoch 36, train_loss 0.001250, train_ic 0.023914, train_icir 0.286142, train_ric 0.014956, train_ricir 0.142637, train_mae 0.023421, train_rmse 0.033470, train_mape 184.118958, train_acc 0.552014, valid_loss 0.0023171487, valid_ic 0.007198, valid_icir 0.105110, valid_ric 0.012490, valid_ricir 0.113573, valid_prec@10 0.556790, valid_prec@30 0.534979, valid_mae 0.022001, valid_rmse 0.043613, valid_mape 428.165771, valid_acc 0.614431, test_loss 0.001872, ic 0.011385, icir 0.242904, ric 0.019266, ricir 0.186133, prec@10 0.523967, prec@30 0.520799, test_mae 0.016223, test_rmse 0.032771, test_mape 238.347656, test_acc 0.713590
Epoch 37, train_loss 0.001265, train_ic 0.014504, train_icir 0.209274, train_ric 0.028142, train_ricir 0.297983, train_mae 0.035189, train_rmse 0.041495, train_mape 369.517303, train_acc 0.312528, valid_loss 0.0027367284, valid_ic 0.006021, valid_icir 0.102778, valid_ric 0.024868, valid_ricir 0.315882, valid_prec@10 0.552675, valid_prec@30 0.541427, valid_mae 0.028216, valid_rmse 0.046308, valid_mape 603.390564, valid_acc 0.617530, test_loss 0.002329, ic 0.008751, icir 0.233498, ric 0.031634, ricir 0.339072, prec@10 0.530992, prec@30 0.517631, test_mae 0.024160, test_rmse 0.036768, test_mape 433.831360, test_acc 0.716689
Epoch 38, train_loss 0.001261, train_ic 0.023775, train_icir 0.286181, train_ric 0.017508, train_ricir 0.173996, train_mae 0.017725, train_rmse 0.021784, train_mape 314.160675, train_acc 0.405489, valid_loss 0.0022226703, valid_ic 0.007451, valid_icir 0.103849, valid_ric 0.011485, valid_ricir 0.117390, valid_prec@10 0.533745, valid_prec@30 0.531413, valid_mae 0.021673, valid_rmse 0.042772, valid_mape 395.735168, valid_acc 0.603807, test_loss 0.001823, ic 0.011913, icir 0.227604, ric 0.019416, ricir 0.182268, prec@10 0.535950, prec@30 0.518595, test_mae 0.016299, test_rmse 0.032166, test_mape 251.086807, test_acc 0.712705
Epoch 39, train_loss 0.001254, train_ic 0.029602, train_icir 0.381897, train_ric -0.010746, train_ricir -0.107323, train_mae 0.011287, train_rmse 0.017602, train_mape 114.762077, train_acc 0.781762, valid_loss 0.0020380972, valid_ic 0.007638, valid_icir 0.151157, valid_ric -0.015309, valid_ricir -0.226815, valid_prec@10 0.545267, valid_prec@30 0.544033, valid_mae 0.019067, valid_rmse 0.041584, valid_mape 306.862213, valid_acc 0.618858, test_loss 0.001636, ic 0.007909, icir 0.285284, ric -0.022476, ricir -0.245350, prec@10 0.516116, prec@30 0.510193, test_mae 0.015232, test_rmse 0.031964, test_mape 162.895905, test_acc 0.705179
