Dataset:  CSI300
Radom seed: 1234
GPU: 5
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI300",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2020,
        "test_year": 2021,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 23, train_loss 0.001361, train_ic 0.026246, train_icir 0.259312, train_ric 0.005137, train_ricir 0.046604, train_mae 0.012519, train_rmse 0.026608, train_mape 121.594391, train_acc 0.563333, valid_loss 0.0026584284, valid_ic -0.004712, valid_icir -0.063370, valid_ric 0.003305, valid_ricir 0.033791, valid_prec@10 0.502469, valid_prec@30 0.508779, valid_mae 0.024109, valid_rmse 0.061439, valid_mape 172.939056, valid_acc 0.446667, test_loss 0.003060, ic 0.009822, icir 0.112178, ric -0.013917, ricir -0.159206, prec@10 0.481481, prec@30 0.496159, test_mae 0.021271, test_rmse 0.049391, test_mape 1813.796265, test_acc 0.440000
Epoch 24, train_loss 0.001313, train_ic 0.000869, train_icir 0.008809, train_ric 0.017150, train_ricir 0.154817, train_mae 0.044911, train_rmse 0.051025, train_mape 561.835815, train_acc 0.656667, valid_loss 0.0053927280, valid_ic -0.006024, valid_icir -0.086692, valid_ric 0.015166, valid_ricir 0.133096, valid_prec@10 0.515226, valid_prec@30 0.510974, valid_mae 0.067640, valid_rmse 0.086780, valid_mape 891.812134, valid_acc 0.226667, test_loss 0.005829, ic 0.008529, icir 0.119018, ric 0.005468, ricir 0.046295, prec@10 0.517284, prec@30 0.501509, test_mae 0.063381, test_rmse 0.076962, test_mape 2625.741699, test_acc 0.293333
Epoch 25, train_loss 0.001354, train_ic 0.027649, train_icir 0.259259, train_ric -0.007537, train_ricir -0.067138, train_mae 0.023357, train_rmse 0.033517, train_mape 137.403427, train_acc 0.506667, valid_loss 0.0025878271, valid_ic -0.005954, valid_icir -0.084167, valid_ric -0.015667, valid_ricir -0.163665, valid_prec@10 0.516461, valid_prec@30 0.493416, valid_mae 0.024133, valid_rmse 0.060811, valid_mape 168.538315, valid_acc 0.353333, test_loss 0.002975, ic 0.010251, icir 0.125789, ric -0.005756, ricir -0.068505, prec@10 0.505350, prec@30 0.491084, test_mae 0.021511, test_rmse 0.048546, test_mape 1774.904785, test_acc 0.346667
Epoch 26, train_loss 0.001305, train_ic 0.021797, train_icir 0.200592, train_ric -0.019244, train_ricir -0.162560, train_mae 0.029310, train_rmse 0.040903, train_mape 499.747192, train_acc 0.236667, valid_loss 0.0029138234, valid_ic -0.004470, valid_icir -0.063184, valid_ric -0.013881, valid_ricir -0.124419, valid_prec@10 0.519753, valid_prec@30 0.505761, valid_mae 0.037034, valid_rmse 0.065625, valid_mape 386.740387, valid_acc 0.236667, test_loss 0.003270, ic 0.009322, icir 0.120750, ric -0.022143, ricir -0.204567, prec@10 0.507407, prec@30 0.493416, test_mae 0.032103, test_rmse 0.053265, test_mape 1970.050049, test_acc 0.303333
Epoch 27, train_loss 0.001317, train_ic 0.019413, train_icir 0.198050, train_ric -0.004771, train_ricir -0.043806, train_mae 0.017547, train_rmse 0.024634, train_mape 141.299957, train_acc 0.576667, valid_loss 0.0025850807, valid_ic -0.003466, valid_icir -0.050124, valid_ric -0.002486, valid_ricir -0.024274, valid_prec@10 0.508230, valid_prec@30 0.505761, valid_mae 0.022809, valid_rmse 0.058547, valid_mape 183.840302, valid_acc 0.660000, test_loss 0.002916, ic 0.007934, icir 0.106721, ric -0.016447, ricir -0.155998, prec@10 0.509877, prec@30 0.501235, test_mae 0.020674, test_rmse 0.046111, test_mape 1752.916870, test_acc 0.550000
Epoch 28, train_loss 0.001314, train_ic 0.054629, train_icir 0.462446, train_ric 0.010450, train_ricir 0.080760, train_mae 0.016105, train_rmse 0.021685, train_mape 99.273354, train_acc 0.816667, valid_loss 0.0025908470, valid_ic -0.002204, valid_icir -0.030896, valid_ric 0.009027, valid_ricir 0.094407, valid_prec@10 0.541564, valid_prec@30 0.524966, valid_mae 0.027600, valid_rmse 0.060546, valid_mape 221.212585, valid_acc 0.263333, test_loss 0.002880, ic 0.012555, icir 0.153686, ric -0.005372, ricir -0.059893, prec@10 0.520576, prec@30 0.505898, test_mae 0.024184, test_rmse 0.047585, test_mape 1749.132935, test_acc 0.313333
Epoch 29, train_loss 0.001272, train_ic 0.031835, train_icir 0.332438, train_ric 0.031405, train_ricir 0.335206, train_mae 0.019357, train_rmse 0.023222, train_mape 401.616577, train_acc 0.406667, valid_loss 0.0026480846, valid_ic -0.007921, valid_icir -0.106331, valid_ric -0.003955, valid_ricir -0.061577, valid_prec@10 0.503292, valid_prec@30 0.508230, valid_mae 0.023421, valid_rmse 0.057361, valid_mape 262.058716, valid_acc 0.650000, test_loss 0.002926, ic 0.010291, icir 0.119681, ric 0.007270, ricir 0.090292, prec@10 0.505761, prec@30 0.516324, test_mae 0.021571, test_rmse 0.045354, test_mape 1783.034668, test_acc 0.640000
Epoch 30, train_loss 0.001289, train_ic 0.022056, train_icir 0.206977, train_ric 0.022735, train_ricir 0.193409, train_mae 0.015299, train_rmse 0.022013, train_mape 97.134727, train_acc 0.780000, valid_loss 0.0025751085, valid_ic -0.004880, valid_icir -0.066735, valid_ric 0.015860, valid_ricir 0.142596, valid_prec@10 0.498354, valid_prec@30 0.496571, valid_mae 0.028577, valid_rmse 0.060179, valid_mape 234.416824, valid_acc 0.270000, test_loss 0.002825, ic 0.009026, icir 0.113891, ric 0.003346, ricir 0.030703, prec@10 0.486831, prec@30 0.493278, test_mae 0.025013, test_rmse 0.047084, test_mape 1718.624146, test_acc 0.320000
Epoch 31, train_loss 0.001306, train_ic 0.023088, train_icir 0.258659, train_ric 0.012284, train_ricir 0.130747, train_mae 0.058823, train_rmse 0.068857, train_mape 104.495575, train_acc 0.466667, valid_loss 0.0023795884, valid_ic -0.004176, valid_icir -0.059335, valid_ric -0.003923, valid_ricir -0.043342, valid_prec@10 0.525514, valid_prec@30 0.512071, valid_mae 0.022374, valid_rmse 0.057250, valid_mape 144.187332, valid_acc 0.513333, test_loss 0.002655, ic 0.009892, icir 0.123757, ric -0.001501, ricir -0.016762, prec@10 0.517695, prec@30 0.508093, test_mae 0.019672, test_rmse 0.044444, test_mape 1621.766113, test_acc 0.453333
Epoch 32, train_loss 0.001241, train_ic 0.022832, train_icir 0.229753, train_ric 0.026000, train_ricir 0.244706, train_mae 0.018142, train_rmse 0.026734, train_mape 215.282272, train_acc 0.293333, valid_loss 0.0024611011, valid_ic -0.006788, valid_icir -0.093021, valid_ric 0.012303, valid_ricir 0.116057, valid_prec@10 0.512346, valid_prec@30 0.513717, valid_mae 0.029212, valid_rmse 0.058911, valid_mape 242.552399, valid_acc 0.240000, test_loss 0.002696, ic 0.010456, icir 0.132373, ric 0.011885, ricir 0.112864, prec@10 0.513992, prec@30 0.519342, test_mae 0.025007, test_rmse 0.045396, test_mape 1627.036865, test_acc 0.306667
