Dataset:  CSI2259
Radom seed: 1234
GPU: 5
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 32,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI2259",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2019,
        "test_year": 2020,
        "window": 32,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 22, train_loss 0.001464, train_ic 0.020310, train_icir 0.251107, train_ric -0.013156, train_ricir -0.118259, train_mae 0.012541, train_rmse 0.024817, train_mape 152.460068, train_acc 0.470562, valid_loss 0.0013877818, valid_ic 0.002399, valid_icir 0.066190, valid_ric -0.024533, valid_ricir -0.345796, valid_prec@10 0.552459, valid_prec@30 0.511749, valid_mae 0.016496, valid_rmse 0.036724, valid_mape 196.325989, valid_acc 0.468792, test_loss 0.002922, ic -0.002105, icir -0.045912, ric -0.015196, ricir -0.185994, prec@10 0.570782, prec@30 0.529904, test_mae 0.025660, test_rmse 0.066052, test_mape 283.009277, test_acc 0.458610
Epoch 23, train_loss 0.001451, train_ic 0.013424, train_icir 0.155863, train_ric 0.043024, train_ricir 0.365335, train_mae 0.035893, train_rmse 0.047873, train_mape 267.924072, train_acc 0.241257, valid_loss 0.0014209697, valid_ic 0.000818, valid_icir 0.020987, valid_ric 0.028733, valid_ricir 0.344057, valid_prec@10 0.572541, valid_prec@30 0.566257, valid_mae 0.019189, valid_rmse 0.037988, valid_mape 271.533508, valid_acc 0.385126, test_loss 0.002867, ic -0.007758, icir -0.158547, ric 0.020191, ricir 0.210659, prec@10 0.560494, prec@30 0.547325, test_mae 0.027427, test_rmse 0.065353, test_mape 305.812744, test_acc 0.298805
Epoch 24, train_loss 0.001451, train_ic 0.017038, train_icir 0.214953, train_ric -0.011729, train_ricir -0.110100, train_mae 0.059255, train_rmse 0.065303, train_mape 75.005463, train_acc 0.810093, valid_loss 0.0014901627, valid_ic 0.002387, valid_icir 0.071861, valid_ric -0.017447, valid_ricir -0.237589, valid_prec@10 0.547131, valid_prec@30 0.518989, valid_mae 0.022517, valid_rmse 0.038872, valid_mape 322.160431, valid_acc 0.326251, test_loss 0.002881, ic -0.001640, icir -0.039644, ric -0.012013, ricir -0.139259, prec@10 0.570782, prec@30 0.533745, test_mae 0.032581, test_rmse 0.066348, test_mape 381.730042, test_acc 0.222222
Epoch 25, train_loss 0.001390, train_ic 0.027951, train_icir 0.305095, train_ric -0.000767, train_ricir -0.006013, train_mae 0.014711, train_rmse 0.024989, train_mape 146.639694, train_acc 0.695883, valid_loss 0.0014109029, valid_ic 0.006561, valid_icir 0.211328, valid_ric -0.010172, valid_ricir -0.120163, valid_prec@10 0.544672, valid_prec@30 0.537022, valid_mae 0.021227, valid_rmse 0.037448, valid_mape 295.947876, valid_acc 0.340859, test_loss 0.002721, ic 0.001605, icir 0.042697, ric 0.001873, ricir 0.017685, prec@10 0.549383, prec@30 0.542112, test_mae 0.029068, test_rmse 0.063798, test_mape 334.188477, test_acc 0.290837
Epoch 26, train_loss 0.001402, train_ic 0.017890, train_icir 0.274881, train_ric 0.014065, train_ricir 0.177347, train_mae 0.024452, train_rmse 0.027697, train_mape 635.338623, train_acc 0.706065, valid_loss 0.0020047046, valid_ic 0.002149, valid_icir 0.066434, valid_ric -0.006203, valid_ricir -0.123516, valid_prec@10 0.564344, valid_prec@30 0.533197, valid_mae 0.027960, valid_rmse 0.040680, valid_mape 606.335144, valid_acc 0.598938, test_loss 0.003281, ic -0.002087, icir -0.050304, ric -0.004789, ricir -0.072582, prec@10 0.562551, prec@30 0.532236, test_mae 0.028682, test_rmse 0.062105, test_mape 492.532196, test_acc 0.698539
Epoch 27, train_loss 0.001418, train_ic 0.026807, train_icir 0.304971, train_ric 0.013585, train_ricir 0.127372, train_mae 0.054858, train_rmse 0.066071, train_mape 264.751495, train_acc 0.108898, valid_loss 0.0015803332, valid_ic 0.002117, valid_icir 0.047478, valid_ric 0.000236, valid_ricir 0.002780, valid_prec@10 0.579918, valid_prec@30 0.568033, valid_mae 0.025785, valid_rmse 0.040290, valid_mape 429.916229, valid_acc 0.341301, test_loss 0.002818, ic -0.004902, icir -0.094497, ric 0.001777, ricir 0.015550, prec@10 0.569136, prec@30 0.557202, test_mae 0.035940, test_rmse 0.066134, test_mape 442.101288, test_acc 0.217353
Epoch 28, train_loss 0.001357, train_ic 0.031058, train_icir 0.310014, train_ric -0.010325, train_ricir -0.082863, train_mae 0.017734, train_rmse 0.025057, train_mape 197.452148, train_acc 0.486056, valid_loss 0.0012663427, valid_ic 0.006816, valid_icir 0.166846, valid_ric -0.023248, valid_ricir -0.288614, valid_prec@10 0.560246, valid_prec@30 0.531694, valid_mae 0.016770, valid_rmse 0.033260, valid_mape 227.687195, valid_acc 0.448429, test_loss 0.002456, ic 0.004994, icir 0.105782, ric -0.010011, ricir -0.105026, prec@10 0.577366, prec@30 0.547462, test_mae 0.023949, test_rmse 0.059278, test_mape 277.685089, test_acc 0.467906
Epoch 29, train_loss 0.001364, train_ic 0.011591, train_icir 0.129445, train_ric 0.001364, train_ricir 0.011057, train_mae 0.018628, train_rmse 0.022729, train_mape 650.193298, train_acc 0.585215, valid_loss 0.0014799891, valid_ic 0.001811, valid_icir 0.051915, valid_ric -0.001195, valid_ricir -0.012089, valid_prec@10 0.548361, valid_prec@30 0.523907, valid_mae 0.019638, valid_rmse 0.034551, valid_mape 393.745117, valid_acc 0.603364, test_loss 0.002685, ic -0.001988, icir -0.050697, ric -0.001872, ricir -0.014421, prec@10 0.543210, prec@30 0.532922, test_mae 0.021996, test_rmse 0.057335, test_mape 362.040283, test_acc 0.712262
Epoch 30, train_loss 0.001375, train_ic 0.017279, train_icir 0.234082, train_ric 0.009911, train_ricir 0.101815, train_mae 0.038248, train_rmse 0.043701, train_mape 540.554504, train_acc 0.202302, valid_loss 0.0018929024, valid_ic 0.004628, valid_icir 0.184358, valid_ric 0.007312, valid_ricir 0.130027, valid_prec@10 0.540164, valid_prec@30 0.536612, valid_mae 0.032736, valid_rmse 0.044279, valid_mape 561.516357, valid_acc 0.332005, test_loss 0.002955, ic -0.000981, icir -0.030985, ric 0.009321, ricir 0.139183, prec@10 0.542798, prec@30 0.540741, test_mae 0.041183, test_rmse 0.066595, test_mape 515.455627, test_acc 0.220894
Epoch 31, train_loss 0.001330, train_ic 0.016673, train_icir 0.255264, train_ric 0.016560, train_ricir 0.194298, train_mae 0.034401, train_rmse 0.042263, train_mape 106.095184, train_acc 0.865870, valid_loss 0.0018407503, valid_ic 0.003854, valid_icir 0.136090, valid_ric 0.018348, valid_ricir 0.307107, valid_prec@10 0.537295, valid_prec@30 0.548634, valid_mae 0.033370, valid_rmse 0.044266, valid_mape 587.751282, valid_acc 0.328021, test_loss 0.002898, ic -0.004093, icir -0.108385, ric 0.010593, ricir 0.178423, prec@10 0.529218, prec@30 0.537449, test_mae 0.041628, test_rmse 0.066483, test_mape 528.898132, test_acc 0.216025
