Dataset:  CSI2259
Radom seed: 1234
GPU: 5
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 32,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI2259",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2019,
        "test_year": 2020,
        "window": 32,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 73, train_loss 0.001155, train_ic 0.048348, train_icir 0.522328, train_ric 0.014506, train_ricir 0.131875, train_mae 0.017361, train_rmse 0.023463, train_mape 133.411560, train_acc 0.393537, valid_loss 0.0009312000, valid_ic 0.012287, valid_icir 0.389529, valid_ric -0.006769, valid_ricir -0.101162, valid_prec@10 0.570902, valid_prec@30 0.548907, valid_mae 0.013149, valid_rmse 0.025375, valid_mape 146.013535, valid_acc 0.554670, test_loss 0.001479, ic 0.009505, icir 0.277377, ric 0.004585, ricir 0.057995, prec@10 0.574486, prec@30 0.549794, test_mae 0.018358, test_rmse 0.041209, test_mape 168.513351, test_acc 0.639664
Epoch 74, train_loss 0.001150, train_ic 0.014093, train_icir 0.145361, train_ric -0.012720, train_ricir -0.107893, train_mae 0.018536, train_rmse 0.024904, train_mape 221.389725, train_acc 0.302789, valid_loss 0.0009758131, valid_ic 0.006541, valid_icir 0.168030, valid_ric -0.005796, valid_ricir -0.065564, valid_prec@10 0.570902, valid_prec@30 0.534016, valid_mae 0.014175, valid_rmse 0.026149, valid_mape 186.349548, valid_acc 0.509075, test_loss 0.001536, ic 0.003874, icir 0.087331, ric -0.009223, ricir -0.088137, prec@10 0.543621, prec@30 0.530590, test_mae 0.018879, test_rmse 0.041511, test_mape 200.642014, test_acc 0.594511
Epoch 75, train_loss 0.001162, train_ic 0.049154, train_icir 0.520737, train_ric 0.036851, train_ricir 0.340820, train_mae 0.067444, train_rmse 0.075293, train_mape 85.198502, train_acc 0.762284, valid_loss 0.0009317058, valid_ic 0.009747, valid_icir 0.254987, valid_ric 0.013693, valid_ricir 0.162555, valid_prec@10 0.561885, valid_prec@30 0.562842, valid_mae 0.013381, valid_rmse 0.025758, valid_mape 133.442902, valid_acc 0.505533, test_loss 0.001468, ic 0.004796, icir 0.128847, ric 0.019071, ricir 0.202634, prec@10 0.568724, prec@30 0.557888, test_mae 0.019828, test_rmse 0.041722, test_mape 170.256989, test_acc 0.546259
Epoch 76, train_loss 0.001169, train_ic 0.037947, train_icir 0.391149, train_ric 0.013601, train_ricir 0.116779, train_mae 0.016900, train_rmse 0.025497, train_mape 166.004807, train_acc 0.305445, valid_loss 0.0009656380, valid_ic 0.009930, valid_icir 0.256545, valid_ric -0.000763, valid_ricir -0.008746, valid_prec@10 0.566803, valid_prec@30 0.540301, valid_mae 0.016235, valid_rmse 0.027470, valid_mape 196.118759, valid_acc 0.363435, test_loss 0.001494, ic 0.008812, icir 0.211277, ric 0.003207, ricir 0.027676, prec@10 0.575720, prec@30 0.546502, test_mae 0.021997, test_rmse 0.042522, test_mape 204.473145, test_acc 0.378929
Epoch 77, train_loss 0.001160, train_ic 0.049099, train_icir 0.587528, train_ric 0.022795, train_ricir 0.238088, train_mae 0.037863, train_rmse 0.043811, train_mape 103.943527, train_acc 0.270031, valid_loss 0.0009254741, valid_ic 0.008858, valid_icir 0.314742, valid_ric -0.006308, valid_ricir -0.127143, valid_prec@10 0.570492, valid_prec@30 0.542213, valid_mae 0.013801, valid_rmse 0.025926, valid_mape 140.474060, valid_acc 0.390438, test_loss 0.001449, ic 0.007631, icir 0.241222, ric 0.004260, ricir 0.071654, prec@10 0.563786, prec@30 0.544856, test_mae 0.020591, test_rmse 0.041821, test_mape 176.124710, test_acc 0.370961
Epoch 78, train_loss 0.001192, train_ic 0.034373, train_icir 0.392282, train_ric -0.001466, train_ricir -0.014363, train_mae 0.015755, train_rmse 0.026114, train_mape 181.834610, train_acc 0.501549, valid_loss 0.0010094738, valid_ic 0.008022, valid_icir 0.268515, valid_ric -0.007333, valid_ricir -0.139601, valid_prec@10 0.588525, valid_prec@30 0.567486, valid_mae 0.017747, valid_rmse 0.028746, valid_mape 238.456635, valid_acc 0.347942, test_loss 0.001528, ic 0.005205, icir 0.155392, ric -0.001286, ricir -0.022188, prec@10 0.577778, prec@30 0.567353, test_mae 0.025375, test_rmse 0.044442, test_mape 243.846344, test_acc 0.245684
Epoch 79, train_loss 0.001150, train_ic 0.048402, train_icir 0.460807, train_ric 0.039648, train_ricir 0.326078, train_mae 0.023227, train_rmse 0.030953, train_mape 154.411240, train_acc 0.577689, valid_loss 0.0010083837, valid_ic 0.004899, valid_icir 0.093741, valid_ric 0.002572, valid_ricir 0.026343, valid_prec@10 0.566803, valid_prec@30 0.555874, valid_mae 0.016886, valid_rmse 0.028557, valid_mape 233.691879, valid_acc 0.376715, test_loss 0.001529, ic 0.003027, icir 0.061702, ric 0.009058, ricir 0.077792, prec@10 0.583128, prec@30 0.563374, test_mae 0.025751, test_rmse 0.044952, test_mape 248.264282, test_acc 0.265604
Epoch 80, train_loss 0.001135, train_ic 0.042072, train_icir 0.552726, train_ric 0.020428, train_ricir 0.233796, train_mae 0.012213, train_rmse 0.022441, train_mape 137.058624, train_acc 0.678619, valid_loss 0.0009393575, valid_ic 0.008532, valid_icir 0.280582, valid_ric -0.004683, valid_ricir -0.079763, valid_prec@10 0.575410, valid_prec@30 0.537978, valid_mae 0.013424, valid_rmse 0.025015, valid_mape 183.645203, valid_acc 0.597610, test_loss 0.001451, ic 0.006241, icir 0.186136, ric -0.000981, ricir -0.014129, prec@10 0.586008, prec@30 0.547051, test_mae 0.017916, test_rmse 0.039726, test_mape 173.280258, test_acc 0.675963
Epoch 81, train_loss 0.001160, train_ic 0.048525, train_icir 0.543685, train_ric 0.015505, train_ricir 0.155519, train_mae 0.017464, train_rmse 0.023212, train_mape 162.661865, train_acc 0.251881, valid_loss 0.0009573855, valid_ic 0.012158, valid_icir 0.380968, valid_ric 0.000384, valid_ricir 0.007407, valid_prec@10 0.580328, valid_prec@30 0.550137, valid_mae 0.016011, valid_rmse 0.027407, valid_mape 197.330673, valid_acc 0.361222, test_loss 0.001454, ic 0.008724, icir 0.251229, ric 0.007139, ricir 0.116997, prec@10 0.563786, prec@30 0.546091, test_mae 0.022518, test_rmse 0.042427, test_mape 202.416397, test_acc 0.303674
Epoch 82, train_loss 0.001149, train_ic 0.042265, train_icir 0.488607, train_ric 0.061734, train_ricir 0.570502, train_mae 0.018272, train_rmse 0.022234, train_mape 361.334045, train_acc 0.356352, valid_loss 0.0010796987, valid_ic 0.005952, valid_icir 0.175919, valid_ric 0.029448, valid_ricir 0.373687, valid_prec@10 0.554098, valid_prec@30 0.539617, valid_mae 0.016378, valid_rmse 0.026301, valid_mape 284.515625, valid_acc 0.604692, test_loss 0.001586, ic 0.002130, icir 0.062289, ric 0.025004, ricir 0.289474, prec@10 0.550617, prec@30 0.526200, test_mae 0.019017, test_rmse 0.039255, test_mape 238.522202, test_acc 0.708278
Epoch 83, train_loss 0.001171, train_ic 0.050765, train_icir 0.456261, train_ric 0.035014, train_ricir 0.274516, train_mae 0.016725, train_rmse 0.025007, train_mape 4457.046875, train_acc 0.507304, valid_loss 0.0009497639, valid_ic 0.005303, valid_icir 0.103128, valid_ric -0.007101, valid_ricir -0.075425, valid_prec@10 0.560246, valid_prec@30 0.535656, valid_mae 0.013976, valid_rmse 0.025914, valid_mape 168.936600, valid_acc 0.534307, test_loss 0.001456, ic 0.005066, icir 0.097460, ric 0.005957, ricir 0.049521, prec@10 0.566667, prec@30 0.554047, test_mae 0.022361, test_rmse 0.041971, test_mape 198.064560, test_acc 0.373174
Epoch 84, train_loss 0.001139, train_ic 0.046934, train_icir 0.497504, train_ric 0.024650, train_ricir 0.223595, train_mae 0.018835, train_rmse 0.022914, train_mape 448.515045, train_acc 0.495352, valid_loss 0.0011978387, valid_ic 0.005466, valid_icir 0.154442, valid_ric -0.004510, valid_ricir -0.058800, valid_prec@10 0.580738, valid_prec@30 0.571038, valid_mae 0.019074, valid_rmse 0.028052, valid_mape 368.404694, valid_acc 0.606463, test_loss 0.001717, ic 0.002385, icir 0.066141, ric 0.001252, ricir 0.013045, prec@10 0.570782, prec@30 0.565844, test_mae 0.020023, test_rmse 0.039208, test_mape 268.981384, test_acc 0.716246
Epoch 85, train_loss 0.001150, train_ic 0.043850, train_icir 0.504080, train_ric 0.029867, train_ricir 0.292454, train_mae 0.016596, train_rmse 0.023356, train_mape 280.876770, train_acc 0.550243, valid_loss 0.0011207134, valid_ic 0.011875, valid_icir 0.404911, valid_ric 0.017867, valid_ricir 0.239062, valid_prec@10 0.569672, valid_prec@30 0.547678, valid_mae 0.022415, valid_rmse 0.031952, valid_mape 345.454041, valid_acc 0.329792, test_loss 0.001587, ic 0.007308, icir 0.229918, ric 0.015716, ricir 0.152801, prec@10 0.567490, prec@30 0.544307, test_mae 0.028632, test_rmse 0.045369, test_mape 289.020508, test_acc 0.228862
Epoch 86, train_loss 0.001148, train_ic 0.033105, train_icir 0.353286, train_ric 0.032250, train_ricir 0.304091, train_mae 0.011745, train_rmse 0.017333, train_mape 113.724968, train_acc 0.583887, valid_loss 0.0009315976, valid_ic 0.002966, valid_icir 0.078203, valid_ric 0.007619, valid_ricir 0.101129, valid_prec@10 0.574180, valid_prec@30 0.574590, valid_mae 0.013899, valid_rmse 0.025887, valid_mape 148.173019, valid_acc 0.490925, test_loss 0.001434, ic -0.000984, icir -0.024272, ric 0.007165, ricir 0.074676, prec@10 0.570370, prec@30 0.552675, test_mae 0.021394, test_rmse 0.040899, test_mape 179.267014, test_acc 0.378043
Epoch 87, train_loss 0.001139, train_ic 0.049867, train_icir 0.468817, train_ric -0.015380, train_ricir -0.121236, train_mae 0.018749, train_rmse 0.026601, train_mape 134.083603, train_acc 0.451970, valid_loss 0.0009232850, valid_ic 0.012116, valid_icir 0.257332, valid_ric -0.030726, valid_ricir -0.369302, valid_prec@10 0.573361, valid_prec@30 0.538115, valid_mae 0.013983, valid_rmse 0.025529, valid_mape 159.521530, valid_acc 0.473661, test_loss 0.001414, ic 0.012779, icir 0.251442, ric -0.014801, ricir -0.162244, prec@10 0.573663, prec@30 0.550617, test_mae 0.019807, test_rmse 0.039905, test_mape 168.717010, test_acc 0.501107
Epoch 88, train_loss 0.001160, train_ic 0.036516, train_icir 0.346007, train_ric 0.002145, train_ricir 0.016894, train_mae 0.044163, train_rmse 0.049342, train_mape 110.230675, train_acc 0.123506, valid_loss 0.0009548011, valid_ic 0.005754, valid_icir 0.120880, valid_ric -0.019558, valid_ricir -0.229866, valid_prec@10 0.572541, valid_prec@30 0.534016, valid_mae 0.014589, valid_rmse 0.026582, valid_mape 166.964111, valid_acc 0.388225, test_loss 0.001467, ic 0.003665, icir 0.072949, ric -0.011418, ricir -0.097791, prec@10 0.582716, prec@30 0.548148, test_mae 0.023578, test_rmse 0.042279, test_mape 207.092361, test_acc 0.260735
Epoch 89, train_loss 0.001157, train_ic 0.026348, train_icir 0.294323, train_ric 0.044126, train_ricir 0.399672, train_mae 0.039562, train_rmse 0.044809, train_mape 219.821411, train_acc 0.118637, valid_loss 0.0014614835, valid_ic 0.003458, valid_icir 0.062569, valid_ric 0.019720, valid_ricir 0.217510, valid_prec@10 0.571311, valid_prec@30 0.568852, valid_mae 0.026235, valid_rmse 0.037089, valid_mape 442.713745, valid_acc 0.354139, test_loss 0.002078, ic -0.003482, icir -0.059023, ric 0.013525, ricir 0.123510, prec@10 0.546091, prec@30 0.545130, test_mae 0.034201, test_rmse 0.050475, test_mape 383.713562, test_acc 0.234174
Epoch 90, train_loss 0.001146, train_ic 0.059993, train_icir 0.652598, train_ric 0.035226, train_ricir 0.329186, train_mae 0.015696, train_rmse 0.021204, train_mape 164.300140, train_acc 0.351926, valid_loss 0.0009159876, valid_ic 0.008747, valid_icir 0.226538, valid_ric -0.006960, valid_ricir -0.092601, valid_prec@10 0.563934, valid_prec@30 0.535656, valid_mae 0.013093, valid_rmse 0.024879, valid_mape 149.241898, valid_acc 0.593625, test_loss 0.001388, ic 0.009628, icir 0.265450, ric 0.008606, ricir 0.108485, prec@10 0.583951, prec@30 0.556379, test_mae 0.019261, test_rmse 0.038998, test_mape 161.285416, test_acc 0.588756
Epoch 91, train_loss 0.001126, train_ic 0.056465, train_icir 0.634651, train_ric 0.037728, train_ricir 0.364347, train_mae 0.014488, train_rmse 0.022513, train_mape 154.241196, train_acc 0.788402, valid_loss 0.0009148916, valid_ic 0.009185, valid_icir 0.255750, valid_ric 0.000055, valid_ricir 0.000868, valid_prec@10 0.567623, valid_prec@30 0.539617, valid_mae 0.013333, valid_rmse 0.024948, valid_mape 160.969223, valid_acc 0.592740, test_loss 0.001399, ic 0.008363, icir 0.232801, ric 0.009744, ricir 0.126440, prec@10 0.561728, prec@30 0.545679, test_mae 0.018967, test_rmse 0.039251, test_mape 166.885605, test_acc 0.590084
Epoch 92, train_loss 0.001141, train_ic 0.049122, train_icir 0.463727, train_ric -0.006587, train_ricir -0.053342, train_mae 0.032707, train_rmse 0.039189, train_mape 597.003784, train_acc 0.351483, valid_loss 0.0015996343, valid_ic 0.012318, valid_icir 0.272741, valid_ric -0.021284, valid_ricir -0.287764, valid_prec@10 0.577049, valid_prec@30 0.558333, valid_mae 0.031571, valid_rmse 0.039062, valid_mape 559.827393, valid_acc 0.328464, test_loss 0.002043, ic 0.011951, icir 0.264720, ric -0.003091, ricir -0.036045, prec@10 0.582305, prec@30 0.554595, test_mae 0.040077, test_rmse 0.052977, test_mape 465.626801, test_acc 0.213811
Epoch 93, train_loss 0.001130, train_ic 0.042681, train_icir 0.522820, train_ric 0.023392, train_ricir 0.237752, train_mae 0.015193, train_rmse 0.022083, train_mape 126.613892, train_acc 0.535193, valid_loss 0.0009101648, valid_ic 0.006958, valid_icir 0.211849, valid_ric -0.004849, valid_ricir -0.071398, valid_prec@10 0.573361, valid_prec@30 0.543716, valid_mae 0.013789, valid_rmse 0.025250, valid_mape 145.470963, valid_acc 0.440018, test_loss 0.001370, ic 0.007775, icir 0.229261, ric 0.003875, ricir 0.049193, prec@10 0.567901, prec@30 0.535391, test_mae 0.021539, test_rmse 0.039948, test_mape 182.086639, test_acc 0.327136
Epoch 94, train_loss 0.001143, train_ic 0.060231, train_icir 0.609286, train_ric 0.038840, train_ricir 0.324157, train_mae 0.015899, train_rmse 0.021236, train_mape 411.874817, train_acc 0.551571, valid_loss 0.0011085059, valid_ic 0.012888, valid_icir 0.316384, valid_ric 0.000162, valid_ricir 0.002059, valid_prec@10 0.577049, valid_prec@30 0.537705, valid_mae 0.017168, valid_rmse 0.026602, valid_mape 325.775330, valid_acc 0.605135, test_loss 0.001577, ic 0.011503, icir 0.296843, ric 0.014529, ricir 0.157327, prec@10 0.566255, prec@30 0.553086, test_mae 0.018912, test_rmse 0.037618, test_mape 249.295166, test_acc 0.712262
Epoch 95, train_loss 0.001154, train_ic 0.047434, train_icir 0.532417, train_ric 0.045322, train_ricir 0.426849, train_mae 0.021387, train_rmse 0.029725, train_mape 131.237335, train_acc 0.414785, valid_loss 0.0009236601, valid_ic 0.008614, valid_icir 0.288235, valid_ric 0.010940, valid_ricir 0.160912, valid_prec@10 0.550410, valid_prec@30 0.533607, valid_mae 0.013436, valid_rmse 0.024929, valid_mape 178.175064, valid_acc 0.605578, test_loss 0.001387, ic 0.007074, icir 0.234593, ric 0.019847, ricir 0.258498, prec@10 0.567901, prec@30 0.546502, test_mae 0.018160, test_rmse 0.037818, test_mape 166.605515, test_acc 0.671536
Epoch 96, train_loss 0.001115, train_ic 0.031723, train_icir 0.410567, train_ric 0.011851, train_ricir 0.129154, train_mae 0.024597, train_rmse 0.028979, train_mape 415.930115, train_acc 0.335989, valid_loss 0.0011827801, valid_ic 0.005623, valid_icir 0.161785, valid_ric -0.003673, valid_ricir -0.054724, valid_prec@10 0.547541, valid_prec@30 0.524727, valid_mae 0.019027, valid_rmse 0.027891, valid_mape 379.077972, valid_acc 0.603807, test_loss 0.001657, ic 0.004327, icir 0.111616, ric -0.006689, ricir -0.089431, prec@10 0.562140, prec@30 0.532785, test_mae 0.018887, test_rmse 0.037332, test_mape 256.281769, test_acc 0.708278
Epoch 97, train_loss 0.001144, train_ic 0.033441, train_icir 0.439523, train_ric 0.041857, train_ricir 0.493778, train_mae 0.036032, train_rmse 0.042277, train_mape 99.633553, train_acc 0.813192, valid_loss 0.0009526360, valid_ic 0.005197, valid_icir 0.144999, valid_ric 0.015015, valid_ricir 0.280766, valid_prec@10 0.548770, valid_prec@30 0.535792, valid_mae 0.016136, valid_rmse 0.027503, valid_mape 199.393021, valid_acc 0.328021, test_loss 0.001433, ic 0.000984, icir 0.024730, ric 0.008771, ricir 0.146295, prec@10 0.557613, prec@30 0.531550, test_mae 0.023868, test_rmse 0.042045, test_mape 206.293732, test_acc 0.251881
Epoch 98, train_loss 0.001122, train_ic 0.058739, train_icir 0.706737, train_ric 0.037106, train_ricir 0.428062, train_mae 0.028638, train_rmse 0.037382, train_mape 112.186417, train_acc 0.649402, valid_loss 0.0009037296, valid_ic 0.009572, valid_icir 0.307104, valid_ric 0.006086, valid_ricir 0.116129, valid_prec@10 0.592623, valid_prec@30 0.549863, valid_mae 0.014401, valid_rmse 0.026004, valid_mape 152.734894, valid_acc 0.353696, test_loss 0.001352, ic 0.006556, icir 0.201926, ric 0.012373, ricir 0.210688, prec@10 0.583951, prec@30 0.563374, test_mae 0.021674, test_rmse 0.039887, test_mape 173.569962, test_acc 0.250553
Epoch 99, train_loss 0.001117, train_ic 0.041965, train_icir 0.493161, train_ric 0.053114, train_ricir 0.520291, train_mae 0.020470, train_rmse 0.027427, train_mape 213.188644, train_acc 0.132359, valid_loss 0.0009894843, valid_ic 0.008929, valid_icir 0.208095, valid_ric 0.029982, valid_ricir 0.368955, valid_prec@10 0.575820, valid_prec@30 0.571858, valid_mae 0.017770, valid_rmse 0.028797, valid_mape 251.210617, valid_acc 0.339531, test_loss 0.001456, ic 0.001414, icir 0.031699, ric 0.021414, ricir 0.243644, prec@10 0.571605, prec@30 0.557339, test_mae 0.024922, test_rmse 0.042615, test_mape 225.582916, test_acc 0.240815
Epoch 100, train_loss 0.001122, train_ic 0.038883, train_icir 0.436848, train_ric 0.059113, train_ricir 0.518576, train_mae 0.015581, train_rmse 0.022838, train_mape 154.308105, train_acc 0.516158, valid_loss 0.0009010167, valid_ic 0.007860, valid_icir 0.218835, valid_ric 0.035402, valid_ricir 0.424507, valid_prec@10 0.550820, valid_prec@30 0.534153, valid_mae 0.013209, valid_rmse 0.025026, valid_mape 144.216339, valid_acc 0.569721, test_loss 0.001350, ic 0.000947, icir 0.026315, ric 0.020734, ricir 0.228991, prec@10 0.546502, prec@30 0.518381, test_mae 0.018575, test_rmse 0.038241, test_mape 152.717789, test_acc 0.612218
Epoch 101, train_loss 0.001129, train_ic 0.057058, train_icir 0.629192, train_ric 0.054317, train_ricir 0.490819, train_mae 0.017738, train_rmse 0.025008, train_mape 128.487228, train_acc 0.367419, valid_loss 0.0008974262, valid_ic 0.011345, valid_icir 0.349101, valid_ric 0.016698, valid_ricir 0.222037, valid_prec@10 0.560656, valid_prec@30 0.546858, valid_mae 0.013109, valid_rmse 0.024695, valid_mape 148.295670, valid_acc 0.603807, test_loss 0.001339, ic 0.008888, icir 0.278941, ric 0.022510, ricir 0.240355, prec@10 0.578601, prec@30 0.538546, test_mae 0.017825, test_rmse 0.037126, test_mape 150.582687, test_acc 0.651616
Epoch 102, train_loss 0.001119, train_ic 0.055404, train_icir 0.587275, train_ric 0.025915, train_ricir 0.242834, train_mae 0.019046, train_rmse 0.025080, train_mape 122.334717, train_acc 0.316954, valid_loss 0.0008921584, valid_ic 0.008563, valid_icir 0.222798, valid_ric -0.009654, valid_ricir -0.134780, valid_prec@10 0.580738, valid_prec@30 0.543033, valid_mae 0.013030, valid_rmse 0.024576, valid_mape 144.057053, valid_acc 0.593625, test_loss 0.001337, ic 0.007638, icir 0.202998, ric -0.001113, ricir -0.012797, prec@10 0.582305, prec@30 0.560494, test_mae 0.018954, test_rmse 0.037655, test_mape 143.624069, test_acc 0.572377
Epoch 103, train_loss 0.001098, train_ic 0.038702, train_icir 0.413803, train_ric 0.007805, train_ricir 0.071153, train_mae 0.024066, train_rmse 0.032364, train_mape 153.845291, train_acc 0.634794, valid_loss 0.0010466517, valid_ic 0.010061, valid_icir 0.291301, valid_ric -0.005181, valid_ricir -0.074755, valid_prec@10 0.559016, valid_prec@30 0.530055, valid_mae 0.016096, valid_rmse 0.025825, valid_mape 301.280273, valid_acc 0.607348, test_loss 0.001495, ic 0.006313, icir 0.153376, ric -0.006872, ricir -0.079814, prec@10 0.570370, prec@30 0.529630, test_mae 0.017642, test_rmse 0.036154, test_mape 212.910461, test_acc 0.698539
Epoch 104, train_loss 0.001101, train_ic 0.043160, train_icir 0.403270, train_ric 0.041654, train_ricir 0.347197, train_mae 0.029836, train_rmse 0.034748, train_mape 354.962952, train_acc 0.106684, valid_loss 0.0011294783, valid_ic 0.008817, valid_icir 0.160923, valid_ric 0.009256, valid_ricir 0.102142, valid_prec@10 0.575000, valid_prec@30 0.550820, valid_mae 0.020235, valid_rmse 0.030894, valid_mape 310.525299, valid_acc 0.331563, test_loss 0.001587, ic 0.005678, icir 0.101918, ric 0.012391, ricir 0.107606, prec@10 0.579835, prec@30 0.557888, test_mae 0.029135, test_rmse 0.044730, test_mape 294.711731, test_acc 0.226206
Epoch 105, train_loss 0.001123, train_ic 0.041547, train_icir 0.446895, train_ric 0.012371, train_ricir 0.112153, train_mae 0.014692, train_rmse 0.022067, train_mape 101.037453, train_acc 0.715803, valid_loss 0.0009520373, valid_ic 0.011227, valid_icir 0.321288, valid_ric -0.007461, valid_ricir -0.101343, valid_prec@10 0.559836, valid_prec@30 0.547814, valid_mae 0.016838, valid_rmse 0.027402, valid_mape 200.850220, valid_acc 0.347942, test_loss 0.001386, ic 0.010515, icir 0.276845, ric 0.001261, ricir 0.014300, prec@10 0.559671, prec@30 0.545542, test_mae 0.023503, test_rmse 0.040683, test_mape 199.656815, test_acc 0.295706
Epoch 106, train_loss 0.001115, train_ic 0.039105, train_icir 0.397270, train_ric 0.009108, train_ricir 0.078518, train_mae 0.016226, train_rmse 0.024709, train_mape 135.203064, train_acc 0.541390, valid_loss 0.0009152712, valid_ic 0.011357, valid_icir 0.286354, valid_ric -0.006646, valid_ricir -0.079901, valid_prec@10 0.586066, valid_prec@30 0.546721, valid_mae 0.014590, valid_rmse 0.025763, valid_mape 181.828720, valid_acc 0.480744, test_loss 0.001389, ic 0.009004, icir 0.203944, ric -0.003750, ricir -0.036360, prec@10 0.579424, prec@30 0.545267, test_mae 0.020266, test_rmse 0.039697, test_mape 179.934036, test_acc 0.488269
Epoch 107, train_loss 0.001124, train_ic 0.051995, train_icir 0.543141, train_ric 0.016776, train_ricir 0.161559, train_mae 0.019356, train_rmse 0.027825, train_mape 179.708923, train_acc 0.414785, valid_loss 0.0009916745, valid_ic 0.011681, valid_icir 0.286976, valid_ric -0.008344, valid_ricir -0.137335, valid_prec@10 0.572951, valid_prec@30 0.544672, valid_mae 0.015325, valid_rmse 0.025185, valid_mape 253.494766, valid_acc 0.606463, test_loss 0.001427, ic 0.009298, icir 0.218279, ric -0.000194, ricir -0.002374, prec@10 0.573251, prec@30 0.553224, test_mae 0.017966, test_rmse 0.036108, test_mape 184.375381, test_acc 0.696768
Epoch 108, train_loss 0.001119, train_ic 0.061183, train_icir 0.629793, train_ric 0.039329, train_ricir 0.358081, train_mae 0.017461, train_rmse 0.026011, train_mape 240.854431, train_acc 0.456839, valid_loss 0.0010543222, valid_ic 0.014658, valid_icir 0.351059, valid_ric 0.006261, valid_ricir 0.085335, valid_prec@10 0.564344, valid_prec@30 0.547678, valid_mae 0.019378, valid_rmse 0.029845, valid_mape 279.633362, valid_acc 0.343072, test_loss 0.001553, ic 0.010342, icir 0.262345, ric 0.016196, ricir 0.196675, prec@10 0.571605, prec@30 0.560768, test_mae 0.027670, test_rmse 0.045550, test_mape 286.954071, test_acc 0.223993
Epoch 109, train_loss 0.001112, train_ic 0.043775, train_icir 0.489918, train_ric 0.023011, train_ricir 0.215290, train_mae 0.029425, train_rmse 0.040136, train_mape 136.398773, train_acc 0.429836, valid_loss 0.0009363539, valid_ic 0.006414, valid_icir 0.184838, valid_ric -0.006450, valid_ricir -0.090813, valid_prec@10 0.564754, valid_prec@30 0.537295, valid_mae 0.014239, valid_rmse 0.025039, valid_mape 220.315308, valid_acc 0.590084, test_loss 0.001373, ic 0.008815, icir 0.237928, ric -0.000580, ricir -0.006553, prec@10 0.569547, prec@30 0.544582, test_mae 0.017743, test_rmse 0.036053, test_mape 160.609436, test_acc 0.633023
Epoch 110, train_loss 0.001139, train_ic 0.054587, train_icir 0.606037, train_ric 0.016913, train_ricir 0.179219, train_mae 0.013164, train_rmse 0.018903, train_mape 139.892868, train_acc 0.349270, valid_loss 0.0008734073, valid_ic 0.010336, valid_icir 0.296576, valid_ric -0.006445, valid_ricir -0.136953, valid_prec@10 0.573770, valid_prec@30 0.547404, valid_mae 0.013125, valid_rmse 0.024527, valid_mape 134.047943, valid_acc 0.543161, test_loss 0.001298, ic 0.008585, icir 0.232030, ric -0.004755, ricir -0.077766, prec@10 0.587654, prec@30 0.544582, test_mae 0.018656, test_rmse 0.037026, test_mape 137.916428, test_acc 0.575033
Epoch 111, train_loss 0.001091, train_ic 0.039276, train_icir 0.427350, train_ric 0.019182, train_ricir 0.172361, train_mae 0.017385, train_rmse 0.022665, train_mape 289.206970, train_acc 0.371403, valid_loss 0.0009986516, valid_ic 0.010317, valid_icir 0.262470, valid_ric -0.003822, valid_ricir -0.046995, valid_prec@10 0.581148, valid_prec@30 0.541530, valid_mae 0.015348, valid_rmse 0.025816, valid_mape 257.840546, valid_acc 0.594068, test_loss 0.001458, ic 0.011369, icir 0.257978, ric 0.000374, ricir 0.003550, prec@10 0.572016, prec@30 0.540329, test_mae 0.017804, test_rmse 0.036788, test_mape 191.994446, test_acc 0.696768
Epoch 112, train_loss 0.001124, train_ic 0.046090, train_icir 0.452786, train_ric 0.010245, train_ricir 0.089671, train_mae 0.022730, train_rmse 0.030451, train_mape 244.554184, train_acc 0.180611, valid_loss 0.0010310016, valid_ic 0.008841, valid_icir 0.186563, valid_ric -0.008898, valid_ricir -0.116213, valid_prec@10 0.580328, valid_prec@30 0.556421, valid_mae 0.019182, valid_rmse 0.029308, valid_mape 281.274353, valid_acc 0.335547, test_loss 0.001482, ic 0.004001, icir 0.077272, ric -0.005720, ricir -0.052787, prec@10 0.582716, prec@30 0.559396, test_mae 0.027860, test_rmse 0.043927, test_mape 267.780762, test_acc 0.223550
Epoch 113, train_loss 0.001111, train_ic 0.056056, train_icir 0.609173, train_ric 0.029541, train_ricir 0.293935, train_mae 0.011208, train_rmse 0.019018, train_mape 127.973473, train_acc 0.451527, valid_loss 0.0008772573, valid_ic 0.011501, valid_icir 0.284854, valid_ric 0.003458, valid_ricir 0.050672, valid_prec@10 0.593033, valid_prec@30 0.566257, valid_mae 0.013312, valid_rmse 0.024889, valid_mape 131.432083, valid_acc 0.501549, test_loss 0.001300, ic 0.006995, icir 0.188132, ric 0.005124, ricir 0.064368, prec@10 0.578601, prec@30 0.572702, test_mae 0.019583, test_rmse 0.037472, test_mape 142.415710, test_acc 0.499336
