Dataset:  CSI2259
Radom seed: 1234
GPU: 5
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 64,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI2259",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2019,
        "test_year": 2020,
        "window": 64,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 24, train_loss 0.001457, train_ic 0.005691, train_icir 0.084442, train_ric 0.006388, train_ricir 0.063957, train_mae 0.018141, train_rmse 0.027124, train_mape 215.798309, train_acc 0.380257, valid_loss 0.0014117575, valid_ic 0.000899, valid_icir 0.033915, valid_ric 0.011901, valid_ricir 0.148368, valid_prec@10 0.531557, valid_prec@30 0.531831, valid_mae 0.021309, valid_rmse 0.038021, valid_mape 300.438751, valid_acc 0.331563, test_loss 0.002767, ic -0.005753, icir -0.151274, ric 0.000355, ricir 0.003262, prec@10 0.531276, prec@30 0.517695, test_mae 0.029681, test_rmse 0.064750, test_mape 337.056702, test_acc 0.239044
Epoch 25, train_loss 0.001405, train_ic 0.033553, train_icir 0.362795, train_ric -0.001471, train_ricir -0.012025, train_mae 0.026034, train_rmse 0.034508, train_mape 165.027374, train_acc 0.314298, valid_loss 0.0013130621, valid_ic 0.005129, valid_icir 0.129966, valid_ric -0.022458, valid_ricir -0.306047, valid_prec@10 0.568443, valid_prec@30 0.531148, valid_mae 0.017514, valid_rmse 0.035234, valid_mape 215.620422, valid_acc 0.335989, test_loss 0.002628, ic 0.000859, icir 0.018477, ric -0.004579, ricir -0.056610, prec@10 0.577366, prec@30 0.545816, test_mae 0.026435, test_rmse 0.062824, test_mape 290.787750, test_acc 0.327136
Epoch 26, train_loss 0.001382, train_ic 0.019547, train_icir 0.226169, train_ric 0.020050, train_ricir 0.162315, train_mae 0.019078, train_rmse 0.029472, train_mape 137.937820, train_acc 0.441788, valid_loss 0.0012414572, valid_ic 0.001345, valid_icir 0.042873, valid_ric -0.003128, valid_ricir -0.036850, valid_prec@10 0.540984, valid_prec@30 0.518169, valid_mae 0.015267, valid_rmse 0.033547, valid_mape 174.535110, valid_acc 0.405489, test_loss 0.002498, ic -0.001643, icir -0.042925, ric 0.008489, ricir 0.080981, prec@10 0.528807, prec@30 0.524143, test_mae 0.024373, test_rmse 0.060477, test_mape 279.918549, test_acc 0.360779
Epoch 27, train_loss 0.001358, train_ic 0.024959, train_icir 0.282680, train_ric 0.010769, train_ricir 0.089793, train_mae 0.018698, train_rmse 0.026906, train_mape 130.542679, train_acc 0.438690, valid_loss 0.0012061304, valid_ic 0.003654, valid_icir 0.100673, valid_ric 0.000389, valid_ricir 0.004634, valid_prec@10 0.555738, valid_prec@30 0.553962, valid_mae 0.014143, valid_rmse 0.032490, valid_mape 152.583115, valid_acc 0.585215, test_loss 0.002429, ic -0.003847, icir -0.080761, ric 0.006974, ricir 0.069595, prec@10 0.541564, prec@30 0.540466, test_mae 0.021782, test_rmse 0.059226, test_mape 238.393707, test_acc 0.633909
Epoch 28, train_loss 0.001370, train_ic 0.032349, train_icir 0.350902, train_ric 0.014893, train_ricir 0.128375, train_mae 0.013109, train_rmse 0.019478, train_mape 178.100159, train_acc 0.355910, valid_loss 0.0012303961, valid_ic 0.002577, valid_icir 0.065094, valid_ric -0.002204, valid_ricir -0.025321, valid_prec@10 0.581557, valid_prec@30 0.562295, valid_mae 0.015137, valid_rmse 0.032236, valid_mape 193.439941, valid_acc 0.608676, test_loss 0.002419, ic -0.003499, icir -0.072965, ric 0.003865, ricir 0.034782, prec@10 0.560082, prec@30 0.555830, test_mae 0.022187, test_rmse 0.058192, test_mape 260.183685, test_acc 0.643205
Epoch 29, train_loss 0.001375, train_ic 0.038825, train_icir 0.406058, train_ric 0.024246, train_ricir 0.201320, train_mae 0.014717, train_rmse 0.023396, train_mape 147.229523, train_acc 0.505976, valid_loss 0.0011802320, valid_ic 0.001008, valid_icir 0.024099, valid_ric -0.020540, valid_ricir -0.247852, valid_prec@10 0.572131, valid_prec@30 0.529235, valid_mae 0.014320, valid_rmse 0.031908, valid_mape 166.588013, valid_acc 0.565737, test_loss 0.002323, ic -0.002259, icir -0.047069, ric -0.005362, ricir -0.055276, prec@10 0.560082, prec@30 0.545953, test_mae 0.022948, test_rmse 0.058027, test_mape 243.655258, test_acc 0.524126
Epoch 30, train_loss 0.001329, train_ic 0.027974, train_icir 0.328853, train_ric 0.040750, train_ricir 0.354815, train_mae 0.019550, train_rmse 0.028943, train_mape 121.530975, train_acc 0.534750, valid_loss 0.0011974634, valid_ic 0.000982, valid_icir 0.023413, valid_ric 0.014795, valid_ricir 0.155029, valid_prec@10 0.570492, valid_prec@30 0.568579, valid_mae 0.015842, valid_rmse 0.032989, valid_mape 182.220245, valid_acc 0.408588, test_loss 0.002323, ic -0.005801, icir -0.116645, ric 0.011758, ricir 0.104504, prec@10 0.567490, prec@30 0.544993, test_mae 0.024497, test_rmse 0.058128, test_mape 254.305603, test_acc 0.388225
Epoch 31, train_loss 0.001315, train_ic 0.027718, train_icir 0.312177, train_ric 0.019527, train_ricir 0.168045, train_mae 0.027138, train_rmse 0.039642, train_mape 151.083801, train_acc 0.611332, valid_loss 0.0011425151, valid_ic 0.003248, valid_icir 0.088472, valid_ric 0.006193, valid_ricir 0.069954, valid_prec@10 0.575820, valid_prec@30 0.578962, valid_mae 0.014469, valid_rmse 0.031412, valid_mape 148.420364, valid_acc 0.480744, test_loss 0.002218, ic -0.003984, icir -0.089630, ric 0.008646, ricir 0.086049, prec@10 0.540741, prec@30 0.551852, test_mae 0.022380, test_rmse 0.056416, test_mape 229.493805, test_acc 0.528110
Epoch 32, train_loss 0.001299, train_ic 0.018062, train_icir 0.224573, train_ric -0.004066, train_ricir -0.043302, train_mae 0.024858, train_rmse 0.029860, train_mape 460.358032, train_acc 0.339531, valid_loss 0.0014575483, valid_ic 0.001756, valid_icir 0.050307, valid_ric -0.013539, valid_ricir -0.204915, valid_prec@10 0.544262, valid_prec@30 0.524863, valid_mae 0.020151, valid_rmse 0.033820, valid_mape 400.806274, valid_acc 0.603807, test_loss 0.002509, ic -0.001265, icir -0.031164, ric -0.008636, ricir -0.115391, prec@10 0.544033, prec@30 0.531276, test_mae 0.022010, test_rmse 0.054873, test_mape 347.668060, test_acc 0.709606
Epoch 33, train_loss 0.001332, train_ic 0.016750, train_icir 0.164288, train_ric 0.039198, train_ricir 0.305394, train_mae 0.022104, train_rmse 0.033218, train_mape 197.613449, train_acc 0.417441, valid_loss 0.0012064695, valid_ic 0.001824, valid_icir 0.033526, valid_ric 0.020892, valid_ricir 0.199253, valid_prec@10 0.536885, valid_prec@30 0.553962, valid_mae 0.016188, valid_rmse 0.031697, valid_mape 217.393631, valid_acc 0.540947, test_loss 0.002224, ic -0.007361, icir -0.124478, ric 0.014400, ricir 0.116688, prec@10 0.522222, prec@30 0.531276, test_mae 0.023448, test_rmse 0.055641, test_mape 274.773773, test_acc 0.563524
