Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 64,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2020,
        "test_year": 2021,
        "window": 64,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 123, train_loss 0.001077, train_ic 0.056896, train_icir 0.651953, train_ric 0.019833, train_ricir 0.217739, train_mae 0.015632, train_rmse 0.023070, train_mape 136.050171, train_acc 0.575156, valid_loss 0.0013038064, valid_ic 0.017323, valid_icir 0.421699, valid_ric 0.008332, valid_ricir 0.129743, valid_prec@10 0.583539, valid_prec@30 0.568999, valid_mae 0.025811, valid_rmse 0.039113, valid_mape 201.095276, valid_acc 0.235396, test_loss 0.001754, ic 0.010845, icir 0.231006, ric 0.003868, ricir 0.066144, prec@10 0.541975, prec@30 0.545679, test_mae 0.021059, test_rmse 0.038576, test_mape 237.254425, test_acc 0.402140
Epoch 124, train_loss 0.001079, train_ic 0.061717, train_icir 0.788142, train_ric 0.032520, train_ricir 0.391759, train_mae 0.014077, train_rmse 0.018643, train_mape 206.141235, train_acc 0.376341, valid_loss 0.0012676823, valid_ic 0.018775, valid_icir 0.568660, valid_ric 0.010649, valid_ricir 0.218487, valid_prec@10 0.587243, valid_prec@30 0.566941, valid_mae 0.018256, valid_rmse 0.033289, valid_mape 144.619110, valid_acc 0.732786, test_loss 0.001691, ic 0.010495, icir 0.245913, ric 0.009610, ricir 0.219387, prec@10 0.534568, prec@30 0.538820, test_mae 0.018496, test_rmse 0.036243, test_mape 220.292374, test_acc 0.590281
Epoch 125, train_loss 0.001083, train_ic 0.056897, train_icir 0.533983, train_ric 0.027783, train_ricir 0.228673, train_mae 0.018916, train_rmse 0.024984, train_mape 375.005768, train_acc 0.653963, valid_loss 0.0016587253, valid_ic 0.012021, valid_icir 0.204428, valid_ric 0.004831, valid_ricir 0.040382, valid_prec@10 0.586831, valid_prec@30 0.556927, valid_mae 0.036077, valid_rmse 0.047115, valid_mape 369.784485, valid_acc 0.189908, test_loss 0.002110, ic 0.011747, icir 0.192311, ric 0.012038, ricir 0.106798, prec@10 0.527572, prec@30 0.536077, test_mae 0.030033, test_rmse 0.044311, test_mape 505.254974, test_acc 0.366473
Epoch 126, train_loss 0.001084, train_ic 0.033488, train_icir 0.387553, train_ric 0.048753, train_ricir 0.482925, train_mae 0.012909, train_rmse 0.019318, train_mape 199.377151, train_acc 0.588733, valid_loss 0.0012905548, valid_ic 0.004597, valid_icir 0.120776, valid_ric 0.021724, valid_ricir 0.278516, valid_prec@10 0.535391, valid_prec@30 0.512483, valid_mae 0.018593, valid_rmse 0.033729, valid_mape 152.485474, valid_acc 0.690032, test_loss 0.001736, ic 0.006655, icir 0.140007, ric 0.033429, ricir 0.396290, prec@10 0.494650, prec@30 0.507270, test_mae 0.019010, test_rmse 0.037161, test_mape 216.883682, test_acc 0.565091
Epoch 127, train_loss 0.001080, train_ic 0.046294, train_icir 0.578121, train_ric 0.050094, train_ricir 0.546900, train_mae 0.016539, train_rmse 0.024304, train_mape 4118.965332, train_acc 0.451991, valid_loss 0.0012451321, valid_ic 0.004770, valid_icir 0.114926, valid_ric 0.016972, valid_ricir 0.226547, valid_prec@10 0.551440, valid_prec@30 0.527572, valid_mae 0.020055, valid_rmse 0.035052, valid_mape 139.624649, valid_acc 0.601790, test_loss 0.001674, ic 0.008038, icir 0.143835, ric 0.028451, ricir 0.365677, prec@10 0.522634, prec@30 0.519616, test_mae 0.018343, test_rmse 0.036264, test_mape 184.532761, test_acc 0.554837
Epoch 128, train_loss 0.001081, train_ic 0.067564, train_icir 0.735526, train_ric 0.018006, train_ricir 0.168756, train_mae 0.022912, train_rmse 0.030906, train_mape 7105.023438, train_acc 0.433876, valid_loss 0.0013003489, valid_ic 0.025083, valid_icir 0.649935, valid_ric 0.006144, valid_ricir 0.083654, valid_prec@10 0.580247, valid_prec@30 0.575857, valid_mae 0.017812, valid_rmse 0.032537, valid_mape 163.962631, valid_acc 0.740492, test_loss 0.001730, ic 0.012126, icir 0.314843, ric -0.004651, ricir -0.071151, prec@10 0.507407, prec@30 0.525789, test_mae 0.019574, test_rmse 0.036348, test_mape 281.501587, test_acc 0.597414
Epoch 129, train_loss 0.001067, train_ic 0.056444, train_icir 0.685406, train_ric 0.039339, train_ricir 0.408311, train_mae 0.047728, train_rmse 0.052397, train_mape 95.319572, train_acc 0.788143, valid_loss 0.0012435820, valid_ic 0.008231, valid_icir 0.234376, valid_ric 0.012581, valid_ricir 0.191691, valid_prec@10 0.572840, valid_prec@30 0.578738, valid_mae 0.018812, valid_rmse 0.034004, valid_mape 133.904678, valid_acc 0.682575, test_loss 0.001657, ic 0.008605, icir 0.172638, ric 0.012807, ricir 0.202323, prec@10 0.546091, prec@30 0.540192, test_mae 0.018464, test_rmse 0.036376, test_mape 193.600494, test_acc 0.571556
Epoch 130, train_loss 0.001070, train_ic 0.040927, train_icir 0.492661, train_ric 0.043798, train_ricir 0.445516, train_mae 0.012069, train_rmse 0.018789, train_mape 119.623863, train_acc 0.534900, valid_loss 0.0012908401, valid_ic 0.002255, valid_icir 0.066521, valid_ric 0.009130, valid_ricir 0.103871, valid_prec@10 0.560905, valid_prec@30 0.591221, valid_mae 0.021342, valid_rmse 0.036127, valid_mape 142.239899, valid_acc 0.457122, test_loss 0.001758, ic 0.006718, icir 0.166687, ric 0.032908, ricir 0.400587, prec@10 0.506173, prec@30 0.526200, test_mae 0.019003, test_rmse 0.039070, test_mape 176.634705, test_acc 0.524298
Epoch 131, train_loss 0.001077, train_ic 0.065031, train_icir 0.759453, train_ric 0.036829, train_ricir 0.388232, train_mae 0.019981, train_rmse 0.031057, train_mape 127.244316, train_acc 0.662114, valid_loss 0.0012384700, valid_ic 0.011217, valid_icir 0.338244, valid_ric 0.010885, valid_ricir 0.162861, valid_prec@10 0.576543, valid_prec@30 0.578189, valid_mae 0.019482, valid_rmse 0.033942, valid_mape 132.624146, valid_acc 0.630872, test_loss 0.001652, ic 0.009349, icir 0.243745, ric 0.011282, ricir 0.209112, prec@10 0.526337, prec@30 0.532510, test_mae 0.018269, test_rmse 0.036026, test_mape 190.440399, test_acc 0.563308
Epoch 132, train_loss 0.001074, train_ic 0.064175, train_icir 0.663990, train_ric 0.011774, train_ricir 0.102443, train_mae 0.017274, train_rmse 0.025646, train_mape 139.901810, train_acc 0.530744, valid_loss 0.0012519331, valid_ic 0.022389, valid_icir 0.429246, valid_ric 0.003434, valid_ricir 0.043489, valid_prec@10 0.588066, valid_prec@30 0.566529, valid_mae 0.020551, valid_rmse 0.035239, valid_mape 152.128448, valid_acc 0.573950, test_loss 0.001669, ic 0.012881, icir 0.218654, ric -0.010068, ricir -0.132678, prec@10 0.547737, prec@30 0.545953, test_mae 0.018944, test_rmse 0.036604, test_mape 193.039627, test_acc 0.528087
Epoch 133, train_loss 0.001069, train_ic 0.053434, train_icir 0.610418, train_ric 0.020868, train_ricir 0.197034, train_mae 0.042329, train_rmse 0.050790, train_mape 106.116188, train_acc 0.545875, valid_loss 0.0012302314, valid_ic 0.023070, valid_icir 0.572784, valid_ric 0.011936, valid_ricir 0.123312, valid_prec@10 0.569959, valid_prec@30 0.562551, valid_mae 0.021674, valid_rmse 0.035168, valid_mape 152.970047, valid_acc 0.412130, test_loss 0.001638, ic 0.010618, icir 0.316474, ric -0.002806, ricir -0.031796, prec@10 0.507819, prec@30 0.526886, test_mae 0.019054, test_rmse 0.036283, test_mape 185.648590, test_acc 0.457200
Epoch 134, train_loss 0.001073, train_ic 0.044198, train_icir 0.431198, train_ric 0.009567, train_ricir 0.078921, train_mae 0.013461, train_rmse 0.020724, train_mape 122.472061, train_acc 0.574662, valid_loss 0.0012435245, valid_ic 0.006952, valid_icir 0.122309, valid_ric -0.002964, valid_ricir -0.023801, valid_prec@10 0.590947, valid_prec@30 0.559808, valid_mae 0.021074, valid_rmse 0.035656, valid_mape 145.596695, valid_acc 0.539398, test_loss 0.001646, ic 0.008878, icir 0.151304, ric 0.007736, ricir 0.067631, prec@10 0.526337, prec@30 0.543759, test_mae 0.018567, test_rmse 0.036157, test_mape 188.923340, test_acc 0.546812
Epoch 135, train_loss 0.001079, train_ic 0.059640, train_icir 0.664747, train_ric 0.038100, train_ricir 0.388511, train_mae 0.028453, train_rmse 0.033079, train_mape 5434.111328, train_acc 0.284401, valid_loss 0.0014653858, valid_ic 0.012252, valid_icir 0.287551, valid_ric 0.012782, valid_ricir 0.161049, valid_prec@10 0.573663, valid_prec@30 0.557750, valid_mae 0.019525, valid_rmse 0.033008, valid_mape 247.844818, valid_acc 0.746458, test_loss 0.001864, ic 0.010833, icir 0.186746, ric 0.017109, ricir 0.200297, prec@10 0.529218, prec@30 0.540329, test_mae 0.022499, test_rmse 0.037383, test_mape 394.586975, test_acc 0.595185
Epoch 136, train_loss 0.001083, train_ic 0.057854, train_icir 0.672178, train_ric 0.024975, train_ricir 0.252775, train_mae 0.015316, train_rmse 0.023905, train_mape 115.175674, train_acc 0.586442, valid_loss 0.0012381677, valid_ic 0.016246, valid_icir 0.473543, valid_ric 0.012672, valid_ricir 0.195259, valid_prec@10 0.583128, valid_prec@30 0.592455, valid_mae 0.022000, valid_rmse 0.035890, valid_mape 160.781052, valid_acc 0.380313, test_loss 0.001662, ic 0.009350, icir 0.248685, ric 0.001459, ricir 0.024253, prec@10 0.512346, prec@30 0.537311, test_mae 0.019584, test_rmse 0.037056, test_mape 199.066772, test_acc 0.412617
Epoch 137, train_loss 0.001053, train_ic 0.056145, train_icir 0.610047, train_ric 0.004233, train_ricir 0.037467, train_mae 0.014434, train_rmse 0.021592, train_mape 156.753433, train_acc 0.429277, valid_loss 0.0012776454, valid_ic 0.027991, valid_icir 0.565944, valid_ric 0.002483, valid_ricir 0.031519, valid_prec@10 0.582305, valid_prec@30 0.558848, valid_mae 0.022195, valid_rmse 0.036065, valid_mape 170.460159, valid_acc 0.464579, test_loss 0.001687, ic 0.011882, icir 0.242084, ric -0.013042, ricir -0.201739, prec@10 0.506996, prec@30 0.530727, test_mae 0.019681, test_rmse 0.037025, test_mape 211.582642, test_acc 0.473250
Epoch 138, train_loss 0.001066, train_ic 0.055535, train_icir 0.614800, train_ric 0.034561, train_ricir 0.326938, train_mae 0.020367, train_rmse 0.028431, train_mape 215.767426, train_acc 0.314662, valid_loss 0.0012582897, valid_ic 0.012772, valid_icir 0.317086, valid_ric 0.008846, valid_ricir 0.097215, valid_prec@10 0.583539, valid_prec@30 0.555007, valid_mae 0.026399, valid_rmse 0.038728, valid_mape 215.500458, valid_acc 0.217251, test_loss 0.001648, ic 0.010505, icir 0.232565, ric 0.017910, ricir 0.232801, prec@10 0.529630, prec@30 0.532922, test_mae 0.020818, test_rmse 0.037240, test_mape 252.717285, test_acc 0.384084
Epoch 139, train_loss 0.001072, train_ic 0.029277, train_icir 0.297991, train_ric 0.048993, train_ricir 0.419735, train_mae 0.040192, train_rmse 0.053590, train_mape 133.264954, train_acc 0.288719, valid_loss 0.0012586052, valid_ic -0.007259, valid_icir -0.121252, valid_ric 0.008966, valid_ricir 0.077423, valid_prec@10 0.537860, valid_prec@30 0.553086, valid_mae 0.021506, valid_rmse 0.036074, valid_mape 155.548996, valid_acc 0.522993, test_loss 0.001643, ic 0.006375, icir 0.093279, ric 0.037792, ricir 0.316918, prec@10 0.513169, prec@30 0.532510, test_mae 0.019350, test_rmse 0.036681, test_mape 207.384140, test_acc 0.507579
Epoch 140, train_loss 0.001077, train_ic 0.064110, train_icir 0.653055, train_ric 0.020668, train_ricir 0.183097, train_mae 0.015693, train_rmse 0.021393, train_mape 256.756866, train_acc 0.226433, valid_loss 0.0012732195, valid_ic 0.021743, valid_icir 0.423740, valid_ric 0.006031, valid_ricir 0.063521, valid_prec@10 0.586008, valid_prec@30 0.566941, valid_mae 0.025574, valid_rmse 0.038111, valid_mape 200.057571, valid_acc 0.227194, test_loss 0.001650, ic 0.012733, icir 0.235892, ric 0.001435, ricir 0.016298, prec@10 0.524280, prec@30 0.538820, test_mae 0.020391, test_rmse 0.036981, test_mape 232.108139, test_acc 0.398350
Epoch 141, train_loss 0.001064, train_ic 0.067333, train_icir 0.785516, train_ric 0.024430, train_ricir 0.264881, train_mae 0.015269, train_rmse 0.024007, train_mape 230.060104, train_acc 0.552682, valid_loss 0.0012916636, valid_ic 0.023300, valid_icir 0.672657, valid_ric 0.011433, valid_ricir 0.214140, valid_prec@10 0.595473, valid_prec@30 0.571468, valid_mae 0.026895, valid_rmse 0.038704, valid_mape 222.051788, valid_acc 0.213025, test_loss 0.001671, ic 0.011595, icir 0.312138, ric 0.002135, ricir 0.042521, prec@10 0.527160, prec@30 0.526749, test_mae 0.022102, test_rmse 0.037829, test_mape 274.954254, test_acc 0.368034
Epoch 142, train_loss 0.001066, train_ic 0.067636, train_icir 0.827815, train_ric 0.037528, train_ricir 0.434869, train_mae 0.012324, train_rmse 0.021531, train_mape 109.407356, train_acc 0.504155, valid_loss 0.0011759096, valid_ic 0.017725, valid_icir 0.530127, valid_ric 0.015098, valid_ricir 0.248138, valid_prec@10 0.590535, valid_prec@30 0.563512, valid_mae 0.019748, valid_rmse 0.033698, valid_mape 126.733795, valid_acc 0.556301, test_loss 0.001551, ic 0.010869, icir 0.256296, ric 0.011219, ricir 0.216181, prec@10 0.529630, prec@30 0.537311, test_mae 0.018199, test_rmse 0.035207, test_mape 165.833603, test_acc 0.488854
Epoch 143, train_loss 0.001074, train_ic 0.055426, train_icir 0.636430, train_ric 0.014182, train_ricir 0.147461, train_mae 0.017668, train_rmse 0.024807, train_mape 249.453400, train_acc 0.357576, valid_loss 0.0012829677, valid_ic 0.013141, valid_icir 0.250516, valid_ric -0.002943, valid_ricir -0.037433, valid_prec@10 0.590947, valid_prec@30 0.555693, valid_mae 0.019085, valid_rmse 0.033718, valid_mape 157.848221, valid_acc 0.698235, test_loss 0.001650, ic 0.011196, icir 0.175139, ric 0.003293, ricir 0.043594, prec@10 0.569959, prec@30 0.545542, test_mae 0.019512, test_rmse 0.035847, test_mape 278.152679, test_acc 0.588943
Epoch 144, train_loss 0.001068, train_ic 0.056704, train_icir 0.622770, train_ric 0.057744, train_ricir 0.541134, train_mae 0.014273, train_rmse 0.021894, train_mape 134.707336, train_acc 0.451756, valid_loss 0.0012151425, valid_ic 0.012835, valid_icir 0.274516, valid_ric 0.018213, valid_ricir 0.218755, valid_prec@10 0.576132, valid_prec@30 0.543484, valid_mae 0.020794, valid_rmse 0.034768, valid_mape 136.717361, valid_acc 0.536913, test_loss 0.001573, ic 0.011645, icir 0.189786, ric 0.032074, ricir 0.323667, prec@10 0.530864, prec@30 0.527023, test_mae 0.018610, test_rmse 0.035451, test_mape 188.888107, test_acc 0.521177
Epoch 145, train_loss 0.001070, train_ic 0.057612, train_icir 0.715643, train_ric 0.049679, train_ricir 0.534486, train_mae 0.010399, train_rmse 0.015821, train_mape 133.265549, train_acc 0.399199, valid_loss 0.0011928649, valid_ic 0.014851, valid_icir 0.489969, valid_ric 0.018112, valid_ricir 0.266507, valid_prec@10 0.584774, valid_prec@30 0.552675, valid_mae 0.019266, valid_rmse 0.033241, valid_mape 133.008820, valid_acc 0.628635, test_loss 0.001566, ic 0.009418, icir 0.273544, ric 0.021723, ricir 0.351701, prec@10 0.511934, prec@30 0.521536, test_mae 0.018215, test_rmse 0.035358, test_mape 185.822388, test_acc 0.556398
Epoch 146, train_loss 0.001078, train_ic 0.037424, train_icir 0.464511, train_ric 0.028546, train_ricir 0.295664, train_mae 0.021474, train_rmse 0.028074, train_mape 65.240448, train_acc 0.888650, valid_loss 0.0014475380, valid_ic 0.011062, valid_icir 0.322316, valid_ric 0.013639, valid_ricir 0.143275, valid_prec@10 0.566255, valid_prec@30 0.541701, valid_mae 0.018007, valid_rmse 0.030922, valid_mape 236.026550, valid_acc 0.755158, test_loss 0.001824, ic 0.007200, icir 0.220212, ric 0.007961, ricir 0.090398, prec@10 0.511934, prec@30 0.511248, test_mae 0.022668, test_rmse 0.036712, test_mape 430.540833, test_acc 0.595631
Epoch 147, train_loss 0.001070, train_ic 0.066412, train_icir 0.801036, train_ric 0.038107, train_ricir 0.411441, train_mae 0.013245, train_rmse 0.019098, train_mape 190.093048, train_acc 0.438943, valid_loss 0.0012205259, valid_ic 0.018602, valid_icir 0.597340, valid_ric 0.018970, valid_ricir 0.347658, valid_prec@10 0.585185, valid_prec@30 0.559671, valid_mae 0.017593, valid_rmse 0.031559, valid_mape 143.584518, valid_acc 0.735769, test_loss 0.001596, ic 0.010376, icir 0.274194, ric 0.012302, ricir 0.245140, prec@10 0.511934, prec@30 0.522908, test_mae 0.018593, test_rmse 0.034826, test_mape 240.517044, test_acc 0.591173
Epoch 148, train_loss 0.001067, train_ic 0.047456, train_icir 0.553725, train_ric 0.045232, train_ricir 0.485424, train_mae 0.043429, train_rmse 0.047840, train_mape 87.537247, train_acc 0.849179, valid_loss 0.0012049506, valid_ic 0.005246, valid_icir 0.117972, valid_ric 0.013372, valid_ricir 0.168214, valid_prec@10 0.590123, valid_prec@30 0.569136, valid_mae 0.019469, valid_rmse 0.033532, valid_mape 135.562225, valid_acc 0.637335, test_loss 0.001554, ic 0.009264, icir 0.165929, ric 0.027367, ricir 0.309536, prec@10 0.533333, prec@30 0.542524, test_mae 0.018497, test_rmse 0.035050, test_mape 201.093124, test_acc 0.554391
Epoch 149, train_loss 0.001057, train_ic 0.041769, train_icir 0.428005, train_ric 0.038094, train_ricir 0.332043, train_mae 0.027455, train_rmse 0.037353, train_mape 121.238312, train_acc 0.585740, valid_loss 0.0012334192, valid_ic 0.001254, valid_icir 0.023947, valid_ric 0.005723, valid_ricir 0.051196, valid_prec@10 0.589712, valid_prec@30 0.539232, valid_mae 0.023787, valid_rmse 0.037003, valid_mape 179.213898, valid_acc 0.285608, test_loss 0.001586, ic 0.008424, icir 0.141173, ric 0.030127, ricir 0.246485, prec@10 0.524691, prec@30 0.532647, test_mae 0.020647, test_rmse 0.036910, test_mape 257.305237, test_acc 0.392778
Epoch 150, train_loss 0.001066, train_ic 0.061601, train_icir 0.766632, train_ric 0.028772, train_ricir 0.326374, train_mae 0.059276, train_rmse 0.068855, train_mape 172.480270, train_acc 0.137604, valid_loss 0.0013803867, valid_ic 0.014397, valid_icir 0.425797, valid_ric 0.009486, valid_ricir 0.163010, valid_prec@10 0.579835, valid_prec@30 0.567627, valid_mae 0.017725, valid_rmse 0.030826, valid_mape 210.389359, valid_acc 0.749938, test_loss 0.001726, ic 0.009939, icir 0.252719, ric 0.008028, ricir 0.168068, prec@10 0.526337, prec@30 0.526749, test_mae 0.021515, test_rmse 0.035802, test_mape 379.785431, test_acc 0.595631
Epoch 151, train_loss 0.001081, train_ic 0.066228, train_icir 0.737624, train_ric 0.044156, train_ricir 0.439074, train_mae 0.015917, train_rmse 0.025135, train_mape 221.829102, train_acc 0.323690, valid_loss 0.0012363802, valid_ic 0.013168, valid_icir 0.319524, valid_ric 0.015761, valid_ricir 0.192779, valid_prec@10 0.576132, valid_prec@30 0.565569, valid_mae 0.024347, valid_rmse 0.036743, valid_mape 186.006531, valid_acc 0.244842, test_loss 0.001576, ic 0.010810, icir 0.233799, ric 0.019492, ricir 0.247989, prec@10 0.533745, prec@30 0.540604, test_mae 0.020756, test_rmse 0.036450, test_mape 258.290466, test_acc 0.366696
Epoch 152, train_loss 0.001056, train_ic 0.054027, train_icir 0.607668, train_ric 0.012894, train_ricir 0.128856, train_mae 0.025657, train_rmse 0.029442, train_mape 179.525803, train_acc 0.112943, valid_loss 0.0012577168, valid_ic 0.013720, valid_icir 0.359446, valid_ric 0.004700, valid_ricir 0.057825, valid_prec@10 0.583128, valid_prec@30 0.569547, valid_mae 0.017337, valid_rmse 0.031642, valid_mape 152.985046, valid_acc 0.735272, test_loss 0.001583, ic 0.008564, icir 0.235259, ric -0.006376, ricir -0.083481, prec@10 0.562963, prec@30 0.544856, test_mae 0.018866, test_rmse 0.034491, test_mape 261.265717, test_acc 0.588275
Epoch 153, train_loss 0.001076, train_ic 0.029944, train_icir 0.334061, train_ric 0.056951, train_ricir 0.528481, train_mae 0.016896, train_rmse 0.023424, train_mape 140.892151, train_acc 0.863767, valid_loss 0.0017004668, valid_ic -0.000419, valid_icir -0.008609, valid_ric 0.021810, valid_ricir 0.232171, valid_prec@10 0.546914, valid_prec@30 0.544170, valid_mae 0.022941, valid_rmse 0.033494, valid_mape 344.832123, valid_acc 0.748446, test_loss 0.002017, ic 0.006779, icir 0.132304, ric 0.037016, ricir 0.389327, prec@10 0.502469, prec@30 0.505350, test_mae 0.026009, test_rmse 0.038186, test_mape 515.731079, test_acc 0.594070
Epoch 154, train_loss 0.001057, train_ic 0.065245, train_icir 0.808363, train_ric 0.026836, train_ricir 0.304029, train_mae 0.011813, train_rmse 0.018481, train_mape 6099.402832, train_acc 0.713378, valid_loss 0.0011929553, valid_ic 0.022053, valid_icir 0.572212, valid_ric 0.011357, valid_ricir 0.175485, valid_prec@10 0.595885, valid_prec@30 0.570645, valid_mae 0.018172, valid_rmse 0.031958, valid_mape 129.803329, valid_acc 0.719861, test_loss 0.001522, ic 0.011214, icir 0.256841, ric 0.003631, ricir 0.070196, prec@10 0.536214, prec@30 0.538546, test_mae 0.018107, test_rmse 0.034160, test_mape 210.092926, test_acc 0.582702
Epoch 155, train_loss 0.001060, train_ic 0.053435, train_icir 0.525157, train_ric 0.031380, train_ricir 0.250404, train_mae 0.030646, train_rmse 0.040488, train_mape 192.708740, train_acc 0.505356, valid_loss 0.0012151588, valid_ic 0.024891, valid_icir 0.483536, valid_ric 0.017486, valid_ricir 0.135074, valid_prec@10 0.569547, valid_prec@30 0.555556, valid_mae 0.017772, valid_rmse 0.031412, valid_mape 146.021011, valid_acc 0.707929, test_loss 0.001554, ic 0.010556, icir 0.285240, ric -0.001784, ricir -0.015629, prec@10 0.522222, prec@30 0.524966, test_mae 0.018621, test_rmse 0.034301, test_mape 235.078018, test_acc 0.568212
Epoch 156, train_loss 0.001052, train_ic 0.037453, train_icir 0.492212, train_ric 0.038722, train_ricir 0.420107, train_mae 0.021042, train_rmse 0.029971, train_mape 187.154068, train_acc 0.587164, valid_loss 0.0012666773, valid_ic 0.008504, valid_icir 0.232792, valid_ric 0.013155, valid_ricir 0.174250, valid_prec@10 0.555967, valid_prec@30 0.528121, valid_mae 0.017431, valid_rmse 0.030896, valid_mape 162.581116, valid_acc 0.738255, test_loss 0.001590, ic 0.007304, icir 0.164744, ric 0.021316, ricir 0.313121, prec@10 0.502469, prec@30 0.511248, test_mae 0.019312, test_rmse 0.034589, test_mape 290.246643, test_acc 0.594962
Epoch 157, train_loss 0.001040, train_ic 0.065909, train_icir 0.790334, train_ric 0.028066, train_ricir 0.298328, train_mae 0.014294, train_rmse 0.020803, train_mape 150.580429, train_acc 0.391678, valid_loss 0.0011594737, valid_ic 0.017311, valid_icir 0.494459, valid_ric 0.012167, valid_ricir 0.198203, valid_prec@10 0.588066, valid_prec@30 0.565432, valid_mae 0.018851, valid_rmse 0.032142, valid_mape 122.979607, valid_acc 0.663932, test_loss 0.001478, ic 0.009917, icir 0.258513, ric 0.004226, ricir 0.078985, prec@10 0.527984, prec@30 0.530041, test_mae 0.017663, test_rmse 0.033566, test_mape 191.588943, test_acc 0.582479
Epoch 158, train_loss 0.001051, train_ic 0.044634, train_icir 0.399347, train_ric 0.031895, train_ricir 0.253471, train_mae 0.019873, train_rmse 0.024009, train_mape 338.687286, train_acc 0.354501, valid_loss 0.0014154809, valid_ic 0.007591, valid_icir 0.117364, valid_ric 0.007156, valid_ricir 0.056570, valid_prec@10 0.581481, valid_prec@30 0.561317, valid_mae 0.020173, valid_rmse 0.032178, valid_mape 216.697723, valid_acc 0.729804, test_loss 0.001724, ic 0.011184, icir 0.177165, ric 0.020270, ricir 0.166604, prec@10 0.519753, prec@30 0.543484, test_mae 0.021476, test_rmse 0.035463, test_mape 344.871674, test_acc 0.590727
Epoch 159, train_loss 0.001060, train_ic 0.063674, train_icir 0.770528, train_ric 0.034472, train_ricir 0.367357, train_mae 0.027070, train_rmse 0.034950, train_mape 279.772614, train_acc 0.250689, valid_loss 0.0014101674, valid_ic 0.026699, valid_icir 0.667493, valid_ric 0.020130, valid_ricir 0.245190, valid_prec@10 0.595473, valid_prec@30 0.572702, valid_mae 0.030689, valid_rmse 0.041007, valid_mape 279.645111, valid_acc 0.197862, test_loss 0.001717, ic 0.011747, icir 0.341766, ric 0.006477, ricir 0.088330, prec@10 0.521399, prec@30 0.527984, test_mae 0.025080, test_rmse 0.038830, test_mape 353.779358, test_acc 0.368034
Epoch 160, train_loss 0.001051, train_ic 0.059880, train_icir 0.628098, train_ric 0.006492, train_ricir 0.060681, train_mae 0.020725, train_rmse 0.029350, train_mape 148.307877, train_acc 0.405428, valid_loss 0.0011886118, valid_ic 0.031235, valid_icir 0.624930, valid_ric 0.006129, valid_ricir 0.069740, valid_prec@10 0.594239, valid_prec@30 0.564335, valid_mae 0.021168, valid_rmse 0.033689, valid_mape 163.278412, valid_acc 0.430773, test_loss 0.001522, ic 0.012715, icir 0.421671, ric -0.013417, ricir -0.159993, prec@10 0.514403, prec@30 0.526749, test_mae 0.018978, test_rmse 0.034759, test_mape 206.539154, test_acc 0.462327
Epoch 161, train_loss 0.001058, train_ic 0.054083, train_icir 0.662610, train_ric 0.032454, train_ricir 0.362017, train_mae 0.013024, train_rmse 0.019816, train_mape 238.045258, train_acc 0.672646, valid_loss 0.0012653882, valid_ic 0.020208, valid_icir 0.444389, valid_ric 0.006884, valid_ricir 0.112138, valid_prec@10 0.591358, valid_prec@30 0.548697, valid_mae 0.018747, valid_rmse 0.032008, valid_mape 172.497818, valid_acc 0.681581, test_loss 0.001586, ic 0.012045, icir 0.245211, ric 0.009784, ricir 0.162534, prec@10 0.510288, prec@30 0.520165, test_mae 0.019833, test_rmse 0.035014, test_mape 290.989838, test_acc 0.578466
Epoch 162, train_loss 0.001046, train_ic 0.044169, train_icir 0.514074, train_ric 0.013647, train_ricir 0.133998, train_mae 0.020328, train_rmse 0.030103, train_mape 119.584465, train_acc 0.708787, valid_loss 0.0012195799, valid_ic 0.020227, valid_icir 0.431308, valid_ric 0.005415, valid_ricir 0.062668, valid_prec@10 0.576955, valid_prec@30 0.553635, valid_mae 0.018390, valid_rmse 0.031936, valid_mape 131.595444, valid_acc 0.687547, test_loss 0.001515, ic 0.010061, icir 0.286624, ric -0.000332, ricir -0.004576, prec@10 0.518930, prec@30 0.529355, test_mae 0.018254, test_rmse 0.033864, test_mape 202.384979, test_acc 0.572002
Epoch 163, train_loss 0.001065, train_ic 0.054734, train_icir 0.681882, train_ric 0.043983, train_ricir 0.490014, train_mae 0.023506, train_rmse 0.030351, train_mape 236.535431, train_acc 0.349318, valid_loss 0.0012381491, valid_ic 0.015641, valid_icir 0.410046, valid_ric 0.019862, valid_ricir 0.306824, valid_prec@10 0.584362, valid_prec@30 0.555281, valid_mae 0.017708, valid_rmse 0.031019, valid_mape 162.237579, valid_acc 0.724584, test_loss 0.001552, ic 0.010428, icir 0.211718, ric 0.018090, ricir 0.301142, prec@10 0.512346, prec@30 0.522634, test_mae 0.019317, test_rmse 0.034149, test_mape 290.849335, test_acc 0.588052
