Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 64,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2019,
        "test_year": 2020,
        "window": 64,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 27, train_loss 0.001389, train_ic 0.021950, train_icir 0.250819, train_ric 0.022210, train_ricir 0.170061, train_mae 0.019524, train_rmse 0.031292, train_mape 138.774887, train_acc 0.471963, valid_loss 0.0012420792, valid_ic 0.003431, valid_icir 0.080129, valid_ric 0.008902, valid_ricir 0.088314, valid_prec@10 0.507787, valid_prec@30 0.508607, valid_mae 0.015441, valid_rmse 0.035542, valid_mape 166.382568, valid_acc 0.500815, test_loss 0.002859, ic -0.004878, icir -0.101292, ric 0.005280, ricir 0.042581, prec@10 0.508642, prec@30 0.508368, test_mae 0.024755, test_rmse 0.063723, test_mape 225.187332, test_acc 0.598558
Epoch 28, train_loss 0.001399, train_ic 0.028010, train_icir 0.313433, train_ric 0.018611, train_ricir 0.148235, train_mae 0.014227, train_rmse 0.020134, train_mape 198.976624, train_acc 0.332537, valid_loss 0.0013262506, valid_ic -0.000320, valid_icir -0.006639, valid_ric -0.002804, valid_ricir -0.028453, valid_prec@10 0.634426, valid_prec@30 0.595628, valid_mae 0.017073, valid_rmse 0.035573, valid_mape 220.594284, valid_acc 0.591255, test_loss 0.002922, ic -0.006047, icir -0.123093, ric 0.000702, ricir 0.005632, prec@10 0.632510, prec@30 0.589986, test_mae 0.024825, test_rmse 0.062526, test_mape 251.527832, test_acc 0.688541
Epoch 29, train_loss 0.001408, train_ic 0.038792, train_icir 0.445297, train_ric 0.026613, train_ricir 0.208319, train_mae 0.014723, train_rmse 0.023463, train_mape 134.285751, train_acc 0.496479, valid_loss 0.0012003292, valid_ic 0.004032, valid_icir 0.097326, valid_ric -0.009865, valid_ricir -0.110263, valid_prec@10 0.556557, valid_prec@30 0.528825, valid_mae 0.015115, valid_rmse 0.034148, valid_mape 181.677765, valid_acc 0.566268, test_loss 0.002724, ic -0.000938, icir -0.020371, ric 0.001993, ricir 0.017790, prec@10 0.549794, prec@30 0.535254, test_mae 0.024213, test_rmse 0.061614, test_mape 219.216782, test_acc 0.604524
Epoch 30, train_loss 0.001359, train_ic 0.021095, train_icir 0.284711, train_ric 0.032965, train_ricir 0.332635, train_mae 0.019864, train_rmse 0.028809, train_mape 122.363434, train_acc 0.542574, valid_loss 0.0012321982, valid_ic -0.002885, valid_icir -0.066887, valid_ric 0.008487, valid_ricir 0.102693, valid_prec@10 0.617213, valid_prec@30 0.595355, valid_mae 0.016694, valid_rmse 0.035319, valid_mape 193.765121, valid_acc 0.440521, test_loss 0.002750, ic -0.008817, icir -0.191007, ric 0.005248, ricir 0.051059, prec@10 0.627572, prec@30 0.585734, test_mae 0.027589, test_rmse 0.062477, test_mape 243.298370, test_acc 0.347999
Epoch 31, train_loss 0.001342, train_ic 0.025006, train_icir 0.339244, train_ric 0.007852, train_ricir 0.073866, train_mae 0.027124, train_rmse 0.039741, train_mape 175.601028, train_acc 0.596392, valid_loss 0.0011480271, valid_ic 0.004072, valid_icir 0.120882, valid_ric 0.000363, valid_ricir 0.005425, valid_prec@10 0.604508, valid_prec@30 0.588798, valid_mae 0.014852, valid_rmse 0.033337, valid_mape 147.660950, valid_acc 0.510592, test_loss 0.002592, ic -0.003297, icir -0.086854, ric 0.001569, ricir 0.022776, prec@10 0.553086, prec@30 0.570919, test_mae 0.023384, test_rmse 0.059891, test_mape 201.114731, test_acc 0.643798
Epoch 32, train_loss 0.001328, train_ic 0.019188, train_icir 0.278224, train_ric -0.001184, train_ricir -0.013070, train_mae 0.028073, train_rmse 0.033352, train_mape 464.173462, train_acc 0.307771, valid_loss 0.0015395324, valid_ic 0.002642, valid_icir 0.082572, valid_ric -0.008531, valid_ricir -0.147236, valid_prec@10 0.551230, valid_prec@30 0.545355, valid_mae 0.022471, valid_rmse 0.036531, valid_mape 462.535156, valid_acc 0.595329, test_loss 0.002971, ic -0.001524, icir -0.043771, ric -0.004466, ricir -0.067969, prec@10 0.546091, prec@30 0.534705, test_mae 0.022973, test_rmse 0.058301, test_mape 338.306702, test_acc 0.750684
Epoch 33, train_loss 0.001361, train_ic 0.014430, train_icir 0.148353, train_ric 0.038903, train_ricir 0.292741, train_mae 0.021340, train_rmse 0.032793, train_mape 157.853134, train_acc 0.406708, valid_loss 0.0011997980, valid_ic -0.000426, valid_icir -0.007820, valid_ric 0.022356, valid_ricir 0.210760, valid_prec@10 0.606148, valid_prec@30 0.589754, valid_mae 0.016296, valid_rmse 0.033720, valid_mape 188.256393, valid_acc 0.526344, test_loss 0.002597, ic -0.009845, icir -0.182383, ric 0.010094, ricir 0.079704, prec@10 0.627160, prec@30 0.585322, test_mae 0.024446, test_rmse 0.059251, test_mape 236.165115, test_acc 0.608501
Epoch 34, train_loss 0.001340, train_ic 0.030693, train_icir 0.331564, train_ric -0.017091, train_ricir -0.133669, train_mae 0.020838, train_rmse 0.028012, train_mape 168.872330, train_acc 0.320923, valid_loss 0.0012598974, valid_ic 0.013223, valid_icir 0.342459, valid_ric -0.018198, valid_ricir -0.206291, valid_prec@10 0.558197, valid_prec@30 0.553552, valid_mae 0.017757, valid_rmse 0.033475, valid_mape 316.570953, valid_acc 0.582564, test_loss 0.002671, ic 0.009134, icir 0.273192, ric -0.000989, ricir -0.009771, prec@10 0.537860, prec@30 0.538409, test_mae 0.022034, test_rmse 0.057190, test_mape 272.245789, test_acc 0.717127
Epoch 35, train_loss 0.001313, train_ic 0.021578, train_icir 0.231957, train_ric 0.011800, train_ricir 0.093518, train_mae 0.019492, train_rmse 0.026042, train_mape 368.767944, train_acc 0.769307, valid_loss 0.0018201894, valid_ic -0.000346, valid_icir -0.006921, valid_ric -0.012321, valid_ricir -0.127408, valid_prec@10 0.581557, valid_prec@30 0.570902, valid_mae 0.032193, valid_rmse 0.043991, valid_mape 588.410034, valid_acc 0.350353, test_loss 0.003217, ic -0.004451, icir -0.081554, ric -0.009428, ricir -0.066787, prec@10 0.565432, prec@30 0.556653, test_mae 0.047076, test_rmse 0.070784, test_mape 545.261963, test_acc 0.189908
Epoch 36, train_loss 0.001336, train_ic 0.027170, train_icir 0.381958, train_ric -0.002876, train_ricir -0.028829, train_mae 0.015434, train_rmse 0.023274, train_mape 296.454590, train_acc 0.596884, valid_loss 0.0012680715, valid_ic 0.004296, valid_icir 0.138235, valid_ric -0.017394, valid_ricir -0.264327, valid_prec@10 0.557787, valid_prec@30 0.541530, valid_mae 0.021474, valid_rmse 0.035722, valid_mape 311.058319, valid_acc 0.349538, test_loss 0.002562, ic 0.000080, icir 0.002191, ric -0.007083, ricir -0.112021, prec@10 0.572840, prec@30 0.550206, test_mae 0.034202, test_rmse 0.061903, test_mape 342.562164, test_acc 0.191648
