Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- GRU ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2022,
        "test_year": 2023,
        "window": 32,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 30, train_loss 0.001901, train_ic 0.022891, train_icir 0.263587, train_ric 0.025349, train_ricir 0.211382, train_mae 0.027135, train_rmse 0.031962, train_mape 175.740524, train_acc 0.243201, valid_loss 0.0031954589, valid_ic 0.010351, valid_icir 0.180329, valid_ric 0.034776, valid_ricir 0.265977, valid_mae 0.017888, valid_rmse 0.045602, valid_mape 272.300995, valid_acc 0.657970, test_loss 0.001961, ic 0.011643, icir 0.285801, ric 0.026902, ricir 0.232192, prec@10 0.539669, prec@30 0.535675, test_mae 0.018850, test_rmse 0.037000, test_mape 295.559814, test_acc 0.731534
Epoch 31, train_loss 0.001881, train_ic 0.001527, train_icir 0.016801, train_ric 0.044585, train_ricir 0.346355, train_mae 0.021535, train_rmse 0.029747, train_mape 254.820969, train_acc 0.470376, valid_loss 0.0032644816, valid_ic 0.005699, valid_icir 0.133932, valid_ric 0.036254, valid_ricir 0.353799, valid_mae 0.026411, valid_rmse 0.049539, valid_mape 406.059357, valid_acc 0.303410, test_loss 0.002099, ic 0.006793, icir 0.207482, ric 0.028814, ricir 0.270823, prec@10 0.439669, prec@30 0.440909, test_mae 0.032292, test_rmse 0.045858, test_mape 433.878052, test_acc 0.181209
Epoch 32, train_loss 0.001854, train_ic -0.004957, train_icir -0.055491, train_ric 0.033043, train_ricir 0.286982, train_mae 0.028797, train_rmse 0.145289, train_mape 293.874268, train_acc 0.568092, valid_loss 0.0032617587, valid_ic 0.004394, valid_icir 0.112363, valid_ric 0.021687, valid_ricir 0.213284, valid_mae 0.025753, valid_rmse 0.048953, valid_mape 373.649231, valid_acc 0.311011, test_loss 0.002108, ic 0.004244, icir 0.129664, ric 0.007958, ricir 0.089775, prec@10 0.452893, prec@30 0.434435, test_mae 0.034061, test_rmse 0.047173, test_mape 462.858826, test_acc 0.179240
Epoch 33, train_loss 0.001829, train_ic 0.006743, train_icir 0.105900, train_ric 0.022125, train_ricir 0.243791, train_mae 0.037875, train_rmse 0.044680, train_mape 21261.253906, train_acc 0.219159, valid_loss 0.0035711473, valid_ic 0.003662, valid_icir 0.122937, valid_ric 0.016151, valid_ricir 0.228387, valid_mae 0.037741, valid_rmse 0.055217, valid_mape 651.754028, valid_acc 0.301561, test_loss 0.002439, ic 0.004111, icir 0.183570, ric 0.007625, ricir 0.115224, prec@10 0.440909, prec@30 0.451515, test_mae 0.042869, test_rmse 0.053538, test_mape 589.776123, test_acc 0.174119
Epoch 34, train_loss 0.001798, train_ic 0.008086, train_icir 0.087618, train_ric 0.025002, train_ricir 0.202066, train_mae 0.019875, train_rmse 0.026408, train_mape 225.235123, train_acc 0.406986, valid_loss 0.0031432214, valid_ic 0.008163, valid_icir 0.118937, valid_ric 0.035054, valid_ricir 0.237041, valid_mae 0.020685, valid_rmse 0.045361, valid_mape 291.232361, valid_acc 0.533895, test_loss 0.002000, ic 0.003916, icir 0.070099, ric 0.027951, ricir 0.217841, prec@10 0.561157, prec@30 0.557713, test_mae 0.025104, test_rmse 0.041074, test_mape 342.640167, test_acc 0.389206
Epoch 35, train_loss 0.001785, train_ic 0.015214, train_icir 0.208855, train_ric 0.036813, train_ricir 0.366375, train_mae 0.022428, train_rmse 0.029819, train_mape 253.017715, train_acc 0.269623, valid_loss 0.0028899955, valid_ic 0.007242, valid_icir 0.162568, valid_ric 0.034328, valid_ricir 0.384717, valid_mae 0.022856, valid_rmse 0.045504, valid_mape 314.943054, valid_acc 0.302383, test_loss 0.001790, ic 0.009454, icir 0.321775, ric 0.028791, ricir 0.370639, prec@10 0.449587, prec@30 0.454545, test_mae 0.028777, test_rmse 0.042483, test_mape 359.775909, test_acc 0.161513
Epoch 36, train_loss 0.001795, train_ic 0.008109, train_icir 0.079033, train_ric 0.034856, train_ricir 0.259983, train_mae 0.022505, train_rmse 0.028933, train_mape 152.830185, train_acc 0.715343, valid_loss 0.0029714266, valid_ic 0.009964, valid_icir 0.145537, valid_ric 0.045438, valid_ricir 0.310041, valid_mae 0.023120, valid_rmse 0.045939, valid_mape 355.001556, valid_acc 0.458710, test_loss 0.001890, ic 0.010374, icir 0.189973, ric 0.046167, ricir 0.363830, prec@10 0.539256, prec@30 0.553994, test_mae 0.027350, test_rmse 0.042121, test_mape 354.519775, test_acc 0.288753
Epoch 37, train_loss 0.001766, train_ic 0.038108, train_icir 0.394476, train_ric 0.020774, train_ricir 0.165631, train_mae 0.015404, train_rmse 0.022997, train_mape 261.987793, train_acc 0.548585, valid_loss 0.0027885691, valid_ic 0.012046, valid_icir 0.253321, valid_ric 0.015432, valid_ricir 0.139842, valid_mae 0.020305, valid_rmse 0.043484, valid_mape 254.562073, valid_acc 0.356615, test_loss 0.001697, ic 0.014858, icir 0.409401, ric 0.014015, ricir 0.131062, prec@10 0.505785, prec@30 0.490909, test_mae 0.022130, test_rmse 0.037698, test_mape 265.647583, test_acc 0.399842
Epoch 38, train_loss 0.001738, train_ic 0.020781, train_icir 0.213042, train_ric 0.025657, train_ricir 0.195165, train_mae 0.034043, train_rmse 0.052930, train_mape 533.533997, train_acc 0.336772, valid_loss 0.0031074965, valid_ic 0.011275, valid_icir 0.194927, valid_ric 0.035350, valid_ricir 0.250869, valid_mae 0.030798, valid_rmse 0.049122, valid_mape 517.942810, valid_acc 0.305053, test_loss 0.002067, ic 0.011509, icir 0.272171, ric 0.029157, ricir 0.239496, prec@10 0.483058, prec@30 0.478650, test_mae 0.034998, test_rmse 0.047346, test_mape 454.333740, test_acc 0.183967
Epoch 39, train_loss 0.001728, train_ic 0.026714, train_icir 0.256459, train_ric 0.004548, train_ricir 0.032358, train_mae 0.018599, train_rmse 0.025459, train_mape 349.049835, train_acc 0.510238, valid_loss 0.0027138810, valid_ic 0.010046, valid_icir 0.158886, valid_ric 0.014894, valid_ricir 0.098105, valid_mae 0.017501, valid_rmse 0.041070, valid_mape 230.681702, valid_acc 0.631060, test_loss 0.001635, ic 0.009934, icir 0.210770, ric 0.008886, ricir 0.067361, prec@10 0.503306, prec@30 0.503306, test_mae 0.019360, test_rmse 0.034421, test_mape 298.487915, test_acc 0.714201
