Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- GRU ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2022,
        "test_year": 2023,
        "window": 32,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 84, train_loss 0.001544, train_ic 0.017410, train_icir 0.212479, train_ric 0.015486, train_ricir 0.138547, train_mae 0.064084, train_rmse 0.071122, train_mape 101.521637, train_acc 0.681366, valid_loss 0.0019714889, valid_ic 0.009355, valid_icir 0.251379, valid_ric 0.018717, valid_ricir 0.183734, valid_mae 0.020854, valid_rmse 0.035791, valid_mape 283.895599, valid_acc 0.427075, test_loss 0.001212, ic 0.004024, icir 0.114158, ric 0.005140, ricir 0.052817, prec@10 0.442562, prec@30 0.455234, test_mae 0.025510, test_rmse 0.035985, test_mape 266.087860, test_acc 0.284814
Epoch 85, train_loss 0.001511, train_ic 0.016642, train_icir 0.213053, train_ric 0.025433, train_ricir 0.258277, train_mae 0.020970, train_rmse 0.028754, train_mape 311.687012, train_acc 0.512929, valid_loss 0.0022761916, valid_ic 0.008683, valid_icir 0.290829, valid_ric 0.023967, valid_ricir 0.299717, valid_mae 0.029594, valid_rmse 0.041897, valid_mape 478.951447, valid_acc 0.301972, test_loss 0.001592, ic 0.003116, icir 0.100427, ric 0.007765, ricir 0.095129, prec@10 0.431405, prec@30 0.450275, test_mae 0.037347, test_rmse 0.045842, test_mape 450.510590, test_acc 0.166831
Epoch 86, train_loss 0.001484, train_ic 0.011504, train_icir 0.126896, train_ric 0.017656, train_ricir 0.149500, train_mae 0.022437, train_rmse 0.031760, train_mape 166.902634, train_acc 0.522646, valid_loss 0.0019482616, valid_ic 0.008175, valid_icir 0.161688, valid_ric 0.023802, valid_ricir 0.195626, valid_mae 0.018294, valid_rmse 0.034067, valid_mape 244.510605, valid_acc 0.489729, test_loss 0.001187, ic 0.005691, icir 0.118301, ric 0.023810, ricir 0.213857, prec@10 0.464050, prec@30 0.454959, test_mae 0.022386, test_rmse 0.032868, test_mape 247.791077, test_acc 0.363601
Epoch 87, train_loss 0.001895, train_ic 0.001470, train_icir 0.017333, train_ric 0.017939, train_ricir 0.165140, train_mae 0.016175, train_rmse 0.022775, train_mape 241.743637, train_acc 0.513296, valid_loss 0.0022217127, valid_ic 0.005803, valid_icir 0.105820, valid_ric 0.027801, valid_ricir 0.241393, valid_mae 0.020404, valid_rmse 0.037188, valid_mape 267.939331, valid_acc 0.472062, test_loss 0.001421, ic -0.004537, icir -0.081383, ric 0.016952, ricir 0.161673, prec@10 0.475207, prec@30 0.502755, test_mae 0.025068, test_rmse 0.035846, test_mape 298.147461, test_acc 0.313965
Epoch 88, train_loss 0.001546, train_ic 0.012434, train_icir 0.148022, train_ric 0.008280, train_ricir 0.073988, train_mae 0.027359, train_rmse 0.032592, train_mape 17105.580078, train_acc 0.419926, valid_loss 0.0025710027, valid_ic 0.006762, valid_icir 0.142715, valid_ric 0.013657, valid_ricir 0.117668, valid_mae 0.032885, valid_rmse 0.045268, valid_mape 568.475098, valid_acc 0.324158, test_loss 0.001870, ic 0.000295, icir 0.006154, ric 0.000966, ricir 0.008827, prec@10 0.447107, prec@30 0.445179, test_mae 0.038803, test_rmse 0.048031, test_mape 487.427032, test_acc 0.209967
Epoch 89, train_loss 0.001732, train_ic 0.009516, train_icir 0.106807, train_ric 0.009004, train_ricir 0.075390, train_mae 0.019427, train_rmse 0.032077, train_mape 234.532410, train_acc 0.493295, valid_loss 0.0019414261, valid_ic 0.008580, valid_icir 0.171430, valid_ric 0.022456, valid_ricir 0.185316, valid_mae 0.020452, valid_rmse 0.035342, valid_mape 291.135803, valid_acc 0.458915, test_loss 0.001183, ic 0.004083, icir 0.093642, ric 0.012715, ricir 0.121292, prec@10 0.435537, prec@30 0.458815, test_mae 0.025415, test_rmse 0.035622, test_mape 269.422180, test_acc 0.271814
Epoch 90, train_loss 0.001497, train_ic 0.013178, train_icir 0.131427, train_ric 0.012307, train_ricir 0.092847, train_mae 0.017264, train_rmse 0.023937, train_mape 329.817780, train_acc 0.439770, valid_loss 0.0020086715, valid_ic 0.009730, valid_icir 0.153079, valid_ric 0.024673, valid_ricir 0.173141, valid_mae 0.021106, valid_rmse 0.035912, valid_mape 316.539124, valid_acc 0.457683, test_loss 0.001261, ic 0.003452, icir 0.057647, ric 0.012091, ricir 0.094803, prec@10 0.520661, prec@30 0.544077, test_mae 0.028465, test_rmse 0.038340, test_mape 305.641327, test_acc 0.254284
Epoch 91, train_loss 0.001464, train_ic 0.004061, train_icir 0.041188, train_ric 0.010027, train_ricir 0.080051, train_mae 0.025827, train_rmse 0.033913, train_mape 319.278015, train_acc 0.331304, valid_loss 0.0020776878, valid_ic 0.008319, valid_icir 0.128337, valid_ric 0.027823, valid_ricir 0.197579, valid_mae 0.024481, valid_rmse 0.038245, valid_mape 391.664612, valid_acc 0.416804, test_loss 0.001349, ic 0.002997, icir 0.051743, ric 0.015914, ricir 0.132980, prec@10 0.499174, prec@30 0.528788, test_mae 0.033253, test_rmse 0.042763, test_mape 393.110352, test_acc 0.220012
Epoch 92, train_loss 0.001454, train_ic 0.003706, train_icir 0.046248, train_ric 0.018822, train_ricir 0.192465, train_mae 0.024818, train_rmse 0.035165, train_mape 214.272659, train_acc 0.321955, valid_loss 0.0019555962, valid_ic 0.005995, valid_icir 0.134659, valid_ric 0.025782, valid_ricir 0.274327, valid_mae 0.021108, valid_rmse 0.035760, valid_mape 300.456085, valid_acc 0.443919, test_loss 0.001227, ic -0.001676, icir -0.038555, ric 0.007566, ricir 0.089550, prec@10 0.472314, prec@30 0.510744, test_mae 0.029662, test_rmse 0.039006, test_mape 341.471832, test_acc 0.239708
Epoch 93, train_loss 0.001407, train_ic 0.005588, train_icir 0.063231, train_ric 0.008646, train_ricir 0.076541, train_mae 0.028986, train_rmse 0.039744, train_mape 8689.322266, train_acc 0.309133, valid_loss 0.0019338080, valid_ic 0.007529, valid_icir 0.129302, valid_ric 0.018988, valid_ricir 0.156509, valid_mae 0.019887, valid_rmse 0.034797, valid_mape 276.014954, valid_acc 0.466927, test_loss 0.001188, ic 0.001907, icir 0.036366, ric 0.007231, ricir 0.068269, prec@10 0.454545, prec@30 0.475620, test_mae 0.025504, test_rmse 0.035338, test_mape 291.795959, test_acc 0.285405
Epoch 94, train_loss 0.001424, train_ic 0.032583, train_icir 0.320980, train_ric 0.007202, train_ricir 0.058017, train_mae 0.015015, train_rmse 0.021479, train_mape 177.963943, train_acc 0.601073, valid_loss 0.0019049268, valid_ic 0.013183, valid_icir 0.242530, valid_ric 0.007335, valid_ricir 0.064364, valid_mae 0.019408, valid_rmse 0.034574, valid_mape 250.718826, valid_acc 0.453369, test_loss 0.001158, ic 0.012959, icir 0.268962, ric 0.001150, ricir 0.010889, prec@10 0.460331, prec@30 0.481818, test_mae 0.020614, test_rmse 0.031558, test_mape 239.293381, test_acc 0.523734
Epoch 95, train_loss 0.001405, train_ic 0.014784, train_icir 0.154591, train_ric 0.020606, train_ricir 0.170930, train_mae 0.032656, train_rmse 0.039635, train_mape 295.696747, train_acc 0.211146, valid_loss 0.0021009153, valid_ic 0.011071, valid_icir 0.177401, valid_ric 0.031298, valid_ricir 0.246270, valid_mae 0.025521, valid_rmse 0.038817, valid_mape 408.719543, valid_acc 0.422145, test_loss 0.001394, ic 0.009525, icir 0.174395, ric 0.024016, ricir 0.231586, prec@10 0.449174, prec@30 0.480441, test_mae 0.031740, test_rmse 0.041173, test_mape 383.823822, test_acc 0.228284
Epoch 96, train_loss 0.001395, train_ic 0.015115, train_icir 0.162422, train_ric 0.012389, train_ricir 0.101211, train_mae 0.022649, train_rmse 0.045413, train_mape 253.973389, train_acc 0.545273, valid_loss 0.0018929253, valid_ic 0.009903, valid_icir 0.172541, valid_ric 0.027527, valid_ricir 0.210808, valid_mae 0.020669, valid_rmse 0.035208, valid_mape 293.981018, valid_acc 0.438578, test_loss 0.001174, ic 0.003249, icir 0.061699, ric 0.017287, ricir 0.146988, prec@10 0.521488, prec@30 0.526171, test_mae 0.026905, test_rmse 0.036917, test_mape 297.717499, test_acc 0.265314
Epoch 97, train_loss 0.001375, train_ic 0.004436, train_icir 0.054174, train_ric 0.003312, train_ricir 0.030070, train_mae 0.021776, train_rmse 0.026828, train_mape 500.655853, train_acc 0.544097, valid_loss 0.0023142084, valid_ic 0.004213, valid_icir 0.095386, valid_ric 0.015961, valid_ricir 0.135319, valid_mae 0.031719, valid_rmse 0.043041, valid_mape 536.067749, valid_acc 0.303205, test_loss 0.001631, ic -0.002300, icir -0.054451, ric 0.003516, ricir 0.033271, prec@10 0.457025, prec@30 0.455923, test_mae 0.040581, test_rmse 0.048847, test_mape 501.099335, test_acc 0.167619
Epoch 98, train_loss 0.005376, train_ic -0.017320, train_icir -0.178871, train_ric 0.009163, train_ricir 0.078964, train_mae 0.055738, train_rmse 0.071707, train_mape 174.691040, train_acc 0.555317, valid_loss 0.0056692542, valid_ic -0.001208, valid_icir -0.017140, valid_ric 0.008523, valid_ricir 0.073472, valid_mae 0.051747, valid_rmse 0.067388, valid_mape 860.999390, valid_acc 0.312449, test_loss 0.004556, ic 0.004461, icir 0.070330, ric 0.015397, ricir 0.157789, prec@10 0.459504, prec@30 0.461846, test_mae 0.069824, test_rmse 0.080402, test_mape 1014.732544, test_acc 0.182982
Epoch 99, train_loss 0.003032, train_ic -0.015835, train_icir -0.153775, train_ric 0.027151, train_ricir 0.227231, train_mae 0.036667, train_rmse 0.068284, train_mape 541.913086, train_acc 0.690128, valid_loss 0.0043557301, valid_ic 0.007828, valid_icir 0.110615, valid_ric 0.040625, valid_ricir 0.363578, valid_mae 0.038692, valid_rmse 0.057643, valid_mape 686.109863, valid_acc 0.306286, test_loss 0.003291, ic 0.009273, icir 0.149413, ric 0.040209, ricir 0.398113, prec@10 0.458264, prec@30 0.455647, test_mae 0.054003, test_rmse 0.065068, test_mape 783.002991, test_acc 0.166437
Epoch 100, train_loss 0.003343, train_ic -0.010306, train_icir -0.091043, train_ric 0.018534, train_ricir 0.142924, train_mae 0.040327, train_rmse 0.051445, train_mape 243.145508, train_acc 0.397556, valid_loss 0.0034170308, valid_ic 0.009937, valid_icir 0.104537, valid_ric 0.036576, valid_ricir 0.255354, valid_mae 0.030509, valid_rmse 0.047261, valid_mape 522.648926, valid_acc 0.578882, test_loss 0.002485, ic 0.000109, icir 0.001179, ric 0.031163, ricir 0.240607, prec@10 0.565289, prec@30 0.547796, test_mae 0.039093, test_rmse 0.053747, test_mape 533.297424, test_acc 0.382509
Epoch 101, train_loss 0.002988, train_ic -0.005969, train_icir -0.054704, train_ric 0.013809, train_ricir 0.111027, train_mae 0.082512, train_rmse 0.095236, train_mape 274.008453, train_acc 0.164709, valid_loss 0.0069376141, valid_ic 0.011537, valid_icir 0.114280, valid_ric 0.031677, valid_ricir 0.214856, valid_mae 0.062356, valid_rmse 0.078340, valid_mape 1246.400391, valid_acc 0.362366, test_loss 0.006251, ic 0.005211, icir 0.058378, ric 0.028467, ricir 0.219364, prec@10 0.519008, prec@30 0.523967, test_mae 0.077442, test_rmse 0.092066, test_mape 1216.801758, test_acc 0.173134
Epoch 102, train_loss 0.002447, train_ic -0.008982, train_icir -0.097742, train_ric 0.019536, train_ricir 0.176497, train_mae 0.022595, train_rmse 0.033109, train_mape 190.704651, train_acc 0.381966, valid_loss 0.0039212793, valid_ic 0.008941, valid_icir 0.097649, valid_ric 0.035972, valid_ricir 0.273265, valid_mae 0.025643, valid_rmse 0.052385, valid_mape 432.208099, valid_acc 0.654478, test_loss 0.002699, ic 0.006030, icir 0.083597, ric 0.034756, ricir 0.323379, prec@10 0.554545, prec@30 0.544904, test_mae 0.030836, test_rmse 0.051909, test_mape 480.879211, test_acc 0.522947
Epoch 103, train_loss 0.002437, train_ic -0.011244, train_icir -0.126629, train_ric 0.014814, train_ricir 0.145348, train_mae 0.056354, train_rmse 0.064761, train_mape 1114.489380, train_acc 0.342474, valid_loss 0.0046763928, valid_ic 0.004650, valid_icir 0.073413, valid_ric 0.026106, valid_ricir 0.266366, valid_mae 0.055624, valid_rmse 0.065275, valid_mape 1036.619995, valid_acc 0.344084, test_loss 0.004055, ic -0.007867, icir -0.119591, ric 0.014065, ricir 0.152198, prec@10 0.514050, prec@30 0.528375, test_mae 0.071131, test_rmse 0.079335, test_mape 998.206726, test_acc 0.168800
Epoch 104, train_loss 0.002050, train_ic -0.004359, train_icir -0.059131, train_ric 0.005976, train_ricir 0.063209, train_mae 0.030969, train_rmse 0.038125, train_mape 159.786591, train_acc 0.782086, valid_loss 0.0025216800, valid_ic 0.002754, valid_icir 0.068429, valid_ric 0.013315, valid_ricir 0.142193, valid_mae 0.033629, valid_rmse 0.044646, valid_mape 575.788086, valid_acc 0.347576, test_loss 0.001802, ic -0.004705, icir -0.104091, ric 0.006417, ricir 0.072187, prec@10 0.444628, prec@30 0.443113, test_mae 0.042539, test_rmse 0.050976, test_mape 529.605042, test_acc 0.180815
Epoch 105, train_loss 0.001780, train_ic -0.000943, train_icir -0.018345, train_ric 0.001609, train_ricir 0.029046, train_mae 0.067673, train_rmse 0.075685, train_mape 893.282715, train_acc 0.257292, valid_loss 0.0048397853, valid_ic -0.001991, valid_icir -0.047906, valid_ric -0.005451, valid_ricir -0.076267, valid_mae 0.061446, valid_rmse 0.069068, valid_mape 1083.857544, valid_acc 0.301972, test_loss 0.004119, ic -0.004121, icir -0.104778, ric -0.008712, ricir -0.170252, prec@10 0.434298, prec@30 0.447521, test_mae 0.068773, test_rmse 0.073934, test_mape 936.093872, test_acc 0.165058
Epoch 106, train_loss 0.001650, train_ic -0.000132, train_icir -0.002143, train_ric 0.002977, train_ricir 0.043666, train_mae 0.026186, train_rmse 0.035375, train_mape 403.113129, train_acc 0.462041, valid_loss 0.0022172935, valid_ic 0.003875, valid_icir 0.108821, valid_ric 0.005374, valid_ricir 0.100230, valid_mae 0.028591, valid_rmse 0.041026, valid_mape 451.118805, valid_acc 0.352506, test_loss 0.001475, ic -0.000956, icir -0.028415, ric 0.001477, ricir 0.032697, prec@10 0.470248, prec@30 0.497107, test_mae 0.035557, test_rmse 0.044050, test_mape 437.375793, test_acc 0.189285
Epoch 107, train_loss 0.002913, train_ic -0.013455, train_icir -0.143860, train_ric 0.020713, train_ricir 0.187794, train_mae 0.026141, train_rmse 0.036732, train_mape 310.919678, train_acc 0.296839, valid_loss 0.0023278913, valid_ic 0.007070, valid_icir 0.101922, valid_ric 0.035156, valid_ricir 0.327450, valid_mae 0.024656, valid_rmse 0.039405, valid_mape 380.688873, valid_acc 0.372432, test_loss 0.001547, ic 0.001044, icir 0.016072, ric 0.028357, ricir 0.291714, prec@10 0.456612, prec@30 0.475620, test_mae 0.036379, test_rmse 0.046848, test_mape 479.058411, test_acc 0.197164
Epoch 108, train_loss 0.001962, train_ic 0.004364, train_icir 0.045998, train_ric 0.011938, train_ricir 0.105585, train_mae 0.023516, train_rmse 0.031314, train_mape 484.958893, train_acc 0.588002, valid_loss 0.0027648182, valid_ic 0.010896, valid_icir 0.129826, valid_ric 0.021495, valid_ricir 0.170380, valid_mae 0.037747, valid_rmse 0.049008, valid_mape 692.277832, valid_acc 0.376952, test_loss 0.002154, ic 0.003728, icir 0.048166, ric 0.021605, ricir 0.195485, prec@10 0.530992, prec@30 0.546970, test_mae 0.042945, test_rmse 0.052294, test_mape 586.528381, test_acc 0.200709
Epoch 109, train_loss 0.001735, train_ic -0.006918, train_icir -0.087439, train_ric 0.014338, train_ricir 0.150458, train_mae 0.037659, train_rmse 0.042105, train_mape 910.525879, train_acc 0.298507, valid_loss 0.0027214883, valid_ic 0.004068, valid_icir 0.077080, valid_ric 0.024333, valid_ricir 0.263415, valid_mae 0.038550, valid_rmse 0.048949, valid_mape 693.700684, valid_acc 0.348809, test_loss 0.002087, ic -0.002375, icir -0.044786, ric 0.020136, ricir 0.241775, prec@10 0.444628, prec@30 0.454408, test_mae 0.047018, test_rmse 0.054898, test_mape 609.129395, test_acc 0.179831
Epoch 110, train_loss 0.001606, train_ic 0.002967, train_icir 0.047935, train_ric 0.001683, train_ricir 0.022949, train_mae 0.033572, train_rmse 0.039393, train_mape 781.626953, train_acc 0.514111, valid_loss 0.0027313542, valid_ic 0.002869, valid_icir 0.085822, valid_ric -0.000975, valid_ricir -0.017702, valid_mae 0.039911, valid_rmse 0.049432, valid_mape 700.059814, valid_acc 0.304232, test_loss 0.002068, ic -0.001360, icir -0.043440, ric -0.002775, ricir -0.057053, prec@10 0.462810, prec@30 0.461983, test_mae 0.045927, test_rmse 0.052823, test_mape 611.171082, test_acc 0.162104
Epoch 111, train_loss 0.001564, train_ic 0.000535, train_icir 0.005591, train_ric 0.021900, train_ricir 0.203777, train_mae 0.038571, train_rmse 0.044583, train_mape 849.088867, train_acc 0.488686, valid_loss 0.0040155166, valid_ic 0.009069, valid_icir 0.131034, valid_ric 0.031647, valid_ricir 0.290712, valid_mae 0.053265, valid_rmse 0.061618, valid_mape 989.279297, valid_acc 0.304643, test_loss 0.003464, ic 0.005360, icir 0.080525, ric 0.033222, ricir 0.342117, prec@10 0.527686, prec@30 0.555510, test_mae 0.062260, test_rmse 0.069080, test_mape 877.965576, test_acc 0.160331
Epoch 112, train_loss 0.001537, train_ic -0.003956, train_icir -0.059052, train_ric 0.011796, train_ricir 0.158033, train_mae 0.037815, train_rmse 0.042981, train_mape 751.084290, train_acc 0.499691, valid_loss 0.0028143532, valid_ic 0.001928, valid_icir 0.048798, valid_ric 0.012705, valid_ricir 0.187584, valid_mae 0.041702, valid_rmse 0.050817, valid_mape 712.957886, valid_acc 0.300329, test_loss 0.002178, ic -0.003585, icir -0.087365, ric 0.008398, ricir 0.145389, prec@10 0.440909, prec@30 0.448347, test_mae 0.050905, test_rmse 0.057655, test_mape 676.559082, test_acc 0.166437
Epoch 113, train_loss 0.001462, train_ic 0.004727, train_icir 0.052517, train_ric 0.017357, train_ricir 0.158670, train_mae 0.044654, train_rmse 0.058805, train_mape 730.533325, train_acc 0.530418, valid_loss 0.0036350487, valid_ic 0.006642, valid_icir 0.110902, valid_ric 0.025411, valid_ricir 0.227376, valid_mae 0.052496, valid_rmse 0.060196, valid_mape 982.770325, valid_acc 0.304437, test_loss 0.003110, ic 0.000679, icir 0.010899, ric 0.024993, ricir 0.245446, prec@10 0.509917, prec@30 0.520937, test_mae 0.058426, test_rmse 0.064891, test_mape 803.882996, test_acc 0.161119
Epoch 114, train_loss 0.001430, train_ic 0.013631, train_icir 0.189774, train_ric 0.007112, train_ricir 0.086359, train_mae 0.022758, train_rmse 0.031915, train_mape 12212.146484, train_acc 0.652874, valid_loss 0.0022788896, valid_ic 0.006242, valid_icir 0.177400, valid_ric 0.006939, valid_ricir 0.119929, valid_mae 0.033185, valid_rmse 0.043672, valid_mape 558.700439, valid_acc 0.310600, test_loss 0.001644, ic 0.003932, icir 0.123710, ric 0.001837, ricir 0.038114, prec@10 0.447107, prec@30 0.461708, test_mae 0.038779, test_rmse 0.046641, test_mape 483.818909, test_acc 0.171164
Epoch 115, train_loss 0.002185, train_ic -0.000699, train_icir -0.008837, train_ric 0.016149, train_ricir 0.188498, train_mae 0.054764, train_rmse 0.063919, train_mape 846.837219, train_acc 0.226687, valid_loss 0.0073045193, valid_ic 0.010086, valid_icir 0.143551, valid_ric 0.024504, valid_ricir 0.285862, valid_mae 0.052507, valid_rmse 0.080757, valid_mape 995.546265, valid_acc 0.304437, test_loss 0.005788, ic 0.008915, icir 0.170047, ric 0.015780, ricir 0.217791, prec@10 0.464463, prec@30 0.477961, test_mae 0.061890, test_rmse 0.080564, test_mape 998.875732, test_acc 0.163088
Epoch 116, train_loss 0.002496, train_ic -0.005369, train_icir -0.062091, train_ric 0.018813, train_ricir 0.204953, train_mae 0.041031, train_rmse 0.050888, train_mape 713.710815, train_acc 0.376465, valid_loss 0.0031913485, valid_ic 0.003687, valid_icir 0.055678, valid_ric 0.011306, valid_ricir 0.105739, valid_mae 0.042531, valid_rmse 0.052117, valid_mape 712.802551, valid_acc 0.297658, test_loss 0.002522, ic 0.001076, icir 0.016590, ric 0.008334, ricir 0.094821, prec@10 0.435950, prec@30 0.448760, test_mae 0.054175, test_rmse 0.060889, test_mape 758.482666, test_acc 0.167816
Early stopping -----
Epoch 117, train_loss 0.002061, train_ic -0.001607, train_icir -0.017855, train_ric 0.021135, train_ricir 0.205004, train_mae 0.040146, train_rmse 0.047544, train_mape 611.530823, train_acc 0.211298, valid_loss 0.0029001232, valid_ic 0.009042, valid_icir 0.159983, valid_ric 0.026075, valid_ricir 0.272352, valid_mae 0.041385, valid_rmse 0.050973, valid_mape 748.612671, valid_acc 0.312449, test_loss 0.002343, ic -0.001178, icir -0.019756, ric 0.016874, ricir 0.192339, prec@10 0.455372, prec@30 0.470110, test_mae 0.050064, test_rmse 0.058194, test_mape 681.017456, test_acc 0.168407
Epoch 118, train_loss 0.001787, train_ic -0.001648, train_icir -0.018493, train_ric 0.026257, train_ricir 0.242475, train_mae 0.033846, train_rmse 0.046298, train_mape 182.976547, train_acc 0.885562, valid_loss 0.0031116873, valid_ic 0.003428, valid_icir 0.075743, valid_ric 0.026018, valid_ricir 0.297932, valid_mae 0.040102, valid_rmse 0.051033, valid_mape 720.824463, valid_acc 0.341002, test_loss 0.002501, ic -0.006717, icir -0.132626, ric 0.014258, ricir 0.170043, prec@10 0.423140, prec@30 0.437190, test_mae 0.049850, test_rmse 0.057523, test_mape 666.762146, test_acc 0.184361
Epoch 119, train_loss 0.001631, train_ic 0.016380, train_icir 0.161434, train_ric 0.005958, train_ricir 0.045510, train_mae 0.050588, train_rmse 0.056837, train_mape 669.080566, train_acc 0.171053, valid_loss 0.0038380451, valid_ic 0.011235, valid_icir 0.180488, valid_ric 0.017759, valid_ricir 0.132253, valid_mae 0.045927, valid_rmse 0.058780, valid_mape 839.412476, valid_acc 0.305464, test_loss 0.002929, ic 0.008025, icir 0.143662, ric 0.012492, ricir 0.104079, prec@10 0.513636, prec@30 0.522039, test_mae 0.049440, test_rmse 0.059347, test_mape 668.737061, test_acc 0.162301
Epoch 120, train_loss 0.001547, train_ic 0.012466, train_icir 0.137598, train_ric 0.010472, train_ricir 0.093048, train_mae 0.028570, train_rmse 0.034650, train_mape 585.166382, train_acc 0.565430, valid_loss 0.0025503502, valid_ic 0.009506, valid_icir 0.181781, valid_ric 0.013915, valid_ricir 0.135752, valid_mae 0.036955, valid_rmse 0.047032, valid_mape 660.450806, valid_acc 0.320049, test_loss 0.001931, ic 0.002643, icir 0.051138, ric 0.009564, ricir 0.105886, prec@10 0.450826, prec@30 0.448485, test_mae 0.042535, test_rmse 0.050514, test_mape 549.083252, test_acc 0.180815
Epoch 121, train_loss 0.001490, train_ic -0.002381, train_icir -0.027672, train_ric 0.015868, train_ricir 0.149771, train_mae 0.032861, train_rmse 0.037815, train_mape 472.020020, train_acc 0.288779, valid_loss 0.0023339804, valid_ic 0.005409, valid_icir 0.087646, valid_ric 0.029098, valid_ricir 0.266202, valid_mae 0.030435, valid_rmse 0.041276, valid_mape 516.066101, valid_acc 0.401397, test_loss 0.001714, ic -0.007550, icir -0.116607, ric 0.016326, ricir 0.163439, prec@10 0.516942, prec@30 0.509229, test_mae 0.041472, test_rmse 0.049552, test_mape 510.459564, test_acc 0.217451
Epoch 122, train_loss 0.001485, train_ic 0.006013, train_icir 0.079556, train_ric 0.017935, train_ricir 0.213894, train_mae 0.018600, train_rmse 0.025178, train_mape 285.098907, train_acc 0.552464, valid_loss 0.0019613299, valid_ic 0.007341, valid_icir 0.178837, valid_ric 0.018202, valid_ricir 0.282486, valid_mae 0.026037, valid_rmse 0.037499, valid_mape 406.829773, valid_acc 0.378184, test_loss 0.001342, ic 0.002222, icir 0.051913, ric 0.012643, ricir 0.210458, prec@10 0.450826, prec@30 0.465702, test_mae 0.033486, test_rmse 0.041792, test_mape 389.990387, test_acc 0.204648
Epoch 123, train_loss 0.001508, train_ic -0.006756, train_icir -0.073728, train_ric 0.014619, train_ricir 0.139754, train_mae 0.020990, train_rmse 0.029929, train_mape 255.612152, train_acc 0.512946, valid_loss 0.0021445675, valid_ic 0.008636, valid_icir 0.123826, valid_ric 0.026397, valid_ricir 0.236773, valid_mae 0.023691, valid_rmse 0.037572, valid_mape 382.568970, valid_acc 0.436113, test_loss 0.001480, ic 0.002527, icir 0.037395, ric 0.019931, ricir 0.194225, prec@10 0.433884, prec@30 0.457576, test_mae 0.034462, test_rmse 0.044938, test_mape 453.936584, test_acc 0.257435
Epoch 124, train_loss 0.001471, train_ic -0.000069, train_icir -0.001145, train_ric 0.007279, train_ricir 0.104556, train_mae 0.029625, train_rmse 0.043130, train_mape 430.007782, train_acc 0.364709, valid_loss 0.0019396912, valid_ic 0.000749, valid_icir 0.025984, valid_ric 0.003834, valid_ricir 0.062974, valid_mae 0.027164, valid_rmse 0.038154, valid_mape 417.526184, valid_acc 0.355177, test_loss 0.001310, ic -0.004933, icir -0.153822, ric -0.003241, ricir -0.062345, prec@10 0.459091, prec@30 0.447521, test_mae 0.035044, test_rmse 0.042996, test_mape 409.216064, test_acc 0.202088
Epoch 125, train_loss 0.001368, train_ic 0.004977, train_icir 0.059577, train_ric 0.025935, train_ricir 0.270002, train_mae 0.020845, train_rmse 0.028321, train_mape 378.565063, train_acc 0.559708, valid_loss 0.0019453783, valid_ic 0.008196, valid_icir 0.169770, valid_ric 0.029584, valid_ricir 0.354536, valid_mae 0.026137, valid_rmse 0.037420, valid_mape 415.253448, valid_acc 0.389893, test_loss 0.001359, ic 0.002808, icir 0.054881, ric 0.021491, ricir 0.276546, prec@10 0.458264, prec@30 0.457576, test_mae 0.035805, test_rmse 0.043987, test_mape 426.454926, test_acc 0.209376
Epoch 126, train_loss 0.002026, train_ic -0.005422, train_icir -0.079399, train_ric 0.015304, train_ricir 0.207244, train_mae 0.026953, train_rmse 0.034806, train_mape 335.764923, train_acc 0.678754, valid_loss 0.0026160883, valid_ic 0.002676, valid_icir 0.067531, valid_ric 0.013551, valid_ricir 0.213317, valid_mae 0.037372, valid_rmse 0.046625, valid_mape 643.298218, valid_acc 0.305464, test_loss 0.002024, ic -0.003434, icir -0.083375, ric 0.005287, ricir 0.095473, prec@10 0.473554, prec@30 0.468044, test_mae 0.048111, test_rmse 0.055014, test_mape 625.177795, test_acc 0.166043
Epoch 127, train_loss 0.001530, train_ic -0.002478, train_icir -0.033865, train_ric 0.014494, train_ricir 0.157106, train_mae 0.037695, train_rmse 0.044371, train_mape 192.611801, train_acc 0.222317, valid_loss 0.0019277856, valid_ic 0.004496, valid_icir 0.105183, valid_ric 0.024254, valid_ricir 0.264434, valid_mae 0.025674, valid_rmse 0.037215, valid_mape 398.295227, valid_acc 0.372021, test_loss 0.001309, ic -0.004387, icir -0.095591, ric 0.015025, ricir 0.179209, prec@10 0.447107, prec@30 0.450964, test_mae 0.034501, test_rmse 0.043143, test_mape 411.866333, test_acc 0.205633
