Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- GRU ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 20,
        "valid_year": 2019,
        "test_year": 2020,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 144, train_loss 0.001230, train_ic 0.051553, train_icir 0.472352, train_ric 0.036071, train_ricir 0.272443, valid_loss 0.0011412262 , valid_ic 0.008957, valid_icir 0.162702, valid_ric 0.002655, valid_ricir 0.027337, test_loss 0.002255, ic 0.000016, icir 0.000302, ric 0.007679, ricir 0.063889, prec@10 0.566255, prec@30 0.583402 
Epoch 145, train_loss 0.001262, train_ic 0.038405, train_icir 0.505034, train_ric 0.053603, train_ricir 0.546659, valid_loss 0.0011257786 , valid_ic 0.004770, valid_icir 0.180059, valid_ric 0.027142, valid_ricir 0.456240, test_loss 0.002207, ic -0.003523, icir -0.108177, ric 0.015626, ricir 0.224060, prec@10 0.530453, prec@30 0.523731 
Epoch 146, train_loss 0.001259, train_ic 0.037043, train_icir 0.451261, train_ric 0.022612, train_ricir 0.221944, valid_loss 0.0011674655 , valid_ic 0.004355, valid_icir 0.152974, valid_ric 0.005133, valid_ricir 0.090950, test_loss 0.002244, ic -0.003482, icir -0.121002, ric -0.001408, ricir -0.021002, prec@10 0.570370, prec@30 0.549383 
Epoch 147, train_loss 0.001228, train_ic 0.048500, train_icir 0.469152, train_ric 0.045016, train_ricir 0.364602, valid_loss 0.0013521353 , valid_ic 0.007051, valid_icir 0.115880, valid_ric 0.008483, valid_ricir 0.088870, test_loss 0.002448, ic -0.003236, icir -0.060346, ric 0.008644, ricir 0.077772, prec@10 0.600412, prec@30 0.590123 
Epoch 148, train_loss 0.001244, train_ic 0.036034, train_icir 0.380653, train_ric 0.047870, train_ricir 0.399970, valid_loss 0.0013401583 , valid_ic 0.000035, valid_icir 0.000803, valid_ric 0.013434, valid_ricir 0.157976, test_loss 0.002420, ic -0.006574, icir -0.145227, ric 0.008423, ricir 0.083141, prec@10 0.597942, prec@30 0.588752 
Early stopping -----
Epoch 149, train_loss 0.001205, train_ic 0.034576, train_icir 0.341438, train_ric 0.030502, train_ricir 0.241261, valid_loss 0.0013006806 , valid_ic -0.002718, valid_icir -0.053936, valid_ric 0.003588, valid_ricir 0.040002, test_loss 0.002449, ic -0.009815, icir -0.195886, ric 0.001149, ricir 0.009901, prec@10 0.641152, prec@30 0.594376 
Epoch 150, train_loss 0.001224, train_ic 0.036699, train_icir 0.361703, train_ric 0.043370, train_ricir 0.343430, valid_loss 0.0010766003 , valid_ic 0.001215, valid_icir 0.023182, valid_ric 0.011467, valid_ricir 0.120390, test_loss 0.002197, ic -0.007456, icir -0.139480, ric 0.004628, ricir 0.038691, prec@10 0.608642, prec@30 0.583539 
Epoch 151, train_loss 0.001251, train_ic 0.053846, train_icir 0.640211, train_ric 0.010126, train_ricir 0.096573, valid_loss 0.0010506283 , valid_ic 0.011929, valid_icir 0.332420, valid_ric -0.014799, valid_ricir -0.241315, test_loss 0.002122, ic 0.003811, icir 0.105167, ric -0.003901, ricir -0.062214, prec@10 0.581481, prec@30 0.563923 
Epoch 152, train_loss 0.001236, train_ic 0.053032, train_icir 0.456166, train_ric 0.025395, train_ricir 0.181905, valid_loss 0.0011118779 , valid_ic 0.009687, valid_icir 0.156039, valid_ric -0.002412, valid_ricir -0.023740, test_loss 0.002185, ic -0.000506, icir -0.009104, ric 0.002632, ricir 0.020045, prec@10 0.641975, prec@30 0.606722 
Epoch 153, train_loss 0.001220, train_ic 0.056865, train_icir 0.604999, train_ric 0.022546, train_ricir 0.182297, valid_loss 0.0011084336 , valid_ic 0.012929, valid_icir 0.357789, valid_ric -0.005146, valid_ricir -0.070105, test_loss 0.002149, ic 0.004683, icir 0.132988, ric 0.000799, ricir 0.008366, prec@10 0.577778, prec@30 0.548560 
Epoch 154, train_loss 0.001206, train_ic 0.018266, train_icir 0.194028, train_ric 0.045702, train_ricir 0.399052, valid_loss 0.0010408903 , valid_ic 0.000464, valid_icir 0.010924, valid_ric 0.024600, valid_ricir 0.316352, test_loss 0.002119, ic -0.008833, icir -0.180729, ric 0.007795, ricir 0.084777, prec@10 0.481893, prec@30 0.476680 
Epoch 155, train_loss 0.001228, train_ic 0.049966, train_icir 0.628688, train_ric 0.048870, train_ricir 0.477397, valid_loss 0.0010812579 , valid_ic 0.010723, valid_icir 0.401619, valid_ric 0.021177, valid_ricir 0.399313, test_loss 0.002127, ic 0.003315, icir 0.107406, ric 0.021144, ricir 0.274134, prec@10 0.540329, prec@30 0.535940 
Epoch 156, train_loss 0.001192, train_ic 0.054387, train_icir 0.614694, train_ric 0.052548, train_ricir 0.467246, valid_loss 0.0010081946 , valid_ic 0.013267, valid_icir 0.388312, valid_ric 0.015678, valid_ricir 0.248587, test_loss 0.002089, ic 0.005134, icir 0.157153, ric 0.015534, ricir 0.188165, prec@10 0.541564, prec@30 0.533059 
Epoch 157, train_loss 0.001251, train_ic 0.036330, train_icir 0.322285, train_ric 0.051850, train_ricir 0.392851, valid_loss 0.0015531092 , valid_ic 0.001386, valid_icir 0.021166, valid_ric 0.016176, valid_ricir 0.158158, test_loss 0.002597, ic -0.008689, icir -0.140544, ric 0.009962, ricir 0.083322, prec@10 0.596296, prec@30 0.580796 
Epoch 158, train_loss 0.001217, train_ic 0.041721, train_icir 0.394865, train_ric 0.042962, train_ricir 0.336153, valid_loss 0.0013360186 , valid_ic 0.002643, valid_icir 0.042520, valid_ric 0.010066, valid_ricir 0.103523, test_loss 0.002412, ic -0.008944, icir -0.156999, ric 0.007256, ricir 0.062063, prec@10 0.635802, prec@30 0.593827 
Epoch 159, train_loss 0.001227, train_ic 0.053960, train_icir 0.502242, train_ric 0.048395, train_ricir 0.377237, valid_loss 0.0010603209 , valid_ic 0.015267, valid_icir 0.272409, valid_ric 0.012564, valid_ricir 0.132083, test_loss 0.002085, ic 0.003611, icir 0.068911, ric 0.017003, ricir 0.150824, prec@10 0.545267, prec@30 0.539232 
Epoch 160, train_loss 0.001212, train_ic 0.050964, train_icir 0.576447, train_ric 0.042131, train_ricir 0.368459, valid_loss 0.0012156973 , valid_ic 0.015140, valid_icir 0.452309, valid_ric 0.015056, valid_ricir 0.222753, test_loss 0.002267, ic 0.004153, icir 0.121765, ric 0.019574, ricir 0.260976, prec@10 0.532099, prec@30 0.530453 
Epoch 161, train_loss 0.001207, train_ic 0.043152, train_icir 0.349820, train_ric 0.025724, train_ricir 0.175359, valid_loss 0.0014590834 , valid_ic 0.002081, valid_icir 0.030495, valid_ric -0.002882, valid_ricir -0.027134, test_loss 0.002569, ic -0.006457, icir -0.096594, ric 0.000283, ricir 0.001948, prec@10 0.653086, prec@30 0.599177 
Epoch 162, train_loss 0.001210, train_ic 0.046368, train_icir 0.539739, train_ric 0.052081, train_ricir 0.481414, valid_loss 0.0009864119 , valid_ic 0.010552, valid_icir 0.289566, valid_ric 0.024687, valid_ricir 0.322066, test_loss 0.001994, ic -0.000182, icir -0.005005, ric 0.018666, ricir 0.234296, prec@10 0.548148, prec@30 0.528395 
Epoch 163, train_loss 0.001240, train_ic 0.035950, train_icir 0.329243, train_ric 0.042858, train_ricir 0.329989, valid_loss 0.0012136730 , valid_ic 0.003667, valid_icir 0.057687, valid_ric 0.012180, valid_ricir 0.124487, test_loss 0.002307, ic -0.008441, icir -0.137576, ric 0.006892, ricir 0.057335, prec@10 0.545679, prec@30 0.569136 
Epoch 164, train_loss 0.001249, train_ic 0.053948, train_icir 0.520482, train_ric 0.037980, train_ricir 0.309403, valid_loss 0.0010174528 , valid_ic 0.011816, valid_icir 0.226900, valid_ric 0.001592, valid_ricir 0.017568, test_loss 0.002032, ic 0.001289, icir 0.027310, ric 0.005586, ricir 0.049910, prec@10 0.574074, prec@30 0.566667 
Epoch 165, train_loss 0.001199, train_ic 0.044824, train_icir 0.448090, train_ric 0.064779, train_ricir 0.503845, valid_loss 0.0010722459 , valid_ic 0.012805, valid_icir 0.335985, valid_ric 0.036523, valid_ricir 0.422137, test_loss 0.002061, ic 0.000866, icir 0.023124, ric 0.023920, ricir 0.237418, prec@10 0.520576, prec@30 0.521262 
Epoch 166, train_loss 0.001216, train_ic 0.044471, train_icir 0.432494, train_ric 0.050826, train_ricir 0.414995, valid_loss 0.0010331307 , valid_ic 0.002922, valid_icir 0.055004, valid_ric 0.010484, valid_ricir 0.114370, test_loss 0.002032, ic -0.005599, icir -0.113790, ric 0.007484, ricir 0.068415, prec@10 0.519342, prec@30 0.559534 
Epoch 167, train_loss 0.001209, train_ic 0.053628, train_icir 0.625230, train_ric 0.028353, train_ricir 0.285577, valid_loss 0.0011026769 , valid_ic 0.017915, valid_icir 0.486480, valid_ric 0.002897, valid_ricir 0.061872, test_loss 0.002133, ic 0.011413, icir 0.319528, ric 0.013690, ricir 0.257672, prec@10 0.547325, prec@30 0.547051 
Epoch 168, train_loss 0.001217, train_ic 0.059291, train_icir 0.631756, train_ric 0.044286, train_ricir 0.393935, valid_loss 0.0010163989 , valid_ic 0.012726, valid_icir 0.275154, valid_ric 0.011759, valid_ricir 0.150459, test_loss 0.002022, ic 0.001003, icir 0.022582, ric 0.016425, ricir 0.186609, prec@10 0.636214, prec@30 0.594787 
Epoch 169, train_loss 0.001197, train_ic 0.041986, train_icir 0.411006, train_ric 0.037750, train_ricir 0.299989, valid_loss 0.0010197812 , valid_ic 0.005034, valid_icir 0.098979, valid_ric 0.003399, valid_ricir 0.037072, test_loss 0.002008, ic -0.001790, icir -0.039954, ric 0.005253, ricir 0.047548, prec@10 0.577778, prec@30 0.553224 
Epoch 170, train_loss 0.001198, train_ic 0.035223, train_icir 0.343870, train_ric 0.064572, train_ricir 0.511806, valid_loss 0.0009922661 , valid_ic 0.004791, valid_icir 0.105517, valid_ric 0.035363, valid_ricir 0.378975, test_loss 0.001964, ic -0.004974, icir -0.107822, ric 0.021952, ricir 0.225125, prec@10 0.469136, prec@30 0.486557 
Epoch 171, train_loss 0.001186, train_ic 0.047822, train_icir 0.434906, train_ric 0.033362, train_ricir 0.253475, valid_loss 0.0011475137 , valid_ic 0.003719, valid_icir 0.064725, valid_ric 0.002126, valid_ricir 0.023283, test_loss 0.002200, ic -0.003813, icir -0.069174, ric 0.008919, ricir 0.074657, prec@10 0.648148, prec@30 0.596433 
Epoch 172, train_loss 0.001206, train_ic 0.039365, train_icir 0.413540, train_ric 0.038702, train_ricir 0.343119, valid_loss 0.0010231243 , valid_ic 0.008477, valid_icir 0.192814, valid_ric 0.010908, valid_ricir 0.129843, test_loss 0.002005, ic -0.002501, icir -0.056320, ric 0.007864, ricir 0.075261, prec@10 0.559259, prec@30 0.543210 
Epoch 173, train_loss 0.001210, train_ic 0.047958, train_icir 0.539584, train_ric 0.027755, train_ricir 0.266101, valid_loss 0.0010374770 , valid_ic 0.008162, valid_icir 0.189855, valid_ric -0.001490, valid_ricir -0.021937, test_loss 0.002016, ic 0.001318, icir 0.038615, ric 0.002435, ricir 0.033067, prec@10 0.577778, prec@30 0.558848 
Epoch 174, train_loss 0.001193, train_ic 0.028925, train_icir 0.318670, train_ric 0.031778, train_ricir 0.298489, valid_loss 0.0014469861 , valid_ic 0.004470, valid_icir 0.134245, valid_ric 0.012114, valid_ricir 0.200240, test_loss 0.002379, ic -0.000510, icir -0.016438, ric 0.006331, ricir 0.079709, prec@10 0.536214, prec@30 0.515364 
Epoch 175, train_loss 0.001224, train_ic 0.045188, train_icir 0.516361, train_ric 0.050845, train_ricir 0.489417, valid_loss 0.0014018138 , valid_ic 0.010827, valid_icir 0.321003, valid_ric 0.028409, valid_ricir 0.409126, test_loss 0.002325, ic -0.000444, icir -0.012996, ric 0.019046, ricir 0.242174, prec@10 0.531276, prec@30 0.518930 
Epoch 176, train_loss 0.001224, train_ic 0.044427, train_icir 0.480222, train_ric 0.042797, train_ricir 0.380095, valid_loss 0.0010979545 , valid_ic 0.009119, valid_icir 0.188395, valid_ric 0.016448, valid_ricir 0.187992, test_loss 0.002054, ic -0.002676, icir -0.060007, ric 0.012641, ricir 0.125192, prec@10 0.601235, prec@30 0.586557 
Epoch 177, train_loss 0.001206, train_ic 0.038618, train_icir 0.442267, train_ric 0.041616, train_ricir 0.362214, valid_loss 0.0010211352 , valid_ic 0.008836, valid_icir 0.287147, valid_ric 0.023452, valid_ricir 0.296264, test_loss 0.001973, ic 0.002201, icir 0.074299, ric 0.016407, ricir 0.155655, prec@10 0.520988, prec@30 0.525789 
Epoch 178, train_loss 0.001187, train_ic 0.046377, train_icir 0.543952, train_ric 0.053540, train_ricir 0.513984, valid_loss 0.0010522304 , valid_ic 0.008458, valid_icir 0.275538, valid_ric 0.019501, valid_ricir 0.341382, test_loss 0.002009, ic 0.000326, icir 0.009359, ric 0.011811, ricir 0.183193, prec@10 0.530041, prec@30 0.518656 
Epoch 179, train_loss 0.001209, train_ic 0.035541, train_icir 0.362302, train_ric 0.039903, train_ricir 0.336053, valid_loss 0.0011134303 , valid_ic -0.001604, valid_icir -0.030877, valid_ric 0.008596, valid_ricir 0.106969, test_loss 0.002102, ic -0.010014, icir -0.207344, ric 0.003596, ricir 0.037321, prec@10 0.634568, prec@30 0.594102 
Epoch 180, train_loss 0.001198, train_ic 0.050308, train_icir 0.480042, train_ric 0.051437, train_ricir 0.405814, valid_loss 0.0010835174 , valid_ic 0.009506, valid_icir 0.197250, valid_ric 0.013529, valid_ricir 0.148281, test_loss 0.002032, ic -0.000972, icir -0.022253, ric 0.010684, ricir 0.099489, prec@10 0.529218, prec@30 0.519067 
Epoch 181, train_loss 0.001185, train_ic 0.054619, train_icir 0.585899, train_ric 0.036882, train_ricir 0.328583, valid_loss 0.0010173457 , valid_ic 0.015776, valid_icir 0.393034, valid_ric 0.009257, valid_ricir 0.126074, test_loss 0.001960, ic 0.004243, icir 0.114833, ric 0.011566, ricir 0.140316, prec@10 0.579012, prec@30 0.550206 
Epoch 182, train_loss 0.001179, train_ic 0.048457, train_icir 0.539411, train_ric 0.019466, train_ricir 0.177261, valid_loss 0.0014173644 , valid_ic 0.010756, valid_icir 0.286210, valid_ric -0.008717, valid_ricir -0.145739, test_loss 0.002364, ic 0.004638, icir 0.138171, ric -0.001476, ricir -0.020848, prec@10 0.547325, prec@30 0.537586 
Epoch 183, train_loss 0.001196, train_ic 0.050032, train_icir 0.459092, train_ric 0.048204, train_ricir 0.384760, valid_loss 0.0010487486 , valid_ic 0.007647, valid_icir 0.137878, valid_ric 0.010790, valid_ricir 0.116092, test_loss 0.002028, ic -0.004262, icir -0.075776, ric 0.009366, ricir 0.076623, prec@10 0.655967, prec@30 0.601372 
Epoch 184, train_loss 0.001182, train_ic 0.048332, train_icir 0.494030, train_ric 0.061829, train_ricir 0.537579, valid_loss 0.0009953731 , valid_ic 0.007881, valid_icir 0.172720, valid_ric 0.027746, valid_ricir 0.346310, test_loss 0.001949, ic -0.005471, icir -0.121666, ric 0.015621, ricir 0.170390, prec@10 0.628807, prec@30 0.591084 
Epoch 185, train_loss 0.001202, train_ic 0.039159, train_icir 0.345499, train_ric 0.034772, train_ricir 0.266368, valid_loss 0.0011185564 , valid_ic -0.000721, valid_icir -0.010873, valid_ric 0.000265, valid_ricir 0.002725, test_loss 0.002079, ic -0.008752, icir -0.135673, ric -0.003468, ricir -0.026961, prec@10 0.637860, prec@30 0.595610 
Epoch 186, train_loss 0.001396, train_ic 0.044387, train_icir 0.510323, train_ric 0.059809, train_ricir 0.570214, valid_loss 0.0009703029 , valid_ic 0.013060, valid_icir 0.335911, valid_ric 0.031420, valid_ricir 0.424868, test_loss 0.001897, ic 0.000198, icir 0.004819, ric 0.022211, ricir 0.273774, prec@10 0.539095, prec@30 0.531962 
Epoch 187, train_loss 0.001183, train_ic 0.049815, train_icir 0.418186, train_ric 0.020738, train_ricir 0.146891, valid_loss 0.0011435665 , valid_ic 0.011850, valid_icir 0.201602, valid_ric -0.010639, valid_ricir -0.109284, test_loss 0.002126, ic 0.003743, icir 0.065391, ric -0.002628, ricir -0.019639, prec@10 0.588889, prec@30 0.545953 
Epoch 188, train_loss 0.001191, train_ic 0.047116, train_icir 0.587333, train_ric 0.036043, train_ricir 0.365137, valid_loss 0.0009732412 , valid_ic 0.008409, valid_icir 0.273414, valid_ric 0.002076, valid_ricir 0.040935, test_loss 0.001895, ic 0.004788, icir 0.179774, ric 0.010619, ricir 0.181945, prec@10 0.542387, prec@30 0.539232 
Epoch 189, train_loss 0.001200, train_ic 0.041257, train_icir 0.429635, train_ric 0.037006, train_ricir 0.294958, valid_loss 0.0011150412 , valid_ic 0.009044, valid_icir 0.252203, valid_ric 0.010439, valid_ricir 0.135490, test_loss 0.002017, ic 0.002364, icir 0.071430, ric 0.005674, ricir 0.056072, prec@10 0.543210, prec@30 0.526337 
Epoch 190, train_loss 0.001184, train_ic 0.056961, train_icir 0.660827, train_ric 0.034161, train_ricir 0.339178, valid_loss 0.0010791962 , valid_ic 0.014186, valid_icir 0.401980, valid_ric -0.000987, valid_ricir -0.018667, test_loss 0.001983, ic 0.007690, icir 0.230452, ric 0.008055, ricir 0.134368, prec@10 0.552263, prec@30 0.538683 
Epoch 191, train_loss 0.001191, train_ic 0.056239, train_icir 0.650285, train_ric 0.060723, train_ricir 0.588575, valid_loss 0.0011319668 , valid_ic 0.012185, valid_icir 0.357614, valid_ric 0.026108, valid_ricir 0.389222, test_loss 0.002002, ic 0.000245, icir 0.007322, ric 0.017563, ricir 0.240322, prec@10 0.553498, prec@30 0.533882 
Epoch 192, train_loss 0.001174, train_ic 0.056452, train_icir 0.599057, train_ric 0.022901, train_ricir 0.203169, valid_loss 0.0009665282 , valid_ic 0.013081, valid_icir 0.363985, valid_ric -0.005284, valid_ricir -0.076546, test_loss 0.001852, ic 0.007350, icir 0.232575, ric 0.002746, ricir 0.032973, prec@10 0.573663, prec@30 0.542798 
Epoch 193, train_loss 0.001184, train_ic 0.048682, train_icir 0.467333, train_ric 0.044766, train_ricir 0.372243, valid_loss 0.0010951753 , valid_ic -0.000003, valid_icir -0.000048, valid_ric 0.004045, valid_ricir 0.045245, test_loss 0.002071, ic -0.007862, icir -0.138088, ric 0.002832, ricir 0.025831, prec@10 0.634568, prec@30 0.592730 
Epoch 194, train_loss 0.001207, train_ic 0.041562, train_icir 0.432477, train_ric 0.025889, train_ricir 0.215837, valid_loss 0.0011963313 , valid_ic 0.012006, valid_icir 0.333888, valid_ric 0.009863, valid_ricir 0.118398, test_loss 0.002065, ic 0.006842, icir 0.214949, ric 0.012186, ricir 0.106860, prec@10 0.540741, prec@30 0.531962 
Epoch 195, train_loss 0.001177, train_ic 0.035340, train_icir 0.321984, train_ric 0.044241, train_ricir 0.339815, valid_loss 0.0010686833 , valid_ic 0.000718, valid_icir 0.011383, valid_ric 0.011980, valid_ricir 0.117864, test_loss 0.002036, ic -0.010159, icir -0.159522, ric 0.004772, ricir 0.036252, prec@10 0.644033, prec@30 0.597531 
Epoch 196, train_loss 0.001190, train_ic 0.047993, train_icir 0.449531, train_ric 0.045646, train_ricir 0.369446, valid_loss 0.0011273536 , valid_ic 0.006319, valid_icir 0.114778, valid_ric 0.014571, valid_ricir 0.164188, test_loss 0.002008, ic -0.004164, icir -0.078391, ric 0.010317, ricir 0.096286, prec@10 0.516461, prec@30 0.514129 
Epoch 197, train_loss 0.001183, train_ic 0.056507, train_icir 0.633214, train_ric 0.025324, train_ricir 0.251542, valid_loss 0.0009566980 , valid_ic 0.018922, valid_icir 0.610840, valid_ric 0.013037, valid_ricir 0.252912, test_loss 0.001843, ic 0.006117, icir 0.189121, ric 0.011948, ricir 0.203235, prec@10 0.576543, prec@30 0.547599 
Epoch 198, train_loss 0.001194, train_ic 0.045271, train_icir 0.449088, train_ric 0.037193, train_ricir 0.312097, valid_loss 0.0011665977 , valid_ic 0.004183, valid_icir 0.080154, valid_ric -0.001811, valid_ricir -0.021730, test_loss 0.002048, ic -0.000860, icir -0.019605, ric -0.001195, ricir -0.012416, prec@10 0.542387, prec@30 0.523868 
Epoch 199, train_loss 0.001180, train_ic 0.054411, train_icir 0.502995, train_ric 0.027806, train_ricir 0.215933, valid_loss 0.0010325217 , valid_ic 0.006189, valid_icir 0.113245, valid_ric -0.008819, valid_ricir -0.099070, test_loss 0.001929, ic -0.000129, icir -0.002713, ric -0.001529, ricir -0.013626, prec@10 0.640741, prec@30 0.611385 
Epoch 200, train_loss 0.001172, train_ic 0.053420, train_icir 0.450783, train_ric 0.033887, train_ricir 0.246441, valid_loss 0.0012074591 , valid_ic 0.006590, valid_icir 0.097897, valid_ric -0.002477, valid_ricir -0.024276, test_loss 0.002121, ic -0.003196, icir -0.052150, ric -0.001014, ricir -0.007708, prec@10 0.640741, prec@30 0.603704 
Best valid loss: 0
Best valid loss epoch: 197
Model saved to:  ../saved_models/GRU/GRU-CSI-2026-04-06-12-20-37
------- Test -----
{'IC': np.float64(-0.0031959633107342495), 'ICIR': np.float64(-0.05214957861504805), 'RIC': np.float64(-0.0010141207043566963), 'RICIR': np.float64(-0.007707506414459774), 'Prec@10': np.float64(0.6407407407407407), 'Prec@30': np.float64(0.6037037037037036), 'MAE': np.float32(0.032427393), 'MAPE': np.float32(337.63785), 'RMSE': np.float32(0.053878468), 'ACC': np.float64(0.28724701292367716)}
