Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- GRU ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2019,
        "test_year": 2020,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 86, train_loss 0.001315, train_ic 0.024123, train_icir 0.353926, train_ric 0.032326, train_ricir 0.303436, train_mae 0.067340, train_rmse 0.075013, train_mape 96.490227, train_acc 0.737334, valid_loss 0.0013860109, valid_ic 0.000506, valid_icir 0.017290, valid_ric 0.012831, valid_ricir 0.199266, valid_mae 0.022826, valid_rmse 0.038777, valid_mape 347.550842, valid_acc 0.348024, test_loss 0.002926, ic -0.003680, icir -0.097842, ric 0.002474, ricir 0.035559, prec@10 0.541152, prec@30 0.525652, test_mae 0.034494, test_rmse 0.066047, test_mape 361.673889, test_acc 0.196781
Epoch 87, train_loss 0.001344, train_ic 0.032191, train_icir 0.308242, train_ric 0.019398, train_ricir 0.140499, train_mae 0.014291, train_rmse 0.023204, train_mape 244.188263, train_acc 0.430985, valid_loss 0.0012563278, valid_ic 0.000319, valid_icir 0.006137, valid_ric -0.003240, valid_ricir -0.031590, valid_mae 0.016559, valid_rmse 0.034688, valid_mape 202.258118, valid_acc 0.545940, test_loss 0.002803, ic -0.007234, icir -0.131098, ric -0.004494, ricir -0.032310, prec@10 0.660082, prec@30 0.605761, test_mae 0.026574, test_rmse 0.062580, test_mape 260.430634, test_acc 0.535967
Epoch 88, train_loss 0.001336, train_ic 0.028742, train_icir 0.255837, train_ric 0.022274, train_ricir 0.158690, train_mae 0.033672, train_rmse 0.043996, train_mape 203.577072, train_acc 0.527580, valid_loss 0.0014746073, valid_ic -0.001331, valid_icir -0.019959, valid_ric 0.002022, valid_ricir 0.019175, valid_mae 0.021367, valid_rmse 0.037956, valid_mape 329.741058, valid_acc 0.491453, test_loss 0.003048, ic -0.009360, icir -0.141014, ric 0.001213, ricir 0.008798, prec@10 0.630864, prec@30 0.591495, test_mae 0.031762, test_rmse 0.064872, test_mape 346.577759, test_acc 0.415021
Epoch 89, train_loss 0.001317, train_ic 0.039778, train_icir 0.565347, train_ric 0.028884, train_ricir 0.314589, train_mae 0.014887, train_rmse 0.021802, train_mape 206.516357, train_acc 0.758008, valid_loss 0.0014637692, valid_ic 0.004242, valid_icir 0.155263, valid_ric 0.000851, valid_ricir 0.016972, valid_mae 0.024666, valid_rmse 0.039501, valid_mape 396.704346, valid_acc 0.351763, test_loss 0.002920, ic -0.000452, icir -0.014479, ric 0.006488, ricir 0.118544, prec@10 0.526749, prec@30 0.525652, test_mae 0.035806, test_rmse 0.066035, test_mape 385.360565, test_acc 0.210924
Epoch 90, train_loss 0.001334, train_ic 0.031631, train_icir 0.387143, train_ric 0.014181, train_ricir 0.137089, train_mae 0.015524, train_rmse 0.026026, train_mape 246.327179, train_acc 0.474306, valid_loss 0.0012507370, valid_ic 0.005079, valid_icir 0.141866, valid_ric 0.002813, valid_ricir 0.040122, valid_mae 0.018028, valid_rmse 0.035479, valid_mape 237.519836, valid_acc 0.421474, test_loss 0.002728, ic -0.001857, icir -0.051485, ric 0.002948, ricir 0.037530, prec@10 0.569136, prec@30 0.542524, test_mae 0.029487, test_rmse 0.063193, test_mape 279.641418, test_acc 0.334553
Epoch 91, train_loss 0.001351, train_ic 0.018770, train_icir 0.217638, train_ric 0.044103, train_ricir 0.358331, train_mae 0.019281, train_rmse 0.030008, train_mape 144.854385, train_acc 0.506279, valid_loss 0.0012261356, valid_ic -0.003360, valid_icir -0.084835, valid_ric 0.022579, valid_ricir 0.264185, valid_mae 0.017043, valid_rmse 0.034999, valid_mape 210.022522, valid_acc 0.430288, test_loss 0.002706, ic -0.009812, icir -0.228096, ric 0.007515, ricir 0.080075, prec@10 0.557202, prec@30 0.577366, test_mae 0.027866, test_rmse 0.062362, test_mape 254.338867, test_acc 0.339429
Epoch 92, train_loss 0.001328, train_ic 0.018884, train_icir 0.206116, train_ric 0.043677, train_ricir 0.350210, train_mae 0.013460, train_rmse 0.020603, train_mape 170.281662, train_acc 0.612172, valid_loss 0.0012367764, valid_ic -0.001337, valid_icir -0.030380, valid_ric 0.018196, valid_ricir 0.210255, valid_mae 0.016718, valid_rmse 0.034929, valid_mape 199.572006, valid_acc 0.426816, test_loss 0.002720, ic -0.008139, icir -0.174746, ric 0.011244, ricir 0.114444, prec@10 0.629630, prec@30 0.592867, test_mae 0.027658, test_rmse 0.062176, test_mape 254.070999, test_acc 0.323580
Epoch 93, train_loss 0.001378, train_ic 0.025682, train_icir 0.376174, train_ric 0.023071, train_ricir 0.245166, train_mae 0.015644, train_rmse 0.021887, train_mape 327.341858, train_acc 0.518569, valid_loss 0.0013916587, valid_ic 0.003645, valid_icir 0.133569, valid_ric 0.007327, valid_ricir 0.128153, valid_mae 0.022651, valid_rmse 0.038366, valid_mape 329.384033, valid_acc 0.350160, test_loss 0.002903, ic -0.000835, icir -0.023723, ric 0.004154, ricir 0.063537, prec@10 0.541152, prec@30 0.525103, test_mae 0.034688, test_rmse 0.065061, test_mape 363.675293, test_acc 0.205560
Epoch 94, train_loss 0.001337, train_ic 0.017896, train_icir 0.190268, train_ric 0.050144, train_ricir 0.412719, train_mae 0.036054, train_rmse 0.042581, train_mape 174.504501, train_acc 0.204836, valid_loss 0.0014457753, valid_ic -0.005306, valid_icir -0.130827, valid_ric 0.024504, valid_ricir 0.298518, valid_mae 0.023637, valid_rmse 0.039074, valid_mape 378.173981, valid_acc 0.359509, test_loss 0.002880, ic -0.010670, icir -0.234664, ric 0.009952, ricir 0.105103, prec@10 0.587243, prec@30 0.573937, test_mae 0.034140, test_rmse 0.064847, test_mape 356.214417, test_acc 0.217996
Epoch 95, train_loss 0.001308, train_ic 0.023172, train_icir 0.250834, train_ric 0.003172, train_ricir 0.026577, train_mae 0.016324, train_rmse 0.023178, train_mape 169.153336, train_acc 0.557826, valid_loss 0.0015912902, valid_ic 0.012213, valid_icir 0.242253, valid_ric 0.000827, valid_ricir 0.009370, valid_mae 0.020379, valid_rmse 0.039968, valid_mape 299.935089, valid_acc 0.500801, test_loss 0.003330, ic 0.011101, icir 0.240404, ric 0.005787, ricir 0.055463, prec@10 0.549383, prec@30 0.530453, test_mae 0.026731, test_rmse 0.062620, test_mape 289.147461, test_acc 0.623019
Epoch 96, train_loss 0.001319, train_ic 0.024547, train_icir 0.262301, train_ric -0.011848, train_ricir -0.098528, train_mae 0.056763, train_rmse 0.066706, train_mape 121.439125, train_acc 0.663012, valid_loss 0.0011928954, valid_ic 0.001965, valid_icir 0.048652, valid_ric -0.019925, valid_ricir -0.234336, valid_mae 0.016333, valid_rmse 0.033518, valid_mape 202.540634, valid_acc 0.426282, test_loss 0.002642, ic 0.000244, icir 0.006131, ric -0.013103, ricir -0.147602, prec@10 0.564609, prec@30 0.525789, test_mae 0.025663, test_rmse 0.060358, test_mape 243.100281, test_acc 0.422824
Epoch 97, train_loss 0.001319, train_ic 0.031039, train_icir 0.281132, train_ric 0.019113, train_ricir 0.135348, train_mae 0.018094, train_rmse 0.025181, train_mape 348.049500, train_acc 0.591468, valid_loss 0.0014429594, valid_ic -0.002487, valid_icir -0.041538, valid_ric -0.007737, valid_ricir -0.075086, valid_mae 0.024020, valid_rmse 0.038974, valid_mape 396.988068, valid_acc 0.396368, test_loss 0.002908, ic -0.008380, icir -0.140633, ric -0.005022, ricir -0.035794, prec@10 0.639095, prec@30 0.597119, test_mae 0.037458, test_rmse 0.066461, test_mape 415.666138, test_acc 0.232870
Epoch 98, train_loss 0.001326, train_ic 0.040042, train_icir 0.485029, train_ric 0.033875, train_ricir 0.333519, train_mae 0.020521, train_rmse 0.028690, train_mape 222.878021, train_acc 0.806997, valid_loss 0.0017520694, valid_ic 0.004031, valid_icir 0.103007, valid_ric 0.005016, valid_ricir 0.080443, valid_mae 0.029873, valid_rmse 0.043041, valid_mape 521.166382, valid_acc 0.349359, test_loss 0.003176, ic -0.003600, icir -0.077143, ric 0.006420, ricir 0.079165, prec@10 0.587654, prec@30 0.593141, test_mae 0.042674, test_rmse 0.069193, test_mape 481.185669, test_acc 0.195074
Epoch 99, train_loss 0.001345, train_ic 0.022590, train_icir 0.324897, train_ric 0.011673, train_ricir 0.123526, train_mae 0.019046, train_rmse 0.030169, train_mape 178.199173, train_acc 0.346078, valid_loss 0.0011661122, valid_ic -0.002217, valid_icir -0.072467, valid_ric 0.000627, valid_ricir 0.011965, valid_mae 0.016480, valid_rmse 0.033782, valid_mape 187.609131, valid_acc 0.387821, test_loss 0.002578, ic -0.006533, icir -0.180935, ric -0.001037, ricir -0.016279, prec@10 0.581893, prec@30 0.577366, test_mae 0.027966, test_rmse 0.061009, test_mape 259.175476, test_acc 0.261887
Epoch 100, train_loss 0.001325, train_ic 0.034676, train_icir 0.329210, train_ric 0.044030, train_ricir 0.335600, train_mae 0.027270, train_rmse 0.035789, train_mape 325.587952, train_acc 0.402560, valid_loss 0.0013687924, valid_ic 0.002684, valid_icir 0.046613, valid_ric 0.013175, valid_ricir 0.126428, valid_mae 0.022737, valid_rmse 0.038045, valid_mape 373.527863, valid_acc 0.385150, test_loss 0.002765, ic -0.006376, icir -0.114753, ric 0.008477, ricir 0.069139, prec@10 0.582716, prec@30 0.577778, test_mae 0.032674, test_rmse 0.063675, test_mape 337.124847, test_acc 0.266033
Epoch 101, train_loss 0.001282, train_ic 0.032288, train_icir 0.357800, train_ric 0.022526, train_ricir 0.197273, train_mae 0.018455, train_rmse 0.027473, train_mape 174.044983, train_acc 0.410117, valid_loss 0.0012354911, valid_ic -0.002022, valid_icir -0.043931, valid_ric -0.006057, valid_ricir -0.072753, valid_mae 0.018349, valid_rmse 0.034819, valid_mape 247.261810, valid_acc 0.408387, test_loss 0.002637, ic -0.006371, icir -0.129388, ric -0.005266, ricir -0.047022, prec@10 0.590535, prec@30 0.584362, test_mae 0.031659, test_rmse 0.062630, test_mape 315.397614, test_acc 0.252134
Epoch 102, train_loss 0.001303, train_ic 0.019133, train_icir 0.175913, train_ric 0.027350, train_ricir 0.201617, train_mae 0.023735, train_rmse 0.030433, train_mape 535.802917, train_acc 0.461957, valid_loss 0.0015122450, valid_ic -0.001134, valid_icir -0.019562, valid_ric 0.006947, valid_ricir 0.069197, valid_mae 0.025300, valid_rmse 0.039734, valid_mape 431.454132, valid_acc 0.366987, test_loss 0.002976, ic -0.010019, icir -0.169304, ric 0.000944, ricir 0.007212, prec@10 0.571193, prec@30 0.585871, test_mae 0.039333, test_rmse 0.067431, test_mape 459.378967, test_acc 0.214094
Epoch 103, train_loss 0.001291, train_ic 0.010090, train_icir 0.125763, train_ric 0.010944, train_ricir 0.103668, train_mae 0.017591, train_rmse 0.027225, train_mape 202.568268, train_acc 0.394661, valid_loss 0.0011934676, valid_ic -0.002128, valid_icir -0.071601, valid_ric 0.006816, valid_ricir 0.118362, valid_mae 0.016065, valid_rmse 0.032499, valid_mape 235.121155, valid_acc 0.596154, test_loss 0.002594, ic -0.007379, icir -0.198299, ric -0.004350, ricir -0.059700, prec@10 0.526337, prec@30 0.510974, test_mae 0.023153, test_rmse 0.058042, test_mape 235.475800, test_acc 0.621068
Epoch 104, train_loss 0.001265, train_ic 0.026033, train_icir 0.303611, train_ric 0.048642, train_ricir 0.427026, train_mae 0.018560, train_rmse 0.028244, train_mape 173.118881, train_acc 0.437162, valid_loss 0.0011676863, valid_ic 0.002048, valid_icir 0.050232, valid_ric 0.019109, valid_ricir 0.244834, valid_mae 0.016883, valid_rmse 0.033998, valid_mape 205.310486, valid_acc 0.449519, test_loss 0.002564, ic -0.005071, icir -0.105040, ric 0.010086, ricir 0.117371, prec@10 0.514403, prec@30 0.497531, test_mae 0.027477, test_rmse 0.060551, test_mape 254.123978, test_acc 0.358449
Epoch 105, train_loss 0.001301, train_ic 0.047156, train_icir 0.517451, train_ric 0.033317, train_ricir 0.279653, train_mae 0.014973, train_rmse 0.023460, train_mape 116.410782, train_acc 0.650344, valid_loss 0.0011312947, valid_ic 0.003930, valid_icir 0.089918, valid_ric -0.004871, valid_ricir -0.054073, valid_mae 0.015288, valid_rmse 0.032312, valid_mape 171.134232, valid_acc 0.486378, test_loss 0.002477, ic -0.000560, icir -0.013077, ric 0.004950, ricir 0.047024, prec@10 0.545679, prec@30 0.537449, test_mae 0.024815, test_rmse 0.058642, test_mape 220.224121, test_acc 0.449403
Epoch 106, train_loss 0.001292, train_ic 0.046831, train_icir 0.601739, train_ric 0.031486, train_ricir 0.309433, train_mae 0.021968, train_rmse 0.031295, train_mape 167.524200, train_acc 0.301239, valid_loss 0.0011145895, valid_ic 0.007052, valid_icir 0.223050, valid_ric 0.002811, valid_ricir 0.053545, valid_mae 0.014450, valid_rmse 0.031392, valid_mape 174.357712, valid_acc 0.581998, test_loss 0.002454, ic -0.000626, icir -0.015903, ric 0.006365, ricir 0.097615, prec@10 0.572016, prec@30 0.549108, test_mae 0.021823, test_rmse 0.057313, test_mape 205.782059, test_acc 0.689100
Epoch 107, train_loss 0.001338, train_ic 0.034664, train_icir 0.375119, train_ric 0.046854, train_ricir 0.368850, train_mae 0.027206, train_rmse 0.039519, train_mape 141.035324, train_acc 0.349489, valid_loss 0.0011132401, valid_ic -0.000188, valid_icir -0.004525, valid_ric 0.013257, valid_ricir 0.136561, valid_mae 0.015153, valid_rmse 0.032366, valid_mape 160.598816, valid_acc 0.483173, test_loss 0.002468, ic -0.007123, icir -0.144298, ric 0.007097, ricir 0.055819, prec@10 0.565432, prec@30 0.582167, test_mae 0.025927, test_rmse 0.059223, test_mape 230.185516, test_acc 0.409656
Epoch 108, train_loss 0.001280, train_ic 0.038523, train_icir 0.468401, train_ric 0.038168, train_ricir 0.353198, train_mae 0.015236, train_rmse 0.023952, train_mape 267.879822, train_acc 0.541102, valid_loss 0.0012573985, valid_ic 0.001534, valid_icir 0.036208, valid_ric 0.004409, valid_ricir 0.055781, valid_mae 0.019489, valid_rmse 0.035505, valid_mape 275.389435, valid_acc 0.364316, test_loss 0.002629, ic -0.006441, icir -0.149401, ric 0.003045, ricir 0.033543, prec@10 0.644856, prec@30 0.593278, test_mae 0.032121, test_rmse 0.061975, test_mape 318.319427, test_acc 0.222141
Epoch 109, train_loss 0.001310, train_ic 0.035869, train_icir 0.344064, train_ric 0.052736, train_ricir 0.408268, train_mae 0.017719, train_rmse 0.025590, train_mape 334.761414, train_acc 0.494711, valid_loss 0.0013390117, valid_ic 0.000896, valid_icir 0.015770, valid_ric 0.020557, valid_ricir 0.197545, valid_mae 0.022612, valid_rmse 0.037513, valid_mape 366.794189, valid_acc 0.359776, test_loss 0.002682, ic -0.008130, icir -0.143862, ric 0.010105, ricir 0.081228, prec@10 0.490535, prec@30 0.524829, test_mae 0.032513, test_rmse 0.062442, test_mape 333.573822, test_acc 0.239454
Epoch 110, train_loss 0.001288, train_ic 0.032502, train_icir 0.295711, train_ric 0.032455, train_ricir 0.241379, train_mae 0.026295, train_rmse 0.033574, train_mape 149.353729, train_acc 0.458382, valid_loss 0.0012501124, valid_ic 0.003257, valid_icir 0.051418, valid_ric 0.009115, valid_ricir 0.087189, valid_mae 0.019713, valid_rmse 0.034939, valid_mape 297.827362, valid_acc 0.468750, test_loss 0.002581, ic -0.006721, icir -0.108139, ric 0.005755, ricir 0.043092, prec@10 0.589300, prec@30 0.586420, test_mae 0.029322, test_rmse 0.060336, test_mape 297.769440, test_acc 0.353816
Epoch 111, train_loss 0.001271, train_ic 0.044806, train_icir 0.642178, train_ric 0.026157, train_ricir 0.282184, train_mae 0.012818, train_rmse 0.024165, train_mape 121.405045, train_acc 0.590482, valid_loss 0.0010713520, valid_ic 0.006064, valid_icir 0.203016, valid_ric 0.007128, valid_ricir 0.128721, valid_mae 0.014260, valid_rmse 0.031219, valid_mape 133.593170, valid_acc 0.560630, test_loss 0.002373, ic -0.001811, icir -0.048340, ric 0.008929, ricir 0.138861, prec@10 0.565432, prec@30 0.540466, test_mae 0.022780, test_rmse 0.057056, test_mape 188.430801, test_acc 0.669105
Epoch 112, train_loss 0.001321, train_ic 0.026074, train_icir 0.317526, train_ric -0.002755, train_ricir -0.026129, train_mae 0.014522, train_rmse 0.022286, train_mape 231.154175, train_acc 0.602723, valid_loss 0.0012518913, valid_ic 0.009465, valid_icir 0.219106, valid_ric -0.011661, valid_ricir -0.156697, valid_mae 0.017866, valid_rmse 0.033247, valid_mape 284.976501, valid_acc 0.543002, test_loss 0.002599, ic 0.006143, icir 0.150269, ric -0.003237, ricir -0.038821, prec@10 0.573663, prec@30 0.538272, test_mae 0.023045, test_rmse 0.056847, test_mape 254.306625, test_acc 0.677396
Epoch 113, train_loss 0.001262, train_ic 0.035875, train_icir 0.508321, train_ric 0.025237, train_ricir 0.270867, train_mae 0.028993, train_rmse 0.190654, train_mape 176.687225, train_acc 0.595041, valid_loss 0.0014279838, valid_ic 0.007247, valid_icir 0.287746, valid_ric 0.013631, valid_ricir 0.257274, valid_mae 0.025077, valid_rmse 0.038313, valid_mape 395.752808, valid_acc 0.347222, test_loss 0.002750, ic 0.001088, icir 0.032465, ric 0.014374, ricir 0.212179, prec@10 0.532099, prec@30 0.531687, test_mae 0.036499, test_rmse 0.063292, test_mape 383.295044, test_acc 0.196294
Epoch 114, train_loss 0.001277, train_ic 0.047052, train_icir 0.582104, train_ric 0.038214, train_ricir 0.330271, train_mae 0.013193, train_rmse 0.021362, train_mape 187.078278, train_acc 0.388695, valid_loss 0.0010718555, valid_ic 0.007588, valid_icir 0.266184, valid_ric 0.015732, valid_ricir 0.242119, valid_mae 0.014808, valid_rmse 0.031435, valid_mape 145.777954, valid_acc 0.435897, test_loss 0.002349, ic 0.000157, icir 0.004627, ric 0.018755, ricir 0.223616, prec@10 0.562551, prec@30 0.547599, test_mae 0.023561, test_rmse 0.056851, test_mape 197.433136, test_acc 0.503536
Epoch 115, train_loss 0.001283, train_ic 0.020841, train_icir 0.182777, train_ric 0.027899, train_ricir 0.204646, train_mae 0.019217, train_rmse 0.026179, train_mape 224.804260, train_acc 0.499222, valid_loss 0.0012995347, valid_ic -0.000930, valid_icir -0.014865, valid_ric 0.007759, valid_ricir 0.078020, valid_mae 0.019110, valid_rmse 0.033704, valid_mape 273.590881, valid_acc 0.544605, test_loss 0.002637, ic -0.010156, icir -0.148502, ric 0.000124, ricir 0.000903, prec@10 0.634979, prec@30 0.605213, test_mae 0.029260, test_rmse 0.059563, test_mape 308.574463, test_acc 0.485248
Epoch 116, train_loss 0.001270, train_ic 0.028558, train_icir 0.291640, train_ric 0.048411, train_ricir 0.393595, train_mae 0.020743, train_rmse 0.031917, train_mape 1519.244751, train_acc 0.444855, valid_loss 0.0013126517, valid_ic 0.008955, valid_icir 0.218493, valid_ric 0.021515, valid_ricir 0.304876, valid_mae 0.017173, valid_rmse 0.034311, valid_mape 235.365433, valid_acc 0.545673, test_loss 0.002717, ic 0.004967, icir 0.120133, ric 0.017012, ricir 0.201160, prec@10 0.498765, prec@30 0.497805, test_mae 0.023895, test_rmse 0.057187, test_mape 265.822174, test_acc 0.670080
Epoch 117, train_loss 0.001273, train_ic 0.041761, train_icir 0.488895, train_ric 0.009927, train_ricir 0.086166, train_mae 0.014072, train_rmse 0.024136, train_mape 155.567459, train_acc 0.483748, valid_loss 0.0010839249, valid_ic 0.014288, valid_icir 0.458827, valid_ric 0.006736, valid_ricir 0.092413, valid_mae 0.015050, valid_rmse 0.031024, valid_mape 168.173904, valid_acc 0.540865, test_loss 0.002359, ic 0.006823, icir 0.227106, ric 0.013255, ricir 0.149851, prec@10 0.555144, prec@30 0.545542, test_mae 0.022089, test_rmse 0.055629, test_mape 203.552933, test_acc 0.683980
Epoch 118, train_loss 0.001292, train_ic 0.033572, train_icir 0.414831, train_ric 0.046661, train_ricir 0.433023, train_mae 0.016132, train_rmse 0.022545, train_mape 388.072479, train_acc 0.677419, valid_loss 0.0013501259, valid_ic 0.001161, valid_icir 0.030710, valid_ric 0.016227, valid_ricir 0.228936, valid_mae 0.019635, valid_rmse 0.032719, valid_mape 369.453735, valid_acc 0.590545, test_loss 0.002606, ic -0.004808, icir -0.107833, ric 0.013756, ricir 0.177383, prec@10 0.508642, prec@30 0.512894, test_mae 0.023253, test_rmse 0.055506, test_mape 322.362915, test_acc 0.722507
Epoch 119, train_loss 0.001291, train_ic 0.019267, train_icir 0.231674, train_ric 0.034766, train_ricir 0.315573, train_mae 0.029577, train_rmse 0.037747, train_mape 170.557358, train_acc 0.332148, valid_loss 0.0013363581, valid_ic 0.000221, valid_icir 0.005904, valid_ric 0.020254, valid_ricir 0.256455, valid_mae 0.019969, valid_rmse 0.032987, valid_mape 362.437103, valid_acc 0.597489, test_loss 0.002610, ic -0.007953, icir -0.191524, ric 0.008805, ricir 0.094470, prec@10 0.555967, prec@30 0.568313, test_mae 0.023081, test_rmse 0.055300, test_mape 303.622223, test_acc 0.744453
Epoch 120, train_loss 0.001253, train_ic 0.030282, train_icir 0.327059, train_ric 0.024760, train_ricir 0.195063, train_mae 0.034151, train_rmse 0.041369, train_mape 115.799866, train_acc 0.805853, valid_loss 0.0011776287, valid_ic -0.004324, valid_icir -0.103148, valid_ric 0.000947, valid_ricir 0.011395, valid_mae 0.018682, valid_rmse 0.033835, valid_mape 254.657028, valid_acc 0.376068, test_loss 0.002467, ic -0.009736, icir -0.214557, ric -0.002266, ricir -0.020181, prec@10 0.612346, prec@30 0.593964, test_mae 0.031208, test_rmse 0.059851, test_mape 313.315094, test_acc 0.221897
Epoch 121, train_loss 0.001262, train_ic 0.037020, train_icir 0.408590, train_ric 0.024491, train_ricir 0.208981, train_mae 0.020922, train_rmse 0.031519, train_mape 18990.865234, train_acc 0.612830, valid_loss 0.0012931411, valid_ic 0.009607, valid_icir 0.271412, valid_ric 0.004828, valid_ricir 0.078100, valid_mae 0.019182, valid_rmse 0.032584, valid_mape 355.360199, valid_acc 0.591613, test_loss 0.002543, ic 0.001886, icir 0.043292, ric 0.008658, ricir 0.107173, prec@10 0.578189, prec@30 0.552401, test_mae 0.022830, test_rmse 0.055154, test_mape 280.706970, test_acc 0.704462
Epoch 122, train_loss 0.001276, train_ic 0.032754, train_icir 0.333917, train_ric 0.045565, train_ricir 0.367340, train_mae 0.012503, train_rmse 0.019440, train_mape 209.479813, train_acc 0.720282, valid_loss 0.0014131141, valid_ic -0.004641, valid_icir -0.080298, valid_ric 0.007871, valid_ricir 0.081189, valid_mae 0.019286, valid_rmse 0.034873, valid_mape 284.148468, valid_acc 0.583333, test_loss 0.002789, ic -0.012206, icir -0.221561, ric 0.003377, ricir 0.029445, prec@10 0.642387, prec@30 0.592730, test_mae 0.026072, test_rmse 0.057527, test_mape 282.526855, test_acc 0.674226
Epoch 123, train_loss 0.001269, train_ic 0.022214, train_icir 0.214073, train_ric 0.053013, train_ricir 0.405120, train_mae 0.024237, train_rmse 0.030683, train_mape 338.185150, train_acc 0.283291, valid_loss 0.0014183454, valid_ic -0.004901, valid_icir -0.086404, valid_ric 0.025917, valid_ricir 0.256498, valid_mae 0.020616, valid_rmse 0.033697, valid_mape 356.462524, valid_acc 0.594551, test_loss 0.002686, ic -0.012958, icir -0.216141, ric 0.011752, ricir 0.095473, prec@10 0.610700, prec@30 0.590809, test_mae 0.025349, test_rmse 0.056137, test_mape 316.616425, test_acc 0.714948
Epoch 124, train_loss 0.001257, train_ic 0.049581, train_icir 0.613501, train_ric 0.032933, train_ricir 0.312613, train_mae 0.013412, train_rmse 0.018787, train_mape 132.210724, train_acc 0.414135, valid_loss 0.0010530157, valid_ic 0.005149, valid_icir 0.160759, valid_ric -0.002280, valid_ricir -0.042112, valid_mae 0.014908, valid_rmse 0.030568, valid_mape 157.802231, valid_acc 0.506944, test_loss 0.002271, ic -0.000689, icir -0.019612, ric 0.003186, ricir 0.051293, prec@10 0.556790, prec@30 0.533333, test_mae 0.023896, test_rmse 0.055513, test_mape 205.018158, test_acc 0.507925
Epoch 125, train_loss 0.001245, train_ic 0.040923, train_icir 0.438815, train_ric 0.035433, train_ricir 0.291727, train_mae 0.019731, train_rmse 0.029743, train_mape 143.337875, train_acc 0.481156, valid_loss 0.0012089545, valid_ic 0.002180, valid_icir 0.044058, valid_ric 0.001183, valid_ricir 0.014446, valid_mae 0.017422, valid_rmse 0.032777, valid_mape 213.401627, valid_acc 0.494124, test_loss 0.002504, ic -0.005220, icir -0.122721, ric 0.006976, ricir 0.072253, prec@10 0.587654, prec@30 0.588752, test_mae 0.025934, test_rmse 0.056502, test_mape 253.187805, test_acc 0.539381
Epoch 126, train_loss 0.001261, train_ic 0.042856, train_icir 0.403265, train_ric 0.033699, train_ricir 0.252658, train_mae 0.010959, train_rmse 0.017185, train_mape 193.404114, train_acc 0.512569, valid_loss 0.0011120236, valid_ic 0.006359, valid_icir 0.116344, valid_ric 0.009998, valid_ricir 0.099803, valid_mae 0.016087, valid_rmse 0.031603, valid_mape 197.196335, valid_acc 0.490652, test_loss 0.002365, ic -0.005560, icir -0.099302, ric 0.008068, ricir 0.060260, prec@10 0.613169, prec@30 0.587380, test_mae 0.025821, test_rmse 0.056720, test_mape 244.775986, test_acc 0.491831
Epoch 127, train_loss 0.001276, train_ic 0.042849, train_icir 0.432744, train_ric 0.028465, train_ricir 0.225708, train_mae 0.025906, train_rmse 0.033451, train_mape 4792.874023, train_acc 0.159535, valid_loss 0.0012642605, valid_ic 0.010540, valid_icir 0.250168, valid_ric 0.002552, valid_ricir 0.030904, valid_mae 0.022042, valid_rmse 0.035876, valid_mape 342.225586, valid_acc 0.347489, test_loss 0.002505, ic 0.002270, icir 0.055408, ric 0.006716, ricir 0.066135, prec@10 0.559671, prec@30 0.543621, test_mae 0.033805, test_rmse 0.060398, test_mape 352.342712, test_acc 0.201902
Epoch 128, train_loss 0.001265, train_ic 0.047989, train_icir 0.537492, train_ric 0.011508, train_ricir 0.102664, train_mae 0.012435, train_rmse 0.022379, train_mape 695.051331, train_acc 0.495982, valid_loss 0.0010469533, valid_ic 0.010234, valid_icir 0.239610, valid_ric -0.014920, valid_ricir -0.194093, valid_mae 0.014665, valid_rmse 0.030131, valid_mape 150.923798, valid_acc 0.506677, test_loss 0.002231, ic 0.002373, icir 0.060871, ric -0.003208, ricir -0.037703, prec@10 0.585597, prec@30 0.566667, test_mae 0.023207, test_rmse 0.054743, test_mape 207.208252, test_acc 0.579371
Epoch 129, train_loss 0.001247, train_ic 0.049031, train_icir 0.664768, train_ric 0.041591, train_ricir 0.450288, train_mae 0.067211, train_rmse 0.078645, train_mape 218.831757, train_acc 0.167086, valid_loss 0.0011549990, valid_ic 0.011110, valid_icir 0.400063, valid_ric 0.020348, valid_ricir 0.410578, valid_mae 0.019471, valid_rmse 0.033483, valid_mape 264.933746, valid_acc 0.350427, test_loss 0.002348, ic 0.001316, icir 0.040115, ric 0.015515, ricir 0.255532, prec@10 0.565432, prec@30 0.542524, test_mae 0.029620, test_rmse 0.057741, test_mape 287.137848, test_acc 0.210193
