Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- GRU ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2019,
        "test_year": 2020,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 22, train_loss 0.002044, train_ic 0.005933, train_icir 0.132613, train_ric -0.005433, train_ricir -0.057742, train_mae 0.014959, train_rmse 0.032935, train_mape 142.345215, train_acc 0.534074, valid_loss 0.0021042378, valid_ic -0.005396, valid_icir -0.174175, valid_ric -0.006760, valid_ricir -0.137774, valid_mae 0.018055, valid_rmse 0.050540, valid_mape 223.907013, valid_acc 0.421207, test_loss 0.005591, ic -0.008066, icir -0.157571, ric -0.005708, ricir -0.110199, prec@10 0.526337, prec@30 0.568724, test_mae 0.031918, test_rmse 0.090146, test_mape 295.571411, test_acc 0.434528
Epoch 23, train_loss 0.001932, train_ic 0.024591, train_icir 0.374674, train_ric 0.005214, train_ricir 0.040851, train_mae 0.017024, train_rmse 0.034565, train_mape 242.414612, train_acc 0.652676, valid_loss 0.0021057263, valid_ic -0.003564, valid_icir -0.100590, valid_ric -0.026087, valid_ricir -0.344918, valid_mae 0.017840, valid_rmse 0.049474, valid_mape 264.420471, valid_acc 0.590278, test_loss 0.005491, ic -0.005230, icir -0.099976, ric -0.007785, ricir -0.088713, prec@10 0.485597, prec@30 0.512346, test_mae 0.029768, test_rmse 0.088207, test_mape 319.559113, test_acc 0.667398
Epoch 24, train_loss 0.001918, train_ic 0.004606, train_icir 0.055019, train_ric 0.017974, train_ricir 0.130260, train_mae 0.022215, train_rmse 0.031429, train_mape 110.954239, train_acc 0.644737, valid_loss 0.0020987683, valid_ic -0.008920, valid_icir -0.188797, valid_ric 0.001072, valid_ricir 0.010439, valid_mae 0.018970, valid_rmse 0.049708, valid_mape 266.906586, valid_acc 0.528045, test_loss 0.005415, ic -0.012965, icir -0.203557, ric -0.006219, ricir -0.045075, prec@10 0.560494, prec@30 0.584636, test_mae 0.033644, test_rmse 0.088493, test_mape 344.677002, test_acc 0.466959
Epoch 25, train_loss 0.001871, train_ic 0.008187, train_icir 0.153066, train_ric 0.006541, train_ricir 0.060994, train_mae 0.021591, train_rmse 0.036321, train_mape 180.289642, train_acc 0.433671, valid_loss 0.0021053865, valid_ic -0.004613, valid_icir -0.149406, valid_ric -0.007967, valid_ricir -0.120267, valid_mae 0.021101, valid_rmse 0.050767, valid_mape 288.558502, valid_acc 0.348825, test_loss 0.005373, ic -0.005347, icir -0.111281, ric -0.002196, ricir -0.036476, prec@10 0.541152, prec@30 0.519479, test_mae 0.036997, test_rmse 0.088461, test_mape 359.282562, test_acc 0.210924
Epoch 26, train_loss 0.001875, train_ic 0.010492, train_icir 0.157066, train_ric 0.021813, train_ricir 0.181428, train_mae 0.024210, train_rmse 0.038073, train_mape 113.441040, train_acc 0.644026, valid_loss 0.0019481231, valid_ic -0.002827, valid_icir -0.075652, valid_ric 0.011063, valid_ricir 0.130075, valid_mae 0.017547, valid_rmse 0.048308, valid_mape 218.686264, valid_acc 0.445246, test_loss 0.005081, ic -0.007620, icir -0.141745, ric 0.003912, ricir 0.037422, prec@10 0.517695, prec@30 0.495748, test_mae 0.031177, test_rmse 0.086021, test_mape 287.551453, test_acc 0.491344
Epoch 27, train_loss 0.001901, train_ic 0.028062, train_icir 0.294016, train_ric 0.007119, train_ricir 0.050227, train_mae 0.018179, train_rmse 0.026946, train_mape 162.031204, train_acc 0.541940, valid_loss 0.0021030931, valid_ic -0.000707, valid_icir -0.014197, valid_ric -0.009914, valid_ricir -0.100397, valid_mae 0.021976, valid_rmse 0.049684, valid_mape 347.772125, valid_acc 0.440972, test_loss 0.005184, ic -0.004862, icir -0.083520, ric -0.002190, ricir -0.017667, prec@10 0.568313, prec@30 0.579561, test_mae 0.036524, test_rmse 0.086751, test_mape 376.357391, test_acc 0.330651
Epoch 28, train_loss 0.001815, train_ic 0.018003, train_icir 0.220363, train_ric 0.009507, train_ricir 0.072242, train_mae 0.031339, train_rmse 0.040681, train_mape 11308.997070, train_acc 0.284512, valid_loss 0.0022020377, valid_ic -0.004187, valid_icir -0.099792, valid_ric -0.010044, valid_ricir -0.103290, valid_mae 0.027002, valid_rmse 0.051842, valid_mape 470.632599, valid_acc 0.357906, test_loss 0.005192, ic -0.008232, icir -0.143247, ric -0.007776, ricir -0.056507, prec@10 0.495473, prec@30 0.527298, test_mae 0.043322, test_rmse 0.088792, test_mape 482.106384, test_acc 0.203853
Epoch 29, train_loss 0.001833, train_ic 0.009071, train_icir 0.106123, train_ric 0.026151, train_ricir 0.202861, train_mae 0.050823, train_rmse 0.059324, train_mape 498.590027, train_acc 0.455823, valid_loss 0.0035131984, valid_ic -0.009198, valid_icir -0.182277, valid_ric 0.006569, valid_ricir 0.067321, valid_mae 0.040355, valid_rmse 0.059122, valid_mape 839.673340, valid_acc 0.591613, test_loss 0.006460, ic -0.013893, icir -0.208307, ric -0.001352, ricir -0.010056, prec@10 0.540329, prec@30 0.576818, test_mae 0.042054, test_rmse 0.087907, test_mape 639.790283, test_acc 0.736406
Epoch 30, train_loss 0.001776, train_ic 0.027771, train_icir 0.340385, train_ric 0.017965, train_ricir 0.130628, train_mae 0.018974, train_rmse 0.029095, train_mape 389.512360, train_acc 0.690191, valid_loss 0.0022602758, valid_ic -0.003802, valid_icir -0.090999, valid_ric -0.018686, valid_ricir -0.193427, valid_mae 0.028607, valid_rmse 0.051853, valid_mape 502.833466, valid_acc 0.348291, test_loss 0.005103, ic -0.005686, icir -0.104630, ric -0.004436, ricir -0.034641, prec@10 0.497119, prec@30 0.508230, test_mae 0.045247, test_rmse 0.088044, test_mape 512.024353, test_acc 0.195318
Epoch 31, train_loss 0.001745, train_ic 0.018422, train_icir 0.211433, train_ric -0.033924, train_ricir -0.251902, train_mae 0.018662, train_rmse 0.030850, train_mape 328.236053, train_acc 0.620115, valid_loss 0.0023519735, valid_ic -0.000481, valid_icir -0.012432, valid_ric -0.035584, valid_ricir -0.392004, valid_mae 0.028781, valid_rmse 0.051354, valid_mape 471.131378, valid_acc 0.349359, test_loss 0.005097, ic -0.000143, icir -0.003214, ric -0.019455, ricir -0.201028, prec@10 0.581481, prec@30 0.533333, test_mae 0.046070, test_rmse 0.087636, test_mape 506.547913, test_acc 0.219703
