Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- GRU ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2021,
        "test_year": 2022,
        "window": 8,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 22, train_loss 0.002024, train_ic 0.018714, train_icir 0.280937, train_ric -0.019924, train_ricir -0.163985, train_mae 0.020103, train_rmse 0.027682, train_mape 468.155823, train_acc 0.458167, valid_loss 0.0064763697, valid_ic 0.003041, valid_icir 0.044639, valid_ric -0.025344, valid_ricir -0.297039, valid_mae 0.035338, valid_rmse 0.081041, valid_mape 626.547485, valid_acc 0.370936, test_loss 0.005198, ic 0.004640, icir 0.096772, ric -0.033487, ricir -0.294712, prec@10 0.472314, prec@30 0.468044, test_mae 0.032911, test_rmse 0.066070, test_mape 531.053345, test_acc 0.303006
Epoch 23, train_loss 0.001950, train_ic 0.031655, train_icir 0.418392, train_ric -0.012998, train_ricir -0.115586, train_mae 0.014064, train_rmse 0.022797, train_mape 187.039368, train_acc 0.493484, valid_loss 0.0060063185, valid_ic 0.004677, valid_icir 0.066103, valid_ric -0.021256, valid_ricir -0.293877, valid_mae 0.028503, valid_rmse 0.077244, valid_mape 456.676636, valid_acc 0.415885, test_loss 0.004812, ic 0.006963, icir 0.138618, ric -0.020879, ricir -0.228345, prec@10 0.542149, prec@30 0.515565, test_mae 0.025229, test_rmse 0.061650, test_mape 358.505829, test_acc 0.328972
Epoch 24, train_loss 0.001932, train_ic 0.011286, train_icir 0.174042, train_ric 0.027399, train_ricir 0.256592, train_mae 0.025495, train_rmse 0.030168, train_mape 363.404694, train_acc 0.137753, valid_loss 0.0061419116, valid_ic 0.002649, valid_icir 0.035636, valid_ric 0.024251, valid_ricir 0.267544, valid_mae 0.037390, valid_rmse 0.079498, valid_mape 707.369263, valid_acc 0.368536, test_loss 0.004963, ic 0.005619, icir 0.102141, ric 0.027352, ricir 0.285022, prec@10 0.543802, prec@30 0.518457, test_mae 0.033819, test_rmse 0.064368, test_mape 578.541077, test_acc 0.305868
Epoch 25, train_loss 0.001856, train_ic 0.015032, train_icir 0.175966, train_ric 0.028007, train_ricir 0.221417, train_mae 0.017522, train_rmse 0.027112, train_mape 7202.871094, train_acc 0.510684, valid_loss 0.0058469915, valid_ic 0.004349, valid_icir 0.054026, valid_ric 0.022849, valid_ricir 0.201059, valid_mae 0.031332, valid_rmse 0.076719, valid_mape 584.037903, valid_acc 0.409121, test_loss 0.004706, ic 0.009580, icir 0.147401, ric 0.034387, ricir 0.275655, prec@10 0.445868, prec@30 0.453306, test_mae 0.025006, test_rmse 0.060197, test_mape 390.972778, test_acc 0.391535
Epoch 26, train_loss 0.001866, train_ic 0.036204, train_icir 0.465476, train_ric -0.008612, train_ricir -0.070537, train_mae 0.021817, train_rmse 0.032420, train_mape 233.381226, train_acc 0.315297, valid_loss 0.0055055546, valid_ic 0.004585, valid_icir 0.065536, valid_ric -0.014743, valid_ricir -0.204820, valid_mae 0.027209, valid_rmse 0.073089, valid_mape 516.346436, valid_acc 0.584552, test_loss 0.004441, ic 0.006529, icir 0.128145, ric -0.019726, ricir -0.205310, prec@10 0.519835, prec@30 0.492149, test_mae 0.020775, test_rmse 0.056930, test_mape 348.170197, test_acc 0.656716
Epoch 27, train_loss 0.001846, train_ic 0.037606, train_icir 0.406188, train_ric -0.004541, train_ricir -0.032467, train_mae 0.013398, train_rmse 0.022299, train_mape 172.153168, train_acc 0.539469, valid_loss 0.0052960824, valid_ic 0.005107, valid_icir 0.064118, valid_ric -0.002845, valid_ricir -0.022807, valid_mae 0.025826, valid_rmse 0.071945, valid_mape 423.634583, valid_acc 0.549858, test_loss 0.004236, ic 0.009201, icir 0.148985, ric 0.010920, ricir 0.078804, prec@10 0.535950, prec@30 0.513085, test_mae 0.019483, test_rmse 0.055660, test_mape 269.087097, test_acc 0.617665
Epoch 28, train_loss 0.001781, train_ic 0.027177, train_icir 0.426223, train_ric -0.010594, train_ricir -0.095761, train_mae 0.016241, train_rmse 0.027425, train_mape 117.930428, train_acc 0.381697, valid_loss 0.0052116100, valid_ic 0.003388, valid_icir 0.052816, valid_ric -0.016414, valid_ricir -0.258812, valid_mae 0.025307, valid_rmse 0.070911, valid_mape 374.267365, valid_acc 0.528257, test_loss 0.004146, ic 0.006539, icir 0.138472, ric -0.014363, ricir -0.179896, prec@10 0.480992, prec@30 0.476309, test_mae 0.021032, test_rmse 0.055427, test_mape 265.016113, test_acc 0.418728
Epoch 29, train_loss 0.001779, train_ic 0.034081, train_icir 0.439622, train_ric -0.009237, train_ricir -0.087308, train_mae 0.013705, train_rmse 0.019630, train_mape 125.124977, train_acc 0.627630, valid_loss 0.0050432492, valid_ic 0.003814, valid_icir 0.057479, valid_ric -0.012596, valid_ricir -0.196893, valid_mae 0.026026, valid_rmse 0.070191, valid_mape 389.643799, valid_acc 0.440759, test_loss 0.004025, ic 0.005413, icir 0.115839, ric -0.019062, ricir -0.232104, prec@10 0.508264, prec@30 0.502479, test_mae 0.023137, test_rmse 0.055465, test_mape 306.830750, test_acc 0.343692
Epoch 30, train_loss 0.001784, train_ic 0.029379, train_icir 0.375858, train_ric -0.020393, train_ricir -0.168563, train_mae 0.015580, train_rmse 0.023075, train_mape 304.373779, train_acc 0.430891, valid_loss 0.0049131278, valid_ic 0.002931, valid_icir 0.040623, valid_ric -0.008293, valid_ricir -0.082577, valid_mae 0.024256, valid_rmse 0.068785, valid_mape 386.615906, valid_acc 0.578660, test_loss 0.003935, ic 0.005442, icir 0.099766, ric -0.000018, ricir -0.000147, prec@10 0.528926, prec@30 0.487603, test_mae 0.018335, test_rmse 0.052836, test_mape 259.480469, test_acc 0.663259
Epoch 31, train_loss 0.001719, train_ic 0.026689, train_icir 0.363110, train_ric -0.002254, train_ricir -0.020228, train_mae 0.027213, train_rmse 0.062904, train_mape 267.828857, train_acc 0.427771, valid_loss 0.0049440376, valid_ic 0.003230, valid_icir 0.053949, valid_ric -0.012417, valid_ricir -0.162867, valid_mae 0.026580, valid_rmse 0.069149, valid_mape 401.137146, valid_acc 0.460397, test_loss 0.003927, ic 0.005233, icir 0.117564, ric -0.016505, ricir -0.161947, prec@10 0.444628, prec@30 0.476722, test_mae 0.022919, test_rmse 0.054300, test_mape 298.367157, test_acc 0.390513
