Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2024,
        "test_year": 2025,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 22, train_loss 0.001389, train_ic 0.014369, train_icir 0.155342, train_ric 0.004489, train_ricir 0.033382, train_mae 0.020255, train_rmse 0.028508, train_mape 3223.287109, train_acc 0.527572, valid_loss 0.0017468654, valid_ic 0.008381, valid_icir 0.096098, valid_ric -0.006089, valid_ricir -0.035987, valid_mae 0.026149, valid_rmse 0.036670, valid_mape 138.706772, valid_acc 0.745846, test_loss 0.001599, ic 0.007617, icir 0.158633, ric 0.007939, ricir 0.064017, prec@10 0.501235, prec@30 0.506859, test_mae 0.021560, test_rmse 0.042211, test_mape 2292.733887, test_acc 0.494680
Epoch 23, train_loss 0.001377, train_ic 0.017031, train_icir 0.194144, train_ric -0.011623, train_ricir -0.087623, train_mae 0.019236, train_rmse 0.033459, train_mape 218.442276, train_acc 0.578207, valid_loss 0.0016944245, valid_ic 0.006816, valid_icir 0.082969, valid_ric -0.020612, valid_ricir -0.115783, valid_mae 0.024772, valid_rmse 0.035922, valid_mape 132.941711, valid_acc 0.798240, test_loss 0.001547, ic 0.004911, icir 0.111214, ric -0.013963, ricir -0.095771, prec@10 0.515638, prec@30 0.514540, test_mae 0.021645, test_rmse 0.041378, test_mape 2721.428223, test_acc 0.482492
Epoch 24, train_loss 0.001343, train_ic 0.019014, train_icir 0.266368, train_ric -0.008958, train_ricir -0.090268, train_mae 0.014010, train_rmse 0.025476, train_mape 189.154465, train_acc 0.709665, valid_loss 0.0015702355, valid_ic 0.008577, valid_icir 0.128388, valid_ric -0.011165, valid_ricir -0.074414, valid_mae 0.036134, valid_rmse 0.044287, valid_mape 167.048203, valid_acc 0.199804, test_loss 0.001398, ic 0.004133, icir 0.119357, ric -0.006675, ricir -0.092072, prec@10 0.522222, prec@30 0.522085, test_mae 0.019672, test_rmse 0.039182, test_mape 2167.316406, test_acc 0.472238
Epoch 25, train_loss 0.001330, train_ic 0.032866, train_icir 0.427074, train_ric 0.013912, train_ricir 0.133007, train_mae 0.017820, train_rmse 0.026313, train_mape 4522.155273, train_acc 0.411848, valid_loss 0.0016824095, valid_ic 0.017684, valid_icir 0.326808, valid_ric 0.013517, valid_ricir 0.108483, valid_mae 0.021506, valid_rmse 0.032234, valid_mape 136.520966, valid_acc 0.877419, test_loss 0.001536, ic 0.006230, icir 0.149948, ric 0.004281, ricir 0.050570, prec@10 0.555967, prec@30 0.528395, test_mae 0.022018, test_rmse 0.041159, test_mape 3235.467529, test_acc 0.501257
Epoch 26, train_loss 0.001320, train_ic 0.020734, train_icir 0.305392, train_ric 0.024222, train_ricir 0.303379, train_mae 0.016760, train_rmse 0.022748, train_mape 259.793701, train_acc 0.687612, valid_loss 0.0016584872, valid_ic 0.016531, valid_icir 0.332784, valid_ric 0.032855, valid_ricir 0.348151, valid_mae 0.042944, valid_rmse 0.049339, valid_mape 221.034317, valid_acc 0.129423, test_loss 0.001468, ic 0.004328, icir 0.103346, ric 0.025368, ricir 0.364108, prec@10 0.530453, prec@30 0.521948, test_mae 0.023064, test_rmse 0.039838, test_mape 3182.124023, test_acc 0.466048
Epoch 27, train_loss 0.001317, train_ic 0.032417, train_icir 0.385175, train_ric -0.003889, train_ricir -0.037588, train_mae 0.016152, train_rmse 0.025840, train_mape 254.381470, train_acc 0.739450, valid_loss 0.0016481842, valid_ic 0.024718, valid_icir 0.289808, valid_ric 0.013525, valid_ricir 0.092689, valid_mae 0.041480, valid_rmse 0.048308, valid_mape 213.782211, valid_acc 0.132747, test_loss 0.001439, ic 0.008530, icir 0.197460, ric -0.007662, ricir -0.098075, prec@10 0.553909, prec@30 0.530864, test_mae 0.022093, test_rmse 0.039194, test_mape 2026.557495, test_acc 0.461598
Epoch 28, train_loss 0.001301, train_ic 0.021576, train_icir 0.261764, train_ric 0.037387, train_ricir 0.337598, train_mae 0.037746, train_rmse 0.043925, train_mape 227.333954, train_acc 0.038175, valid_loss 0.0016726088, valid_ic 0.017361, valid_icir 0.255860, valid_ric 0.033398, valid_ricir 0.229907, valid_mae 0.023235, valid_rmse 0.032784, valid_mape 137.877136, valid_acc 0.863343, test_loss 0.001472, ic 0.003525, icir 0.077391, ric 0.025848, ricir 0.249216, prec@10 0.508230, prec@30 0.517695, test_mae 0.022011, test_rmse 0.040460, test_mape 2773.308105, test_acc 0.495841
Epoch 29, train_loss 0.001274, train_ic 0.024140, train_icir 0.365730, train_ric 0.019702, train_ricir 0.234847, train_mae 0.027575, train_rmse 0.035483, train_mape 315.647400, train_acc 0.350127, valid_loss 0.0018492168, valid_ic 0.015285, valid_icir 0.250385, valid_ric 0.009066, valid_ricir 0.085246, valid_mae 0.020938, valid_rmse 0.031532, valid_mape 154.618805, valid_acc 0.875855, test_loss 0.001745, ic 0.006036, icir 0.113597, ric 0.010190, ricir 0.169183, prec@10 0.533333, prec@30 0.516187, test_mae 0.026491, test_rmse 0.043511, test_mape 3704.406250, test_acc 0.502418
Epoch 30, train_loss 0.001265, train_ic 0.018346, train_icir 0.323640, train_ric 0.018507, train_ricir 0.257705, train_mae 0.023718, train_rmse 0.031553, train_mape 223.147720, train_acc 0.561404, valid_loss 0.0016386294, valid_ic 0.009602, valid_icir 0.202567, valid_ric 0.009976, valid_ricir 0.100667, valid_mae 0.042262, valid_rmse 0.048641, valid_mape 211.297897, valid_acc 0.123363, test_loss 0.001372, ic 0.003118, icir 0.084145, ric 0.019177, ricir 0.372136, prec@10 0.524691, prec@30 0.524966, test_mae 0.022349, test_rmse 0.038206, test_mape 4055.537109, test_acc 0.460244
Epoch 31, train_loss 0.001250, train_ic 0.027887, train_icir 0.375377, train_ric 0.028771, train_ricir 0.310870, train_mae 0.017899, train_rmse 0.028640, train_mape 267.014801, train_acc 0.563097, valid_loss 0.0016594209, valid_ic 0.021630, valid_icir 0.296121, valid_ric 0.023965, valid_ricir 0.190863, valid_mae 0.041968, valid_rmse 0.048290, valid_mape 208.502777, valid_acc 0.136852, test_loss 0.001370, ic 0.009373, icir 0.195498, ric 0.023133, ricir 0.298262, prec@10 0.500823, prec@30 0.511797, test_mae 0.021552, test_rmse 0.037584, test_mape 2515.748535, test_acc 0.473012
