Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2024,
        "test_year": 2025,
        "window": 32,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 22, train_loss 0.001416, train_ic 0.014516, train_icir 0.227253, train_ric 0.026161, train_ricir 0.306488, train_mae 0.023019, train_rmse 0.040474, train_mape 281.873932, train_acc 0.496174, valid_loss 0.0017533980, valid_ic 0.013268, valid_icir 0.232794, valid_ric 0.026346, valid_ricir 0.219724, valid_mae 0.022255, valid_rmse 0.033445, valid_mape 141.425369, valid_acc 0.848111, test_loss 0.001682, ic 0.001688, icir 0.055483, ric 0.012372, ricir 0.205693, prec@10 0.522634, prec@30 0.510151, test_mae 0.023691, test_rmse 0.043703, test_mape 3394.812500, test_acc 0.494191
Epoch 23, train_loss 0.001402, train_ic 0.015053, train_icir 0.189548, train_ric -0.030235, train_ricir -0.266145, train_mae 0.028808, train_rmse 0.036966, train_mape 203.656601, train_acc 0.337563, valid_loss 0.0016362144, valid_ic 0.010659, valid_icir 0.135617, valid_ric -0.015557, valid_ricir -0.091274, valid_mae 0.038751, valid_rmse 0.046597, valid_mape 191.923813, valid_acc 0.146995, test_loss 0.001507, ic 0.001840, icir 0.053301, ric -0.028168, ricir -0.279921, prec@10 0.552263, prec@30 0.530178, test_mae 0.021493, test_rmse 0.040751, test_mape 2449.554932, test_acc 0.463594
Epoch 24, train_loss 0.001364, train_ic 0.006620, train_icir 0.105541, train_ric 0.008007, train_ricir 0.094702, train_mae 0.018092, train_rmse 0.026687, train_mape 160.055756, train_acc 0.291701, valid_loss 0.0015329941, valid_ic 0.009382, valid_icir 0.203673, valid_ric 0.016574, valid_ricir 0.161534, valid_mae 0.027706, valid_rmse 0.036902, valid_mape 125.587761, valid_acc 0.780388, test_loss 0.001394, ic -0.001223, icir -0.029214, ric 0.006962, ricir 0.088003, prec@10 0.514815, prec@30 0.496022, test_mae 0.018173, test_rmse 0.039370, test_mape 619.086792, test_acc 0.490899
Epoch 25, train_loss 0.001342, train_ic 0.021118, train_icir 0.239735, train_ric 0.037144, train_ricir 0.305881, train_mae 0.021617, train_rmse 0.040809, train_mape 193.003632, train_acc 0.543659, valid_loss 0.0016170700, valid_ic 0.022568, valid_icir 0.281641, valid_ric 0.041930, valid_ricir 0.260692, valid_mae 0.024634, valid_rmse 0.034088, valid_mape 138.220566, valid_acc 0.812683, test_loss 0.001494, ic 0.004529, icir 0.078167, ric 0.025627, ricir 0.199813, prec@10 0.510288, prec@30 0.511523, test_mae 0.021333, test_rmse 0.041086, test_mape 1660.521729, test_acc 0.484314
Epoch 26, train_loss 0.001322, train_ic 0.009887, train_icir 0.169103, train_ric 0.017099, train_ricir 0.192471, train_mae 0.020564, train_rmse 0.034744, train_mape 2999.865967, train_acc 0.594714, valid_loss 0.0015970164, valid_ic 0.007273, valid_icir 0.183029, valid_ric 0.005862, valid_ricir 0.053889, valid_mae 0.023760, valid_rmse 0.034108, valid_mape 127.964165, valid_acc 0.857311, test_loss 0.001430, ic 0.000944, icir 0.035063, ric 0.014241, ricir 0.180818, prec@10 0.506173, prec@30 0.504115, test_mae 0.020150, test_rmse 0.039630, test_mape 1396.508179, test_acc 0.489930
Epoch 27, train_loss 0.001326, train_ic 0.031243, train_icir 0.370140, train_ric 0.008131, train_ricir 0.071702, train_mae 0.026890, train_rmse 0.031573, train_mape 211.076599, train_acc 0.185039, valid_loss 0.0015931229, valid_ic 0.025002, valid_icir 0.325865, valid_ric 0.030082, valid_ricir 0.204256, valid_mae 0.038824, valid_rmse 0.045660, valid_mape 190.725861, valid_acc 0.146604, test_loss 0.001388, ic 0.005753, icir 0.126168, ric 0.007745, ricir 0.076195, prec@10 0.560494, prec@30 0.554047, test_mae 0.021018, test_rmse 0.038418, test_mape 2786.461914, test_acc 0.460496
Epoch 28, train_loss 0.001297, train_ic 0.024264, train_icir 0.298565, train_ric -0.000790, train_ricir -0.006671, train_mae 0.041920, train_rmse 0.051018, train_mape 109.760986, train_acc 0.429970, valid_loss 0.0014618893, valid_ic 0.015485, valid_icir 0.197890, valid_ric -0.001900, valid_ricir -0.012020, valid_mae 0.031295, valid_rmse 0.039715, valid_mape 134.938126, valid_acc 0.475631, test_loss 0.001283, ic 0.007079, icir 0.204860, ric -0.003992, ricir -0.037357, prec@10 0.497942, prec@30 0.489849, test_mae 0.018315, test_rmse 0.037376, test_mape 392.926758, test_acc 0.475213
Epoch 29, train_loss 0.001279, train_ic 0.012960, train_icir 0.193871, train_ric 0.003255, train_ricir 0.032312, train_mae 0.016624, train_rmse 0.024523, train_mape 125.190712, train_acc 0.384726, valid_loss 0.0014853605, valid_ic 0.006379, valid_icir 0.119033, valid_ric -0.010554, valid_ricir -0.092659, valid_mae 0.031765, valid_rmse 0.040092, valid_mape 138.405411, valid_acc 0.458798, test_loss 0.001257, ic 0.002382, icir 0.071322, ric -0.005274, ricir -0.046204, prec@10 0.504527, prec@30 0.503155, test_mae 0.017806, test_rmse 0.036743, test_mape 512.635254, test_acc 0.471727
Epoch 30, train_loss 0.001273, train_ic 0.020645, train_icir 0.338953, train_ric 0.019629, train_ricir 0.286393, train_mae 0.027261, train_rmse 0.032575, train_mape 279.229370, train_acc 0.278179, valid_loss 0.0016113618, valid_ic 0.016797, valid_icir 0.364813, valid_ric 0.021222, valid_ricir 0.247942, valid_mae 0.040767, valid_rmse 0.047296, valid_mape 202.861908, valid_acc 0.124682, test_loss 0.001370, ic 0.001989, icir 0.056155, ric 0.008186, ricir 0.207942, prec@10 0.524691, prec@30 0.519204, test_mae 0.022192, test_rmse 0.038040, test_mape 3429.698242, test_acc 0.463207
Epoch 31, train_loss 0.001261, train_ic 0.033430, train_icir 0.445943, train_ric 0.000901, train_ricir 0.009501, train_mae 0.022047, train_rmse 0.035249, train_mape 133.122192, train_acc 0.707329, valid_loss 0.0014870533, valid_ic 0.023373, valid_icir 0.303147, valid_ric 0.015128, valid_ricir 0.108946, valid_mae 0.024136, valid_rmse 0.033394, valid_mape 119.778465, valid_acc 0.864357, test_loss 0.001299, ic 0.006756, icir 0.195871, ric -0.000858, ricir -0.013925, prec@10 0.537860, prec@30 0.524554, test_mae 0.018917, test_rmse 0.036982, test_mape 1573.908691, test_acc 0.495352
Epoch 32, train_loss 0.001238, train_ic 0.034955, train_icir 0.383256, train_ric 0.014121, train_ricir 0.121488, train_mae 0.019526, train_rmse 0.026158, train_mape 193.117493, train_acc 0.338585, valid_loss 0.0015247208, valid_ic 0.032176, valid_icir 0.379032, valid_ric 0.028921, valid_ricir 0.211097, valid_mae 0.030940, valid_rmse 0.038448, valid_mape 145.635132, valid_acc 0.475436, test_loss 0.001290, ic 0.014145, icir 0.210278, ric 0.010219, ricir 0.085824, prec@10 0.547325, prec@30 0.540604, test_mae 0.018610, test_rmse 0.036699, test_mape 728.762695, test_acc 0.482959
