Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2024,
        "test_year": 2025,
        "window": 32,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 77, train_loss 0.001072, train_ic 0.027219, train_icir 0.380134, train_ric 0.020422, train_ricir 0.237171, train_mae 0.018345, train_rmse 0.024279, train_mape 256.619385, train_acc 0.327152, valid_loss 0.0014990886, valid_ic 0.019183, valid_icir 0.264045, valid_ric 0.014724, valid_ricir 0.136533, valid_mae 0.024953, valid_rmse 0.032888, valid_mape 120.103111, valid_acc 0.850460, test_loss 0.001147, ic 0.006840, icir 0.186784, ric 0.017767, ricir 0.262425, prec@10 0.514815, prec@30 0.514952, test_mae 0.019183, test_rmse 0.033425, test_mape 1769.651001, test_acc 0.492254
Epoch 78, train_loss 0.001075, train_ic 0.028633, train_icir 0.333921, train_ric 0.007669, train_ricir 0.066867, train_mae 0.018955, train_rmse 0.027880, train_mape 142.851822, train_acc 0.729405, valid_loss 0.0016444762, valid_ic 0.019229, valid_icir 0.233669, valid_ric -0.008303, valid_ricir -0.059677, valid_mae 0.024460, valid_rmse 0.033255, valid_mape 131.290771, valid_acc 0.827559, test_loss 0.001268, ic 0.015852, icir 0.305684, ric -0.000106, ricir -0.000992, prec@10 0.536626, prec@30 0.508093, test_mae 0.021179, test_rmse 0.035114, test_mape 3273.509521, test_acc 0.489737
Epoch 79, train_loss 0.001080, train_ic 0.031870, train_icir 0.465443, train_ric 0.013404, train_ricir 0.149558, train_mae 0.018880, train_rmse 0.028050, train_mape 185.739990, train_acc 0.448724, valid_loss 0.0013977708, valid_ic 0.022119, valid_icir 0.311508, valid_ric 0.004321, valid_ricir 0.034782, valid_mae 0.035618, valid_rmse 0.042182, valid_mape 158.727600, valid_acc 0.201018, test_loss 0.001041, ic 0.011675, icir 0.314141, ric 0.006979, ricir 0.087160, prec@10 0.533333, prec@30 0.526612, test_mae 0.018175, test_rmse 0.031799, test_mape 1873.113770, test_acc 0.475600
Epoch 80, train_loss 0.001075, train_ic 0.031373, train_icir 0.481954, train_ric 0.020466, train_ricir 0.246222, train_mae 0.026015, train_rmse 0.036754, train_mape 161.546021, train_acc 0.331633, valid_loss 0.0014501058, valid_ic 0.021043, valid_icir 0.314305, valid_ric 0.008422, valid_ricir 0.076211, valid_mae 0.028356, valid_rmse 0.035804, valid_mape 121.155533, valid_acc 0.619299, test_loss 0.001058, ic 0.012480, icir 0.281085, ric 0.017216, ricir 0.286913, prec@10 0.530453, prec@30 0.521674, test_mae 0.017386, test_rmse 0.031960, test_mape 266.196289, test_acc 0.494191
Epoch 81, train_loss 0.001075, train_ic 0.043661, train_icir 0.575877, train_ric 0.013576, train_ricir 0.152376, train_mae 0.018779, train_rmse 0.028463, train_mape 149.306396, train_acc 0.507954, valid_loss 0.0014132925, valid_ic 0.034453, valid_icir 0.437289, valid_ric 0.019842, valid_ricir 0.166352, valid_mae 0.034184, valid_rmse 0.040644, valid_mape 146.529083, valid_acc 0.237816, test_loss 0.001028, ic 0.016005, icir 0.431546, ric 0.000716, ricir 0.012224, prec@10 0.548148, prec@30 0.533882, test_mae 0.017749, test_rmse 0.031489, test_mape 452.538391, test_acc 0.467467
Epoch 82, train_loss 0.001076, train_ic 0.032499, train_icir 0.524577, train_ric 0.024492, train_ricir 0.358247, train_mae 0.020544, train_rmse 0.031262, train_mape 146.107056, train_acc 0.499244, valid_loss 0.0013795141, valid_ic 0.026309, valid_icir 0.413247, valid_ric 0.027966, valid_ricir 0.282491, valid_mae 0.030775, valid_rmse 0.037483, valid_mape 124.221512, valid_acc 0.468976, test_loss 0.001014, ic 0.008842, icir 0.226362, ric 0.013396, ricir 0.251716, prec@10 0.543621, prec@30 0.540878, test_mae 0.016840, test_rmse 0.031635, test_mape 295.951691, test_acc 0.483927
Epoch 83, train_loss 0.001079, train_ic 0.031353, train_icir 0.467035, train_ric 0.005564, train_ricir 0.070871, train_mae 0.019470, train_rmse 0.024741, train_mape 356.298859, train_acc 0.387697, valid_loss 0.0015768257, valid_ic 0.017152, valid_icir 0.274117, valid_ric -0.003943, valid_ricir -0.038928, valid_mae 0.041340, valid_rmse 0.047433, valid_mape 200.780609, valid_acc 0.135643, test_loss 0.001170, ic 0.010315, icir 0.287527, ric -0.004650, ricir -0.070594, prec@10 0.542387, prec@30 0.533471, test_mae 0.021916, test_rmse 0.034162, test_mape 3503.968506, test_acc 0.467467
Epoch 84, train_loss 0.001067, train_ic 0.022021, train_icir 0.275434, train_ric 0.008168, train_ricir 0.075102, train_mae 0.019622, train_rmse 0.030210, train_mape 144.201553, train_acc 0.542876, valid_loss 0.0014210608, valid_ic 0.009334, valid_icir 0.133779, valid_ric -0.011575, valid_ricir -0.090704, valid_mae 0.031599, valid_rmse 0.039098, valid_mape 129.739044, valid_acc 0.381288, test_loss 0.001020, ic 0.007752, icir 0.169643, ric -0.000741, ricir -0.006672, prec@10 0.542387, prec@30 0.523868, test_mae 0.017363, test_rmse 0.031765, test_mape 1041.001221, test_acc 0.472502
Epoch 85, train_loss 0.001071, train_ic 0.030235, train_icir 0.489139, train_ric 0.025656, train_ricir 0.354703, train_mae 0.031520, train_rmse 0.041210, train_mape 138.335419, train_acc 0.121855, valid_loss 0.0013810915, valid_ic 0.022714, valid_icir 0.415745, valid_ric 0.018537, valid_ricir 0.200836, valid_mae 0.027984, valid_rmse 0.035346, valid_mape 116.339149, valid_acc 0.742415, test_loss 0.001022, ic 0.008956, icir 0.229624, ric 0.018035, ricir 0.278350, prec@10 0.537860, prec@30 0.523731, test_mae 0.016853, test_rmse 0.031714, test_mape 376.110413, test_acc 0.486638
Epoch 86, train_loss 0.001070, train_ic 0.036471, train_icir 0.557826, train_ric 0.013707, train_ricir 0.216886, train_mae 0.015700, train_rmse 0.022610, train_mape 121.825424, train_acc 0.423576, valid_loss 0.0013910418, valid_ic 0.023099, valid_icir 0.344631, valid_ric 0.012054, valid_ricir 0.131569, valid_mae 0.031483, valid_rmse 0.038155, valid_mape 128.973114, valid_acc 0.370914, test_loss 0.001028, ic 0.008146, icir 0.202468, ric 0.002192, ricir 0.054525, prec@10 0.559671, prec@30 0.539095, test_mae 0.016944, test_rmse 0.031353, test_mape 403.217560, test_acc 0.483346
Epoch 87, train_loss 0.001057, train_ic 0.034174, train_icir 0.613418, train_ric 0.016124, train_ricir 0.279839, train_mae 0.014877, train_rmse 0.021318, train_mape 135.454285, train_acc 0.545345, valid_loss 0.0013764949, valid_ic 0.026273, valid_icir 0.482734, valid_ric 0.016474, valid_ricir 0.206096, valid_mae 0.027412, valid_rmse 0.034836, valid_mape 117.911743, valid_acc 0.758661, test_loss 0.001041, ic 0.010199, icir 0.364412, ric 0.007286, ricir 0.201056, prec@10 0.497942, prec@30 0.504664, test_mae 0.017614, test_rmse 0.032210, test_mape 829.246826, test_acc 0.484895
Epoch 88, train_loss 0.001067, train_ic 0.036149, train_icir 0.539396, train_ric 0.003714, train_ricir 0.053899, train_mae 0.027328, train_rmse 0.036573, train_mape 150.271530, train_acc 0.316598, valid_loss 0.0014168737, valid_ic 0.027298, valid_icir 0.395354, valid_ric 0.009615, valid_ricir 0.094906, valid_mae 0.035377, valid_rmse 0.041785, valid_mape 156.915497, valid_acc 0.194559, test_loss 0.001041, ic 0.010604, icir 0.261658, ric -0.000884, ricir -0.019182, prec@10 0.566255, prec@30 0.548148, test_mae 0.018057, test_rmse 0.031493, test_mape 1855.350464, test_acc 0.477924
Epoch 89, train_loss 0.001074, train_ic 0.033980, train_icir 0.438087, train_ric 0.006316, train_ricir 0.063105, train_mae 0.031585, train_rmse 0.042698, train_mape 125.134789, train_acc 0.464688, valid_loss 0.0014293192, valid_ic 0.022508, valid_icir 0.296345, valid_ric -0.002535, valid_ricir -0.019032, valid_mae 0.027588, valid_rmse 0.035577, valid_mape 116.274979, valid_acc 0.688002, test_loss 0.001058, ic 0.013191, icir 0.314477, ric 0.000366, ricir 0.004344, prec@10 0.536214, prec@30 0.514540, test_mae 0.017353, test_rmse 0.031687, test_mape 345.364258, test_acc 0.479473
Epoch 90, train_loss 0.001063, train_ic 0.027850, train_icir 0.537659, train_ric 0.027384, train_ricir 0.508661, train_mae 0.022154, train_rmse 0.033820, train_mape 151.851562, train_acc 0.360645, valid_loss 0.0013622890, valid_ic 0.019880, valid_icir 0.405663, valid_ric 0.022659, valid_ricir 0.312184, valid_mae 0.028995, valid_rmse 0.036024, valid_mape 115.759949, valid_acc 0.644745, test_loss 0.001016, ic 0.007375, icir 0.260391, ric 0.020690, ricir 0.614796, prec@10 0.534156, prec@30 0.527298, test_mae 0.016804, test_rmse 0.031435, test_mape 451.360474, test_acc 0.491479
Epoch 91, train_loss 0.001070, train_ic 0.018781, train_icir 0.315143, train_ric 0.019206, train_ricir 0.277794, train_mae 0.015444, train_rmse 0.020793, train_mape 128.744324, train_acc 0.364226, valid_loss 0.0014086026, valid_ic 0.010755, valid_icir 0.198908, valid_ric 0.004848, valid_ricir 0.055999, valid_mae 0.033103, valid_rmse 0.039708, valid_mape 138.031769, valid_acc 0.275396, test_loss 0.001011, ic 0.002722, icir 0.076055, ric 0.010608, ricir 0.194061, prec@10 0.525514, prec@30 0.539095, test_mae 0.017182, test_rmse 0.031429, test_mape 1172.819946, test_acc 0.483153
Epoch 92, train_loss 0.001073, train_ic 0.028594, train_icir 0.435930, train_ric 0.029845, train_ricir 0.358483, train_mae 0.013016, train_rmse 0.020298, train_mape 117.460274, train_acc 0.497545, valid_loss 0.0013904626, valid_ic 0.015769, valid_icir 0.250010, valid_ric 0.013868, valid_ricir 0.127123, valid_mae 0.031408, valid_rmse 0.038107, valid_mape 123.412323, valid_acc 0.347426, test_loss 0.000993, ic 0.007758, icir 0.216104, ric 0.021748, ricir 0.401860, prec@10 0.509465, prec@30 0.517833, test_mae 0.016719, test_rmse 0.031346, test_mape 191.150681, test_acc 0.489349
Epoch 93, train_loss 0.001060, train_ic 0.033577, train_icir 0.392093, train_ric -0.009826, train_ricir -0.097433, train_mae 0.017411, train_rmse 0.024769, train_mape 311.678467, train_acc 0.598317, valid_loss 0.0015257606, valid_ic 0.028320, valid_icir 0.274627, valid_ric 0.000390, valid_ricir 0.002703, valid_mae 0.039837, valid_rmse 0.046207, valid_mape 196.627701, valid_acc 0.168526, test_loss 0.001180, ic 0.013960, icir 0.275930, ric -0.015354, ricir -0.165703, prec@10 0.515638, prec@30 0.504527, test_mae 0.020694, test_rmse 0.033619, test_mape 2151.639648, test_acc 0.469210
Epoch 94, train_loss 0.001063, train_ic 0.039637, train_icir 0.593043, train_ric 0.026255, train_ricir 0.322908, train_mae 0.010672, train_rmse 0.017396, train_mape 114.824089, train_acc 0.602350, valid_loss 0.0013812514, valid_ic 0.028096, valid_icir 0.446984, valid_ric 0.016804, valid_ricir 0.162101, valid_mae 0.032299, valid_rmse 0.039143, valid_mape 128.568405, valid_acc 0.268937, test_loss 0.000991, ic 0.014417, icir 0.447298, ric 0.014099, ricir 0.240938, prec@10 0.507407, prec@30 0.517284, test_mae 0.016949, test_rmse 0.031328, test_mape 544.713379, test_acc 0.483734
Epoch 95, train_loss 0.001057, train_ic 0.027658, train_icir 0.417606, train_ric 0.021084, train_ricir 0.248218, train_mae 0.012977, train_rmse 0.020483, train_mape 138.103821, train_acc 0.457883, valid_loss 0.0013619562, valid_ic 0.021647, valid_icir 0.351896, valid_ric 0.015662, valid_ricir 0.148942, valid_mae 0.032738, valid_rmse 0.039137, valid_mape 133.039642, valid_acc 0.266588, test_loss 0.000996, ic 0.012359, icir 0.317264, ric 0.021240, ricir 0.333944, prec@10 0.526337, prec@30 0.527709, test_mae 0.016653, test_rmse 0.030985, test_mape 535.928894, test_acc 0.502130
Epoch 96, train_loss 0.001061, train_ic 0.024190, train_icir 0.379840, train_ric 0.020310, train_ricir 0.259335, train_mae 0.017127, train_rmse 0.025810, train_mape 199.387650, train_acc 0.758516, valid_loss 0.0016472819, valid_ic 0.014572, valid_icir 0.270813, valid_ric 0.005496, valid_ricir 0.064563, valid_mae 0.021415, valid_rmse 0.029972, valid_mape 133.461517, valid_acc 0.870033, test_loss 0.001316, ic 0.007423, icir 0.226857, ric 0.007220, ricir 0.098337, prec@10 0.574074, prec@30 0.555007, test_mae 0.023184, test_rmse 0.035935, test_mape 4038.022217, test_acc 0.498838
Epoch 97, train_loss 0.001057, train_ic 0.030244, train_icir 0.494221, train_ric 0.014369, train_ricir 0.197032, train_mae 0.016950, train_rmse 0.024362, train_mape 128.481598, train_acc 0.700626, valid_loss 0.0014499977, valid_ic 0.017210, valid_icir 0.323813, valid_ric -0.001228, valid_ricir -0.013473, valid_mae 0.025906, valid_rmse 0.033560, valid_mape 114.812347, valid_acc 0.846741, test_loss 0.001086, ic 0.009930, icir 0.254579, ric 0.003890, ricir 0.064820, prec@10 0.543621, prec@30 0.518930, test_mae 0.018094, test_rmse 0.032482, test_mape 1901.140991, test_acc 0.496708
Epoch 98, train_loss 0.001051, train_ic 0.044724, train_icir 0.573702, train_ric 0.021712, train_ricir 0.243916, train_mae 0.023333, train_rmse 0.031421, train_mape 238.738754, train_acc 0.271436, valid_loss 0.0014991480, valid_ic 0.032173, valid_icir 0.374259, valid_ric 0.021430, valid_ricir 0.172594, valid_mae 0.023198, valid_rmse 0.031148, valid_mape 124.114372, valid_acc 0.872969, test_loss 0.001157, ic 0.014140, icir 0.263196, ric 0.010420, ricir 0.143126, prec@10 0.552675, prec@30 0.533059, test_mae 0.019753, test_rmse 0.033471, test_mape 2301.190186, test_acc 0.500775
Epoch 99, train_loss 0.001055, train_ic 0.020163, train_icir 0.283528, train_ric -0.003830, train_ricir -0.041441, train_mae 0.017348, train_rmse 0.026509, train_mape 168.815765, train_acc 0.570945, valid_loss 0.0013837865, valid_ic 0.013625, valid_icir 0.189578, valid_ric -0.005644, valid_ricir -0.045848, valid_mae 0.028283, valid_rmse 0.035682, valid_mape 113.170746, valid_acc 0.726757, test_loss 0.001030, ic 0.004563, icir 0.124520, ric -0.002465, ricir -0.028227, prec@10 0.545679, prec@30 0.524417, test_mae 0.016938, test_rmse 0.031066, test_mape 687.205933, test_acc 0.498257
Epoch 100, train_loss 0.001058, train_ic 0.029836, train_icir 0.433976, train_ric 0.000886, train_ricir 0.010756, train_mae 0.029933, train_rmse 0.040470, train_mape 136.691696, train_acc 0.443547, valid_loss 0.0013927436, valid_ic 0.023177, valid_icir 0.296738, valid_ric 0.001103, valid_ricir 0.009324, valid_mae 0.031800, valid_rmse 0.038859, valid_mape 132.218430, valid_acc 0.353690, test_loss 0.001010, ic 0.012257, icir 0.310628, ric 0.002036, ricir 0.031366, prec@10 0.562551, prec@30 0.538957, test_mae 0.017202, test_rmse 0.030917, test_mape 1123.933228, test_acc 0.486057
Epoch 101, train_loss 0.001057, train_ic 0.027154, train_icir 0.474733, train_ric 0.025946, train_ricir 0.403448, train_mae 0.015121, train_rmse 0.021873, train_mape 137.153931, train_acc 0.484443, valid_loss 0.0013913681, valid_ic 0.022015, valid_icir 0.424961, valid_ric 0.024424, valid_ricir 0.302183, valid_mae 0.034376, valid_rmse 0.040476, valid_mape 145.064514, valid_acc 0.211000, test_loss 0.001001, ic 0.007042, icir 0.166846, ric 0.023505, ricir 0.420951, prec@10 0.551852, prec@30 0.531962, test_mae 0.017236, test_rmse 0.031035, test_mape 1790.389648, test_acc 0.485283
Epoch 102, train_loss 0.001049, train_ic 0.048800, train_icir 0.693802, train_ric 0.013732, train_ricir 0.179561, train_mae 0.017036, train_rmse 0.025502, train_mape 131.119507, train_acc 0.635138, valid_loss 0.0013588459, valid_ic 0.034894, valid_icir 0.462685, valid_ric 0.009382, valid_ricir 0.085503, valid_mae 0.031458, valid_rmse 0.038207, valid_mape 125.611877, valid_acc 0.326678, test_loss 0.000984, ic 0.020748, icir 0.536371, ric 0.005039, ricir 0.099180, prec@10 0.547325, prec@30 0.535802, test_mae 0.016710, test_rmse 0.030785, test_mape 404.668579, test_acc 0.491479
Epoch 103, train_loss 0.001060, train_ic 0.039428, train_icir 0.578935, train_ric 0.034860, train_ricir 0.438323, train_mae 0.014918, train_rmse 0.021003, train_mape 169.779175, train_acc 0.369306, valid_loss 0.0013849102, valid_ic 0.028860, valid_icir 0.460052, valid_ric 0.026969, valid_ricir 0.263037, valid_mae 0.034784, valid_rmse 0.040942, valid_mape 145.842239, valid_acc 0.224702, test_loss 0.001009, ic 0.011767, icir 0.260242, ric 0.024469, ricir 0.377725, prec@10 0.570782, prec@30 0.552263, test_mae 0.017410, test_rmse 0.031234, test_mape 1568.100220, test_acc 0.480248
Epoch 104, train_loss 0.001053, train_ic 0.040349, train_icir 0.478661, train_ric 0.005852, train_ricir 0.053269, train_mae 0.023308, train_rmse 0.032229, train_mape 183.000290, train_acc 0.356101, valid_loss 0.0014172140, valid_ic 0.024849, valid_icir 0.293722, valid_ric -0.007693, valid_ricir -0.057416, valid_mae 0.027410, valid_rmse 0.035095, valid_mape 112.992622, valid_acc 0.709532, test_loss 0.001035, ic 0.017441, icir 0.385547, ric -0.003992, ricir -0.039552, prec@10 0.535802, prec@30 0.531962, test_mae 0.017723, test_rmse 0.031806, test_mape 1402.006958, test_acc 0.472502
Epoch 105, train_loss 0.001050, train_ic 0.035161, train_icir 0.571944, train_ric 0.010631, train_ricir 0.173872, train_mae 0.018932, train_rmse 0.027364, train_mape 153.643082, train_acc 0.741862, valid_loss 0.0014175793, valid_ic 0.022809, valid_icir 0.344855, valid_ric 0.008538, valid_ricir 0.096318, valid_mae 0.025252, valid_rmse 0.032950, valid_mape 116.328026, valid_acc 0.847524, test_loss 0.001084, ic 0.008368, icir 0.267169, ric -0.002966, ricir -0.073100, prec@10 0.538272, prec@30 0.520988, test_mae 0.018517, test_rmse 0.032408, test_mape 1624.294678, test_acc 0.492641
Epoch 106, train_loss 0.001045, train_ic 0.034408, train_icir 0.559301, train_ric 0.028127, train_ricir 0.398093, train_mae 0.020719, train_rmse 0.027014, train_mape 321.846588, train_acc 0.320901, valid_loss 0.0015111604, valid_ic 0.025492, valid_icir 0.416572, valid_ric 0.019923, valid_ricir 0.206407, valid_mae 0.042080, valid_rmse 0.047649, valid_mape 203.462357, valid_acc 0.119397, test_loss 0.001109, ic 0.011766, icir 0.366545, ric 0.019813, ricir 0.452796, prec@10 0.515638, prec@30 0.509739, test_mae 0.020928, test_rmse 0.032798, test_mape 3172.947021, test_acc 0.463594
Epoch 107, train_loss 0.001051, train_ic 0.040103, train_icir 0.593159, train_ric 0.014589, train_ricir 0.189637, train_mae 0.016602, train_rmse 0.024464, train_mape 1070.123291, train_acc 0.556186, valid_loss 0.0013625811, valid_ic 0.029748, valid_icir 0.430534, valid_ric 0.012417, valid_ricir 0.120163, valid_mae 0.027472, valid_rmse 0.034731, valid_mape 113.972137, valid_acc 0.769818, test_loss 0.001006, ic 0.011515, icir 0.309406, ric 0.002801, ricir 0.053050, prec@10 0.534979, prec@30 0.528258, test_mae 0.017013, test_rmse 0.031175, test_mape 646.102783, test_acc 0.478118
Epoch 108, train_loss 0.001052, train_ic 0.042470, train_icir 0.525373, train_ric -0.004448, train_ricir -0.045864, train_mae 0.030830, train_rmse 0.035507, train_mape 174.983353, train_acc 0.152734, valid_loss 0.0014562355, valid_ic 0.032047, valid_icir 0.351062, valid_ric -0.003768, valid_ricir -0.027795, valid_mae 0.038123, valid_rmse 0.044264, valid_mape 179.941315, valid_acc 0.177726, test_loss 0.001072, ic 0.019251, icir 0.454232, ric -0.009275, ricir -0.105857, prec@10 0.542798, prec@30 0.528944, test_mae 0.019327, test_rmse 0.031787, test_mape 1946.166748, test_acc 0.472502
Epoch 109, train_loss 0.001051, train_ic 0.023915, train_icir 0.340696, train_ric 0.021715, train_ricir 0.237474, train_mae 0.032502, train_rmse 0.039594, train_mape 100.334503, train_acc 0.504574, valid_loss 0.0013984821, valid_ic 0.011179, valid_icir 0.154349, valid_ric -0.000053, valid_ricir -0.000448, valid_mae 0.030336, valid_rmse 0.037494, valid_mape 123.447403, valid_acc 0.554707, test_loss 0.001022, ic 0.006771, icir 0.197430, ric 0.008078, ricir 0.113087, prec@10 0.534979, prec@30 0.509739, test_mae 0.017487, test_rmse 0.031795, test_mape 606.317627, test_acc 0.472308
Epoch 110, train_loss 0.001046, train_ic 0.030840, train_icir 0.457876, train_ric 0.022545, train_ricir 0.263590, train_mae 0.022047, train_rmse 0.029660, train_mape 179.018768, train_acc 0.393144, valid_loss 0.0014214877, valid_ic 0.017789, valid_icir 0.324684, valid_ric 0.002377, valid_ricir 0.023634, valid_mae 0.036758, valid_rmse 0.042997, valid_mape 161.105911, valid_acc 0.171266, test_loss 0.001026, ic 0.008405, icir 0.239098, ric 0.012689, ricir 0.169791, prec@10 0.573251, prec@30 0.548560, test_mae 0.018463, test_rmse 0.031430, test_mape 1868.724487, test_acc 0.470372
Epoch 111, train_loss 0.001054, train_ic 0.030075, train_icir 0.350186, train_ric 0.006665, train_ricir 0.061997, train_mae 0.022300, train_rmse 0.030376, train_mape 128.884964, train_acc 0.827050, valid_loss 0.0016345554, valid_ic 0.016345, valid_icir 0.190954, valid_ric -0.006867, valid_ricir -0.052693, valid_mae 0.022563, valid_rmse 0.030965, valid_mape 124.763199, valid_acc 0.860638, test_loss 0.001251, ic 0.012542, icir 0.214881, ric -0.003611, ricir -0.030970, prec@10 0.531687, prec@30 0.518930, test_mae 0.022185, test_rmse 0.034696, test_mape 4348.641113, test_acc 0.496708
Epoch 112, train_loss 0.001040, train_ic 0.038480, train_icir 0.487176, train_ric 0.007454, train_ricir 0.073786, train_mae 0.018354, train_rmse 0.025987, train_mape 9611.391602, train_acc 0.405922, valid_loss 0.0014105933, valid_ic 0.024633, valid_icir 0.297849, valid_ric -0.005150, valid_ricir -0.038698, valid_mae 0.034991, valid_rmse 0.041662, valid_mape 152.202774, valid_acc 0.223919, test_loss 0.001018, ic 0.015827, icir 0.356776, ric -0.004258, ricir -0.047221, prec@10 0.546502, prec@30 0.524691, test_mae 0.018046, test_rmse 0.031398, test_mape 978.440002, test_acc 0.472308
Epoch 113, train_loss 0.001035, train_ic 0.030468, train_icir 0.496317, train_ric 0.032631, train_ricir 0.484675, train_mae 0.025195, train_rmse 0.036289, train_mape 114.025238, train_acc 0.479939, valid_loss 0.0013774638, valid_ic 0.021518, valid_icir 0.333589, valid_ric 0.020979, valid_ricir 0.221585, valid_mae 0.031706, valid_rmse 0.038256, valid_mape 129.993347, valid_acc 0.404384, test_loss 0.000994, ic 0.010825, icir 0.241408, ric 0.024847, ricir 0.462385, prec@10 0.566667, prec@30 0.550069, test_mae 0.016982, test_rmse 0.031158, test_mape 578.222656, test_acc 0.484895
Epoch 114, train_loss 0.001045, train_ic 0.031188, train_icir 0.492034, train_ric 0.016733, train_ricir 0.261847, train_mae 0.021163, train_rmse 0.027321, train_mape 6389.637207, train_acc 0.286521, valid_loss 0.0015609912, valid_ic 0.020730, valid_icir 0.294545, valid_ric 0.009891, valid_ricir 0.117695, valid_mae 0.023203, valid_rmse 0.031163, valid_mape 125.417961, valid_acc 0.849481, test_loss 0.001196, ic 0.006936, icir 0.198647, ric 0.004594, ricir 0.118594, prec@10 0.608642, prec@30 0.586831, test_mae 0.020894, test_rmse 0.033881, test_mape 3319.467529, test_acc 0.499032
Epoch 115, train_loss 0.001041, train_ic 0.033319, train_icir 0.572413, train_ric 0.024312, train_ricir 0.409510, train_mae 0.028291, train_rmse 0.036232, train_mape 127.679169, train_acc 0.391912, valid_loss 0.0014260478, valid_ic 0.021669, valid_icir 0.378370, valid_ric 0.016849, valid_ricir 0.208785, valid_mae 0.033132, valid_rmse 0.040166, valid_mape 138.836548, valid_acc 0.318262, test_loss 0.001043, ic 0.010602, icir 0.368923, ric 0.012212, ricir 0.373241, prec@10 0.499177, prec@30 0.490947, test_mae 0.018104, test_rmse 0.032136, test_mape 1363.124268, test_acc 0.470372
Epoch 116, train_loss 0.001045, train_ic 0.046398, train_icir 0.544474, train_ric 0.020136, train_ricir 0.175587, train_mae 0.023592, train_rmse 0.031147, train_mape 114.222649, train_acc 0.611328, valid_loss 0.0014089976, valid_ic 0.029074, valid_icir 0.359481, valid_ric -0.000029, valid_ricir -0.000216, valid_mae 0.030062, valid_rmse 0.037224, valid_mape 121.887711, valid_acc 0.535721, test_loss 0.001002, ic 0.020563, icir 0.426278, ric 0.002006, ricir 0.019175, prec@10 0.518107, prec@30 0.519342, test_mae 0.017273, test_rmse 0.031259, test_mape 930.292725, test_acc 0.459915
Epoch 117, train_loss 0.001038, train_ic 0.022419, train_icir 0.283093, train_ric 0.020131, train_ricir 0.183070, train_mae 0.013932, train_rmse 0.020045, train_mape 146.211823, train_acc 0.652243, valid_loss 0.0014521085, valid_ic 0.011322, valid_icir 0.148114, valid_ric 0.000526, valid_ricir 0.003961, valid_mae 0.027513, valid_rmse 0.035103, valid_mape 116.255524, valid_acc 0.721276, test_loss 0.001038, ic 0.008987, icir 0.193144, ric 0.016062, ricir 0.167584, prec@10 0.520576, prec@30 0.515364, test_mae 0.017510, test_rmse 0.031530, test_mape 1312.482666, test_acc 0.495352
Epoch 118, train_loss 0.001034, train_ic 0.043968, train_icir 0.615665, train_ric 0.020526, train_ricir 0.271238, train_mae 0.030923, train_rmse 0.037500, train_mape 114.838303, train_acc 0.347170, valid_loss 0.0013895169, valid_ic 0.033499, valid_icir 0.433565, valid_ric 0.020420, valid_ricir 0.196475, valid_mae 0.030897, valid_rmse 0.037599, valid_mape 124.699234, valid_acc 0.395576, test_loss 0.001003, ic 0.011471, icir 0.227023, ric 0.008849, ricir 0.160637, prec@10 0.611523, prec@30 0.574897, test_mae 0.016877, test_rmse 0.030473, test_mape 296.170898, test_acc 0.488962
Epoch 119, train_loss 0.001037, train_ic 0.044770, train_icir 0.662669, train_ric 0.027124, train_ricir 0.371402, train_mae 0.086419, train_rmse 0.091869, train_mape 120.458138, train_acc 0.094194, valid_loss 0.0014235836, valid_ic 0.027995, valid_icir 0.402345, valid_ric 0.014541, valid_ricir 0.142677, valid_mae 0.037294, valid_rmse 0.043196, valid_mape 167.084854, valid_acc 0.169505, test_loss 0.001021, ic 0.017156, icir 0.425374, ric 0.016260, ricir 0.351183, prec@10 0.553909, prec@30 0.537037, test_mae 0.018480, test_rmse 0.031061, test_mape 1772.897339, test_acc 0.476181
Epoch 120, train_loss 0.001030, train_ic 0.036505, train_icir 0.513890, train_ric 0.033213, train_ricir 0.425390, train_mae 0.027724, train_rmse 0.031931, train_mape 338.613495, train_acc 0.101242, valid_loss 0.0016403612, valid_ic 0.032273, valid_icir 0.413420, valid_ric 0.034769, valid_ricir 0.323526, valid_mae 0.021298, valid_rmse 0.029358, valid_mape 137.578278, valid_acc 0.878058, test_loss 0.001321, ic 0.011212, icir 0.204054, ric 0.027050, ricir 0.376675, prec@10 0.528395, prec@30 0.529081, test_mae 0.023054, test_rmse 0.035904, test_mape 3179.434082, test_acc 0.501743
