Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 20,
        "valid_year": 2019,
        "test_year": 2020,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 146, train_loss 0.001119, train_ic 0.060899, train_icir 0.664439, train_ric 0.054360, train_ricir 0.521167, valid_loss 0.0009011992 , valid_ic 0.016667, valid_icir 0.362948, valid_ric 0.017981, valid_ricir 0.240394, test_loss 0.001403, ic 0.005110, icir 0.131108, ric 0.015128, ricir 0.184358, prec@10 0.575720, prec@30 0.555556 
Epoch 147, train_loss 0.001130, train_ic 0.050045, train_icir 0.588555, train_ric 0.027452, train_ricir 0.278723, valid_loss 0.0009742565 , valid_ic 0.010553, valid_icir 0.323871, valid_ric 0.011948, valid_ricir 0.189419, test_loss 0.001509, ic 0.003860, icir 0.122421, ric 0.007015, ricir 0.080950, prec@10 0.568724, prec@30 0.550343 
Epoch 148, train_loss 0.001127, train_ic 0.055669, train_icir 0.607857, train_ric 0.023258, train_ricir 0.224820, valid_loss 0.0009817126 , valid_ic 0.024110, valid_icir 0.579375, valid_ric 0.004609, valid_ricir 0.071288, test_loss 0.001455, ic 0.020994, icir 0.518046, ric 0.013395, ricir 0.143194, prec@10 0.564609, prec@30 0.560219 
Epoch 149, train_loss 0.001099, train_ic 0.071808, train_icir 0.708805, train_ric 0.025483, train_ricir 0.211127, valid_loss 0.0009404812 , valid_ic 0.020748, valid_icir 0.404879, valid_ric -0.011419, valid_ricir -0.159655, test_loss 0.001448, ic 0.015031, icir 0.282120, ric 0.002160, ricir 0.022451, prec@10 0.581481, prec@30 0.568724 
Epoch 150, train_loss 0.001119, train_ic 0.059689, train_icir 0.601282, train_ric 0.046950, train_ricir 0.414879, valid_loss 0.0009316161 , valid_ic 0.014393, valid_icir 0.252167, valid_ric 0.011944, valid_ricir 0.141124, test_loss 0.001454, ic 0.003567, icir 0.070979, ric 0.012167, ricir 0.122246, prec@10 0.573251, prec@30 0.554870 
Epoch 151, train_loss 0.001116, train_ic 0.053610, train_icir 0.506168, train_ric 0.032129, train_ricir 0.277529, valid_loss 0.0009710291 , valid_ic 0.006683, valid_icir 0.108936, valid_ric -0.002059, valid_ricir -0.025255, test_loss 0.001539, ic -0.003200, icir -0.048672, ric -0.001282, ricir -0.011004, prec@10 0.591770, prec@30 0.606996 
Epoch 152, train_loss 0.001118, train_ic 0.054114, train_icir 0.706651, train_ric 0.036469, train_ricir 0.453611, valid_loss 0.0009638637 , valid_ic 0.015091, valid_icir 0.316968, valid_ric 0.002920, valid_ricir 0.067576, test_loss 0.001535, ic 0.003816, icir 0.069246, ric -0.000355, ricir -0.006747, prec@10 0.578601, prec@30 0.590398 
Epoch 153, train_loss 0.001110, train_ic 0.052998, train_icir 0.667590, train_ric 0.017234, train_ricir 0.196177, valid_loss 0.0010749889 , valid_ic 0.016596, valid_icir 0.513616, valid_ric 0.004451, valid_ricir 0.095839, test_loss 0.001552, ic 0.008108, icir 0.266494, ric 0.003691, ricir 0.065905, prec@10 0.577366, prec@30 0.558299 
Epoch 154, train_loss 0.001129, train_ic 0.061504, train_icir 0.776899, train_ric 0.046232, train_ricir 0.527084, valid_loss 0.0011473874 , valid_ic 0.018255, valid_icir 0.505826, valid_ric 0.015669, valid_ricir 0.288940, test_loss 0.001623, ic 0.010691, icir 0.292567, ric 0.016679, ricir 0.274126, prec@10 0.580658, prec@30 0.549794 
Epoch 155, train_loss 0.001111, train_ic 0.060621, train_icir 0.676438, train_ric 0.019743, train_ricir 0.206711, valid_loss 0.0010857824 , valid_ic 0.020520, valid_icir 0.541156, valid_ric 0.002560, valid_ricir 0.053745, test_loss 0.001550, ic 0.011304, icir 0.315042, ric 0.002930, ricir 0.050854, prec@10 0.602058, prec@30 0.563100 
Epoch 156, train_loss 0.001126, train_ic 0.066117, train_icir 0.719052, train_ric 0.023732, train_ricir 0.211207, valid_loss 0.0008814572 , valid_ic 0.018389, valid_icir 0.498875, valid_ric -0.000480, valid_ricir -0.006943, test_loss 0.001387, ic 0.012183, icir 0.346062, ric 0.006931, ricir 0.078517, prec@10 0.572016, prec@30 0.558848 
Epoch 157, train_loss 0.001115, train_ic 0.067233, train_icir 0.727256, train_ric 0.019410, train_ricir 0.182190, valid_loss 0.0009180547 , valid_ic 0.023503, valid_icir 0.636494, valid_ric -0.004683, valid_ricir -0.095751, test_loss 0.001383, ic 0.015550, icir 0.413225, ric 0.005461, ricir 0.090404, prec@10 0.562551, prec@30 0.564060 
Epoch 158, train_loss 0.001106, train_ic 0.057937, train_icir 0.711323, train_ric 0.036852, train_ricir 0.392086, valid_loss 0.0010983600 , valid_ic 0.016531, valid_icir 0.468658, valid_ric 0.013491, valid_ricir 0.223603, test_loss 0.001608, ic 0.007834, icir 0.226875, ric 0.012155, ricir 0.153703, prec@10 0.572428, prec@30 0.554733 
Epoch 159, train_loss 0.001103, train_ic 0.063000, train_icir 0.780050, train_ric 0.029527, train_ricir 0.345007, valid_loss 0.0009061158 , valid_ic 0.015906, valid_icir 0.381273, valid_ric 0.000442, valid_ricir 0.009860, test_loss 0.001417, ic 0.007814, icir 0.189127, ric 0.004042, ricir 0.075792, prec@10 0.595062, prec@30 0.565021 
Epoch 160, train_loss 0.001110, train_ic 0.062157, train_icir 0.722209, train_ric 0.040609, train_ricir 0.439273, valid_loss 0.0009170219 , valid_ic 0.011686, valid_icir 0.266660, valid_ric 0.004124, valid_ricir 0.070009, test_loss 0.001436, ic 0.001898, icir 0.042356, ric 0.005157, ricir 0.060817, prec@10 0.562140, prec@30 0.597257 
Epoch 161, train_loss 0.001126, train_ic 0.061077, train_icir 0.657026, train_ric 0.033769, train_ricir 0.306720, valid_loss 0.0008820793 , valid_ic 0.018911, valid_icir 0.449311, valid_ric 0.005250, valid_ricir 0.071399, test_loss 0.001350, ic 0.015397, icir 0.399236, ric 0.010152, ricir 0.105925, prec@10 0.569959, prec@30 0.548971 
Epoch 162, train_loss 0.001105, train_ic 0.066234, train_icir 0.771552, train_ric 0.033024, train_ricir 0.320014, valid_loss 0.0009047471 , valid_ic 0.015767, valid_icir 0.410353, valid_ric 0.003023, valid_ricir 0.045177, test_loss 0.001385, ic 0.009026, icir 0.252493, ric 0.007538, ricir 0.099737, prec@10 0.579424, prec@30 0.567627 
Epoch 163, train_loss 0.001089, train_ic 0.048906, train_icir 0.507215, train_ric 0.012350, train_ricir 0.108219, valid_loss 0.0008933200 , valid_ic 0.019141, valid_icir 0.434036, valid_ric 0.002820, valid_ricir 0.033447, test_loss 0.001362, ic 0.014764, icir 0.352514, ric 0.003739, ricir 0.035117, prec@10 0.579424, prec@30 0.556379 
Epoch 164, train_loss 0.001104, train_ic 0.067824, train_icir 0.735885, train_ric 0.049406, train_ricir 0.498297, valid_loss 0.0010510708 , valid_ic 0.011236, valid_icir 0.209064, valid_ric 0.008858, valid_ricir 0.120142, test_loss 0.001564, ic 0.001315, icir 0.025923, ric 0.009738, ricir 0.103526, prec@10 0.564198, prec@30 0.557339 
Epoch 165, train_loss 0.001096, train_ic 0.059215, train_icir 0.652980, train_ric 0.022295, train_ricir 0.198677, valid_loss 0.0011133034 , valid_ic 0.019971, valid_icir 0.492681, valid_ric -0.000049, valid_ricir -0.000654, test_loss 0.001557, ic 0.015392, icir 0.412926, ric 0.005019, ricir 0.054515, prec@10 0.593004, prec@30 0.558711 
Epoch 166, train_loss 0.001102, train_ic 0.071010, train_icir 0.765749, train_ric 0.038810, train_ricir 0.372138, valid_loss 0.0009027750 , valid_ic 0.012855, valid_icir 0.276640, valid_ric -0.001193, valid_ricir -0.019574, test_loss 0.001400, ic 0.005389, icir 0.120234, ric 0.006110, ricir 0.078934, prec@10 0.586420, prec@30 0.604801 
Epoch 167, train_loss 0.001124, train_ic 0.067320, train_icir 0.779625, train_ric 0.051510, train_ricir 0.536565, valid_loss 0.0010521109 , valid_ic 0.007146, valid_icir 0.168541, valid_ric 0.008989, valid_ricir 0.144269, test_loss 0.001540, ic -0.000520, icir -0.012499, ric 0.009040, ricir 0.117204, prec@10 0.542387, prec@30 0.538957 
Epoch 168, train_loss 0.001105, train_ic 0.060576, train_icir 0.770953, train_ric 0.041527, train_ricir 0.453407, valid_loss 0.0009055090 , valid_ic 0.021526, valid_icir 0.524564, valid_ric 0.006533, valid_ricir 0.121608, test_loss 0.001420, ic 0.012609, icir 0.292498, ric 0.010903, ricir 0.173087, prec@10 0.582305, prec@30 0.562003 
Epoch 169, train_loss 0.001097, train_ic 0.071117, train_icir 0.730402, train_ric 0.011336, train_ricir 0.097898, valid_loss 0.0008835873 , valid_ic 0.024195, valid_icir 0.540956, valid_ric -0.014102, valid_ricir -0.236803, test_loss 0.001335, ic 0.019850, icir 0.459899, ric -0.000989, ricir -0.014521, prec@10 0.597119, prec@30 0.570782 
Epoch 170, train_loss 0.001115, train_ic 0.071358, train_icir 0.769758, train_ric 0.017006, train_ricir 0.161281, valid_loss 0.0008716600 , valid_ic 0.020780, valid_icir 0.442222, valid_ric -0.013993, valid_ricir -0.236444, test_loss 0.001319, ic 0.014882, icir 0.349634, ric -0.002324, ricir -0.032816, prec@10 0.595473, prec@30 0.570233 
Epoch 171, train_loss 0.001095, train_ic 0.058709, train_icir 0.703002, train_ric 0.029239, train_ricir 0.328093, valid_loss 0.0008854533 , valid_ic 0.010785, valid_icir 0.289617, valid_ric 0.005796, valid_ricir 0.157077, test_loss 0.001364, ic 0.002699, icir 0.085571, ric 0.002267, ricir 0.050653, prec@10 0.589712, prec@30 0.586968 
Epoch 172, train_loss 0.001100, train_ic 0.070323, train_icir 0.746895, train_ric 0.034616, train_ricir 0.346936, valid_loss 0.0008661304 , valid_ic 0.021444, valid_icir 0.490622, valid_ric 0.004143, valid_ricir 0.072250, test_loss 0.001306, ic 0.012088, icir 0.323824, ric 0.006627, ricir 0.088960, prec@10 0.603292, prec@30 0.571468 
Epoch 173, train_loss 0.001103, train_ic 0.077032, train_icir 0.917701, train_ric 0.035103, train_ricir 0.388231, valid_loss 0.0008998911 , valid_ic 0.024447, valid_icir 0.639057, valid_ric 0.002526, valid_ricir 0.054016, test_loss 0.001336, ic 0.015856, icir 0.470688, ric 0.011662, ricir 0.187156, prec@10 0.598354, prec@30 0.562826 
Epoch 174, train_loss 0.001089, train_ic 0.067398, train_icir 0.665068, train_ric 0.021325, train_ricir 0.186210, valid_loss 0.0009120904 , valid_ic 0.016958, valid_icir 0.348765, valid_ric -0.009522, valid_ricir -0.141428, test_loss 0.001367, ic 0.008738, icir 0.174817, ric -0.002131, ricir -0.021720, prec@10 0.597119, prec@30 0.563100 
Epoch 175, train_loss 0.001108, train_ic 0.035264, train_icir 0.369036, train_ric 0.059631, train_ricir 0.532006, valid_loss 0.0009196372 , valid_ic 0.002918, valid_icir 0.053338, valid_ric 0.029641, valid_ricir 0.352745, test_loss 0.001415, ic -0.009987, icir -0.185799, ric 0.013940, ricir 0.143044, prec@10 0.555967, prec@30 0.583676 
Epoch 176, train_loss 0.001098, train_ic 0.065640, train_icir 0.779742, train_ric 0.031568, train_ricir 0.352714, valid_loss 0.0010372269 , valid_ic 0.019009, valid_icir 0.468796, valid_ric 0.002875, valid_ricir 0.070188, test_loss 0.001479, ic 0.010249, icir 0.267193, ric 0.004387, ricir 0.087874, prec@10 0.572840, prec@30 0.554184 
Epoch 177, train_loss 0.001102, train_ic 0.062162, train_icir 0.740247, train_ric 0.021927, train_ricir 0.240448, valid_loss 0.0008793708 , valid_ic 0.021129, valid_icir 0.510390, valid_ric 0.001907, valid_ricir 0.035332, test_loss 0.001342, ic 0.012573, icir 0.336934, ric 0.004689, ricir 0.071651, prec@10 0.576955, prec@30 0.560768 
Epoch 178, train_loss 0.001080, train_ic 0.055439, train_icir 0.684653, train_ric 0.032079, train_ricir 0.349524, valid_loss 0.0012412792 , valid_ic 0.015823, valid_icir 0.412486, valid_ric 0.004601, valid_ricir 0.085892, test_loss 0.001724, ic 0.008278, icir 0.223718, ric 0.008063, ricir 0.132522, prec@10 0.557202, prec@30 0.539369 
Epoch 179, train_loss 0.001111, train_ic 0.053236, train_icir 0.571410, train_ric 0.020254, train_ricir 0.184165, valid_loss 0.0009382435 , valid_ic 0.021382, valid_icir 0.490282, valid_ric 0.007291, valid_ricir 0.090779, test_loss 0.001356, ic 0.016642, icir 0.403297, ric 0.007743, ricir 0.073696, prec@10 0.588066, prec@30 0.569959 
Epoch 180, train_loss 0.001096, train_ic 0.057665, train_icir 0.599260, train_ric 0.022065, train_ricir 0.195737, valid_loss 0.0008865293 , valid_ic 0.026452, valid_icir 0.574099, valid_ric 0.005386, valid_ricir 0.066213, test_loss 0.001311, ic 0.022285, icir 0.473613, ric 0.014206, ricir 0.127415, prec@10 0.588889, prec@30 0.564060 
Epoch 181, train_loss 0.001097, train_ic 0.069146, train_icir 0.817831, train_ric 0.045012, train_ricir 0.487912, valid_loss 0.0008619123 , valid_ic 0.021164, valid_icir 0.600166, valid_ric 0.012359, valid_ricir 0.260255, test_loss 0.001289, ic 0.013618, icir 0.425960, ric 0.013178, ricir 0.264240, prec@10 0.576132, prec@30 0.551029 
Epoch 182, train_loss 0.001091, train_ic 0.063544, train_icir 0.704369, train_ric 0.026035, train_ricir 0.242408, valid_loss 0.0009340134 , valid_ic 0.025895, valid_icir 0.710934, valid_ric 0.007599, valid_ricir 0.112071, test_loss 0.001343, ic 0.022053, icir 0.584074, ric 0.018055, ricir 0.198397, prec@10 0.555556, prec@30 0.554870 
Epoch 183, train_loss 0.001092, train_ic 0.067798, train_icir 0.813990, train_ric 0.042281, train_ricir 0.442044, valid_loss 0.0008710089 , valid_ic 0.024171, valid_icir 0.683642, valid_ric 0.011620, valid_ricir 0.241914, test_loss 0.001309, ic 0.014073, icir 0.366221, ric 0.016920, ricir 0.291943, prec@10 0.573251, prec@30 0.559945 
Epoch 184, train_loss 0.001091, train_ic 0.047409, train_icir 0.532969, train_ric 0.044056, train_ricir 0.445595, valid_loss 0.0009055178 , valid_ic 0.012164, valid_icir 0.281069, valid_ric 0.014696, valid_ricir 0.221754, test_loss 0.001370, ic 0.003240, icir 0.069550, ric 0.008125, ricir 0.099320, prec@10 0.576955, prec@30 0.544993 
Epoch 185, train_loss 0.001101, train_ic 0.041949, train_icir 0.529216, train_ric 0.045913, train_ricir 0.513521, valid_loss 0.0009554917 , valid_ic 0.010186, valid_icir 0.232619, valid_ric 0.019019, valid_ricir 0.285165, test_loss 0.001408, ic -0.000424, icir -0.010431, ric 0.009549, ricir 0.121257, prec@10 0.558436, prec@30 0.548285 
Epoch 186, train_loss 0.001100, train_ic 0.061274, train_icir 0.730527, train_ric 0.034125, train_ricir 0.375549, valid_loss 0.0008595295 , valid_ic 0.016075, valid_icir 0.386994, valid_ric 0.002869, valid_ricir 0.058026, test_loss 0.001306, ic 0.006810, icir 0.155923, ric 0.003750, ricir 0.055367, prec@10 0.589300, prec@30 0.563512 
Epoch 187, train_loss 0.001104, train_ic 0.060312, train_icir 0.793724, train_ric 0.047169, train_ricir 0.567641, valid_loss 0.0008590287 , valid_ic 0.014587, valid_icir 0.438682, valid_ric 0.015399, valid_ricir 0.339960, test_loss 0.001290, ic 0.005231, icir 0.155548, ric 0.012441, ricir 0.242461, prec@10 0.573251, prec@30 0.551440 
Epoch 188, train_loss 0.001070, train_ic 0.060762, train_icir 0.613573, train_ric 0.031036, train_ricir 0.287595, valid_loss 0.0009676217 , valid_ic 0.012213, valid_icir 0.204298, valid_ric 0.001991, valid_ricir 0.026547, test_loss 0.001417, ic 0.002744, icir 0.048882, ric 0.002074, ricir 0.021281, prec@10 0.628807, prec@30 0.606173 
Epoch 189, train_loss 0.001099, train_ic 0.078775, train_icir 0.958338, train_ric 0.047541, train_ricir 0.536910, valid_loss 0.0009786767 , valid_ic 0.025519, valid_icir 0.686805, valid_ric 0.010931, valid_ricir 0.239992, test_loss 0.001401, ic 0.017402, icir 0.570119, ric 0.017288, ricir 0.339689, prec@10 0.595062, prec@30 0.566804 
Epoch 190, train_loss 0.001087, train_ic 0.068490, train_icir 0.816700, train_ric 0.041892, train_ricir 0.446329, valid_loss 0.0010237711 , valid_ic 0.017463, valid_icir 0.455207, valid_ric 0.002542, valid_ricir 0.047356, test_loss 0.001454, ic 0.008854, icir 0.249635, ric 0.008559, ricir 0.130075, prec@10 0.555556, prec@30 0.552263 
Epoch 191, train_loss 0.001082, train_ic 0.062715, train_icir 0.663597, train_ric 0.030305, train_ricir 0.296344, valid_loss 0.0011370980 , valid_ic 0.015559, valid_icir 0.333369, valid_ric 0.005973, valid_ricir 0.108761, test_loss 0.001599, ic 0.004818, icir 0.106957, ric 0.008970, ricir 0.132396, prec@10 0.608230, prec@30 0.607545 
Epoch 192, train_loss 0.001095, train_ic 0.069551, train_icir 0.783531, train_ric 0.023178, train_ricir 0.243831, valid_loss 0.0008697494 , valid_ic 0.025398, valid_icir 0.552437, valid_ric -0.004425, valid_ricir -0.103540, test_loss 0.001296, ic 0.021041, icir 0.513237, ric 0.003343, ricir 0.059486, prec@10 0.601235, prec@30 0.568999 
Epoch 193, train_loss 0.001081, train_ic 0.072205, train_icir 0.696540, train_ric 0.034322, train_ricir 0.288552, valid_loss 0.0012113700 , valid_ic 0.022662, valid_icir 0.381051, valid_ric -0.004305, valid_ricir -0.054074, test_loss 0.001709, ic 0.011287, icir 0.182614, ric 0.003645, ricir 0.033188, prec@10 0.588066, prec@30 0.570919 
Epoch 194, train_loss 0.001086, train_ic 0.073706, train_icir 0.850313, train_ric 0.035765, train_ricir 0.362891, valid_loss 0.0009182830 , valid_ic 0.030984, valid_icir 0.770692, valid_ric 0.007990, valid_ricir 0.162172, test_loss 0.001333, ic 0.022078, icir 0.581955, ric 0.013875, ricir 0.218972, prec@10 0.571193, prec@30 0.565432 
Epoch 195, train_loss 0.001081, train_ic 0.049165, train_icir 0.584166, train_ric 0.047226, train_ricir 0.533523, valid_loss 0.0008806458 , valid_ic 0.011748, valid_icir 0.262140, valid_ric 0.015832, valid_ricir 0.263868, test_loss 0.001319, ic 0.001122, icir 0.021869, ric 0.009672, ricir 0.124615, prec@10 0.562551, prec@30 0.536763 
Epoch 196, train_loss 0.001090, train_ic 0.070601, train_icir 0.803119, train_ric 0.032787, train_ricir 0.338680, valid_loss 0.0008990246 , valid_ic 0.021762, valid_icir 0.479797, valid_ric 0.001949, valid_ricir 0.037414, test_loss 0.001323, ic 0.012442, icir 0.306025, ric 0.008522, ricir 0.129961, prec@10 0.578601, prec@30 0.557476 
Epoch 197, train_loss 0.001055, train_ic 0.075009, train_icir 0.886402, train_ric 0.034504, train_ricir 0.385630, valid_loss 0.0008860822 , valid_ic 0.019433, valid_icir 0.441177, valid_ric 0.000938, valid_ricir 0.023209, test_loss 0.001353, ic 0.008461, icir 0.232534, ric 0.004663, ricir 0.105600, prec@10 0.586831, prec@30 0.570782 
Epoch 198, train_loss 0.001089, train_ic 0.071206, train_icir 0.875188, train_ric 0.046256, train_ricir 0.542960, valid_loss 0.0009661683 , valid_ic 0.020342, valid_icir 0.527768, valid_ric 0.014784, valid_ricir 0.316772, test_loss 0.001375, ic 0.010562, icir 0.335208, ric 0.011339, ricir 0.222864, prec@10 0.590123, prec@30 0.560905 
Epoch 199, train_loss 0.001079, train_ic 0.065205, train_icir 0.783482, train_ric 0.040076, train_ricir 0.430187, valid_loss 0.0009139054 , valid_ic 0.016467, valid_icir 0.418213, valid_ric 0.007297, valid_ricir 0.149198, test_loss 0.001345, ic 0.007399, icir 0.212263, ric 0.007219, ricir 0.142720, prec@10 0.577778, prec@30 0.554595 
Epoch 200, train_loss 0.001081, train_ic 0.062824, train_icir 0.763606, train_ric 0.036775, train_ricir 0.393473, valid_loss 0.0008644848 , valid_ic 0.020937, valid_icir 0.667065, valid_ric 0.009557, valid_ricir 0.215381, test_loss 0.001268, ic 0.012342, icir 0.406652, ric 0.014769, ricir 0.287803, prec@10 0.553909, prec@30 0.563374 
Best valid loss: 0
Best valid loss epoch: 187
Model saved to:  ../saved_models/LSTM/LSTM-CSI-2026-04-06-12-20-37
------- Test -----
{'IC': np.float64(0.012342362445020546), 'ICIR': np.float64(0.4066517226204332), 'RIC': np.float64(0.01476937954340605), 'RICIR': np.float64(0.28780311077006904), 'Prec@10': np.float64(0.553909465020576), 'Prec@30': np.float64(0.5633744855967078), 'MAE': np.float32(0.019191077), 'MAPE': np.float32(141.92012), 'RMSE': np.float32(0.034111924), 'ACC': np.float64(0.6437454279444038)}
