Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 20,
        "valid_year": 2019,
        "test_year": 2020,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 26, train_loss 0.001441, train_ic 0.009513, train_icir 0.140351, train_ric 0.006685, train_ricir 0.075904, valid_loss 0.0014214191 , valid_ic -0.005307, valid_icir -0.135219, valid_ric 0.000307, valid_ricir 0.005069, test_loss 0.003224, ic -0.010056, icir -0.227745, ric -0.006413, ricir -0.084095, prec@10 0.627984, prec@30 0.594787 
Epoch 27, train_loss 0.001409, train_ic 0.012700, train_icir 0.197129, train_ric 0.005805, train_ricir 0.060934, valid_loss 0.0013790845 , valid_ic -0.002703, valid_icir -0.073610, valid_ric -0.005274, valid_ricir -0.088847, test_loss 0.003093, ic -0.007585, icir -0.155086, ric -0.010356, ricir -0.122785, prec@10 0.532922, prec@30 0.504115 
Epoch 28, train_loss 0.001426, train_ic 0.030227, train_icir 0.425054, train_ric -0.005718, train_ricir -0.052232, valid_loss 0.0015515299 , valid_ic 0.006886, valid_icir 0.234741, valid_ric -0.014695, valid_ricir -0.233615, test_loss 0.003205, ic 0.002181, icir 0.061581, ric -0.003656, ricir -0.050160, prec@10 0.585597, prec@30 0.564746 
Epoch 29, train_loss 0.001396, train_ic 0.038700, train_icir 0.447825, train_ric 0.016754, train_ricir 0.126662, valid_loss 0.0012321913 , valid_ic 0.004201, valid_icir 0.106562, valid_ric -0.009060, valid_ricir -0.105302, test_loss 0.002838, ic -0.001921, icir -0.043958, ric 0.002468, ricir 0.022475, prec@10 0.548560, prec@30 0.537311 
Epoch 30, train_loss 0.001358, train_ic 0.026875, train_icir 0.366851, train_ric -0.010403, train_ricir -0.090757, valid_loss 0.0013567786 , valid_ic 0.007173, valid_icir 0.241917, valid_ric -0.010905, valid_ricir -0.138488, test_loss 0.002909, ic 0.002006, icir 0.058093, ric -0.000547, ricir -0.005496, prec@10 0.562551, prec@30 0.550754 
Epoch 31, train_loss 0.001354, train_ic 0.031598, train_icir 0.379051, train_ric 0.021127, train_ricir 0.162008, valid_loss 0.0012552287 , valid_ic 0.007789, valid_icir 0.241336, valid_ric 0.002977, valid_ricir 0.035079, test_loss 0.002788, ic 0.003053, icir 0.087070, ric 0.014297, ricir 0.121184, prec@10 0.543210, prec@30 0.536214 
Epoch 32, train_loss 0.001394, train_ic 0.017295, train_icir 0.235829, train_ric 0.025781, train_ricir 0.233237, valid_loss 0.0013948254 , valid_ic 0.001705, valid_icir 0.062212, valid_ric 0.012516, valid_ricir 0.169039, test_loss 0.002879, ic -0.001561, icir -0.046534, ric 0.012147, ricir 0.119379, prec@10 0.540741, prec@30 0.529218 
Epoch 33, train_loss 0.001329, train_ic 0.023465, train_icir 0.330911, train_ric 0.009312, train_ricir 0.089678, valid_loss 0.0012258452 , valid_ic 0.000125, valid_icir 0.004200, valid_ric -0.006084, valid_ricir -0.081924, test_loss 0.002699, ic -0.002491, icir -0.069535, ric -0.001738, ricir -0.020956, prec@10 0.548560, prec@30 0.522771 
Epoch 34, train_loss 0.001372, train_ic 0.034846, train_icir 0.547831, train_ric 0.017464, train_ricir 0.191190, valid_loss 0.0011521818 , valid_ic 0.004901, valid_icir 0.152060, valid_ric -0.006371, valid_ricir -0.116976, test_loss 0.002585, ic -0.000828, icir -0.021545, ric 0.003386, ricir 0.052318, prec@10 0.579012, prec@30 0.549246 
Epoch 35, train_loss 0.001332, train_ic 0.039686, train_icir 0.445724, train_ric 0.015778, train_ricir 0.122744, valid_loss 0.0013713565 , valid_ic 0.004699, valid_icir 0.105967, valid_ric -0.009741, valid_ricir -0.110731, test_loss 0.002817, ic -0.003988, icir -0.083601, ric 0.000431, ricir 0.003833, prec@10 0.639095, prec@30 0.606173 
Epoch 36, train_loss 0.001335, train_ic 0.017291, train_icir 0.288887, train_ric 0.026917, train_ricir 0.330560, valid_loss 0.0012388055 , valid_ic 0.001347, valid_icir 0.046323, valid_ric 0.012165, valid_ricir 0.239709, test_loss 0.002621, ic -0.004274, icir -0.110303, ric 0.010874, ricir 0.173429, prec@10 0.521811, prec@30 0.518793 
Epoch 37, train_loss 0.001323, train_ic 0.011711, train_icir 0.156624, train_ric 0.039977, train_ricir 0.365832, valid_loss 0.0012068605 , valid_ic -0.005878, valid_icir -0.157509, valid_ric 0.021167, valid_ricir 0.260083, test_loss 0.002587, ic -0.010663, icir -0.244721, ric 0.008797, ricir 0.093404, prec@10 0.608642, prec@30 0.574486 
Epoch 38, train_loss 0.001308, train_ic 0.023442, train_icir 0.305180, train_ric 0.011252, train_ricir 0.101130, valid_loss 0.0013143265 , valid_ic 0.003145, valid_icir 0.102936, valid_ric 0.004666, valid_ricir 0.082745, test_loss 0.002661, ic -0.004194, icir -0.117099, ric 0.007188, ricir 0.118391, prec@10 0.562140, prec@30 0.574211 
Epoch 39, train_loss 0.001324, train_ic 0.034929, train_icir 0.404064, train_ric 0.032581, train_ricir 0.278282, valid_loss 0.0012433330 , valid_ic -0.000209, valid_icir -0.004840, valid_ric -0.000529, valid_ricir -0.006814, test_loss 0.002616, ic -0.005211, icir -0.127965, ric 0.008034, ricir 0.088190, prec@10 0.631687, prec@30 0.592318 
Epoch 40, train_loss 0.001308, train_ic 0.032115, train_icir 0.388144, train_ric 0.018817, train_ricir 0.186474, valid_loss 0.0014958622 , valid_ic 0.002212, valid_icir 0.053154, valid_ric -0.003905, valid_ricir -0.055613, test_loss 0.002753, ic -0.003137, icir -0.076506, ric 0.000905, ricir 0.009889, prec@10 0.537449, prec@30 0.535391 
Epoch 41, train_loss 0.001305, train_ic 0.023119, train_icir 0.331575, train_ric 0.004322, train_ricir 0.045286, valid_loss 0.0012200672 , valid_ic 0.010242, valid_icir 0.368556, valid_ric 0.004753, valid_ricir 0.081268, test_loss 0.002478, ic 0.003014, icir 0.099035, ric 0.006241, ricir 0.075710, prec@10 0.554321, prec@30 0.549931 
