Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- LSTM ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2020,
        "test_year": 2021,
        "window": 64,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 125, train_loss 0.001083, train_ic 0.056897, train_icir 0.533983, train_ric 0.027783, train_ricir 0.228673, train_mae 0.018916, train_rmse 0.024984, train_mape 375.005768, train_acc 0.653963, valid_loss 0.0016587253, valid_ic 0.012021, valid_icir 0.204428, valid_ric 0.004831, valid_ricir 0.040382, valid_mae 0.036077, valid_rmse 0.047115, valid_mape 369.784485, valid_acc 0.189908, test_loss 0.002110, ic 0.011747, icir 0.192311, ric 0.012038, ricir 0.106798, prec@10 0.527572, prec@30 0.536077, test_mae 0.030033, test_rmse 0.044311, test_mape 505.254974, test_acc 0.366473
Epoch 126, train_loss 0.001084, train_ic 0.033488, train_icir 0.387553, train_ric 0.048753, train_ricir 0.482925, train_mae 0.012909, train_rmse 0.019318, train_mape 199.377151, train_acc 0.588733, valid_loss 0.0012905548, valid_ic 0.004597, valid_icir 0.120776, valid_ric 0.021724, valid_ricir 0.278516, valid_mae 0.018593, valid_rmse 0.033729, valid_mape 152.485474, valid_acc 0.690032, test_loss 0.001736, ic 0.006655, icir 0.140007, ric 0.033429, ricir 0.396290, prec@10 0.494650, prec@30 0.507270, test_mae 0.019010, test_rmse 0.037161, test_mape 216.883682, test_acc 0.565091
Epoch 127, train_loss 0.001080, train_ic 0.046294, train_icir 0.578121, train_ric 0.050094, train_ricir 0.546900, train_mae 0.016539, train_rmse 0.024304, train_mape 4118.965332, train_acc 0.451991, valid_loss 0.0012451321, valid_ic 0.004770, valid_icir 0.114926, valid_ric 0.016972, valid_ricir 0.226547, valid_mae 0.020055, valid_rmse 0.035052, valid_mape 139.624649, valid_acc 0.601790, test_loss 0.001674, ic 0.008038, icir 0.143835, ric 0.028451, ricir 0.365677, prec@10 0.522634, prec@30 0.519616, test_mae 0.018343, test_rmse 0.036264, test_mape 184.532761, test_acc 0.554837
Epoch 128, train_loss 0.001081, train_ic 0.067564, train_icir 0.735526, train_ric 0.018006, train_ricir 0.168756, train_mae 0.022912, train_rmse 0.030906, train_mape 7105.023438, train_acc 0.433876, valid_loss 0.0013003489, valid_ic 0.025083, valid_icir 0.649935, valid_ric 0.006144, valid_ricir 0.083654, valid_mae 0.017812, valid_rmse 0.032537, valid_mape 163.962631, valid_acc 0.740492, test_loss 0.001730, ic 0.012126, icir 0.314843, ric -0.004651, ricir -0.071151, prec@10 0.507407, prec@30 0.525789, test_mae 0.019574, test_rmse 0.036348, test_mape 281.501587, test_acc 0.597414
Epoch 129, train_loss 0.001067, train_ic 0.056444, train_icir 0.685406, train_ric 0.039339, train_ricir 0.408311, train_mae 0.047728, train_rmse 0.052397, train_mape 95.319572, train_acc 0.788143, valid_loss 0.0012435820, valid_ic 0.008231, valid_icir 0.234376, valid_ric 0.012581, valid_ricir 0.191691, valid_mae 0.018812, valid_rmse 0.034004, valid_mape 133.904678, valid_acc 0.682575, test_loss 0.001657, ic 0.008605, icir 0.172638, ric 0.012807, ricir 0.202323, prec@10 0.546091, prec@30 0.540192, test_mae 0.018464, test_rmse 0.036376, test_mape 193.600494, test_acc 0.571556
Epoch 130, train_loss 0.001070, train_ic 0.040927, train_icir 0.492661, train_ric 0.043798, train_ricir 0.445516, train_mae 0.012069, train_rmse 0.018789, train_mape 119.623863, train_acc 0.534900, valid_loss 0.0012908401, valid_ic 0.002255, valid_icir 0.066521, valid_ric 0.009130, valid_ricir 0.103871, valid_mae 0.021342, valid_rmse 0.036127, valid_mape 142.239899, valid_acc 0.457122, test_loss 0.001758, ic 0.006718, icir 0.166687, ric 0.032908, ricir 0.400587, prec@10 0.506173, prec@30 0.526200, test_mae 0.019003, test_rmse 0.039070, test_mape 176.634705, test_acc 0.524298
Epoch 131, train_loss 0.001077, train_ic 0.065031, train_icir 0.759453, train_ric 0.036829, train_ricir 0.388232, train_mae 0.019981, train_rmse 0.031057, train_mape 127.244316, train_acc 0.662114, valid_loss 0.0012384700, valid_ic 0.011217, valid_icir 0.338244, valid_ric 0.010885, valid_ricir 0.162861, valid_mae 0.019482, valid_rmse 0.033942, valid_mape 132.624146, valid_acc 0.630872, test_loss 0.001652, ic 0.009349, icir 0.243745, ric 0.011282, ricir 0.209112, prec@10 0.526337, prec@30 0.532510, test_mae 0.018269, test_rmse 0.036026, test_mape 190.440399, test_acc 0.563308
Epoch 132, train_loss 0.001074, train_ic 0.064175, train_icir 0.663990, train_ric 0.011774, train_ricir 0.102443, train_mae 0.017274, train_rmse 0.025646, train_mape 139.901810, train_acc 0.530744, valid_loss 0.0012519331, valid_ic 0.022389, valid_icir 0.429246, valid_ric 0.003434, valid_ricir 0.043489, valid_mae 0.020551, valid_rmse 0.035239, valid_mape 152.128448, valid_acc 0.573950, test_loss 0.001669, ic 0.012881, icir 0.218654, ric -0.010068, ricir -0.132678, prec@10 0.547737, prec@30 0.545953, test_mae 0.018944, test_rmse 0.036604, test_mape 193.039627, test_acc 0.528087
Epoch 133, train_loss 0.001069, train_ic 0.053434, train_icir 0.610418, train_ric 0.020868, train_ricir 0.197034, train_mae 0.042329, train_rmse 0.050790, train_mape 106.116188, train_acc 0.545875, valid_loss 0.0012302314, valid_ic 0.023070, valid_icir 0.572784, valid_ric 0.011936, valid_ricir 0.123312, valid_mae 0.021674, valid_rmse 0.035168, valid_mape 152.970047, valid_acc 0.412130, test_loss 0.001638, ic 0.010618, icir 0.316474, ric -0.002806, ricir -0.031796, prec@10 0.507819, prec@30 0.526886, test_mae 0.019054, test_rmse 0.036283, test_mape 185.648590, test_acc 0.457200
Epoch 134, train_loss 0.001073, train_ic 0.044198, train_icir 0.431198, train_ric 0.009567, train_ricir 0.078921, train_mae 0.013461, train_rmse 0.020724, train_mape 122.472061, train_acc 0.574662, valid_loss 0.0012435245, valid_ic 0.006952, valid_icir 0.122309, valid_ric -0.002964, valid_ricir -0.023801, valid_mae 0.021074, valid_rmse 0.035656, valid_mape 145.596695, valid_acc 0.539398, test_loss 0.001646, ic 0.008878, icir 0.151304, ric 0.007736, ricir 0.067631, prec@10 0.526337, prec@30 0.543759, test_mae 0.018567, test_rmse 0.036157, test_mape 188.923340, test_acc 0.546812
Epoch 135, train_loss 0.001079, train_ic 0.059640, train_icir 0.664747, train_ric 0.038100, train_ricir 0.388511, train_mae 0.028453, train_rmse 0.033079, train_mape 5434.111328, train_acc 0.284401, valid_loss 0.0014653858, valid_ic 0.012252, valid_icir 0.287551, valid_ric 0.012782, valid_ricir 0.161049, valid_mae 0.019525, valid_rmse 0.033008, valid_mape 247.844818, valid_acc 0.746458, test_loss 0.001864, ic 0.010833, icir 0.186746, ric 0.017109, ricir 0.200297, prec@10 0.529218, prec@30 0.540329, test_mae 0.022499, test_rmse 0.037383, test_mape 394.586975, test_acc 0.595185
Epoch 136, train_loss 0.001083, train_ic 0.057854, train_icir 0.672178, train_ric 0.024975, train_ricir 0.252775, train_mae 0.015316, train_rmse 0.023905, train_mape 115.175674, train_acc 0.586442, valid_loss 0.0012381677, valid_ic 0.016246, valid_icir 0.473543, valid_ric 0.012672, valid_ricir 0.195259, valid_mae 0.022000, valid_rmse 0.035890, valid_mape 160.781052, valid_acc 0.380313, test_loss 0.001662, ic 0.009350, icir 0.248685, ric 0.001459, ricir 0.024253, prec@10 0.512346, prec@30 0.537311, test_mae 0.019584, test_rmse 0.037056, test_mape 199.066772, test_acc 0.412617
Epoch 137, train_loss 0.001053, train_ic 0.056145, train_icir 0.610047, train_ric 0.004233, train_ricir 0.037467, train_mae 0.014434, train_rmse 0.021592, train_mape 156.753433, train_acc 0.429277, valid_loss 0.0012776454, valid_ic 0.027991, valid_icir 0.565944, valid_ric 0.002483, valid_ricir 0.031519, valid_mae 0.022195, valid_rmse 0.036065, valid_mape 170.460159, valid_acc 0.464579, test_loss 0.001687, ic 0.011882, icir 0.242084, ric -0.013042, ricir -0.201739, prec@10 0.506996, prec@30 0.530727, test_mae 0.019681, test_rmse 0.037025, test_mape 211.582642, test_acc 0.473250
Epoch 138, train_loss 0.001066, train_ic 0.055535, train_icir 0.614800, train_ric 0.034561, train_ricir 0.326938, train_mae 0.020367, train_rmse 0.028431, train_mape 215.767426, train_acc 0.314662, valid_loss 0.0012582897, valid_ic 0.012772, valid_icir 0.317086, valid_ric 0.008846, valid_ricir 0.097215, valid_mae 0.026399, valid_rmse 0.038728, valid_mape 215.500458, valid_acc 0.217251, test_loss 0.001648, ic 0.010505, icir 0.232565, ric 0.017910, ricir 0.232801, prec@10 0.529630, prec@30 0.532922, test_mae 0.020818, test_rmse 0.037240, test_mape 252.717285, test_acc 0.384084
Epoch 139, train_loss 0.001072, train_ic 0.029277, train_icir 0.297991, train_ric 0.048993, train_ricir 0.419735, train_mae 0.040192, train_rmse 0.053590, train_mape 133.264954, train_acc 0.288719, valid_loss 0.0012586052, valid_ic -0.007259, valid_icir -0.121252, valid_ric 0.008966, valid_ricir 0.077423, valid_mae 0.021506, valid_rmse 0.036074, valid_mape 155.548996, valid_acc 0.522993, test_loss 0.001643, ic 0.006375, icir 0.093279, ric 0.037792, ricir 0.316918, prec@10 0.513169, prec@30 0.532510, test_mae 0.019350, test_rmse 0.036681, test_mape 207.384140, test_acc 0.507579
Epoch 140, train_loss 0.001077, train_ic 0.064110, train_icir 0.653055, train_ric 0.020668, train_ricir 0.183097, train_mae 0.015693, train_rmse 0.021393, train_mape 256.756866, train_acc 0.226433, valid_loss 0.0012732195, valid_ic 0.021743, valid_icir 0.423740, valid_ric 0.006031, valid_ricir 0.063521, valid_mae 0.025574, valid_rmse 0.038111, valid_mape 200.057571, valid_acc 0.227194, test_loss 0.001650, ic 0.012733, icir 0.235892, ric 0.001435, ricir 0.016298, prec@10 0.524280, prec@30 0.538820, test_mae 0.020391, test_rmse 0.036981, test_mape 232.108139, test_acc 0.398350
Epoch 141, train_loss 0.001064, train_ic 0.067333, train_icir 0.785516, train_ric 0.024430, train_ricir 0.264881, train_mae 0.015269, train_rmse 0.024007, train_mape 230.060104, train_acc 0.552682, valid_loss 0.0012916636, valid_ic 0.023300, valid_icir 0.672657, valid_ric 0.011433, valid_ricir 0.214140, valid_mae 0.026895, valid_rmse 0.038704, valid_mape 222.051788, valid_acc 0.213025, test_loss 0.001671, ic 0.011595, icir 0.312138, ric 0.002135, ricir 0.042521, prec@10 0.527160, prec@30 0.526749, test_mae 0.022102, test_rmse 0.037829, test_mape 274.954254, test_acc 0.368034
Epoch 142, train_loss 0.001066, train_ic 0.067636, train_icir 0.827815, train_ric 0.037528, train_ricir 0.434869, train_mae 0.012324, train_rmse 0.021531, train_mape 109.407356, train_acc 0.504155, valid_loss 0.0011759096, valid_ic 0.017725, valid_icir 0.530127, valid_ric 0.015098, valid_ricir 0.248138, valid_mae 0.019748, valid_rmse 0.033698, valid_mape 126.733795, valid_acc 0.556301, test_loss 0.001551, ic 0.010869, icir 0.256296, ric 0.011219, ricir 0.216181, prec@10 0.529630, prec@30 0.537311, test_mae 0.018199, test_rmse 0.035207, test_mape 165.833603, test_acc 0.488854
Epoch 143, train_loss 0.001074, train_ic 0.055426, train_icir 0.636430, train_ric 0.014182, train_ricir 0.147461, train_mae 0.017668, train_rmse 0.024807, train_mape 249.453400, train_acc 0.357576, valid_loss 0.0012829677, valid_ic 0.013141, valid_icir 0.250516, valid_ric -0.002943, valid_ricir -0.037433, valid_mae 0.019085, valid_rmse 0.033718, valid_mape 157.848221, valid_acc 0.698235, test_loss 0.001650, ic 0.011196, icir 0.175139, ric 0.003293, ricir 0.043594, prec@10 0.569959, prec@30 0.545542, test_mae 0.019512, test_rmse 0.035847, test_mape 278.152679, test_acc 0.588943
Epoch 144, train_loss 0.001068, train_ic 0.056704, train_icir 0.622770, train_ric 0.057744, train_ricir 0.541134, train_mae 0.014273, train_rmse 0.021894, train_mape 134.707336, train_acc 0.451756, valid_loss 0.0012151425, valid_ic 0.012835, valid_icir 0.274516, valid_ric 0.018213, valid_ricir 0.218755, valid_mae 0.020794, valid_rmse 0.034768, valid_mape 136.717361, valid_acc 0.536913, test_loss 0.001573, ic 0.011645, icir 0.189786, ric 0.032074, ricir 0.323667, prec@10 0.530864, prec@30 0.527023, test_mae 0.018610, test_rmse 0.035451, test_mape 188.888107, test_acc 0.521177
Epoch 145, train_loss 0.001070, train_ic 0.057612, train_icir 0.715643, train_ric 0.049679, train_ricir 0.534486, train_mae 0.010399, train_rmse 0.015821, train_mape 133.265549, train_acc 0.399199, valid_loss 0.0011928649, valid_ic 0.014851, valid_icir 0.489969, valid_ric 0.018112, valid_ricir 0.266507, valid_mae 0.019266, valid_rmse 0.033241, valid_mape 133.008820, valid_acc 0.628635, test_loss 0.001566, ic 0.009418, icir 0.273544, ric 0.021723, ricir 0.351701, prec@10 0.511934, prec@30 0.521536, test_mae 0.018215, test_rmse 0.035358, test_mape 185.822388, test_acc 0.556398
Epoch 146, train_loss 0.001078, train_ic 0.037424, train_icir 0.464511, train_ric 0.028546, train_ricir 0.295664, train_mae 0.021474, train_rmse 0.028074, train_mape 65.240448, train_acc 0.888650, valid_loss 0.0014475380, valid_ic 0.011062, valid_icir 0.322316, valid_ric 0.013639, valid_ricir 0.143275, valid_mae 0.018007, valid_rmse 0.030922, valid_mape 236.026550, valid_acc 0.755158, test_loss 0.001824, ic 0.007200, icir 0.220212, ric 0.007961, ricir 0.090398, prec@10 0.511934, prec@30 0.511248, test_mae 0.022668, test_rmse 0.036712, test_mape 430.540833, test_acc 0.595631
Epoch 147, train_loss 0.001070, train_ic 0.066412, train_icir 0.801036, train_ric 0.038107, train_ricir 0.411441, train_mae 0.013245, train_rmse 0.019098, train_mape 190.093048, train_acc 0.438943, valid_loss 0.0012205259, valid_ic 0.018602, valid_icir 0.597340, valid_ric 0.018970, valid_ricir 0.347658, valid_mae 0.017593, valid_rmse 0.031559, valid_mape 143.584518, valid_acc 0.735769, test_loss 0.001596, ic 0.010376, icir 0.274194, ric 0.012302, ricir 0.245140, prec@10 0.511934, prec@30 0.522908, test_mae 0.018593, test_rmse 0.034826, test_mape 240.517044, test_acc 0.591173
Epoch 148, train_loss 0.001067, train_ic 0.047456, train_icir 0.553725, train_ric 0.045232, train_ricir 0.485424, train_mae 0.043429, train_rmse 0.047840, train_mape 87.537247, train_acc 0.849179, valid_loss 0.0012049506, valid_ic 0.005246, valid_icir 0.117972, valid_ric 0.013372, valid_ricir 0.168214, valid_mae 0.019469, valid_rmse 0.033532, valid_mape 135.562225, valid_acc 0.637335, test_loss 0.001554, ic 0.009264, icir 0.165929, ric 0.027367, ricir 0.309536, prec@10 0.533333, prec@30 0.542524, test_mae 0.018497, test_rmse 0.035050, test_mape 201.093124, test_acc 0.554391
Epoch 149, train_loss 0.001057, train_ic 0.041769, train_icir 0.428005, train_ric 0.038094, train_ricir 0.332043, train_mae 0.027455, train_rmse 0.037353, train_mape 121.238312, train_acc 0.585740, valid_loss 0.0012334192, valid_ic 0.001254, valid_icir 0.023947, valid_ric 0.005723, valid_ricir 0.051196, valid_mae 0.023787, valid_rmse 0.037003, valid_mape 179.213898, valid_acc 0.285608, test_loss 0.001586, ic 0.008424, icir 0.141173, ric 0.030127, ricir 0.246485, prec@10 0.524691, prec@30 0.532647, test_mae 0.020647, test_rmse 0.036910, test_mape 257.305237, test_acc 0.392778
Epoch 150, train_loss 0.001066, train_ic 0.061601, train_icir 0.766632, train_ric 0.028772, train_ricir 0.326374, train_mae 0.059276, train_rmse 0.068855, train_mape 172.480270, train_acc 0.137604, valid_loss 0.0013803867, valid_ic 0.014397, valid_icir 0.425797, valid_ric 0.009486, valid_ricir 0.163010, valid_mae 0.017725, valid_rmse 0.030826, valid_mape 210.389359, valid_acc 0.749938, test_loss 0.001726, ic 0.009939, icir 0.252719, ric 0.008028, ricir 0.168068, prec@10 0.526337, prec@30 0.526749, test_mae 0.021515, test_rmse 0.035802, test_mape 379.785431, test_acc 0.595631
