Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- MLP ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 4,
        "valid_year": 2019,
        "test_year": 2020,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "seq_len": 16,
        "pred_len": 1,
        "d_model": 64,
        "dropout": 0.1
    }
}
Epoch 22, train_loss 0.004357, train_ic -0.027369, train_icir -0.229369, train_ric 0.027280, train_ricir 0.187870, train_mae 0.019949, train_rmse 0.025379, train_mape 324.259338, train_acc 0.441734, valid_loss 0.0009661362, valid_ic -0.017924, valid_icir -0.254059, valid_ric 0.033861, valid_ricir 0.361843, valid_mae 0.015563, valid_rmse 0.021603, valid_mape 255.516510, valid_acc 0.598291, test_loss 0.001238, ic -0.029130, icir -0.382427, ric 0.005580, ricir 0.050736, prec@10 0.618930, prec@30 0.562003, test_mae 0.016872, test_rmse 0.024573, test_mape 196.613037, test_acc 0.760546
Epoch 23, train_loss 0.004454, train_ic -0.008851, train_icir -0.074783, train_ric 0.002780, train_ricir 0.019486, train_mae 0.043045, train_rmse 0.047721, train_mape 33417.375000, train_acc 0.144899, valid_loss 0.0019636946, valid_ic -0.017183, valid_icir -0.230541, valid_ric -0.002608, valid_ricir -0.026655, valid_mae 0.039996, valid_rmse 0.044776, valid_mape 762.770447, valid_acc 0.349626, test_loss 0.002231, ic -0.026143, icir -0.269305, ric -0.012932, ricir -0.090882, prec@10 0.594650, prec@30 0.595199, test_mae 0.049632, test_rmse 0.055468, test_mape 598.817444, test_acc 0.191173
Epoch 24, train_loss 0.004293, train_ic -0.012317, train_icir -0.107372, train_ric 0.021785, train_ricir 0.163813, train_mae 0.015658, train_rmse 0.021546, train_mape 129.290878, train_acc 0.558870, valid_loss 0.0008250854, valid_ic -0.013831, valid_icir -0.188723, valid_ric 0.015187, valid_ricir 0.161479, valid_mae 0.014476, valid_rmse 0.022473, valid_mape 151.107254, valid_acc 0.437500, test_loss 0.001098, ic -0.023651, icir -0.273366, ric -0.000928, ricir -0.007492, prec@10 0.586831, prec@30 0.550754, test_mae 0.021038, test_rmse 0.029590, test_mape 140.350967, test_acc 0.372104
Epoch 25, train_loss 0.004266, train_ic -0.020536, train_icir -0.190549, train_ric 0.009819, train_ricir 0.074551, train_mae 0.022698, train_rmse 0.029962, train_mape 111.637894, train_acc 0.387209, valid_loss 0.0007907244, valid_ic -0.018227, valid_icir -0.293937, valid_ric 0.010840, valid_ricir 0.129733, valid_mae 0.013006, valid_rmse 0.020708, valid_mape 107.343948, valid_acc 0.563034, test_loss 0.001045, ic -0.023575, icir -0.334515, ric -0.006642, ricir -0.062009, prec@10 0.526749, prec@30 0.517695, test_mae 0.018756, test_rmse 0.027319, test_mape 108.763710, test_acc 0.609851
Epoch 26, train_loss 0.004232, train_ic -0.013451, train_icir -0.121884, train_ric 0.018930, train_ricir 0.142939, train_mae 0.016575, train_rmse 0.023477, train_mape 147.633850, train_acc 0.620199, valid_loss 0.0008638746, valid_ic -0.014435, valid_icir -0.208440, valid_ric 0.014754, valid_ricir 0.158676, valid_mae 0.017380, valid_rmse 0.024919, valid_mape 228.285095, valid_acc 0.357906, test_loss 0.001124, ic -0.023863, icir -0.300937, ric -0.003375, ricir -0.027992, prec@10 0.623045, prec@30 0.581893, test_mae 0.024715, test_rmse 0.032845, test_mape 193.750946, test_acc 0.205560
Epoch 27, train_loss 0.004197, train_ic -0.012665, train_icir -0.103762, train_ric -0.006004, train_ricir -0.041625, train_mae 0.021804, train_rmse 0.028208, train_mape 134.204269, train_acc 0.212901, valid_loss 0.0008033413, valid_ic -0.019790, valid_icir -0.312434, valid_ric -0.009274, valid_ricir -0.103994, valid_mae 0.014212, valid_rmse 0.022100, valid_mape 133.599121, valid_acc 0.403045, test_loss 0.001071, ic -0.021671, icir -0.269460, ric -0.016093, ricir -0.129924, prec@10 0.616872, prec@30 0.564883, test_mae 0.022314, test_rmse 0.030491, test_mape 149.908691, test_acc 0.237747
Epoch 28, train_loss 0.004161, train_ic -0.001823, train_icir -0.015665, train_ric -0.007138, train_ricir -0.047231, train_mae 0.028683, train_rmse 0.034721, train_mape 502.903320, train_acc 0.361598, valid_loss 0.0015111224, valid_ic -0.015722, valid_icir -0.242645, valid_ric -0.014278, valid_ricir -0.143918, valid_mae 0.032599, valid_rmse 0.037942, valid_mape 589.179749, valid_acc 0.353365, test_loss 0.001799, ic -0.020977, icir -0.262672, ric -0.017972, ricir -0.125271, prec@10 0.641975, prec@30 0.592318, test_mae 0.042968, test_rmse 0.049029, test_mape 487.317169, test_acc 0.193611
Epoch 29, train_loss 0.004101, train_ic -0.014700, train_icir -0.139992, train_ric 0.018272, train_ricir 0.142720, train_mae 0.021526, train_rmse 0.026749, train_mape 205.207062, train_acc 0.283286, valid_loss 0.0008673331, valid_ic -0.012551, valid_icir -0.207891, valid_ric 0.015582, valid_ricir 0.191980, valid_mae 0.014049, valid_rmse 0.020549, valid_mape 195.506622, valid_acc 0.597489, test_loss 0.001119, ic -0.019934, icir -0.298646, ric -0.002749, ricir -0.027059, prec@10 0.582716, prec@30 0.545130, test_mae 0.016610, test_rmse 0.024796, test_mape 148.928101, test_acc 0.756889
Epoch 30, train_loss 0.004146, train_ic -0.023430, train_icir -0.212630, train_ric 0.006195, train_ricir 0.045569, train_mae 0.021071, train_rmse 0.026593, train_mape 391.737213, train_acc 0.673533, valid_loss 0.0012060175, valid_ic -0.015566, valid_icir -0.301025, valid_ric 0.009949, valid_ricir 0.123660, valid_mae 0.020919, valid_rmse 0.025674, valid_mape 423.178864, valid_acc 0.598024, test_loss 0.001484, ic -0.020452, icir -0.352424, ric -0.007413, ricir -0.076517, prec@10 0.623868, prec@30 0.571605, test_mae 0.018679, test_rmse 0.025376, test_mape 274.811859, test_acc 0.761765
Epoch 31, train_loss 0.004062, train_ic -0.001899, train_icir -0.016585, train_ric 0.010202, train_ricir 0.074197, train_mae 0.019133, train_rmse 0.025905, train_mape 338.303223, train_acc 0.505980, valid_loss 0.0010761548, valid_ic -0.013885, valid_icir -0.179681, valid_ric -0.000719, valid_ricir -0.007258, valid_mae 0.023929, valid_rmse 0.030369, valid_mape 398.305786, valid_acc 0.353900, test_loss 0.001325, ic -0.023541, icir -0.232592, ric -0.010092, ricir -0.070690, prec@10 0.560082, prec@30 0.570508, test_mae 0.033262, test_rmse 0.040455, test_mape 335.820099, test_acc 0.195074
