Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- MLP ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 20,
        "valid_year": 2019,
        "test_year": 2020,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "seq_len": 16,
        "pred_len": 1,
        "d_model": 64,
        "dropout": 0.1
    }
}
Epoch 29, train_loss 0.004101, train_ic -0.014700, train_icir -0.139992, train_ric 0.018272, train_ricir 0.142720, valid_loss 0.0008673331 , valid_ic -0.012551, valid_icir -0.207891, valid_ric 0.015582, valid_ricir 0.191980, test_loss 0.001119, ic -0.019934, icir -0.298646, ric -0.002749, ricir -0.027059, prec@10 0.582716, prec@30 0.545130 
Epoch 30, train_loss 0.004146, train_ic -0.023430, train_icir -0.212630, train_ric 0.006195, train_ricir 0.045569, valid_loss 0.0012060175 , valid_ic -0.015566, valid_icir -0.301025, valid_ric 0.009949, valid_ricir 0.123660, test_loss 0.001484, ic -0.020452, icir -0.352424, ric -0.007413, ricir -0.076517, prec@10 0.623868, prec@30 0.571605 
Epoch 31, train_loss 0.004062, train_ic -0.001899, train_icir -0.016585, train_ric 0.010202, train_ricir 0.074197, valid_loss 0.0010761548 , valid_ic -0.013885, valid_icir -0.179681, valid_ric -0.000719, valid_ricir -0.007258, test_loss 0.001325, ic -0.023541, icir -0.232592, ric -0.010092, ricir -0.070690, prec@10 0.560082, prec@30 0.570508 
Epoch 32, train_loss 0.004029, train_ic 0.001798, train_icir 0.016572, train_ric 0.009947, train_ricir 0.075885, valid_loss 0.0010976100 , valid_ic -0.010096, valid_icir -0.151136, valid_ric 0.001764, valid_ricir 0.019332, test_loss 0.001339, ic -0.016888, icir -0.210702, ric -0.008240, ricir -0.066366, prec@10 0.611934, prec@30 0.579835 
Epoch 33, train_loss 0.004001, train_ic -0.002159, train_icir -0.021947, train_ric -0.016030, train_ricir -0.111473, valid_loss 0.0008767259 , valid_ic 0.001395, valid_icir 0.024920, valid_ric -0.018155, valid_ricir -0.207451, test_loss 0.001141, ic 0.007411, icir 0.128035, ric -0.016421, ricir -0.154525, prec@10 0.463374, prec@30 0.463100 
Epoch 34, train_loss 0.003993, train_ic -0.006810, train_icir -0.080475, train_ric 0.012762, train_ricir 0.100321, valid_loss 0.0011454818 , valid_ic 0.000495, valid_icir 0.010409, valid_ric 0.015026, valid_ricir 0.192893, test_loss 0.001400, ic -0.000648, icir -0.013019, ric -0.000573, ricir -0.006198, prec@10 0.498354, prec@30 0.493553 
Epoch 35, train_loss 0.003982, train_ic 0.008010, train_icir 0.066491, train_ric -0.009707, train_ricir -0.062250, valid_loss 0.0022510065 , valid_ic -0.012436, valid_icir -0.181988, valid_ric -0.021468, valid_ricir -0.207422, test_loss 0.002492, ic -0.017077, icir -0.197295, ric -0.018807, ricir -0.125400, prec@10 0.605761, prec@30 0.586694 
Epoch 36, train_loss 0.003934, train_ic 0.009053, train_icir 0.082212, train_ric 0.013719, train_ricir 0.104785, valid_loss 0.0014767094 , valid_ic -0.011230, valid_icir -0.170928, valid_ric -0.000653, valid_ricir -0.007029, test_loss 0.001731, ic -0.016793, icir -0.206294, ric -0.006727, ricir -0.051456, prec@10 0.631276, prec@30 0.582305 
Epoch 37, train_loss 0.003935, train_ic 0.002489, train_icir 0.021984, train_ric 0.020654, train_ricir 0.155526, valid_loss 0.0008277677 , valid_ic -0.014149, valid_icir -0.182462, valid_ric 0.006009, valid_ricir 0.059572, test_loss 0.001086, ic -0.024821, icir -0.253000, ric -0.004771, ricir -0.033761, prec@10 0.608642, prec@30 0.578052 
Epoch 38, train_loss 0.003869, train_ic 0.006290, train_icir 0.060408, train_ric -0.006039, train_ricir -0.039141, valid_loss 0.0018602323 , valid_ic -0.012816, valid_icir -0.205705, valid_ric -0.019822, valid_ricir -0.191843, test_loss 0.002170, ic -0.018666, icir -0.245031, ric -0.018289, ricir -0.120832, prec@10 0.611111, prec@30 0.589438 
Epoch 39, train_loss 0.003900, train_ic 0.004738, train_icir 0.048069, train_ric 0.019389, train_ricir 0.145044, valid_loss 0.0010710040 , valid_ic -0.013330, valid_icir -0.195892, valid_ric 0.003681, valid_ricir 0.036133, test_loss 0.001363, ic -0.022115, icir -0.269826, ric -0.006064, ricir -0.042315, prec@10 0.620576, prec@30 0.592867 
Epoch 40, train_loss 0.003826, train_ic 0.004591, train_icir 0.043836, train_ric 0.000935, train_ricir 0.006772, valid_loss 0.0008307648 , valid_ic -0.016431, valid_icir -0.283633, valid_ric -0.013254, valid_ricir -0.142723, test_loss 0.001119, ic -0.020064, icir -0.295411, ric -0.015087, ricir -0.114593, prec@10 0.635391, prec@30 0.594925 
Epoch 41, train_loss 0.003910, train_ic 0.001792, train_icir 0.017325, train_ric -0.010799, train_ricir -0.073600, valid_loss 0.0010082083 , valid_ic -0.018260, valid_icir -0.337065, valid_ric -0.022596, valid_ricir -0.246319, test_loss 0.001357, ic -0.021352, icir -0.345512, ric -0.020085, ricir -0.159214, prec@10 0.626337, prec@30 0.594376 
Epoch 42, train_loss 0.003844, train_ic 0.008718, train_icir 0.082593, train_ric 0.007496, train_ricir 0.052168, valid_loss 0.0009118419 , valid_ic -0.013997, valid_icir -0.211464, valid_ric -0.008352, valid_ricir -0.081652, test_loss 0.001230, ic -0.020736, icir -0.261977, ric -0.012617, ricir -0.084425, prec@10 0.626337, prec@30 0.595473 
Epoch 43, train_loss 0.003887, train_ic 0.012671, train_icir 0.102636, train_ric 0.005490, train_ricir 0.037704, valid_loss 0.0013108116 , valid_ic -0.012247, valid_icir -0.166746, valid_ric -0.011750, valid_ricir -0.115796, test_loss 0.001586, ic -0.016186, icir -0.169934, ric -0.012684, ricir -0.083416, prec@10 0.643210, prec@30 0.591632 
Epoch 44, train_loss 0.003883, train_ic 0.008060, train_icir 0.078724, train_ric 0.019913, train_ricir 0.152802, valid_loss 0.0008271629 , valid_ic -0.013501, valid_icir -0.216518, valid_ric 0.002394, valid_ricir 0.024729, test_loss 0.001113, ic -0.020041, icir -0.270795, ric -0.005596, ricir -0.040650, prec@10 0.639506, prec@30 0.595473 
Epoch 45, train_loss 0.003867, train_ic 0.012013, train_icir 0.118091, train_ric 0.008799, train_ricir 0.063310, valid_loss 0.0008666071 , valid_ic -0.012230, valid_icir -0.189118, valid_ric -0.006496, valid_ricir -0.065080, test_loss 0.001155, ic -0.019230, icir -0.248580, ric -0.010000, ricir -0.070821, prec@10 0.620165, prec@30 0.588889 
Early stopping -----
Epoch 46, train_loss 0.003880, train_ic 0.008829, train_icir 0.084332, train_ric 0.028104, train_ricir 0.204478, valid_loss 0.0008704219 , valid_ic -0.010447, valid_icir -0.156754, valid_ric 0.017490, valid_ricir 0.176880, test_loss 0.001144, ic -0.019966, icir -0.255607, ric 0.004595, ricir 0.036521, prec@10 0.616049, prec@30 0.589712 
Epoch 47, train_loss 0.003842, train_ic 0.006768, train_icir 0.069937, train_ric -0.007406, train_ricir -0.056473, valid_loss 0.0008594829 , valid_ic -0.012920, valid_icir -0.279396, valid_ric -0.018998, valid_ricir -0.234404, test_loss 0.001128, ic -0.014335, icir -0.289871, ric -0.017631, ricir -0.170625, prec@10 0.633745, prec@30 0.583676 
Epoch 48, train_loss 0.003807, train_ic 0.008185, train_icir 0.080578, train_ric 0.023711, train_ricir 0.187942, valid_loss 0.0008349757 , valid_ic -0.014587, valid_icir -0.241012, valid_ric 0.008732, valid_ricir 0.097260, test_loss 0.001106, ic -0.021260, icir -0.305064, ric -0.001237, ricir -0.010139, prec@10 0.622222, prec@30 0.589849 
Epoch 49, train_loss 0.003814, train_ic 0.014241, train_icir 0.121691, train_ric 0.014061, train_ricir 0.097956, valid_loss 0.0013536802 , valid_ic -0.011736, valid_icir -0.154473, valid_ric -0.005154, valid_ricir -0.048409, test_loss 0.001630, ic -0.019169, icir -0.202687, ric -0.009741, ricir -0.063044, prec@10 0.635391, prec@30 0.593553 
Epoch 50, train_loss 0.003814, train_ic 0.009585, train_icir 0.118678, train_ric 0.005926, train_ricir 0.039734, valid_loss 0.0024411089 , valid_ic -0.010633, valid_icir -0.179189, valid_ric -0.012767, valid_ricir -0.120916, test_loss 0.002931, ic -0.017353, icir -0.242186, ric -0.012915, ricir -0.083983, prec@10 0.620165, prec@30 0.590261 
Epoch 51, train_loss 0.003842, train_ic -0.010117, train_icir -0.084464, train_ric 0.045248, train_ricir 0.292493, valid_loss 0.0056781303 , valid_ic -0.003774, valid_icir -0.072240, valid_ric 0.042993, valid_ricir 0.453373, test_loss 0.005974, ic -0.013518, icir -0.214162, ric 0.021268, ricir 0.184874, prec@10 0.589712, prec@30 0.549520 
Epoch 52, train_loss 0.003813, train_ic 0.012778, train_icir 0.108102, train_ric 0.011603, train_ricir 0.082417, valid_loss 0.0010770757 , valid_ic -0.013574, valid_icir -0.187054, valid_ric -0.007703, valid_ricir -0.076376, test_loss 0.001351, ic -0.019210, icir -0.210166, ric -0.010831, ricir -0.072389, prec@10 0.641152, prec@30 0.594102 
Epoch 53, train_loss 0.003778, train_ic 0.013560, train_icir 0.121906, train_ric -0.003170, train_ricir -0.023151, valid_loss 0.0017095763 , valid_ic -0.007503, valid_icir -0.141719, valid_ric -0.019413, valid_ricir -0.238116, test_loss 0.001976, ic -0.006949, icir -0.099129, ric -0.015389, ricir -0.128371, prec@10 0.643621, prec@30 0.581481 
Epoch 54, train_loss 0.003781, train_ic 0.013233, train_icir 0.137001, train_ric 0.016815, train_ricir 0.118053, valid_loss 0.0021414757 , valid_ic -0.010109, valid_icir -0.150823, valid_ric -0.002509, valid_ricir -0.023397, test_loss 0.002477, ic -0.017673, icir -0.213082, ric -0.006925, ricir -0.045334, prec@10 0.626337, prec@30 0.592730 
Epoch 55, train_loss 0.003756, train_ic 0.010613, train_icir 0.113189, train_ric 0.015281, train_ricir 0.114549, valid_loss 0.0008789429 , valid_ic -0.012805, valid_icir -0.203822, valid_ric -0.003423, valid_ricir -0.035634, test_loss 0.001170, ic -0.019792, icir -0.263994, ric -0.008739, ricir -0.063697, prec@10 0.627160, prec@30 0.592867 
Epoch 56, train_loss 0.003807, train_ic 0.010356, train_icir 0.091523, train_ric 0.009456, train_ricir 0.066667, valid_loss 0.0009369825 , valid_ic -0.014466, valid_icir -0.208601, valid_ric -0.009611, valid_ricir -0.095943, test_loss 0.001217, ic -0.020428, icir -0.239082, ric -0.012483, ricir -0.084174, prec@10 0.639918, prec@30 0.593278 
Epoch 57, train_loss 0.003750, train_ic 0.010988, train_icir 0.098027, train_ric 0.020211, train_ricir 0.143163, valid_loss 0.0016977407 , valid_ic -0.009947, valid_icir -0.124016, valid_ric 0.000937, valid_ricir 0.008568, test_loss 0.002008, ic -0.019229, icir -0.184112, ric -0.006284, ricir -0.040077, prec@10 0.625514, prec@30 0.591632 
Epoch 58, train_loss 0.003749, train_ic 0.015072, train_icir 0.134663, train_ric 0.017947, train_ricir 0.128737, valid_loss 0.0009483479 , valid_ic -0.011267, valid_icir -0.154991, valid_ric -0.002004, valid_ricir -0.019117, test_loss 0.001219, ic -0.018871, icir -0.211710, ric -0.007284, ricir -0.048313, prec@10 0.643210, prec@30 0.594239 
Epoch 59, train_loss 0.003841, train_ic 0.014514, train_icir 0.127820, train_ric 0.012554, train_ricir 0.085255, valid_loss 0.0016125437 , valid_ic -0.011357, valid_icir -0.151356, valid_ric -0.007394, valid_ricir -0.068637, test_loss 0.001896, ic -0.018376, icir -0.193388, ric -0.010035, ricir -0.063126, prec@10 0.632922, prec@30 0.593141 
Epoch 60, train_loss 0.003803, train_ic 0.000778, train_icir 0.008403, train_ric 0.028960, train_ricir 0.196996, valid_loss 0.0021983698 , valid_ic 0.005522, valid_icir 0.112680, valid_ric 0.031628, valid_ricir 0.361958, test_loss 0.002448, ic 0.003583, icir 0.057226, ric 0.019153, ricir 0.161420, prec@10 0.495885, prec@30 0.506173 
Epoch 61, train_loss 0.003696, train_ic 0.015597, train_icir 0.141218, train_ric -0.021595, train_ricir -0.131235, valid_loss 0.0011264684 , valid_ic -0.012015, valid_icir -0.207645, valid_ric -0.037832, valid_ricir -0.358014, test_loss 0.001454, ic -0.014767, icir -0.214623, ric -0.022510, ricir -0.156011, prec@10 0.645267, prec@30 0.595885 
Epoch 62, train_loss 0.003746, train_ic 0.015830, train_icir 0.171424, train_ric -0.001052, train_ricir -0.008713, valid_loss 0.0010284107 , valid_ic -0.009764, valid_icir -0.211400, valid_ric -0.008085, valid_ricir -0.119448, test_loss 0.001303, ic -0.012992, icir -0.245441, ric -0.003770, ricir -0.042900, prec@10 0.640329, prec@30 0.594513 
Epoch 63, train_loss 0.003736, train_ic 0.019467, train_icir 0.162823, train_ric 0.010199, train_ricir 0.070219, valid_loss 0.0008927183 , valid_ic -0.011157, valid_icir -0.153474, valid_ric -0.010570, valid_ricir -0.102788, test_loss 0.001149, ic -0.016680, icir -0.185359, ric -0.011349, ricir -0.075402, prec@10 0.643621, prec@30 0.594925 
Epoch 64, train_loss 0.003842, train_ic 0.014180, train_icir 0.155324, train_ric 0.021056, train_ricir 0.166735, valid_loss 0.0009502504 , valid_ic -0.011978, valid_icir -0.210017, valid_ric 0.002428, valid_ricir 0.027650, test_loss 0.001260, ic -0.018147, icir -0.274279, ric -0.002188, ricir -0.017588, prec@10 0.636214, prec@30 0.594376 
Epoch 65, train_loss 0.003664, train_ic 0.022235, train_icir 0.200032, train_ric 0.006228, train_ricir 0.043481, valid_loss 0.0008720514 , valid_ic -0.010700, valid_icir -0.172526, valid_ric -0.015719, valid_ricir -0.162638, test_loss 0.001137, ic -0.014821, icir -0.201251, ric -0.011517, ricir -0.082263, prec@10 0.645267, prec@30 0.596845 
Epoch 66, train_loss 0.003737, train_ic 0.018806, train_icir 0.178943, train_ric 0.023255, train_ricir 0.171343, valid_loss 0.0008613587 , valid_ic -0.010285, valid_icir -0.151088, valid_ric 0.000113, valid_ricir 0.001111, test_loss 0.001134, ic -0.017577, icir -0.216812, ric -0.003462, ricir -0.023987, prec@10 0.637860, prec@30 0.594513 
